"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Naturaleza Sabia, Ciudad de Buenos Aires","lunes",6,0,-34.6189602,-58.3700439,2021-03-26
"2","Naturaleza Sabia, Ciudad de Buenos Aires","lunes",7,0,-34.6189602,-58.3700439,2021-03-26
"3","Naturaleza Sabia, Ciudad de Buenos Aires","lunes",8,0,-34.6189602,-58.3700439,2021-03-26
"4","Naturaleza Sabia, Ciudad de Buenos Aires","lunes",9,0,-34.6189602,-58.3700439,2021-03-26
"5","Naturaleza Sabia, Ciudad de Buenos Aires","lunes",10,0,-34.6189602,-58.3700439,2021-03-26
"6","Naturaleza Sabia, Ciudad de Buenos Aires","lunes",11,0,-34.6189602,-58.3700439,2021-03-26
"7","Naturaleza Sabia, Ciudad de Buenos Aires","lunes",12,17.25,-34.6189602,-58.3700439,2021-03-26
"8","Naturaleza Sabia, Ciudad de Buenos Aires","lunes",13,25.5,-34.6189602,-58.3700439,2021-03-26
"9","Naturaleza Sabia, Ciudad de Buenos Aires","lunes",14,20.25,-34.6189602,-58.3700439,2021-03-26
"10","Naturaleza Sabia, Ciudad de Buenos Aires","lunes",15,0,-34.6189602,-58.3700439,2021-03-26
"11","Naturaleza Sabia, Ciudad de Buenos Aires","lunes",16,0,-34.6189602,-58.3700439,2021-03-26
"12","Naturaleza Sabia, Ciudad de Buenos Aires","lunes",17,0,-34.6189602,-58.3700439,2021-03-26
"13","Naturaleza Sabia, Ciudad de Buenos Aires","lunes",18,0,-34.6189602,-58.3700439,2021-03-26
"14","Naturaleza Sabia, Ciudad de Buenos Aires","lunes",19,0,-34.6189602,-58.3700439,2021-03-26
"15","Naturaleza Sabia, Ciudad de Buenos Aires","lunes",20,13.5,-34.6189602,-58.3700439,2021-03-26
"16","Naturaleza Sabia, Ciudad de Buenos Aires","lunes",21,27.75,-34.6189602,-58.3700439,2021-03-26
"17","Naturaleza Sabia, Ciudad de Buenos Aires","lunes",22,32.25,-34.6189602,-58.3700439,2021-03-26
"18","Naturaleza Sabia, Ciudad de Buenos Aires","lunes",23,0,-34.6189602,-58.3700439,2021-03-26
"19","Naturaleza Sabia, Ciudad de Buenos Aires","martes",6,0,-34.6189602,-58.3700439,2021-03-26
"20","Naturaleza Sabia, Ciudad de Buenos Aires","martes",7,0,-34.6189602,-58.3700439,2021-03-26
"21","Naturaleza Sabia, Ciudad de Buenos Aires","martes",8,0,-34.6189602,-58.3700439,2021-03-26
"22","Naturaleza Sabia, Ciudad de Buenos Aires","martes",9,0,-34.6189602,-58.3700439,2021-03-26
"23","Naturaleza Sabia, Ciudad de Buenos Aires","martes",10,0,-34.6189602,-58.3700439,2021-03-26
"24","Naturaleza Sabia, Ciudad de Buenos Aires","martes",11,0,-34.6189602,-58.3700439,2021-03-26
"25","Naturaleza Sabia, Ciudad de Buenos Aires","martes",12,18.75,-34.6189602,-58.3700439,2021-03-26
"26","Naturaleza Sabia, Ciudad de Buenos Aires","martes",13,22.5,-34.6189602,-58.3700439,2021-03-26
"27","Naturaleza Sabia, Ciudad de Buenos Aires","martes",14,21.75,-34.6189602,-58.3700439,2021-03-26
"28","Naturaleza Sabia, Ciudad de Buenos Aires","martes",15,0,-34.6189602,-58.3700439,2021-03-26
"29","Naturaleza Sabia, Ciudad de Buenos Aires","martes",16,0,-34.6189602,-58.3700439,2021-03-26
"30","Naturaleza Sabia, Ciudad de Buenos Aires","martes",17,0,-34.6189602,-58.3700439,2021-03-26
"31","Naturaleza Sabia, Ciudad de Buenos Aires","martes",18,0,-34.6189602,-58.3700439,2021-03-26
"32","Naturaleza Sabia, Ciudad de Buenos Aires","martes",19,0,-34.6189602,-58.3700439,2021-03-26
"33","Naturaleza Sabia, Ciudad de Buenos Aires","martes",20,19.5,-34.6189602,-58.3700439,2021-03-26
"34","Naturaleza Sabia, Ciudad de Buenos Aires","martes",21,54,-34.6189602,-58.3700439,2021-03-26
"35","Naturaleza Sabia, Ciudad de Buenos Aires","martes",22,32.25,-34.6189602,-58.3700439,2021-03-26
"36","Naturaleza Sabia, Ciudad de Buenos Aires","martes",23,0,-34.6189602,-58.3700439,2021-03-26
"37","Naturaleza Sabia, Ciudad de Buenos Aires","miercoles",6,0,-34.6189602,-58.3700439,2021-03-26
"38","Naturaleza Sabia, Ciudad de Buenos Aires","miercoles",7,0,-34.6189602,-58.3700439,2021-03-26
"39","Naturaleza Sabia, Ciudad de Buenos Aires","miercoles",8,0,-34.6189602,-58.3700439,2021-03-26
"40","Naturaleza Sabia, Ciudad de Buenos Aires","miercoles",9,0,-34.6189602,-58.3700439,2021-03-26
"41","Naturaleza Sabia, Ciudad de Buenos Aires","miercoles",10,0,-34.6189602,-58.3700439,2021-03-26
"42","Naturaleza Sabia, Ciudad de Buenos Aires","miercoles",11,0,-34.6189602,-58.3700439,2021-03-26
"43","Naturaleza Sabia, Ciudad de Buenos Aires","miercoles",12,10.5,-34.6189602,-58.3700439,2021-03-26
"44","Naturaleza Sabia, Ciudad de Buenos Aires","miercoles",13,22.5,-34.6189602,-58.3700439,2021-03-26
"45","Naturaleza Sabia, Ciudad de Buenos Aires","miercoles",14,26.25,-34.6189602,-58.3700439,2021-03-26
"46","Naturaleza Sabia, Ciudad de Buenos Aires","miercoles",15,0,-34.6189602,-58.3700439,2021-03-26
"47","Naturaleza Sabia, Ciudad de Buenos Aires","miercoles",16,0,-34.6189602,-58.3700439,2021-03-26
"48","Naturaleza Sabia, Ciudad de Buenos Aires","miercoles",17,0,-34.6189602,-58.3700439,2021-03-26
"49","Naturaleza Sabia, Ciudad de Buenos Aires","miercoles",18,0,-34.6189602,-58.3700439,2021-03-26
"50","Naturaleza Sabia, Ciudad de Buenos Aires","miercoles",19,0,-34.6189602,-58.3700439,2021-03-26
"51","Naturaleza Sabia, Ciudad de Buenos Aires","miercoles",20,14.25,-34.6189602,-58.3700439,2021-03-26
