"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Negro, Ciudad de Buenos Aires","lunes",6,0,-34.600878,-58.379564,2021-03-29
"2","Negro, Ciudad de Buenos Aires","lunes",7,0,-34.600878,-58.379564,2021-03-29
"3","Negro, Ciudad de Buenos Aires","lunes",8,15.75,-34.600878,-58.379564,2021-03-29
"4","Negro, Ciudad de Buenos Aires","lunes",9,32.25,-34.600878,-58.379564,2021-03-29
"5","Negro, Ciudad de Buenos Aires","lunes",10,40.5,-34.600878,-58.379564,2021-03-29
"6","Negro, Ciudad de Buenos Aires","lunes",11,37.5,-34.600878,-58.379564,2021-03-29
"7","Negro, Ciudad de Buenos Aires","lunes",12,32.25,-34.600878,-58.379564,2021-03-29
"8","Negro, Ciudad de Buenos Aires","lunes",13,35.25,-34.600878,-58.379564,2021-03-29
"9","Negro, Ciudad de Buenos Aires","lunes",14,41.25,-34.600878,-58.379564,2021-03-29
"10","Negro, Ciudad de Buenos Aires","lunes",15,0,-34.600878,-58.379564,2021-03-29
"11","Negro, Ciudad de Buenos Aires","lunes",16,0,-34.600878,-58.379564,2021-03-29
"12","Negro, Ciudad de Buenos Aires","lunes",17,0,-34.600878,-58.379564,2021-03-29
"13","Negro, Ciudad de Buenos Aires","lunes",18,0,-34.600878,-58.379564,2021-03-29
"14","Negro, Ciudad de Buenos Aires","lunes",19,0,-34.600878,-58.379564,2021-03-29
"15","Negro, Ciudad de Buenos Aires","lunes",20,0,-34.600878,-58.379564,2021-03-29
"16","Negro, Ciudad de Buenos Aires","lunes",21,0,-34.600878,-58.379564,2021-03-29
"17","Negro, Ciudad de Buenos Aires","lunes",22,0,-34.600878,-58.379564,2021-03-29
"18","Negro, Ciudad de Buenos Aires","lunes",23,0,-34.600878,-58.379564,2021-03-29
"19","Negro, Ciudad de Buenos Aires","martes",6,0,-34.600878,-58.379564,2021-03-29
"20","Negro, Ciudad de Buenos Aires","martes",7,0,-34.600878,-58.379564,2021-03-29
"21","Negro, Ciudad de Buenos Aires","martes",8,15,-34.600878,-58.379564,2021-03-29
"22","Negro, Ciudad de Buenos Aires","martes",9,34.5,-34.600878,-58.379564,2021-03-29
"23","Negro, Ciudad de Buenos Aires","martes",10,51,-34.600878,-58.379564,2021-03-29
"24","Negro, Ciudad de Buenos Aires","martes",11,51,-34.600878,-58.379564,2021-03-29
"25","Negro, Ciudad de Buenos Aires","martes",12,39.75,-34.600878,-58.379564,2021-03-29
"26","Negro, Ciudad de Buenos Aires","martes",13,30.75,-34.600878,-58.379564,2021-03-29
"27","Negro, Ciudad de Buenos Aires","martes",14,31.5,-34.600878,-58.379564,2021-03-29
"28","Negro, Ciudad de Buenos Aires","martes",15,0,-34.600878,-58.379564,2021-03-29
"29","Negro, Ciudad de Buenos Aires","martes",16,0,-34.600878,-58.379564,2021-03-29
"30","Negro, Ciudad de Buenos Aires","martes",17,0,-34.600878,-58.379564,2021-03-29
"31","Negro, Ciudad de Buenos Aires","martes",18,0,-34.600878,-58.379564,2021-03-29
"32","Negro, Ciudad de Buenos Aires","martes",19,0,-34.600878,-58.379564,2021-03-29
"33","Negro, Ciudad de Buenos Aires","martes",20,0,-34.600878,-58.379564,2021-03-29
"34","Negro, Ciudad de Buenos Aires","martes",21,0,-34.600878,-58.379564,2021-03-29
"35","Negro, Ciudad de Buenos Aires","martes",22,0,-34.600878,-58.379564,2021-03-29
"36","Negro, Ciudad de Buenos Aires","martes",23,0,-34.600878,-58.379564,2021-03-29
"37","Negro, Ciudad de Buenos Aires","miercoles",6,0,-34.600878,-58.379564,2021-03-29
"38","Negro, Ciudad de Buenos Aires","miercoles",7,0,-34.600878,-58.379564,2021-03-29
"39","Negro, Ciudad de Buenos Aires","miercoles",8,18,-34.600878,-58.379564,2021-03-29
"40","Negro, Ciudad de Buenos Aires","miercoles",9,66,-34.600878,-58.379564,2021-03-29
"41","Negro, Ciudad de Buenos Aires","miercoles",10,75,-34.600878,-58.379564,2021-03-29
"42","Negro, Ciudad de Buenos Aires","miercoles",11,39.75,-34.600878,-58.379564,2021-03-29
"43","Negro, Ciudad de Buenos Aires","miercoles",12,34.5,-34.600878,-58.379564,2021-03-29
"44","Negro, Ciudad de Buenos Aires","miercoles",13,40.5,-34.600878,-58.379564,2021-03-29
"45","Negro, Ciudad de Buenos Aires","miercoles",14,44.25,-34.600878,-58.379564,2021-03-29
"46","Negro, Ciudad de Buenos Aires","miercoles",15,0,-34.600878,-58.379564,2021-03-29
"47","Negro, Ciudad de Buenos Aires","miercoles",16,0,-34.600878,-58.379564,2021-03-29
"48","Negro, Ciudad de Buenos Aires","miercoles",17,0,-34.600878,-58.379564,2021-03-29
"49","Negro, Ciudad de Buenos Aires","miercoles",18,0,-34.600878,-58.379564,2021-03-29
"50","Negro, Ciudad de Buenos Aires","miercoles",19,0,-34.600878,-58.379564,2021-03-29
