"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","No tan santos, Ciudad de Buenos Aires","lunes",6,0,-34.5462063,-58.4603047,2021-03-28
"2","No tan santos, Ciudad de Buenos Aires","lunes",7,0,-34.5462063,-58.4603047,2021-03-28
"3","No tan santos, Ciudad de Buenos Aires","lunes",8,0,-34.5462063,-58.4603047,2021-03-28
"4","No tan santos, Ciudad de Buenos Aires","lunes",9,0,-34.5462063,-58.4603047,2021-03-28
"5","No tan santos, Ciudad de Buenos Aires","lunes",10,0.75,-34.5462063,-58.4603047,2021-03-28
"6","No tan santos, Ciudad de Buenos Aires","lunes",11,0,-34.5462063,-58.4603047,2021-03-28
"7","No tan santos, Ciudad de Buenos Aires","lunes",12,3.75,-34.5462063,-58.4603047,2021-03-28
"8","No tan santos, Ciudad de Buenos Aires","lunes",13,6,-34.5462063,-58.4603047,2021-03-28
"9","No tan santos, Ciudad de Buenos Aires","lunes",14,6,-34.5462063,-58.4603047,2021-03-28
"10","No tan santos, Ciudad de Buenos Aires","lunes",15,4.5,-34.5462063,-58.4603047,2021-03-28
"11","No tan santos, Ciudad de Buenos Aires","lunes",16,1.5,-34.5462063,-58.4603047,2021-03-28
"12","No tan santos, Ciudad de Buenos Aires","lunes",17,0.75,-34.5462063,-58.4603047,2021-03-28
"13","No tan santos, Ciudad de Buenos Aires","lunes",18,0.75,-34.5462063,-58.4603047,2021-03-28
"14","No tan santos, Ciudad de Buenos Aires","lunes",19,3,-34.5462063,-58.4603047,2021-03-28
"15","No tan santos, Ciudad de Buenos Aires","lunes",20,15,-34.5462063,-58.4603047,2021-03-28
"16","No tan santos, Ciudad de Buenos Aires","lunes",21,30,-34.5462063,-58.4603047,2021-03-28
"17","No tan santos, Ciudad de Buenos Aires","lunes",22,35.25,-34.5462063,-58.4603047,2021-03-28
"18","No tan santos, Ciudad de Buenos Aires","lunes",23,25.5,-34.5462063,-58.4603047,2021-03-28
"19","No tan santos, Ciudad de Buenos Aires","martes",6,0,-34.5462063,-58.4603047,2021-03-28
"20","No tan santos, Ciudad de Buenos Aires","martes",7,0,-34.5462063,-58.4603047,2021-03-28
"21","No tan santos, Ciudad de Buenos Aires","martes",8,0,-34.5462063,-58.4603047,2021-03-28
"22","No tan santos, Ciudad de Buenos Aires","martes",9,0,-34.5462063,-58.4603047,2021-03-28
"23","No tan santos, Ciudad de Buenos Aires","martes",10,0.75,-34.5462063,-58.4603047,2021-03-28
"24","No tan santos, Ciudad de Buenos Aires","martes",11,4.5,-34.5462063,-58.4603047,2021-03-28
"25","No tan santos, Ciudad de Buenos Aires","martes",12,12.75,-34.5462063,-58.4603047,2021-03-28
"26","No tan santos, Ciudad de Buenos Aires","martes",13,19.5,-34.5462063,-58.4603047,2021-03-28
"27","No tan santos, Ciudad de Buenos Aires","martes",14,21,-34.5462063,-58.4603047,2021-03-28
"28","No tan santos, Ciudad de Buenos Aires","martes",15,17.25,-34.5462063,-58.4603047,2021-03-28
"29","No tan santos, Ciudad de Buenos Aires","martes",16,9,-34.5462063,-58.4603047,2021-03-28
"30","No tan santos, Ciudad de Buenos Aires","martes",17,1.5,-34.5462063,-58.4603047,2021-03-28
"31","No tan santos, Ciudad de Buenos Aires","martes",18,0.75,-34.5462063,-58.4603047,2021-03-28
"32","No tan santos, Ciudad de Buenos Aires","martes",19,3.75,-34.5462063,-58.4603047,2021-03-28
"33","No tan santos, Ciudad de Buenos Aires","martes",20,17.25,-34.5462063,-58.4603047,2021-03-28
"34","No tan santos, Ciudad de Buenos Aires","martes",21,33,-34.5462063,-58.4603047,2021-03-28
"35","No tan santos, Ciudad de Buenos Aires","martes",22,37.5,-34.5462063,-58.4603047,2021-03-28
"36","No tan santos, Ciudad de Buenos Aires","martes",23,27.75,-34.5462063,-58.4603047,2021-03-28
"37","No tan santos, Ciudad de Buenos Aires","miercoles",6,0,-34.5462063,-58.4603047,2021-03-28
"38","No tan santos, Ciudad de Buenos Aires","miercoles",7,0,-34.5462063,-58.4603047,2021-03-28
"39","No tan santos, Ciudad de Buenos Aires","miercoles",8,0,-34.5462063,-58.4603047,2021-03-28
"40","No tan santos, Ciudad de Buenos Aires","miercoles",9,0,-34.5462063,-58.4603047,2021-03-28
"41","No tan santos, Ciudad de Buenos Aires","miercoles",10,2.25,-34.5462063,-58.4603047,2021-03-28
"42","No tan santos, Ciudad de Buenos Aires","miercoles",11,4.5,-34.5462063,-58.4603047,2021-03-28
"43","No tan santos, Ciudad de Buenos Aires","miercoles",12,6,-34.5462063,-58.4603047,2021-03-28
"44","No tan santos, Ciudad de Buenos Aires","miercoles",13,6.75,-34.5462063,-58.4603047,2021-03-28
"45","No tan santos, Ciudad de Buenos Aires","miercoles",14,6,-34.5462063,-58.4603047,2021-03-28
"46","No tan santos, Ciudad de Buenos Aires","miercoles",15,4.5,-34.5462063,-58.4603047,2021-03-28
"47","No tan santos, Ciudad de Buenos Aires","miercoles",16,2.25,-34.5462063,-58.4603047,2021-03-28
"48","No tan santos, Ciudad de Buenos Aires","miercoles",17,0,-34.5462063,-58.4603047,2021-03-28
"49","No tan santos, Ciudad de Buenos Aires","miercoles",18,0.75,-34.5462063,-58.4603047,2021-03-28
"50","No tan santos, Ciudad de Buenos Aires","miercoles",19,4.5,-34.5462063,-58.4603047,2021-03-28
"51","No tan santos, Ciudad de Buenos Aires","miercoles",20,19.5,-34.5462063,-58.4603047,2021-03-28
"52","No tan santos, Ciudad de Buenos Aires","miercoles",21,41.25,-34.5462063,-58.4603047,2021-03-28
"53","No tan santos, Ciudad de Buenos Aires","miercoles",22,49.5,-34.5462063,-58.4603047,2021-03-28
"54","No tan santos, Ciudad de Buenos Aires","miercoles",23,35.25,-34.5462063,-58.4603047,2021-03-28
"55","No tan santos, Ciudad de Buenos Aires","jueves",6,0,-34.5462063,-58.4603047,2021-03-28
"56","No tan santos, Ciudad de Buenos Aires","jueves",7,0,-34.5462063,-58.4603047,2021-03-28
"57","No tan santos, Ciudad de Buenos Aires","jueves",8,0,-34.5462063,-58.4603047,2021-03-28
"58","No tan santos, Ciudad de Buenos Aires","jueves",9,0,-34.5462063,-58.4603047,2021-03-28
"59","No tan santos, Ciudad de Buenos Aires","jueves",10,0.75,-34.5462063,-58.4603047,2021-03-28
"60","No tan santos, Ciudad de Buenos Aires","jueves",11,3.75,-34.5462063,-58.4603047,2021-03-28
"61","No tan santos, Ciudad de Buenos Aires","jueves",12,10.5,-34.5462063,-58.4603047,2021-03-28
"62","No tan santos, Ciudad de Buenos Aires","jueves",13,15.75,-34.5462063,-58.4603047,2021-03-28
"63","No tan santos, Ciudad de Buenos Aires","jueves",14,16.5,-34.5462063,-58.4603047,2021-03-28
"64","No tan santos, Ciudad de Buenos Aires","jueves",15,12,-34.5462063,-58.4603047,2021-03-28
