"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Nobiru Izakaya &amp; Tapas, Ciudad de Buenos Aires","martes",6,0,-34.556304,-58.4497035,2021-03-26
"2","Nobiru Izakaya &amp; Tapas, Ciudad de Buenos Aires","martes",7,0,-34.556304,-58.4497035,2021-03-26
"3","Nobiru Izakaya &amp; Tapas, Ciudad de Buenos Aires","martes",8,0,-34.556304,-58.4497035,2021-03-26
"4","Nobiru Izakaya &amp; Tapas, Ciudad de Buenos Aires","martes",9,0,-34.556304,-58.4497035,2021-03-26
"5","Nobiru Izakaya &amp; Tapas, Ciudad de Buenos Aires","martes",10,0,-34.556304,-58.4497035,2021-03-26
"6","Nobiru Izakaya &amp; Tapas, Ciudad de Buenos Aires","martes",11,0,-34.556304,-58.4497035,2021-03-26
"7","Nobiru Izakaya &amp; Tapas, Ciudad de Buenos Aires","martes",12,20.25,-34.556304,-58.4497035,2021-03-26
"8","Nobiru Izakaya &amp; Tapas, Ciudad de Buenos Aires","martes",13,24,-34.556304,-58.4497035,2021-03-26
"9","Nobiru Izakaya &amp; Tapas, Ciudad de Buenos Aires","martes",14,21.75,-34.556304,-58.4497035,2021-03-26
"10","Nobiru Izakaya &amp; Tapas, Ciudad de Buenos Aires","martes",15,22.5,-34.556304,-58.4497035,2021-03-26
"11","Nobiru Izakaya &amp; Tapas, Ciudad de Buenos Aires","martes",16,23.25,-34.556304,-58.4497035,2021-03-26
"12","Nobiru Izakaya &amp; Tapas, Ciudad de Buenos Aires","martes",17,21,-34.556304,-58.4497035,2021-03-26
"13","Nobiru Izakaya &amp; Tapas, Ciudad de Buenos Aires","martes",18,18.75,-34.556304,-58.4497035,2021-03-26
"14","Nobiru Izakaya &amp; Tapas, Ciudad de Buenos Aires","martes",19,18,-34.556304,-58.4497035,2021-03-26
"15","Nobiru Izakaya &amp; Tapas, Ciudad de Buenos Aires","martes",20,17.25,-34.556304,-58.4497035,2021-03-26
"16","Nobiru Izakaya &amp; Tapas, Ciudad de Buenos Aires","martes",21,15,-34.556304,-58.4497035,2021-03-26
"17","Nobiru Izakaya &amp; Tapas, Ciudad de Buenos Aires","martes",22,10.5,-34.556304,-58.4497035,2021-03-26
"18","Nobiru Izakaya &amp; Tapas, Ciudad de Buenos Aires","martes",23,6,-34.556304,-58.4497035,2021-03-26
"19","Nobiru Izakaya &amp; Tapas, Ciudad de Buenos Aires","miercoles",6,0,-34.556304,-58.4497035,2021-03-26
"20","Nobiru Izakaya &amp; Tapas, Ciudad de Buenos Aires","miercoles",7,0,-34.556304,-58.4497035,2021-03-26
"21","Nobiru Izakaya &amp; Tapas, Ciudad de Buenos Aires","miercoles",8,0,-34.556304,-58.4497035,2021-03-26
"22","Nobiru Izakaya &amp; Tapas, Ciudad de Buenos Aires","miercoles",9,0,-34.556304,-58.4497035,2021-03-26
"23","Nobiru Izakaya &amp; Tapas, Ciudad de Buenos Aires","miercoles",10,0,-34.556304,-58.4497035,2021-03-26
"24","Nobiru Izakaya &amp; Tapas, Ciudad de Buenos Aires","miercoles",11,0,-34.556304,-58.4497035,2021-03-26
"25","Nobiru Izakaya &amp; Tapas, Ciudad de Buenos Aires","miercoles",12,11.25,-34.556304,-58.4497035,2021-03-26
"26","Nobiru Izakaya &amp; Tapas, Ciudad de Buenos Aires","miercoles",13,24,-34.556304,-58.4497035,2021-03-26
"27","Nobiru Izakaya &amp; Tapas, Ciudad de Buenos Aires","miercoles",14,32.25,-34.556304,-58.4497035,2021-03-26
"28","Nobiru Izakaya &amp; Tapas, Ciudad de Buenos Aires","miercoles",15,27,-34.556304,-58.4497035,2021-03-26
"29","Nobiru Izakaya &amp; Tapas, Ciudad de Buenos Aires","miercoles",16,15.75,-34.556304,-58.4497035,2021-03-26
"30","Nobiru Izakaya &amp; Tapas, Ciudad de Buenos Aires","miercoles",17,11.25,-34.556304,-58.4497035,2021-03-26
"31","Nobiru Izakaya &amp; Tapas, Ciudad de Buenos Aires","miercoles",18,13.5,-34.556304,-58.4497035,2021-03-26
