"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","O'Toxo, Ciudad de Buenos Aires","lunes",6,0,-34.6137717,-58.3923672,2021-03-26
"2","O'Toxo, Ciudad de Buenos Aires","lunes",7,0,-34.6137717,-58.3923672,2021-03-26
"3","O'Toxo, Ciudad de Buenos Aires","lunes",8,0,-34.6137717,-58.3923672,2021-03-26
"4","O'Toxo, Ciudad de Buenos Aires","lunes",9,0,-34.6137717,-58.3923672,2021-03-26
"5","O'Toxo, Ciudad de Buenos Aires","lunes",10,0,-34.6137717,-58.3923672,2021-03-26
"6","O'Toxo, Ciudad de Buenos Aires","lunes",11,0,-34.6137717,-58.3923672,2021-03-26
"7","O'Toxo, Ciudad de Buenos Aires","lunes",12,7.5,-34.6137717,-58.3923672,2021-03-26
"8","O'Toxo, Ciudad de Buenos Aires","lunes",13,15.75,-34.6137717,-58.3923672,2021-03-26
"9","O'Toxo, Ciudad de Buenos Aires","lunes",14,17.25,-34.6137717,-58.3923672,2021-03-26
"10","O'Toxo, Ciudad de Buenos Aires","lunes",15,9.75,-34.6137717,-58.3923672,2021-03-26
"11","O'Toxo, Ciudad de Buenos Aires","lunes",16,0,-34.6137717,-58.3923672,2021-03-26
"12","O'Toxo, Ciudad de Buenos Aires","lunes",17,0,-34.6137717,-58.3923672,2021-03-26
"13","O'Toxo, Ciudad de Buenos Aires","lunes",18,0,-34.6137717,-58.3923672,2021-03-26
"14","O'Toxo, Ciudad de Buenos Aires","lunes",19,0,-34.6137717,-58.3923672,2021-03-26
"15","O'Toxo, Ciudad de Buenos Aires","lunes",20,0,-34.6137717,-58.3923672,2021-03-26
"16","O'Toxo, Ciudad de Buenos Aires","lunes",21,0,-34.6137717,-58.3923672,2021-03-26
"17","O'Toxo, Ciudad de Buenos Aires","lunes",22,0,-34.6137717,-58.3923672,2021-03-26
"18","O'Toxo, Ciudad de Buenos Aires","lunes",23,0,-34.6137717,-58.3923672,2021-03-26
"19","O'Toxo, Ciudad de Buenos Aires","martes",6,0,-34.6137717,-58.3923672,2021-03-26
"20","O'Toxo, Ciudad de Buenos Aires","martes",7,0,-34.6137717,-58.3923672,2021-03-26
"21","O'Toxo, Ciudad de Buenos Aires","martes",8,0,-34.6137717,-58.3923672,2021-03-26
"22","O'Toxo, Ciudad de Buenos Aires","martes",9,0,-34.6137717,-58.3923672,2021-03-26
