"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Olegario, Ciudad de Buenos Aires","lunes",6,0,-34.5680077,-58.46315,2021-03-28
"2","Olegario, Ciudad de Buenos Aires","lunes",7,0,-34.5680077,-58.46315,2021-03-28
"3","Olegario, Ciudad de Buenos Aires","lunes",8,0,-34.5680077,-58.46315,2021-03-28
"4","Olegario, Ciudad de Buenos Aires","lunes",9,0.75,-34.5680077,-58.46315,2021-03-28
"5","Olegario, Ciudad de Buenos Aires","lunes",10,0.75,-34.5680077,-58.46315,2021-03-28
"6","Olegario, Ciudad de Buenos Aires","lunes",11,1.5,-34.5680077,-58.46315,2021-03-28
"7","Olegario, Ciudad de Buenos Aires","lunes",12,6,-34.5680077,-58.46315,2021-03-28
"8","Olegario, Ciudad de Buenos Aires","lunes",13,10.5,-34.5680077,-58.46315,2021-03-28
"9","Olegario, Ciudad de Buenos Aires","lunes",14,12,-34.5680077,-58.46315,2021-03-28
"10","Olegario, Ciudad de Buenos Aires","lunes",15,9.75,-34.5680077,-58.46315,2021-03-28
"11","Olegario, Ciudad de Buenos Aires","lunes",16,5.25,-34.5680077,-58.46315,2021-03-28
"12","Olegario, Ciudad de Buenos Aires","lunes",17,0.75,-34.5680077,-58.46315,2021-03-28
"13","Olegario, Ciudad de Buenos Aires","lunes",18,0,-34.5680077,-58.46315,2021-03-28
"14","Olegario, Ciudad de Buenos Aires","lunes",19,4.5,-34.5680077,-58.46315,2021-03-28
"15","Olegario, Ciudad de Buenos Aires","lunes",20,15.75,-34.5680077,-58.46315,2021-03-28
"16","Olegario, Ciudad de Buenos Aires","lunes",21,30.75,-34.5680077,-58.46315,2021-03-28
"17","Olegario, Ciudad de Buenos Aires","lunes",22,37.5,-34.5680077,-58.46315,2021-03-28
"18","Olegario, Ciudad de Buenos Aires","lunes",23,30.75,-34.5680077,-58.46315,2021-03-28
"19","Olegario, Ciudad de Buenos Aires","martes",6,0,-34.5680077,-58.46315,2021-03-28
"20","Olegario, Ciudad de Buenos Aires","martes",7,0,-34.5680077,-58.46315,2021-03-28
"21","Olegario, Ciudad de Buenos Aires","martes",8,0,-34.5680077,-58.46315,2021-03-28
"22","Olegario, Ciudad de Buenos Aires","martes",9,0.75,-34.5680077,-58.46315,2021-03-28
"23","Olegario, Ciudad de Buenos Aires","martes",10,0.75,-34.5680077,-58.46315,2021-03-28
"24","Olegario, Ciudad de Buenos Aires","martes",11,1.5,-34.5680077,-58.46315,2021-03-28
"25","Olegario, Ciudad de Buenos Aires","martes",12,6.75,-34.5680077,-58.46315,2021-03-28
"26","Olegario, Ciudad de Buenos Aires","martes",13,12.75,-34.5680077,-58.46315,2021-03-28
"27","Olegario, Ciudad de Buenos Aires","martes",14,14.25,-34.5680077,-58.46315,2021-03-28
"28","Olegario, Ciudad de Buenos Aires","martes",15,9,-34.5680077,-58.46315,2021-03-28
"29","Olegario, Ciudad de Buenos Aires","martes",16,3,-34.5680077,-58.46315,2021-03-28
"30","Olegario, Ciudad de Buenos Aires","martes",17,0,-34.5680077,-58.46315,2021-03-28
"31","Olegario, Ciudad de Buenos Aires","martes",18,3,-34.5680077,-58.46315,2021-03-28
"32","Olegario, Ciudad de Buenos Aires","martes",19,11.25,-34.5680077,-58.46315,2021-03-28
"33","Olegario, Ciudad de Buenos Aires","martes",20,24.75,-34.5680077,-58.46315,2021-03-28
"34","Olegario, Ciudad de Buenos Aires","martes",21,37.5,-34.5680077,-58.46315,2021-03-28
"35","Olegario, Ciudad de Buenos Aires","martes",22,41.25,-34.5680077,-58.46315,2021-03-28
"36","Olegario, Ciudad de Buenos Aires","martes",23,33,-34.5680077,-58.46315,2021-03-28
"37","Olegario, Ciudad de Buenos Aires","miercoles",6,0,-34.5680077,-58.46315,2021-03-28
"38","Olegario, Ciudad de Buenos Aires","miercoles",7,0,-34.5680077,-58.46315,2021-03-28
