"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","PANADERIA VERICO, Ciudad de Buenos Aires","lunes",6,0,-34.5832782,-58.4263564,2021-03-30
"2","PANADERIA VERICO, Ciudad de Buenos Aires","lunes",7,15.75,-34.5832782,-58.4263564,2021-03-30
"3","PANADERIA VERICO, Ciudad de Buenos Aires","lunes",8,21,-34.5832782,-58.4263564,2021-03-30
"4","PANADERIA VERICO, Ciudad de Buenos Aires","lunes",9,10.5,-34.5832782,-58.4263564,2021-03-30
"5","PANADERIA VERICO, Ciudad de Buenos Aires","lunes",10,7.5,-34.5832782,-58.4263564,2021-03-30
"6","PANADERIA VERICO, Ciudad de Buenos Aires","lunes",11,12.75,-34.5832782,-58.4263564,2021-03-30
"7","PANADERIA VERICO, Ciudad de Buenos Aires","lunes",12,24,-34.5832782,-58.4263564,2021-03-30
"8","PANADERIA VERICO, Ciudad de Buenos Aires","lunes",13,31.5,-34.5832782,-58.4263564,2021-03-30
"9","PANADERIA VERICO, Ciudad de Buenos Aires","lunes",14,31.5,-34.5832782,-58.4263564,2021-03-30
"10","PANADERIA VERICO, Ciudad de Buenos Aires","lunes",15,29.25,-34.5832782,-58.4263564,2021-03-30
"11","PANADERIA VERICO, Ciudad de Buenos Aires","lunes",16,26.25,-34.5832782,-58.4263564,2021-03-30
"12","PANADERIA VERICO, Ciudad de Buenos Aires","lunes",17,26.25,-34.5832782,-58.4263564,2021-03-30
"13","PANADERIA VERICO, Ciudad de Buenos Aires","lunes",18,26.25,-34.5832782,-58.4263564,2021-03-30
"14","PANADERIA VERICO, Ciudad de Buenos Aires","lunes",19,29.25,-34.5832782,-58.4263564,2021-03-30
"15","PANADERIA VERICO, Ciudad de Buenos Aires","lunes",20,26.25,-34.5832782,-58.4263564,2021-03-30
"16","PANADERIA VERICO, Ciudad de Buenos Aires","lunes",21,21,-34.5832782,-58.4263564,2021-03-30
"17","PANADERIA VERICO, Ciudad de Buenos Aires","lunes",22,0,-34.5832782,-58.4263564,2021-03-30
"18","PANADERIA VERICO, Ciudad de Buenos Aires","lunes",23,0,-34.5832782,-58.4263564,2021-03-30
