"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","POLLOS BROASTER LINIERS, Ciudad de Buenos Aires","lunes",6,0,-34.6416013,-58.5284029,2021-03-30
"2","POLLOS BROASTER LINIERS, Ciudad de Buenos Aires","lunes",7,0,-34.6416013,-58.5284029,2021-03-30
"3","POLLOS BROASTER LINIERS, Ciudad de Buenos Aires","lunes",8,0,-34.6416013,-58.5284029,2021-03-30
"4","POLLOS BROASTER LINIERS, Ciudad de Buenos Aires","lunes",9,0,-34.6416013,-58.5284029,2021-03-30
"5","POLLOS BROASTER LINIERS, Ciudad de Buenos Aires","lunes",10,16.5,-34.6416013,-58.5284029,2021-03-30
"6","POLLOS BROASTER LINIERS, Ciudad de Buenos Aires","lunes",11,25.5,-34.6416013,-58.5284029,2021-03-30
"7","POLLOS BROASTER LINIERS, Ciudad de Buenos Aires","lunes",12,34.5,-34.6416013,-58.5284029,2021-03-30
"8","POLLOS BROASTER LINIERS, Ciudad de Buenos Aires","lunes",13,41.25,-34.6416013,-58.5284029,2021-03-30
"9","POLLOS BROASTER LINIERS, Ciudad de Buenos Aires","lunes",14,42.75,-34.6416013,-58.5284029,2021-03-30
"10","POLLOS BROASTER LINIERS, Ciudad de Buenos Aires","lunes",15,39,-34.6416013,-58.5284029,2021-03-30
"11","POLLOS BROASTER LINIERS, Ciudad de Buenos Aires","lunes",16,33,-34.6416013,-58.5284029,2021-03-30
"12","POLLOS BROASTER LINIERS, Ciudad de Buenos Aires","lunes",17,28.5,-34.6416013,-58.5284029,2021-03-30
"13","POLLOS BROASTER LINIERS, Ciudad de Buenos Aires","lunes",18,28.5,-34.6416013,-58.5284029,2021-03-30
"14","POLLOS BROASTER LINIERS, Ciudad de Buenos Aires","lunes",19,27,-34.6416013,-58.5284029,2021-03-30
"15","POLLOS BROASTER LINIERS, Ciudad de Buenos Aires","lunes",20,18.75,-34.6416013,-58.5284029,2021-03-30
"16","POLLOS BROASTER LINIERS, Ciudad de Buenos Aires","lunes",21,9.75,-34.6416013,-58.5284029,2021-03-30
"17","POLLOS BROASTER LINIERS, Ciudad de Buenos Aires","lunes",22,0,-34.6416013,-58.5284029,2021-03-30
"18","POLLOS BROASTER LINIERS, Ciudad de Buenos Aires","lunes",23,0,-34.6416013,-58.5284029,2021-03-30
"19","POLLOS BROASTER LINIERS, Ciudad de Buenos Aires","martes",6,0,-34.6416013,-58.5284029,2021-03-30
"20","POLLOS BROASTER LINIERS, Ciudad de Buenos Aires","martes",7,0,-34.6416013,-58.5284029,2021-03-30
"21","POLLOS BROASTER LINIERS, Ciudad de Buenos Aires","martes",8,0,-34.6416013,-58.5284029,2021-03-30
"22","POLLOS BROASTER LINIERS, Ciudad de Buenos Aires","martes",9,0,-34.6416013,-58.5284029,2021-03-30
