"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Pa' Chichiriviche, Ciudad de Buenos Aires","lunes",6,0,-34.6012144,-58.434316,2021-03-29
"2","Pa' Chichiriviche, Ciudad de Buenos Aires","lunes",7,0,-34.6012144,-58.434316,2021-03-29
"3","Pa' Chichiriviche, Ciudad de Buenos Aires","lunes",8,0,-34.6012144,-58.434316,2021-03-29
"4","Pa' Chichiriviche, Ciudad de Buenos Aires","lunes",9,0,-34.6012144,-58.434316,2021-03-29
"5","Pa' Chichiriviche, Ciudad de Buenos Aires","lunes",10,0,-34.6012144,-58.434316,2021-03-29
"6","Pa' Chichiriviche, Ciudad de Buenos Aires","lunes",11,0,-34.6012144,-58.434316,2021-03-29
"7","Pa' Chichiriviche, Ciudad de Buenos Aires","lunes",12,14.25,-34.6012144,-58.434316,2021-03-29
"8","Pa' Chichiriviche, Ciudad de Buenos Aires","lunes",13,16.5,-34.6012144,-58.434316,2021-03-29
"9","Pa' Chichiriviche, Ciudad de Buenos Aires","lunes",14,17.25,-34.6012144,-58.434316,2021-03-29
"10","Pa' Chichiriviche, Ciudad de Buenos Aires","lunes",15,17.25,-34.6012144,-58.434316,2021-03-29
"11","Pa' Chichiriviche, Ciudad de Buenos Aires","lunes",16,16.5,-34.6012144,-58.434316,2021-03-29
"12","Pa' Chichiriviche, Ciudad de Buenos Aires","lunes",17,18,-34.6012144,-58.434316,2021-03-29
"13","Pa' Chichiriviche, Ciudad de Buenos Aires","lunes",18,21.75,-34.6012144,-58.434316,2021-03-29
"14","Pa' Chichiriviche, Ciudad de Buenos Aires","lunes",19,30,-34.6012144,-58.434316,2021-03-29
"15","Pa' Chichiriviche, Ciudad de Buenos Aires","lunes",20,40.5,-34.6012144,-58.434316,2021-03-29
"16","Pa' Chichiriviche, Ciudad de Buenos Aires","lunes",21,48.75,-34.6012144,-58.434316,2021-03-29
"17","Pa' Chichiriviche, Ciudad de Buenos Aires","lunes",22,50.25,-34.6012144,-58.434316,2021-03-29
"18","Pa' Chichiriviche, Ciudad de Buenos Aires","lunes",23,44.25,-34.6012144,-58.434316,2021-03-29
"19","Pa' Chichiriviche, Ciudad de Buenos Aires","martes",0,33.75,-34.6012144,-58.434316,2021-03-29
"20","Pa' Chichiriviche, Ciudad de Buenos Aires","martes",1,22.5,-34.6012144,-58.434316,2021-03-29
"21","Pa' Chichiriviche, Ciudad de Buenos Aires","martes",2,13.5,-34.6012144,-58.434316,2021-03-29
"22","Pa' Chichiriviche, Ciudad de Buenos Aires","martes",6,0,-34.6012144,-58.434316,2021-03-29
"23","Pa' Chichiriviche, Ciudad de Buenos Aires","martes",7,0,-34.6012144,-58.434316,2021-03-29
"24","Pa' Chichiriviche, Ciudad de Buenos Aires","martes",8,0,-34.6012144,-58.434316,2021-03-29
"25","Pa' Chichiriviche, Ciudad de Buenos Aires","martes",9,0,-34.6012144,-58.434316,2021-03-29
"26","Pa' Chichiriviche, Ciudad de Buenos Aires","martes",10,0,-34.6012144,-58.434316,2021-03-29
"27","Pa' Chichiriviche, Ciudad de Buenos Aires","martes",11,0,-34.6012144,-58.434316,2021-03-29
"28","Pa' Chichiriviche, Ciudad de Buenos Aires","martes",12,11.25,-34.6012144,-58.434316,2021-03-29
"29","Pa' Chichiriviche, Ciudad de Buenos Aires","martes",13,15,-34.6012144,-58.434316,2021-03-29
"30","Pa' Chichiriviche, Ciudad de Buenos Aires","martes",14,16.5,-34.6012144,-58.434316,2021-03-29
"31","Pa' Chichiriviche, Ciudad de Buenos Aires","martes",15,15.75,-34.6012144,-58.434316,2021-03-29
"32","Pa' Chichiriviche, Ciudad de Buenos Aires","martes",16,13.5,-34.6012144,-58.434316,2021-03-29
"33","Pa' Chichiriviche, Ciudad de Buenos Aires","martes",17,11.25,-34.6012144,-58.434316,2021-03-29
"34","Pa' Chichiriviche, Ciudad de Buenos Aires","martes",18,11.25,-34.6012144,-58.434316,2021-03-29
"35","Pa' Chichiriviche, Ciudad de Buenos Aires","martes",19,15,-34.6012144,-58.434316,2021-03-29
"36","Pa' Chichiriviche, Ciudad de Buenos Aires","martes",20,20.25,-34.6012144,-58.434316,2021-03-29
"37","Pa' Chichiriviche, Ciudad de Buenos Aires","martes",21,25.5,-34.6012144,-58.434316,2021-03-29
"38","Pa' Chichiriviche, Ciudad de Buenos Aires","martes",22,29.25,-34.6012144,-58.434316,2021-03-29
