"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Palitos, Ciudad de Buenos Aires","martes",6,0,-34.5566006,-58.4511525,2021-03-27
"2","Palitos, Ciudad de Buenos Aires","martes",7,0,-34.5566006,-58.4511525,2021-03-27
"3","Palitos, Ciudad de Buenos Aires","martes",8,0,-34.5566006,-58.4511525,2021-03-27
"4","Palitos, Ciudad de Buenos Aires","martes",9,0,-34.5566006,-58.4511525,2021-03-27
"5","Palitos, Ciudad de Buenos Aires","martes",10,0,-34.5566006,-58.4511525,2021-03-27
"6","Palitos, Ciudad de Buenos Aires","martes",11,0,-34.5566006,-58.4511525,2021-03-27
"7","Palitos, Ciudad de Buenos Aires","martes",12,13.5,-34.5566006,-58.4511525,2021-03-27
"8","Palitos, Ciudad de Buenos Aires","martes",13,30.75,-34.5566006,-58.4511525,2021-03-27
"9","Palitos, Ciudad de Buenos Aires","martes",14,42,-34.5566006,-58.4511525,2021-03-27
"10","Palitos, Ciudad de Buenos Aires","martes",15,37.5,-34.5566006,-58.4511525,2021-03-27
"11","Palitos, Ciudad de Buenos Aires","martes",16,0,-34.5566006,-58.4511525,2021-03-27
"12","Palitos, Ciudad de Buenos Aires","martes",17,0,-34.5566006,-58.4511525,2021-03-27
"13","Palitos, Ciudad de Buenos Aires","martes",18,0,-34.5566006,-58.4511525,2021-03-27
"14","Palitos, Ciudad de Buenos Aires","martes",19,3.75,-34.5566006,-58.4511525,2021-03-27
"15","Palitos, Ciudad de Buenos Aires","martes",20,6.75,-34.5566006,-58.4511525,2021-03-27
"16","Palitos, Ciudad de Buenos Aires","martes",21,25.5,-34.5566006,-58.4511525,2021-03-27
"17","Palitos, Ciudad de Buenos Aires","martes",22,0,-34.5566006,-58.4511525,2021-03-27
"18","Palitos, Ciudad de Buenos Aires","martes",23,0,-34.5566006,-58.4511525,2021-03-27
"19","Palitos, Ciudad de Buenos Aires","miercoles",6,0,-34.5566006,-58.4511525,2021-03-27
"20","Palitos, Ciudad de Buenos Aires","miercoles",7,0,-34.5566006,-58.4511525,2021-03-27
"21","Palitos, Ciudad de Buenos Aires","miercoles",8,0,-34.5566006,-58.4511525,2021-03-27
"22","Palitos, Ciudad de Buenos Aires","miercoles",9,0,-34.5566006,-58.4511525,2021-03-27
"23","Palitos, Ciudad de Buenos Aires","miercoles",10,0,-34.5566006,-58.4511525,2021-03-27
"24","Palitos, Ciudad de Buenos Aires","miercoles",11,0,-34.5566006,-58.4511525,2021-03-27
"25","Palitos, Ciudad de Buenos Aires","miercoles",12,18.75,-34.5566006,-58.4511525,2021-03-27
"26","Palitos, Ciudad de Buenos Aires","miercoles",13,36,-34.5566006,-58.4511525,2021-03-27
"27","Palitos, Ciudad de Buenos Aires","miercoles",14,36.75,-34.5566006,-58.4511525,2021-03-27
"28","Palitos, Ciudad de Buenos Aires","miercoles",15,20.25,-34.5566006,-58.4511525,2021-03-27
"29","Palitos, Ciudad de Buenos Aires","miercoles",16,0,-34.5566006,-58.4511525,2021-03-27
"30","Palitos, Ciudad de Buenos Aires","miercoles",17,0,-34.5566006,-58.4511525,2021-03-27
"31","Palitos, Ciudad de Buenos Aires","miercoles",18,0,-34.5566006,-58.4511525,2021-03-27
"32","Palitos, Ciudad de Buenos Aires","miercoles",19,5.25,-34.5566006,-58.4511525,2021-03-27
"33","Palitos, Ciudad de Buenos Aires","miercoles",20,24,-34.5566006,-58.4511525,2021-03-27
"34","Palitos, Ciudad de Buenos Aires","miercoles",21,37.5,-34.5566006,-58.4511525,2021-03-27
"35","Palitos, Ciudad de Buenos Aires","miercoles",22,0,-34.5566006,-58.4511525,2021-03-27
"36","Palitos, Ciudad de Buenos Aires","miercoles",23,0,-34.5566006,-58.4511525,2021-03-27
"37","Palitos, Ciudad de Buenos Aires","jueves",6,0,-34.5566006,-58.4511525,2021-03-27
"38","Palitos, Ciudad de Buenos Aires","jueves",7,0,-34.5566006,-58.4511525,2021-03-27
"39","Palitos, Ciudad de Buenos Aires","jueves",8,0,-34.5566006,-58.4511525,2021-03-27
"40","Palitos, Ciudad de Buenos Aires","jueves",9,0,-34.5566006,-58.4511525,2021-03-27
"41","Palitos, Ciudad de Buenos Aires","jueves",10,0,-34.5566006,-58.4511525,2021-03-27
"42","Palitos, Ciudad de Buenos Aires","jueves",11,0,-34.5566006,-58.4511525,2021-03-27
"43","Palitos, Ciudad de Buenos Aires","jueves",12,15.75,-34.5566006,-58.4511525,2021-03-27
"44","Palitos, Ciudad de Buenos Aires","jueves",13,30,-34.5566006,-58.4511525,2021-03-27
"45","Palitos, Ciudad de Buenos Aires","jueves",14,32.25,-34.5566006,-58.4511525,2021-03-27
"46","Palitos, Ciudad de Buenos Aires","jueves",15,19.5,-34.5566006,-58.4511525,2021-03-27
"47","Palitos, Ciudad de Buenos Aires","jueves",16,0,-34.5566006,-58.4511525,2021-03-27
"48","Palitos, Ciudad de Buenos Aires","jueves",17,0,-34.5566006,-58.4511525,2021-03-27
"49","Palitos, Ciudad de Buenos Aires","jueves",18,0,-34.5566006,-58.4511525,2021-03-27
"50","Palitos, Ciudad de Buenos Aires","jueves",19,2.25,-34.5566006,-58.4511525,2021-03-27
"51","Palitos, Ciudad de Buenos Aires","jueves",20,12,-34.5566006,-58.4511525,2021-03-27
"52","Palitos, Ciudad de Buenos Aires","jueves",21,21,-34.5566006,-58.4511525,2021-03-27
"53","Palitos, Ciudad de Buenos Aires","jueves",22,0,-34.5566006,-58.4511525,2021-03-27
"54","Palitos, Ciudad de Buenos Aires","jueves",23,0,-34.5566006,-58.4511525,2021-03-27
"55","Palitos, Ciudad de Buenos Aires","viernes",6,0,-34.5566006,-58.4511525,2021-03-27
"56","Palitos, Ciudad de Buenos Aires","viernes",7,0,-34.5566006,-58.4511525,2021-03-27
"57","Palitos, Ciudad de Buenos Aires","viernes",8,0,-34.5566006,-58.4511525,2021-03-27
