"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Panaderia Confiteria Rinvol, Ciudad de Buenos Aires","lunes",5,0,-34.6158543,-58.4408236,2021-03-27
"2","Panaderia Confiteria Rinvol, Ciudad de Buenos Aires","lunes",6,12,-34.6158543,-58.4408236,2021-03-27
"3","Panaderia Confiteria Rinvol, Ciudad de Buenos Aires","lunes",7,19.5,-34.6158543,-58.4408236,2021-03-27
"4","Panaderia Confiteria Rinvol, Ciudad de Buenos Aires","lunes",8,27.75,-34.6158543,-58.4408236,2021-03-27
"5","Panaderia Confiteria Rinvol, Ciudad de Buenos Aires","lunes",9,35.25,-34.6158543,-58.4408236,2021-03-27
"6","Panaderia Confiteria Rinvol, Ciudad de Buenos Aires","lunes",10,39,-34.6158543,-58.4408236,2021-03-27
"7","Panaderia Confiteria Rinvol, Ciudad de Buenos Aires","lunes",11,39,-34.6158543,-58.4408236,2021-03-27
"8","Panaderia Confiteria Rinvol, Ciudad de Buenos Aires","lunes",12,35.25,-34.6158543,-58.4408236,2021-03-27
"9","Panaderia Confiteria Rinvol, Ciudad de Buenos Aires","lunes",13,28.5,-34.6158543,-58.4408236,2021-03-27
"10","Panaderia Confiteria Rinvol, Ciudad de Buenos Aires","lunes",14,22.5,-34.6158543,-58.4408236,2021-03-27
"11","Panaderia Confiteria Rinvol, Ciudad de Buenos Aires","lunes",15,21,-34.6158543,-58.4408236,2021-03-27
"12","Panaderia Confiteria Rinvol, Ciudad de Buenos Aires","lunes",16,24,-34.6158543,-58.4408236,2021-03-27
"13","Panaderia Confiteria Rinvol, Ciudad de Buenos Aires","lunes",17,29.25,-34.6158543,-58.4408236,2021-03-27
"14","Panaderia Confiteria Rinvol, Ciudad de Buenos Aires","lunes",18,30.75,-34.6158543,-58.4408236,2021-03-27
"15","Panaderia Confiteria Rinvol, Ciudad de Buenos Aires","lunes",19,25.5,-34.6158543,-58.4408236,2021-03-27
"16","Panaderia Confiteria Rinvol, Ciudad de Buenos Aires","lunes",20,16.5,-34.6158543,-58.4408236,2021-03-27
"17","Panaderia Confiteria Rinvol, Ciudad de Buenos Aires","lunes",21,0,-34.6158543,-58.4408236,2021-03-27
"18","Panaderia Confiteria Rinvol, Ciudad de Buenos Aires","lunes",22,0,-34.6158543,-58.4408236,2021-03-27
"19","Panaderia Confiteria Rinvol, Ciudad de Buenos Aires","martes",5,0,-34.6158543,-58.4408236,2021-03-27
"20","Panaderia Confiteria Rinvol, Ciudad de Buenos Aires","martes",6,11.25,-34.6158543,-58.4408236,2021-03-27
"21","Panaderia Confiteria Rinvol, Ciudad de Buenos Aires","martes",7,20.25,-34.6158543,-58.4408236,2021-03-27
"22","Panaderia Confiteria Rinvol, Ciudad de Buenos Aires","martes",8,31.5,-34.6158543,-58.4408236,2021-03-27
"23","Panaderia Confiteria Rinvol, Ciudad de Buenos Aires","martes",9,41.25,-34.6158543,-58.4408236,2021-03-27
"24","Panaderia Confiteria Rinvol, Ciudad de Buenos Aires","martes",10,46.5,-34.6158543,-58.4408236,2021-03-27
"25","Panaderia Confiteria Rinvol, Ciudad de Buenos Aires","martes",11,45.75,-34.6158543,-58.4408236,2021-03-27
"26","Panaderia Confiteria Rinvol, Ciudad de Buenos Aires","martes",12,39.75,-34.6158543,-58.4408236,2021-03-27
"27","Panaderia Confiteria Rinvol, Ciudad de Buenos Aires","martes",13,33.75,-34.6158543,-58.4408236,2021-03-27
"28","Panaderia Confiteria Rinvol, Ciudad de Buenos Aires","martes",14,30.75,-34.6158543,-58.4408236,2021-03-27
"29","Panaderia Confiteria Rinvol, Ciudad de Buenos Aires","martes",15,33,-34.6158543,-58.4408236,2021-03-27
"30","Panaderia Confiteria Rinvol, Ciudad de Buenos Aires","martes",16,39,-34.6158543,-58.4408236,2021-03-27
"31","Panaderia Confiteria Rinvol, Ciudad de Buenos Aires","martes",17,43.5,-34.6158543,-58.4408236,2021-03-27
"32","Panaderia Confiteria Rinvol, Ciudad de Buenos Aires","martes",18,42.75,-34.6158543,-58.4408236,2021-03-27
