"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Pani Recoleta, Ciudad de Buenos Aires","lunes",6,0,-34.5892139,-58.3936361,2021-03-26
"2","Pani Recoleta, Ciudad de Buenos Aires","lunes",7,0,-34.5892139,-58.3936361,2021-03-26
"3","Pani Recoleta, Ciudad de Buenos Aires","lunes",8,0,-34.5892139,-58.3936361,2021-03-26
"4","Pani Recoleta, Ciudad de Buenos Aires","lunes",9,0,-34.5892139,-58.3936361,2021-03-26
"5","Pani Recoleta, Ciudad de Buenos Aires","lunes",10,9.75,-34.5892139,-58.3936361,2021-03-26
"6","Pani Recoleta, Ciudad de Buenos Aires","lunes",11,14.25,-34.5892139,-58.3936361,2021-03-26
"7","Pani Recoleta, Ciudad de Buenos Aires","lunes",12,17.25,-34.5892139,-58.3936361,2021-03-26
"8","Pani Recoleta, Ciudad de Buenos Aires","lunes",13,24,-34.5892139,-58.3936361,2021-03-26
"9","Pani Recoleta, Ciudad de Buenos Aires","lunes",14,30.75,-34.5892139,-58.3936361,2021-03-26
"10","Pani Recoleta, Ciudad de Buenos Aires","lunes",15,30,-34.5892139,-58.3936361,2021-03-26
"11","Pani Recoleta, Ciudad de Buenos Aires","lunes",16,31.5,-34.5892139,-58.3936361,2021-03-26
"12","Pani Recoleta, Ciudad de Buenos Aires","lunes",17,39,-34.5892139,-58.3936361,2021-03-26
"13","Pani Recoleta, Ciudad de Buenos Aires","lunes",18,42.75,-34.5892139,-58.3936361,2021-03-26
"14","Pani Recoleta, Ciudad de Buenos Aires","lunes",19,38.25,-34.5892139,-58.3936361,2021-03-26
"15","Pani Recoleta, Ciudad de Buenos Aires","lunes",20,27,-34.5892139,-58.3936361,2021-03-26
"16","Pani Recoleta, Ciudad de Buenos Aires","lunes",21,15,-34.5892139,-58.3936361,2021-03-26
"17","Pani Recoleta, Ciudad de Buenos Aires","lunes",22,0,-34.5892139,-58.3936361,2021-03-26
"18","Pani Recoleta, Ciudad de Buenos Aires","lunes",23,0,-34.5892139,-58.3936361,2021-03-26
"19","Pani Recoleta, Ciudad de Buenos Aires","martes",6,0,-34.5892139,-58.3936361,2021-03-26
"20","Pani Recoleta, Ciudad de Buenos Aires","martes",7,0,-34.5892139,-58.3936361,2021-03-26
"21","Pani Recoleta, Ciudad de Buenos Aires","martes",8,0,-34.5892139,-58.3936361,2021-03-26
"22","Pani Recoleta, Ciudad de Buenos Aires","martes",9,0,-34.5892139,-58.3936361,2021-03-26
"23","Pani Recoleta, Ciudad de Buenos Aires","martes",10,6.75,-34.5892139,-58.3936361,2021-03-26
"24","Pani Recoleta, Ciudad de Buenos Aires","martes",11,12,-34.5892139,-58.3936361,2021-03-26
"25","Pani Recoleta, Ciudad de Buenos Aires","martes",12,18,-34.5892139,-58.3936361,2021-03-26
"26","Pani Recoleta, Ciudad de Buenos Aires","martes",13,24,-34.5892139,-58.3936361,2021-03-26
"27","Pani Recoleta, Ciudad de Buenos Aires","martes",14,27.75,-34.5892139,-58.3936361,2021-03-26
"28","Pani Recoleta, Ciudad de Buenos Aires","martes",15,29.25,-34.5892139,-58.3936361,2021-03-26
"29","Pani Recoleta, Ciudad de Buenos Aires","martes",16,33,-34.5892139,-58.3936361,2021-03-26
"30","Pani Recoleta, Ciudad de Buenos Aires","martes",17,42,-34.5892139,-58.3936361,2021-03-26
"31","Pani Recoleta, Ciudad de Buenos Aires","martes",18,51,-34.5892139,-58.3936361,2021-03-26
"32","Pani Recoleta, Ciudad de Buenos Aires","martes",19,50.25,-34.5892139,-58.3936361,2021-03-26
"33","Pani Recoleta, Ciudad de Buenos Aires","martes",20,39.75,-34.5892139,-58.3936361,2021-03-26
"34","Pani Recoleta, Ciudad de Buenos Aires","martes",21,24.75,-34.5892139,-58.3936361,2021-03-26
"35","Pani Recoleta, Ciudad de Buenos Aires","martes",22,0,-34.5892139,-58.3936361,2021-03-26
"36","Pani Recoleta, Ciudad de Buenos Aires","martes",23,0,-34.5892139,-58.3936361,2021-03-26
"37","Pani Recoleta, Ciudad de Buenos Aires","miercoles",6,0,-34.5892139,-58.3936361,2021-03-26
"38","Pani Recoleta, Ciudad de Buenos Aires","miercoles",7,0,-34.5892139,-58.3936361,2021-03-26
"39","Pani Recoleta, Ciudad de Buenos Aires","miercoles",8,0,-34.5892139,-58.3936361,2021-03-26
"40","Pani Recoleta, Ciudad de Buenos Aires","miercoles",9,0,-34.5892139,-58.3936361,2021-03-26
"41","Pani Recoleta, Ciudad de Buenos Aires","miercoles",10,8.25,-34.5892139,-58.3936361,2021-03-26
"42","Pani Recoleta, Ciudad de Buenos Aires","miercoles",11,14.25,-34.5892139,-58.3936361,2021-03-26
"43","Pani Recoleta, Ciudad de Buenos Aires","miercoles",12,19.5,-34.5892139,-58.3936361,2021-03-26
"44","Pani Recoleta, Ciudad de Buenos Aires","miercoles",13,23.25,-34.5892139,-58.3936361,2021-03-26
"45","Pani Recoleta, Ciudad de Buenos Aires","miercoles",14,27,-34.5892139,-58.3936361,2021-03-26
"46","Pani Recoleta, Ciudad de Buenos Aires","miercoles",15,30.75,-34.5892139,-58.3936361,2021-03-26
"47","Pani Recoleta, Ciudad de Buenos Aires","miercoles",16,36,-34.5892139,-58.3936361,2021-03-26
"48","Pani Recoleta, Ciudad de Buenos Aires","miercoles",17,42,-34.5892139,-58.3936361,2021-03-26
"49","Pani Recoleta, Ciudad de Buenos Aires","miercoles",18,45.75,-34.5892139,-58.3936361,2021-03-26
"50","Pani Recoleta, Ciudad de Buenos Aires","miercoles",19,43.5,-34.5892139,-58.3936361,2021-03-26
"51","Pani Recoleta, Ciudad de Buenos Aires","miercoles",20,34.5,-34.5892139,-58.3936361,2021-03-26
"52","Pani Recoleta, Ciudad de Buenos Aires","miercoles",21,22.5,-34.5892139,-58.3936361,2021-03-26
"53","Pani Recoleta, Ciudad de Buenos Aires","miercoles",22,0,-34.5892139,-58.3936361,2021-03-26
"54","Pani Recoleta, Ciudad de Buenos Aires","miercoles",23,0,-34.5892139,-58.3936361,2021-03-26
"55","Pani Recoleta, Ciudad de Buenos Aires","jueves",6,0,-34.5892139,-58.3936361,2021-03-26
"56","Pani Recoleta, Ciudad de Buenos Aires","jueves",7,0,-34.5892139,-58.3936361,2021-03-26
