"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","lunes",6,0,-34.600571,-58.3768454,2021-03-27
"2","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","lunes",7,0,-34.600571,-58.3768454,2021-03-27
"3","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","lunes",8,3,-34.600571,-58.3768454,2021-03-27
"4","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","lunes",9,9,-34.600571,-58.3768454,2021-03-27
"5","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","lunes",10,21.75,-34.600571,-58.3768454,2021-03-27
"6","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","lunes",11,43.5,-34.600571,-58.3768454,2021-03-27
"7","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","lunes",12,65.25,-34.600571,-58.3768454,2021-03-27
"8","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","lunes",13,75,-34.600571,-58.3768454,2021-03-27
"9","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","lunes",14,65.25,-34.600571,-58.3768454,2021-03-27
"10","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","lunes",15,43.5,-34.600571,-58.3768454,2021-03-27
"11","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","lunes",16,24.75,-34.600571,-58.3768454,2021-03-27
"12","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","lunes",17,0,-34.600571,-58.3768454,2021-03-27
"13","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","lunes",18,0,-34.600571,-58.3768454,2021-03-27
"14","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","lunes",19,0,-34.600571,-58.3768454,2021-03-27
"15","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","lunes",20,0,-34.600571,-58.3768454,2021-03-27
"16","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","lunes",21,0,-34.600571,-58.3768454,2021-03-27
"17","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","lunes",22,0,-34.600571,-58.3768454,2021-03-27
"18","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","lunes",23,0,-34.600571,-58.3768454,2021-03-27
"19","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","martes",6,0,-34.600571,-58.3768454,2021-03-27
"20","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","martes",7,0,-34.600571,-58.3768454,2021-03-27
"21","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","martes",8,3,-34.600571,-58.3768454,2021-03-27
"22","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","martes",9,9,-34.600571,-58.3768454,2021-03-27
"23","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","martes",10,18.75,-34.600571,-58.3768454,2021-03-27
"24","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","martes",11,30.75,-34.600571,-58.3768454,2021-03-27
"25","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","martes",12,46.5,-34.600571,-58.3768454,2021-03-27
"26","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","martes",13,52.5,-34.600571,-58.3768454,2021-03-27
"27","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","martes",14,46.5,-34.600571,-58.3768454,2021-03-27
"28","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","martes",15,37.5,-34.600571,-58.3768454,2021-03-27
"29","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","martes",16,24.75,-34.600571,-58.3768454,2021-03-27
"30","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","martes",17,0,-34.600571,-58.3768454,2021-03-27
"31","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","martes",18,0,-34.600571,-58.3768454,2021-03-27
"32","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","martes",19,0,-34.600571,-58.3768454,2021-03-27
"33","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","martes",20,0,-34.600571,-58.3768454,2021-03-27
"34","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","martes",21,0,-34.600571,-58.3768454,2021-03-27
"35","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","martes",22,0,-34.600571,-58.3768454,2021-03-27
"36","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","martes",23,0,-34.600571,-58.3768454,2021-03-27
"37","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","miercoles",6,0,-34.600571,-58.3768454,2021-03-27
"38","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","miercoles",7,0,-34.600571,-58.3768454,2021-03-27
"39","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","miercoles",8,6,-34.600571,-58.3768454,2021-03-27
"40","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","miercoles",9,18.75,-34.600571,-58.3768454,2021-03-27
"41","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","miercoles",10,37.5,-34.600571,-58.3768454,2021-03-27
"42","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","miercoles",11,43.5,-34.600571,-58.3768454,2021-03-27
"43","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","miercoles",12,33.75,-34.600571,-58.3768454,2021-03-27
"44","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","miercoles",13,24.75,-34.600571,-58.3768454,2021-03-27
"45","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","miercoles",14,37.5,-34.600571,-58.3768454,2021-03-27
"46","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","miercoles",15,46.5,-34.600571,-58.3768454,2021-03-27
"47","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","miercoles",16,27.75,-34.600571,-58.3768454,2021-03-27
"48","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","miercoles",17,0,-34.600571,-58.3768454,2021-03-27
"49","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","miercoles",18,0,-34.600571,-58.3768454,2021-03-27
"50","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","miercoles",19,0,-34.600571,-58.3768454,2021-03-27
"51","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","miercoles",20,0,-34.600571,-58.3768454,2021-03-27
"52","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","miercoles",21,0,-34.600571,-58.3768454,2021-03-27
"53","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","miercoles",22,0,-34.600571,-58.3768454,2021-03-27
"54","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","miercoles",23,0,-34.600571,-58.3768454,2021-03-27
"55","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","jueves",6,0,-34.600571,-58.3768454,2021-03-27
"56","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","jueves",7,0,-34.600571,-58.3768454,2021-03-27
"57","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","jueves",8,18.75,-34.600571,-58.3768454,2021-03-27
"58","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","jueves",9,21.75,-34.600571,-58.3768454,2021-03-27
"59","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","jueves",10,21.75,-34.600571,-58.3768454,2021-03-27
"60","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","jueves",11,18.75,-34.600571,-58.3768454,2021-03-27
"61","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","jueves",12,15,-34.600571,-58.3768454,2021-03-27
"62","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","jueves",13,37.5,-34.600571,-58.3768454,2021-03-27
"63","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","jueves",14,68.25,-34.600571,-58.3768454,2021-03-27
"64","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","jueves",15,52.5,-34.600571,-58.3768454,2021-03-27
"65","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","jueves",16,15,-34.600571,-58.3768454,2021-03-27
"66","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","jueves",17,0,-34.600571,-58.3768454,2021-03-27
"67","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","jueves",18,0,-34.600571,-58.3768454,2021-03-27
"68","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","jueves",19,0,-34.600571,-58.3768454,2021-03-27
"69","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","jueves",20,0,-34.600571,-58.3768454,2021-03-27
"70","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","jueves",21,0,-34.600571,-58.3768454,2021-03-27
"71","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","jueves",22,0,-34.600571,-58.3768454,2021-03-27
"72","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","jueves",23,0,-34.600571,-58.3768454,2021-03-27
"73","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","viernes",6,0,-34.600571,-58.3768454,2021-03-27
"74","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","viernes",7,0,-34.600571,-58.3768454,2021-03-27
"75","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","viernes",8,6,-34.600571,-58.3768454,2021-03-27
"76","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","viernes",9,15,-34.600571,-58.3768454,2021-03-27
"77","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","viernes",10,27.75,-34.600571,-58.3768454,2021-03-27
"78","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","viernes",11,40.5,-34.600571,-58.3768454,2021-03-27
"79","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","viernes",12,49.5,-34.600571,-58.3768454,2021-03-27
"80","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","viernes",13,52.5,-34.600571,-58.3768454,2021-03-27
"81","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","viernes",14,49.5,-34.600571,-58.3768454,2021-03-27
"82","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","viernes",15,37.5,-34.600571,-58.3768454,2021-03-27
"83","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","viernes",16,24.75,-34.600571,-58.3768454,2021-03-27
"84","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","viernes",17,0,-34.600571,-58.3768454,2021-03-27
"85","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","viernes",18,0,-34.600571,-58.3768454,2021-03-27
"86","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","viernes",19,0,-34.600571,-58.3768454,2021-03-27
"87","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","viernes",20,0,-34.600571,-58.3768454,2021-03-27
"88","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","viernes",21,0,-34.600571,-58.3768454,2021-03-27
"89","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","viernes",22,0,-34.600571,-58.3768454,2021-03-27
"90","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","viernes",23,0,-34.600571,-58.3768454,2021-03-27
"91","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","sabado",6,0,-34.600571,-58.3768454,2021-03-27
"92","Parribayres Bar &amp; Grill, Ciudad de Buenos Aires","sabado",7,0,-34.600571,-58.3768454,2021-03-27
