"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Parrilla Dona Tota, Ciudad de Buenos Aires","lunes",6,0,-34.5895973,-58.4248602,2021-03-27
"2","Parrilla Dona Tota, Ciudad de Buenos Aires","lunes",7,0,-34.5895973,-58.4248602,2021-03-27
"3","Parrilla Dona Tota, Ciudad de Buenos Aires","lunes",8,0,-34.5895973,-58.4248602,2021-03-27
"4","Parrilla Dona Tota, Ciudad de Buenos Aires","lunes",9,0,-34.5895973,-58.4248602,2021-03-27
"5","Parrilla Dona Tota, Ciudad de Buenos Aires","lunes",10,0,-34.5895973,-58.4248602,2021-03-27
"6","Parrilla Dona Tota, Ciudad de Buenos Aires","lunes",11,0,-34.5895973,-58.4248602,2021-03-27
"7","Parrilla Dona Tota, Ciudad de Buenos Aires","lunes",12,6.75,-34.5895973,-58.4248602,2021-03-27
"8","Parrilla Dona Tota, Ciudad de Buenos Aires","lunes",13,12,-34.5895973,-58.4248602,2021-03-27
"9","Parrilla Dona Tota, Ciudad de Buenos Aires","lunes",14,14.25,-34.5895973,-58.4248602,2021-03-27
"10","Parrilla Dona Tota, Ciudad de Buenos Aires","lunes",15,11.25,-34.5895973,-58.4248602,2021-03-27
"11","Parrilla Dona Tota, Ciudad de Buenos Aires","lunes",16,6,-34.5895973,-58.4248602,2021-03-27
"12","Parrilla Dona Tota, Ciudad de Buenos Aires","lunes",17,1.5,-34.5895973,-58.4248602,2021-03-27
"13","Parrilla Dona Tota, Ciudad de Buenos Aires","lunes",18,0,-34.5895973,-58.4248602,2021-03-27
"14","Parrilla Dona Tota, Ciudad de Buenos Aires","lunes",19,4.5,-34.5895973,-58.4248602,2021-03-27
"15","Parrilla Dona Tota, Ciudad de Buenos Aires","lunes",20,16.5,-34.5895973,-58.4248602,2021-03-27
"16","Parrilla Dona Tota, Ciudad de Buenos Aires","lunes",21,31.5,-34.5895973,-58.4248602,2021-03-27
"17","Parrilla Dona Tota, Ciudad de Buenos Aires","lunes",22,36.75,-34.5895973,-58.4248602,2021-03-27
"18","Parrilla Dona Tota, Ciudad de Buenos Aires","lunes",23,25.5,-34.5895973,-58.4248602,2021-03-27
"19","Parrilla Dona Tota, Ciudad de Buenos Aires","martes",6,0,-34.5895973,-58.4248602,2021-03-27
"20","Parrilla Dona Tota, Ciudad de Buenos Aires","martes",7,0,-34.5895973,-58.4248602,2021-03-27
"21","Parrilla Dona Tota, Ciudad de Buenos Aires","martes",8,0,-34.5895973,-58.4248602,2021-03-27
"22","Parrilla Dona Tota, Ciudad de Buenos Aires","martes",9,0,-34.5895973,-58.4248602,2021-03-27
"23","Parrilla Dona Tota, Ciudad de Buenos Aires","martes",10,0,-34.5895973,-58.4248602,2021-03-27
"24","Parrilla Dona Tota, Ciudad de Buenos Aires","martes",11,0,-34.5895973,-58.4248602,2021-03-27
"25","Parrilla Dona Tota, Ciudad de Buenos Aires","martes",12,0,-34.5895973,-58.4248602,2021-03-27
"26","Parrilla Dona Tota, Ciudad de Buenos Aires","martes",13,3,-34.5895973,-58.4248602,2021-03-27
"27","Parrilla Dona Tota, Ciudad de Buenos Aires","martes",14,6,-34.5895973,-58.4248602,2021-03-27
"28","Parrilla Dona Tota, Ciudad de Buenos Aires","martes",15,6.75,-34.5895973,-58.4248602,2021-03-27
"29","Parrilla Dona Tota, Ciudad de Buenos Aires","martes",16,5.25,-34.5895973,-58.4248602,2021-03-27
"30","Parrilla Dona Tota, Ciudad de Buenos Aires","martes",17,2.25,-34.5895973,-58.4248602,2021-03-27
"31","Parrilla Dona Tota, Ciudad de Buenos Aires","martes",18,0,-34.5895973,-58.4248602,2021-03-27
"32","Parrilla Dona Tota, Ciudad de Buenos Aires","martes",19,4.5,-34.5895973,-58.4248602,2021-03-27
"33","Parrilla Dona Tota, Ciudad de Buenos Aires","martes",20,19.5,-34.5895973,-58.4248602,2021-03-27
"34","Parrilla Dona Tota, Ciudad de Buenos Aires","martes",21,42,-34.5895973,-58.4248602,2021-03-27
"35","Parrilla Dona Tota, Ciudad de Buenos Aires","martes",22,51,-34.5895973,-58.4248602,2021-03-27
"36","Parrilla Dona Tota, Ciudad de Buenos Aires","martes",23,36.75,-34.5895973,-58.4248602,2021-03-27
"37","Parrilla Dona Tota, Ciudad de Buenos Aires","miercoles",6,0,-34.5895973,-58.4248602,2021-03-27
"38","Parrilla Dona Tota, Ciudad de Buenos Aires","miercoles",7,0,-34.5895973,-58.4248602,2021-03-27
"39","Parrilla Dona Tota, Ciudad de Buenos Aires","miercoles",8,0,-34.5895973,-58.4248602,2021-03-27
"40","Parrilla Dona Tota, Ciudad de Buenos Aires","miercoles",9,0,-34.5895973,-58.4248602,2021-03-27
"41","Parrilla Dona Tota, Ciudad de Buenos Aires","miercoles",10,0,-34.5895973,-58.4248602,2021-03-27
"42","Parrilla Dona Tota, Ciudad de Buenos Aires","miercoles",11,0,-34.5895973,-58.4248602,2021-03-27
"43","Parrilla Dona Tota, Ciudad de Buenos Aires","miercoles",12,5.25,-34.5895973,-58.4248602,2021-03-27
"44","Parrilla Dona Tota, Ciudad de Buenos Aires","miercoles",13,10.5,-34.5895973,-58.4248602,2021-03-27
"45","Parrilla Dona Tota, Ciudad de Buenos Aires","miercoles",14,12.75,-34.5895973,-58.4248602,2021-03-27
"46","Parrilla Dona Tota, Ciudad de Buenos Aires","miercoles",15,9.75,-34.5895973,-58.4248602,2021-03-27
"47","Parrilla Dona Tota, Ciudad de Buenos Aires","miercoles",16,4.5,-34.5895973,-58.4248602,2021-03-27
"48","Parrilla Dona Tota, Ciudad de Buenos Aires","miercoles",17,0,-34.5895973,-58.4248602,2021-03-27
"49","Parrilla Dona Tota, Ciudad de Buenos Aires","miercoles",18,0.75,-34.5895973,-58.4248602,2021-03-27
"50","Parrilla Dona Tota, Ciudad de Buenos Aires","miercoles",19,3,-34.5895973,-58.4248602,2021-03-27
"51","Parrilla Dona Tota, Ciudad de Buenos Aires","miercoles",20,12.75,-34.5895973,-58.4248602,2021-03-27
"52","Parrilla Dona Tota, Ciudad de Buenos Aires","miercoles",21,27.75,-34.5895973,-58.4248602,2021-03-27
