"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Pasale Marchante, Ciudad de Buenos Aires","lunes",6,0,-34.6145586,-58.4795023,2021-03-30
"2","Pasale Marchante, Ciudad de Buenos Aires","lunes",7,0,-34.6145586,-58.4795023,2021-03-30
"3","Pasale Marchante, Ciudad de Buenos Aires","lunes",8,0,-34.6145586,-58.4795023,2021-03-30
"4","Pasale Marchante, Ciudad de Buenos Aires","lunes",9,7.5,-34.6145586,-58.4795023,2021-03-30
"5","Pasale Marchante, Ciudad de Buenos Aires","lunes",10,12,-34.6145586,-58.4795023,2021-03-30
"6","Pasale Marchante, Ciudad de Buenos Aires","lunes",11,17.25,-34.6145586,-58.4795023,2021-03-30
"7","Pasale Marchante, Ciudad de Buenos Aires","lunes",12,21,-34.6145586,-58.4795023,2021-03-30
"8","Pasale Marchante, Ciudad de Buenos Aires","lunes",13,23.25,-34.6145586,-58.4795023,2021-03-30
"9","Pasale Marchante, Ciudad de Buenos Aires","lunes",14,22.5,-34.6145586,-58.4795023,2021-03-30
"10","Pasale Marchante, Ciudad de Buenos Aires","lunes",15,21.75,-34.6145586,-58.4795023,2021-03-30
"11","Pasale Marchante, Ciudad de Buenos Aires","lunes",16,20.25,-34.6145586,-58.4795023,2021-03-30
"12","Pasale Marchante, Ciudad de Buenos Aires","lunes",17,21.75,-34.6145586,-58.4795023,2021-03-30
"13","Pasale Marchante, Ciudad de Buenos Aires","lunes",18,26.25,-34.6145586,-58.4795023,2021-03-30
"14","Pasale Marchante, Ciudad de Buenos Aires","lunes",19,33,-34.6145586,-58.4795023,2021-03-30
"15","Pasale Marchante, Ciudad de Buenos Aires","lunes",20,38.25,-34.6145586,-58.4795023,2021-03-30
"16","Pasale Marchante, Ciudad de Buenos Aires","lunes",21,37.5,-34.6145586,-58.4795023,2021-03-30
"17","Pasale Marchante, Ciudad de Buenos Aires","lunes",22,30.75,-34.6145586,-58.4795023,2021-03-30
"18","Pasale Marchante, Ciudad de Buenos Aires","lunes",23,0,-34.6145586,-58.4795023,2021-03-30
"19","Pasale Marchante, Ciudad de Buenos Aires","martes",6,0,-34.6145586,-58.4795023,2021-03-30
"20","Pasale Marchante, Ciudad de Buenos Aires","martes",7,0,-34.6145586,-58.4795023,2021-03-30
"21","Pasale Marchante, Ciudad de Buenos Aires","martes",8,0,-34.6145586,-58.4795023,2021-03-30
"22","Pasale Marchante, Ciudad de Buenos Aires","martes",9,9.75,-34.6145586,-58.4795023,2021-03-30
"23","Pasale Marchante, Ciudad de Buenos Aires","martes",10,13.5,-34.6145586,-58.4795023,2021-03-30
"24","Pasale Marchante, Ciudad de Buenos Aires","martes",11,17.25,-34.6145586,-58.4795023,2021-03-30
"25","Pasale Marchante, Ciudad de Buenos Aires","martes",12,20.25,-34.6145586,-58.4795023,2021-03-30
"26","Pasale Marchante, Ciudad de Buenos Aires","martes",13,21.75,-34.6145586,-58.4795023,2021-03-30
"27","Pasale Marchante, Ciudad de Buenos Aires","martes",14,21.75,-34.6145586,-58.4795023,2021-03-30
"28","Pasale Marchante, Ciudad de Buenos Aires","martes",15,21,-34.6145586,-58.4795023,2021-03-30
"29","Pasale Marchante, Ciudad de Buenos Aires","martes",16,18,-34.6145586,-58.4795023,2021-03-30
"30","Pasale Marchante, Ciudad de Buenos Aires","martes",17,14.25,-34.6145586,-58.4795023,2021-03-30
"31","Pasale Marchante, Ciudad de Buenos Aires","martes",18,15,-34.6145586,-58.4795023,2021-03-30
"32","Pasale Marchante, Ciudad de Buenos Aires","martes",19,30.75,-34.6145586,-58.4795023,2021-03-30
"33","Pasale Marchante, Ciudad de Buenos Aires","martes",20,57.75,-34.6145586,-58.4795023,2021-03-30
"34","Pasale Marchante, Ciudad de Buenos Aires","martes",21,50.25,-34.6145586,-58.4795023,2021-03-30
"35","Pasale Marchante, Ciudad de Buenos Aires","martes",22,18,-34.6145586,-58.4795023,2021-03-30
"36","Pasale Marchante, Ciudad de Buenos Aires","martes",23,0,-34.6145586,-58.4795023,2021-03-30
"37","Pasale Marchante, Ciudad de Buenos Aires","miercoles",6,0,-34.6145586,-58.4795023,2021-03-30
"38","Pasale Marchante, Ciudad de Buenos Aires","miercoles",7,0,-34.6145586,-58.4795023,2021-03-30
"39","Pasale Marchante, Ciudad de Buenos Aires","miercoles",8,0,-34.6145586,-58.4795023,2021-03-30
