"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Patagonia Distrito Arcos, Ciudad de Buenos Aires","lunes",6,0,-34.5807075,-58.4273042,2021-03-28
"2","Patagonia Distrito Arcos, Ciudad de Buenos Aires","lunes",7,0,-34.5807075,-58.4273042,2021-03-28
"3","Patagonia Distrito Arcos, Ciudad de Buenos Aires","lunes",8,0,-34.5807075,-58.4273042,2021-03-28
"4","Patagonia Distrito Arcos, Ciudad de Buenos Aires","lunes",9,0,-34.5807075,-58.4273042,2021-03-28
"5","Patagonia Distrito Arcos, Ciudad de Buenos Aires","lunes",10,0,-34.5807075,-58.4273042,2021-03-28
"6","Patagonia Distrito Arcos, Ciudad de Buenos Aires","lunes",11,0,-34.5807075,-58.4273042,2021-03-28
"7","Patagonia Distrito Arcos, Ciudad de Buenos Aires","lunes",12,20.25,-34.5807075,-58.4273042,2021-03-28
"8","Patagonia Distrito Arcos, Ciudad de Buenos Aires","lunes",13,25.5,-34.5807075,-58.4273042,2021-03-28
"9","Patagonia Distrito Arcos, Ciudad de Buenos Aires","lunes",14,23.25,-34.5807075,-58.4273042,2021-03-28
"10","Patagonia Distrito Arcos, Ciudad de Buenos Aires","lunes",15,15,-34.5807075,-58.4273042,2021-03-28
"11","Patagonia Distrito Arcos, Ciudad de Buenos Aires","lunes",16,15,-34.5807075,-58.4273042,2021-03-28
"12","Patagonia Distrito Arcos, Ciudad de Buenos Aires","lunes",17,23.25,-34.5807075,-58.4273042,2021-03-28
"13","Patagonia Distrito Arcos, Ciudad de Buenos Aires","lunes",18,33,-34.5807075,-58.4273042,2021-03-28
"14","Patagonia Distrito Arcos, Ciudad de Buenos Aires","lunes",19,25.5,-34.5807075,-58.4273042,2021-03-28
"15","Patagonia Distrito Arcos, Ciudad de Buenos Aires","lunes",20,0,-34.5807075,-58.4273042,2021-03-28
"16","Patagonia Distrito Arcos, Ciudad de Buenos Aires","lunes",21,0,-34.5807075,-58.4273042,2021-03-28
"17","Patagonia Distrito Arcos, Ciudad de Buenos Aires","lunes",22,0,-34.5807075,-58.4273042,2021-03-28
"18","Patagonia Distrito Arcos, Ciudad de Buenos Aires","lunes",23,0,-34.5807075,-58.4273042,2021-03-28
"19","Patagonia Distrito Arcos, Ciudad de Buenos Aires","martes",6,0,-34.5807075,-58.4273042,2021-03-28
"20","Patagonia Distrito Arcos, Ciudad de Buenos Aires","martes",7,0,-34.5807075,-58.4273042,2021-03-28
"21","Patagonia Distrito Arcos, Ciudad de Buenos Aires","martes",8,0,-34.5807075,-58.4273042,2021-03-28
"22","Patagonia Distrito Arcos, Ciudad de Buenos Aires","martes",9,0,-34.5807075,-58.4273042,2021-03-28
"23","Patagonia Distrito Arcos, Ciudad de Buenos Aires","martes",10,0,-34.5807075,-58.4273042,2021-03-28
"24","Patagonia Distrito Arcos, Ciudad de Buenos Aires","martes",11,0,-34.5807075,-58.4273042,2021-03-28
"25","Patagonia Distrito Arcos, Ciudad de Buenos Aires","martes",12,4.5,-34.5807075,-58.4273042,2021-03-28
