"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Pepito, Ciudad de Buenos Aires","lunes",6,0,-34.6045946,-58.3891044,2021-03-26
"2","Pepito, Ciudad de Buenos Aires","lunes",7,0,-34.6045946,-58.3891044,2021-03-26
"3","Pepito, Ciudad de Buenos Aires","lunes",8,0,-34.6045946,-58.3891044,2021-03-26
"4","Pepito, Ciudad de Buenos Aires","lunes",9,0.75,-34.6045946,-58.3891044,2021-03-26
"5","Pepito, Ciudad de Buenos Aires","lunes",10,15.75,-34.6045946,-58.3891044,2021-03-26
"6","Pepito, Ciudad de Buenos Aires","lunes",11,37.5,-34.6045946,-58.3891044,2021-03-26
"7","Pepito, Ciudad de Buenos Aires","lunes",12,57,-34.6045946,-58.3891044,2021-03-26
"8","Pepito, Ciudad de Buenos Aires","lunes",13,66,-34.6045946,-58.3891044,2021-03-26
"9","Pepito, Ciudad de Buenos Aires","lunes",14,60,-34.6045946,-58.3891044,2021-03-26
"10","Pepito, Ciudad de Buenos Aires","lunes",15,40.5,-34.6045946,-58.3891044,2021-03-26
"11","Pepito, Ciudad de Buenos Aires","lunes",16,20.25,-34.6045946,-58.3891044,2021-03-26
"12","Pepito, Ciudad de Buenos Aires","lunes",17,3.75,-34.6045946,-58.3891044,2021-03-26
"13","Pepito, Ciudad de Buenos Aires","lunes",18,0.75,-34.6045946,-58.3891044,2021-03-26
"14","Pepito, Ciudad de Buenos Aires","lunes",19,0.75,-34.6045946,-58.3891044,2021-03-26
"15","Pepito, Ciudad de Buenos Aires","lunes",20,3.75,-34.6045946,-58.3891044,2021-03-26
"16","Pepito, Ciudad de Buenos Aires","lunes",21,11.25,-34.6045946,-58.3891044,2021-03-26
"17","Pepito, Ciudad de Buenos Aires","lunes",22,12.75,-34.6045946,-58.3891044,2021-03-26
"18","Pepito, Ciudad de Buenos Aires","lunes",23,9.75,-34.6045946,-58.3891044,2021-03-26
"19","Pepito, Ciudad de Buenos Aires","martes",6,0,-34.6045946,-58.3891044,2021-03-26
