"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Peron Peron Resto Bar, Ciudad de Buenos Aires","lunes",6,0,-34.5785987,-58.4335811,2021-03-26
"2","Peron Peron Resto Bar, Ciudad de Buenos Aires","lunes",7,0,-34.5785987,-58.4335811,2021-03-26
"3","Peron Peron Resto Bar, Ciudad de Buenos Aires","lunes",8,0,-34.5785987,-58.4335811,2021-03-26
"4","Peron Peron Resto Bar, Ciudad de Buenos Aires","lunes",9,0.75,-34.5785987,-58.4335811,2021-03-26
"5","Peron Peron Resto Bar, Ciudad de Buenos Aires","lunes",10,0.75,-34.5785987,-58.4335811,2021-03-26
"6","Peron Peron Resto Bar, Ciudad de Buenos Aires","lunes",11,4.5,-34.5785987,-58.4335811,2021-03-26
"7","Peron Peron Resto Bar, Ciudad de Buenos Aires","lunes",12,8.25,-34.5785987,-58.4335811,2021-03-26
"8","Peron Peron Resto Bar, Ciudad de Buenos Aires","lunes",13,12,-34.5785987,-58.4335811,2021-03-26
"9","Peron Peron Resto Bar, Ciudad de Buenos Aires","lunes",14,14.25,-34.5785987,-58.4335811,2021-03-26
"10","Peron Peron Resto Bar, Ciudad de Buenos Aires","lunes",15,14.25,-34.5785987,-58.4335811,2021-03-26
"11","Peron Peron Resto Bar, Ciudad de Buenos Aires","lunes",16,12,-34.5785987,-58.4335811,2021-03-26
"12","Peron Peron Resto Bar, Ciudad de Buenos Aires","lunes",17,8.25,-34.5785987,-58.4335811,2021-03-26
"13","Peron Peron Resto Bar, Ciudad de Buenos Aires","lunes",18,4.5,-34.5785987,-58.4335811,2021-03-26
"14","Peron Peron Resto Bar, Ciudad de Buenos Aires","lunes",19,6.75,-34.5785987,-58.4335811,2021-03-26
"15","Peron Peron Resto Bar, Ciudad de Buenos Aires","lunes",20,16.5,-34.5785987,-58.4335811,2021-03-26
"16","Peron Peron Resto Bar, Ciudad de Buenos Aires","lunes",21,30.75,-34.5785987,-58.4335811,2021-03-26
"17","Peron Peron Resto Bar, Ciudad de Buenos Aires","lunes",22,36,-34.5785987,-58.4335811,2021-03-26
"18","Peron Peron Resto Bar, Ciudad de Buenos Aires","lunes",23,27,-34.5785987,-58.4335811,2021-03-26
"19","Peron Peron Resto Bar, Ciudad de Buenos Aires","martes",0,12,-34.5785987,-58.4335811,2021-03-26
"20","Peron Peron Resto Bar, Ciudad de Buenos Aires","martes",6,0,-34.5785987,-58.4335811,2021-03-26
"21","Peron Peron Resto Bar, Ciudad de Buenos Aires","martes",7,0,-34.5785987,-58.4335811,2021-03-26
"22","Peron Peron Resto Bar, Ciudad de Buenos Aires","martes",8,0,-34.5785987,-58.4335811,2021-03-26
"23","Peron Peron Resto Bar, Ciudad de Buenos Aires","martes",9,1.5,-34.5785987,-58.4335811,2021-03-26
"24","Peron Peron Resto Bar, Ciudad de Buenos Aires","martes",10,3.75,-34.5785987,-58.4335811,2021-03-26
"25","Peron Peron Resto Bar, Ciudad de Buenos Aires","martes",11,6.75,-34.5785987,-58.4335811,2021-03-26
"26","Peron Peron Resto Bar, Ciudad de Buenos Aires","martes",12,9.75,-34.5785987,-58.4335811,2021-03-26
"27","Peron Peron Resto Bar, Ciudad de Buenos Aires","martes",13,12.75,-34.5785987,-58.4335811,2021-03-26
"28","Peron Peron Resto Bar, Ciudad de Buenos Aires","martes",14,14.25,-34.5785987,-58.4335811,2021-03-26
"29","Peron Peron Resto Bar, Ciudad de Buenos Aires","martes",15,14.25,-34.5785987,-58.4335811,2021-03-26
"30","Peron Peron Resto Bar, Ciudad de Buenos Aires","martes",16,12.75,-34.5785987,-58.4335811,2021-03-26
"31","Peron Peron Resto Bar, Ciudad de Buenos Aires","martes",17,10.5,-34.5785987,-58.4335811,2021-03-26
"32","Peron Peron Resto Bar, Ciudad de Buenos Aires","martes",18,7.5,-34.5785987,-58.4335811,2021-03-26
"33","Peron Peron Resto Bar, Ciudad de Buenos Aires","martes",19,6.75,-34.5785987,-58.4335811,2021-03-26
"34","Peron Peron Resto Bar, Ciudad de Buenos Aires","martes",20,9.75,-34.5785987,-58.4335811,2021-03-26
"35","Peron Peron Resto Bar, Ciudad de Buenos Aires","martes",21,17.25,-34.5785987,-58.4335811,2021-03-26
"36","Peron Peron Resto Bar, Ciudad de Buenos Aires","martes",22,23.25,-34.5785987,-58.4335811,2021-03-26
"37","Peron Peron Resto Bar, Ciudad de Buenos Aires","martes",23,20.25,-34.5785987,-58.4335811,2021-03-26
"38","Peron Peron Resto Bar, Ciudad de Buenos Aires","miercoles",0,11.25,-34.5785987,-58.4335811,2021-03-26
