"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Piegari Carnes, Ciudad de Buenos Aires","lunes",6,0,-34.5899763,-58.3821461,2021-03-26
"2","Piegari Carnes, Ciudad de Buenos Aires","lunes",7,0,-34.5899763,-58.3821461,2021-03-26
"3","Piegari Carnes, Ciudad de Buenos Aires","lunes",8,0,-34.5899763,-58.3821461,2021-03-26
"4","Piegari Carnes, Ciudad de Buenos Aires","lunes",9,0,-34.5899763,-58.3821461,2021-03-26
"5","Piegari Carnes, Ciudad de Buenos Aires","lunes",10,0,-34.5899763,-58.3821461,2021-03-26
"6","Piegari Carnes, Ciudad de Buenos Aires","lunes",11,0,-34.5899763,-58.3821461,2021-03-26
"7","Piegari Carnes, Ciudad de Buenos Aires","lunes",12,24,-34.5899763,-58.3821461,2021-03-26
"8","Piegari Carnes, Ciudad de Buenos Aires","lunes",13,30.75,-34.5899763,-58.3821461,2021-03-26
"9","Piegari Carnes, Ciudad de Buenos Aires","lunes",14,31.5,-34.5899763,-58.3821461,2021-03-26
"10","Piegari Carnes, Ciudad de Buenos Aires","lunes",15,26.25,-34.5899763,-58.3821461,2021-03-26
"11","Piegari Carnes, Ciudad de Buenos Aires","lunes",16,17.25,-34.5899763,-58.3821461,2021-03-26
"12","Piegari Carnes, Ciudad de Buenos Aires","lunes",17,11.25,-34.5899763,-58.3821461,2021-03-26
"13","Piegari Carnes, Ciudad de Buenos Aires","lunes",18,12.75,-34.5899763,-58.3821461,2021-03-26
"14","Piegari Carnes, Ciudad de Buenos Aires","lunes",19,21.75,-34.5899763,-58.3821461,2021-03-26
"15","Piegari Carnes, Ciudad de Buenos Aires","lunes",20,33.75,-34.5899763,-58.3821461,2021-03-26
"16","Piegari Carnes, Ciudad de Buenos Aires","lunes",21,40.5,-34.5899763,-58.3821461,2021-03-26
"17","Piegari Carnes, Ciudad de Buenos Aires","lunes",22,36,-34.5899763,-58.3821461,2021-03-26
"18","Piegari Carnes, Ciudad de Buenos Aires","lunes",23,23.25,-34.5899763,-58.3821461,2021-03-26
"19","Piegari Carnes, Ciudad de Buenos Aires","martes",0,9.75,-34.5899763,-58.3821461,2021-03-26
"20","Piegari Carnes, Ciudad de Buenos Aires","martes",6,0,-34.5899763,-58.3821461,2021-03-26
"21","Piegari Carnes, Ciudad de Buenos Aires","martes",7,0,-34.5899763,-58.3821461,2021-03-26
"22","Piegari Carnes, Ciudad de Buenos Aires","martes",8,0,-34.5899763,-58.3821461,2021-03-26
"23","Piegari Carnes, Ciudad de Buenos Aires","martes",9,0,-34.5899763,-58.3821461,2021-03-26
"24","Piegari Carnes, Ciudad de Buenos Aires","martes",10,0,-34.5899763,-58.3821461,2021-03-26
"25","Piegari Carnes, Ciudad de Buenos Aires","martes",11,0,-34.5899763,-58.3821461,2021-03-26
"26","Piegari Carnes, Ciudad de Buenos Aires","martes",12,19.5,-34.5899763,-58.3821461,2021-03-26
"27","Piegari Carnes, Ciudad de Buenos Aires","martes",13,31.5,-34.5899763,-58.3821461,2021-03-26
"28","Piegari Carnes, Ciudad de Buenos Aires","martes",14,36.75,-34.5899763,-58.3821461,2021-03-26
"29","Piegari Carnes, Ciudad de Buenos Aires","martes",15,33,-34.5899763,-58.3821461,2021-03-26
"30","Piegari Carnes, Ciudad de Buenos Aires","martes",16,23.25,-34.5899763,-58.3821461,2021-03-26
"31","Piegari Carnes, Ciudad de Buenos Aires","martes",17,13.5,-34.5899763,-58.3821461,2021-03-26
"32","Piegari Carnes, Ciudad de Buenos Aires","martes",18,9.75,-34.5899763,-58.3821461,2021-03-26
"33","Piegari Carnes, Ciudad de Buenos Aires","martes",19,14.25,-34.5899763,-58.3821461,2021-03-26
"34","Piegari Carnes, Ciudad de Buenos Aires","martes",20,24,-34.5899763,-58.3821461,2021-03-26
"35","Piegari Carnes, Ciudad de Buenos Aires","martes",21,32.25,-34.5899763,-58.3821461,2021-03-26
"36","Piegari Carnes, Ciudad de Buenos Aires","martes",22,31.5,-34.5899763,-58.3821461,2021-03-26
"37","Piegari Carnes, Ciudad de Buenos Aires","martes",23,22.5,-34.5899763,-58.3821461,2021-03-26
"38","Piegari Carnes, Ciudad de Buenos Aires","miercoles",0,11.25,-34.5899763,-58.3821461,2021-03-26
"39","Piegari Carnes, Ciudad de Buenos Aires","miercoles",6,0,-34.5899763,-58.3821461,2021-03-26
"40","Piegari Carnes, Ciudad de Buenos Aires","miercoles",7,0,-34.5899763,-58.3821461,2021-03-26
"41","Piegari Carnes, Ciudad de Buenos Aires","miercoles",8,0,-34.5899763,-58.3821461,2021-03-26
"42","Piegari Carnes, Ciudad de Buenos Aires","miercoles",9,0,-34.5899763,-58.3821461,2021-03-26
"43","Piegari Carnes, Ciudad de Buenos Aires","miercoles",10,0,-34.5899763,-58.3821461,2021-03-26
"44","Piegari Carnes, Ciudad de Buenos Aires","miercoles",11,0,-34.5899763,-58.3821461,2021-03-26
"45","Piegari Carnes, Ciudad de Buenos Aires","miercoles",12,18.75,-34.5899763,-58.3821461,2021-03-26
"46","Piegari Carnes, Ciudad de Buenos Aires","miercoles",13,30,-34.5899763,-58.3821461,2021-03-26
"47","Piegari Carnes, Ciudad de Buenos Aires","miercoles",14,30.75,-34.5899763,-58.3821461,2021-03-26
"48","Piegari Carnes, Ciudad de Buenos Aires","miercoles",15,21.75,-34.5899763,-58.3821461,2021-03-26
"49","Piegari Carnes, Ciudad de Buenos Aires","miercoles",16,10.5,-34.5899763,-58.3821461,2021-03-26
"50","Piegari Carnes, Ciudad de Buenos Aires","miercoles",17,5.25,-34.5899763,-58.3821461,2021-03-26
"51","Piegari Carnes, Ciudad de Buenos Aires","miercoles",18,7.5,-34.5899763,-58.3821461,2021-03-26
"52","Piegari Carnes, Ciudad de Buenos Aires","miercoles",19,15,-34.5899763,-58.3821461,2021-03-26
"53","Piegari Carnes, Ciudad de Buenos Aires","miercoles",20,27.75,-34.5899763,-58.3821461,2021-03-26
"54","Piegari Carnes, Ciudad de Buenos Aires","miercoles",21,41.25,-34.5899763,-58.3821461,2021-03-26
"55","Piegari Carnes, Ciudad de Buenos Aires","miercoles",22,43.5,-34.5899763,-58.3821461,2021-03-26
"56","Piegari Carnes, Ciudad de Buenos Aires","miercoles",23,30.75,-34.5899763,-58.3821461,2021-03-26
"57","Piegari Carnes, Ciudad de Buenos Aires","jueves",0,13.5,-34.5899763,-58.3821461,2021-03-26
"58","Piegari Carnes, Ciudad de Buenos Aires","jueves",6,0,-34.5899763,-58.3821461,2021-03-26
"59","Piegari Carnes, Ciudad de Buenos Aires","jueves",7,0,-34.5899763,-58.3821461,2021-03-26
"60","Piegari Carnes, Ciudad de Buenos Aires","jueves",8,0,-34.5899763,-58.3821461,2021-03-26
"61","Piegari Carnes, Ciudad de Buenos Aires","jueves",9,0,-34.5899763,-58.3821461,2021-03-26
"62","Piegari Carnes, Ciudad de Buenos Aires","jueves",10,0,-34.5899763,-58.3821461,2021-03-26
"63","Piegari Carnes, Ciudad de Buenos Aires","jueves",11,0,-34.5899763,-58.3821461,2021-03-26
"64","Piegari Carnes, Ciudad de Buenos Aires","jueves",12,18.75,-34.5899763,-58.3821461,2021-03-26
"65","Piegari Carnes, Ciudad de Buenos Aires","jueves",13,27,-34.5899763,-58.3821461,2021-03-26
"66","Piegari Carnes, Ciudad de Buenos Aires","jueves",14,30,-34.5899763,-58.3821461,2021-03-26
"67","Piegari Carnes, Ciudad de Buenos Aires","jueves",15,27.75,-34.5899763,-58.3821461,2021-03-26
"68","Piegari Carnes, Ciudad de Buenos Aires","jueves",16,20.25,-34.5899763,-58.3821461,2021-03-26
"69","Piegari Carnes, Ciudad de Buenos Aires","jueves",17,13.5,-34.5899763,-58.3821461,2021-03-26
"70","Piegari Carnes, Ciudad de Buenos Aires","jueves",18,12,-34.5899763,-58.3821461,2021-03-26
"71","Piegari Carnes, Ciudad de Buenos Aires","jueves",19,17.25,-34.5899763,-58.3821461,2021-03-26
"72","Piegari Carnes, Ciudad de Buenos Aires","jueves",20,28.5,-34.5899763,-58.3821461,2021-03-26
"73","Piegari Carnes, Ciudad de Buenos Aires","jueves",21,37.5,-34.5899763,-58.3821461,2021-03-26
"74","Piegari Carnes, Ciudad de Buenos Aires","jueves",22,38.25,-34.5899763,-58.3821461,2021-03-26
"75","Piegari Carnes, Ciudad de Buenos Aires","jueves",23,30,-34.5899763,-58.3821461,2021-03-26
"76","Piegari Carnes, Ciudad de Buenos Aires","viernes",0,16.5,-34.5899763,-58.3821461,2021-03-26
"77","Piegari Carnes, Ciudad de Buenos Aires","viernes",6,0,-34.5899763,-58.3821461,2021-03-26
"78","Piegari Carnes, Ciudad de Buenos Aires","viernes",7,0,-34.5899763,-58.3821461,2021-03-26
"79","Piegari Carnes, Ciudad de Buenos Aires","viernes",8,0,-34.5899763,-58.3821461,2021-03-26
"80","Piegari Carnes, Ciudad de Buenos Aires","viernes",9,0,-34.5899763,-58.3821461,2021-03-26
"81","Piegari Carnes, Ciudad de Buenos Aires","viernes",10,0,-34.5899763,-58.3821461,2021-03-26
"82","Piegari Carnes, Ciudad de Buenos Aires","viernes",11,0,-34.5899763,-58.3821461,2021-03-26
"83","Piegari Carnes, Ciudad de Buenos Aires","viernes",12,29.25,-34.5899763,-58.3821461,2021-03-26
"84","Piegari Carnes, Ciudad de Buenos Aires","viernes",13,36,-34.5899763,-58.3821461,2021-03-26
"85","Piegari Carnes, Ciudad de Buenos Aires","viernes",14,36.75,-34.5899763,-58.3821461,2021-03-26
"86","Piegari Carnes, Ciudad de Buenos Aires","viernes",15,31.5,-34.5899763,-58.3821461,2021-03-26
"87","Piegari Carnes, Ciudad de Buenos Aires","viernes",16,22.5,-34.5899763,-58.3821461,2021-03-26
"88","Piegari Carnes, Ciudad de Buenos Aires","viernes",17,15,-34.5899763,-58.3821461,2021-03-26
"89","Piegari Carnes, Ciudad de Buenos Aires","viernes",18,15,-34.5899763,-58.3821461,2021-03-26
"90","Piegari Carnes, Ciudad de Buenos Aires","viernes",19,25.5,-34.5899763,-58.3821461,2021-03-26
"91","Piegari Carnes, Ciudad de Buenos Aires","viernes",20,45,-34.5899763,-58.3821461,2021-03-26
"92","Piegari Carnes, Ciudad de Buenos Aires","viernes",21,63,-34.5899763,-58.3821461,2021-03-26
"93","Piegari Carnes, Ciudad de Buenos Aires","viernes",22,66.75,-34.5899763,-58.3821461,2021-03-26
"94","Piegari Carnes, Ciudad de Buenos Aires","viernes",23,52.5,-34.5899763,-58.3821461,2021-03-26
"95","Piegari Carnes, Ciudad de Buenos Aires","sabado",0,29.25,-34.5899763,-58.3821461,2021-03-26
"96","Piegari Carnes, Ciudad de Buenos Aires","sabado",6,0,-34.5899763,-58.3821461,2021-03-26
"97","Piegari Carnes, Ciudad de Buenos Aires","sabado",7,0,-34.5899763,-58.3821461,2021-03-26
"98","Piegari Carnes, Ciudad de Buenos Aires","sabado",8,0,-34.5899763,-58.3821461,2021-03-26
"99","Piegari Carnes, Ciudad de Buenos Aires","sabado",9,0,-34.5899763,-58.3821461,2021-03-26
"100","Piegari Carnes, Ciudad de Buenos Aires","sabado",10,0,-34.5899763,-58.3821461,2021-03-26
"101","Piegari Carnes, Ciudad de Buenos Aires","sabado",11,0,-34.5899763,-58.3821461,2021-03-26
"102","Piegari Carnes, Ciudad de Buenos Aires","sabado",12,22.5,-34.5899763,-58.3821461,2021-03-26
"103","Piegari Carnes, Ciudad de Buenos Aires","sabado",13,29.25,-34.5899763,-58.3821461,2021-03-26
"104","Piegari Carnes, Ciudad de Buenos Aires","sabado",14,30,-34.5899763,-58.3821461,2021-03-26
"105","Piegari Carnes, Ciudad de Buenos Aires","sabado",15,24.75,-34.5899763,-58.3821461,2021-03-26
"106","Piegari Carnes, Ciudad de Buenos Aires","sabado",16,16.5,-34.5899763,-58.3821461,2021-03-26
"107","Piegari Carnes, Ciudad de Buenos Aires","sabado",17,10.5,-34.5899763,-58.3821461,2021-03-26
"108","Piegari Carnes, Ciudad de Buenos Aires","sabado",18,12,-34.5899763,-58.3821461,2021-03-26
"109","Piegari Carnes, Ciudad de Buenos Aires","sabado",19,27,-34.5899763,-58.3821461,2021-03-26
"110","Piegari Carnes, Ciudad de Buenos Aires","sabado",20,51.75,-34.5899763,-58.3821461,2021-03-26
"111","Piegari Carnes, Ciudad de Buenos Aires","sabado",21,72.75,-34.5899763,-58.3821461,2021-03-26
"112","Piegari Carnes, Ciudad de Buenos Aires","sabado",22,75,-34.5899763,-58.3821461,2021-03-26
"113","Piegari Carnes, Ciudad de Buenos Aires","sabado",23,55.5,-34.5899763,-58.3821461,2021-03-26
"114","Piegari Carnes, Ciudad de Buenos Aires","domingo",0,29.25,-34.5899763,-58.3821461,2021-03-26
"115","Piegari Carnes, Ciudad de Buenos Aires","domingo",6,0,-34.5899763,-58.3821461,2021-03-26
"116","Piegari Carnes, Ciudad de Buenos Aires","domingo",7,0,-34.5899763,-58.3821461,2021-03-26
"117","Piegari Carnes, Ciudad de Buenos Aires","domingo",8,0,-34.5899763,-58.3821461,2021-03-26
"118","Piegari Carnes, Ciudad de Buenos Aires","domingo",9,0,-34.5899763,-58.3821461,2021-03-26
"119","Piegari Carnes, Ciudad de Buenos Aires","domingo",10,0,-34.5899763,-58.3821461,2021-03-26
"120","Piegari Carnes, Ciudad de Buenos Aires","domingo",11,0,-34.5899763,-58.3821461,2021-03-26
"121","Piegari Carnes, Ciudad de Buenos Aires","domingo",12,30,-34.5899763,-58.3821461,2021-03-26
"122","Piegari Carnes, Ciudad de Buenos Aires","domingo",13,46.5,-34.5899763,-58.3821461,2021-03-26
"123","Piegari Carnes, Ciudad de Buenos Aires","domingo",14,55.5,-34.5899763,-58.3821461,2021-03-26
"124","Piegari Carnes, Ciudad de Buenos Aires","domingo",15,49.5,-34.5899763,-58.3821461,2021-03-26
"125","Piegari Carnes, Ciudad de Buenos Aires","domingo",16,34.5,-34.5899763,-58.3821461,2021-03-26
"126","Piegari Carnes, Ciudad de Buenos Aires","domingo",17,18.75,-34.5899763,-58.3821461,2021-03-26
"127","Piegari Carnes, Ciudad de Buenos Aires","domingo",18,11.25,-34.5899763,-58.3821461,2021-03-26
"128","Piegari Carnes, Ciudad de Buenos Aires","domingo",19,13.5,-34.5899763,-58.3821461,2021-03-26
"129","Piegari Carnes, Ciudad de Buenos Aires","domingo",20,24,-34.5899763,-58.3821461,2021-03-26
"130","Piegari Carnes, Ciudad de Buenos Aires","domingo",21,33,-34.5899763,-58.3821461,2021-03-26
"131","Piegari Carnes, Ciudad de Buenos Aires","domingo",22,33,-34.5899763,-58.3821461,2021-03-26
"132","Piegari Carnes, Ciudad de Buenos Aires","domingo",23,23.25,-34.5899763,-58.3821461,2021-03-26
"133","Piegari Carnes, Ciudad de Buenos Aires","lunes",0,11.25,-34.5899763,-58.3821461,2021-03-26
