"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Pindal, Ciudad de Buenos Aires","lunes",6,0,-34.5745351,-58.4865024,2021-03-26
"2","Pindal, Ciudad de Buenos Aires","lunes",7,3,-34.5745351,-58.4865024,2021-03-26
"3","Pindal, Ciudad de Buenos Aires","lunes",8,8.25,-34.5745351,-58.4865024,2021-03-26
"4","Pindal, Ciudad de Buenos Aires","lunes",9,14.25,-34.5745351,-58.4865024,2021-03-26
"5","Pindal, Ciudad de Buenos Aires","lunes",10,20.25,-34.5745351,-58.4865024,2021-03-26
"6","Pindal, Ciudad de Buenos Aires","lunes",11,26.25,-34.5745351,-58.4865024,2021-03-26
"7","Pindal, Ciudad de Buenos Aires","lunes",12,30.75,-34.5745351,-58.4865024,2021-03-26
"8","Pindal, Ciudad de Buenos Aires","lunes",13,32.25,-34.5745351,-58.4865024,2021-03-26
"9","Pindal, Ciudad de Buenos Aires","lunes",14,31.5,-34.5745351,-58.4865024,2021-03-26
"10","Pindal, Ciudad de Buenos Aires","lunes",15,29.25,-34.5745351,-58.4865024,2021-03-26
"11","Pindal, Ciudad de Buenos Aires","lunes",16,27.75,-34.5745351,-58.4865024,2021-03-26
"12","Pindal, Ciudad de Buenos Aires","lunes",17,28.5,-34.5745351,-58.4865024,2021-03-26
"13","Pindal, Ciudad de Buenos Aires","lunes",18,33,-34.5745351,-58.4865024,2021-03-26
"14","Pindal, Ciudad de Buenos Aires","lunes",19,39,-34.5745351,-58.4865024,2021-03-26
"15","Pindal, Ciudad de Buenos Aires","lunes",20,42,-34.5745351,-58.4865024,2021-03-26
"16","Pindal, Ciudad de Buenos Aires","lunes",21,39,-34.5745351,-58.4865024,2021-03-26
"17","Pindal, Ciudad de Buenos Aires","lunes",22,30,-34.5745351,-58.4865024,2021-03-26
"18","Pindal, Ciudad de Buenos Aires","lunes",23,17.25,-34.5745351,-58.4865024,2021-03-26
"19","Pindal, Ciudad de Buenos Aires","martes",6,0,-34.5745351,-58.4865024,2021-03-26
"20","Pindal, Ciudad de Buenos Aires","martes",7,5.25,-34.5745351,-58.4865024,2021-03-26
"21","Pindal, Ciudad de Buenos Aires","martes",8,12,-34.5745351,-58.4865024,2021-03-26
"22","Pindal, Ciudad de Buenos Aires","martes",9,18.75,-34.5745351,-58.4865024,2021-03-26
"23","Pindal, Ciudad de Buenos Aires","martes",10,27,-34.5745351,-58.4865024,2021-03-26
"24","Pindal, Ciudad de Buenos Aires","martes",11,35.25,-34.5745351,-58.4865024,2021-03-26
"25","Pindal, Ciudad de Buenos Aires","martes",12,41.25,-34.5745351,-58.4865024,2021-03-26
"26","Pindal, Ciudad de Buenos Aires","martes",13,45,-34.5745351,-58.4865024,2021-03-26
"27","Pindal, Ciudad de Buenos Aires","martes",14,45.75,-34.5745351,-58.4865024,2021-03-26
"28","Pindal, Ciudad de Buenos Aires","martes",15,43.5,-34.5745351,-58.4865024,2021-03-26
"29","Pindal, Ciudad de Buenos Aires","martes",16,39,-34.5745351,-58.4865024,2021-03-26
"30","Pindal, Ciudad de Buenos Aires","martes",17,36,-34.5745351,-58.4865024,2021-03-26
"31","Pindal, Ciudad de Buenos Aires","martes",18,36.75,-34.5745351,-58.4865024,2021-03-26
