"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Pinuccio Trattoria, Ciudad de Buenos Aires","lunes",6,0,-34.5625672,-58.4578753,2021-03-26
"2","Pinuccio Trattoria, Ciudad de Buenos Aires","lunes",7,0,-34.5625672,-58.4578753,2021-03-26
"3","Pinuccio Trattoria, Ciudad de Buenos Aires","lunes",8,0,-34.5625672,-58.4578753,2021-03-26
"4","Pinuccio Trattoria, Ciudad de Buenos Aires","lunes",9,0,-34.5625672,-58.4578753,2021-03-26
"5","Pinuccio Trattoria, Ciudad de Buenos Aires","lunes",10,0,-34.5625672,-58.4578753,2021-03-26
"6","Pinuccio Trattoria, Ciudad de Buenos Aires","lunes",11,0,-34.5625672,-58.4578753,2021-03-26
"7","Pinuccio Trattoria, Ciudad de Buenos Aires","lunes",12,21,-34.5625672,-58.4578753,2021-03-26
"8","Pinuccio Trattoria, Ciudad de Buenos Aires","lunes",13,15,-34.5625672,-58.4578753,2021-03-26
"9","Pinuccio Trattoria, Ciudad de Buenos Aires","lunes",14,14.25,-34.5625672,-58.4578753,2021-03-26
"10","Pinuccio Trattoria, Ciudad de Buenos Aires","lunes",15,18.75,-34.5625672,-58.4578753,2021-03-26
"11","Pinuccio Trattoria, Ciudad de Buenos Aires","lunes",16,0,-34.5625672,-58.4578753,2021-03-26
"12","Pinuccio Trattoria, Ciudad de Buenos Aires","lunes",17,0,-34.5625672,-58.4578753,2021-03-26
"13","Pinuccio Trattoria, Ciudad de Buenos Aires","lunes",18,0,-34.5625672,-58.4578753,2021-03-26
"14","Pinuccio Trattoria, Ciudad de Buenos Aires","lunes",19,0,-34.5625672,-58.4578753,2021-03-26
"15","Pinuccio Trattoria, Ciudad de Buenos Aires","lunes",20,23.25,-34.5625672,-58.4578753,2021-03-26
"16","Pinuccio Trattoria, Ciudad de Buenos Aires","lunes",21,26.25,-34.5625672,-58.4578753,2021-03-26
"17","Pinuccio Trattoria, Ciudad de Buenos Aires","lunes",22,30.75,-34.5625672,-58.4578753,2021-03-26
"18","Pinuccio Trattoria, Ciudad de Buenos Aires","lunes",23,27.75,-34.5625672,-58.4578753,2021-03-26
"19","Pinuccio Trattoria, Ciudad de Buenos Aires","martes",0,16.5,-34.5625672,-58.4578753,2021-03-26
"20","Pinuccio Trattoria, Ciudad de Buenos Aires","martes",6,0,-34.5625672,-58.4578753,2021-03-26
"21","Pinuccio Trattoria, Ciudad de Buenos Aires","martes",7,0,-34.5625672,-58.4578753,2021-03-26
"22","Pinuccio Trattoria, Ciudad de Buenos Aires","martes",8,0,-34.5625672,-58.4578753,2021-03-26
"23","Pinuccio Trattoria, Ciudad de Buenos Aires","martes",9,0,-34.5625672,-58.4578753,2021-03-26
"24","Pinuccio Trattoria, Ciudad de Buenos Aires","martes",10,0,-34.5625672,-58.4578753,2021-03-26
"25","Pinuccio Trattoria, Ciudad de Buenos Aires","martes",11,0,-34.5625672,-58.4578753,2021-03-26
"26","Pinuccio Trattoria, Ciudad de Buenos Aires","martes",12,12.75,-34.5625672,-58.4578753,2021-03-26
"27","Pinuccio Trattoria, Ciudad de Buenos Aires","martes",13,19.5,-34.5625672,-58.4578753,2021-03-26
"28","Pinuccio Trattoria, Ciudad de Buenos Aires","martes",14,26.25,-34.5625672,-58.4578753,2021-03-26
"29","Pinuccio Trattoria, Ciudad de Buenos Aires","martes",15,30.75,-34.5625672,-58.4578753,2021-03-26
"30","Pinuccio Trattoria, Ciudad de Buenos Aires","martes",16,0,-34.5625672,-58.4578753,2021-03-26
"31","Pinuccio Trattoria, Ciudad de Buenos Aires","martes",17,0,-34.5625672,-58.4578753,2021-03-26
"32","Pinuccio Trattoria, Ciudad de Buenos Aires","martes",18,0,-34.5625672,-58.4578753,2021-03-26
"33","Pinuccio Trattoria, Ciudad de Buenos Aires","martes",19,0,-34.5625672,-58.4578753,2021-03-26
"34","Pinuccio Trattoria, Ciudad de Buenos Aires","martes",20,36.75,-34.5625672,-58.4578753,2021-03-26
