"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Pizza Alla Pala Pueyrredón, Ciudad de Buenos Aires","lunes",6,0,-34.5959952,-58.4027564,2021-03-29
"2","Pizza Alla Pala Pueyrredón, Ciudad de Buenos Aires","lunes",7,0,-34.5959952,-58.4027564,2021-03-29
"3","Pizza Alla Pala Pueyrredón, Ciudad de Buenos Aires","lunes",8,0.75,-34.5959952,-58.4027564,2021-03-29
"4","Pizza Alla Pala Pueyrredón, Ciudad de Buenos Aires","lunes",9,0.75,-34.5959952,-58.4027564,2021-03-29
"5","Pizza Alla Pala Pueyrredón, Ciudad de Buenos Aires","lunes",10,0.75,-34.5959952,-58.4027564,2021-03-29
"6","Pizza Alla Pala Pueyrredón, Ciudad de Buenos Aires","lunes",11,0.75,-34.5959952,-58.4027564,2021-03-29
"7","Pizza Alla Pala Pueyrredón, Ciudad de Buenos Aires","lunes",12,1.5,-34.5959952,-58.4027564,2021-03-29
"8","Pizza Alla Pala Pueyrredón, Ciudad de Buenos Aires","lunes",13,3.75,-34.5959952,-58.4027564,2021-03-29
"9","Pizza Alla Pala Pueyrredón, Ciudad de Buenos Aires","lunes",14,5.25,-34.5959952,-58.4027564,2021-03-29
"10","Pizza Alla Pala Pueyrredón, Ciudad de Buenos Aires","lunes",15,6,-34.5959952,-58.4027564,2021-03-29
"11","Pizza Alla Pala Pueyrredón, Ciudad de Buenos Aires","lunes",16,4.5,-34.5959952,-58.4027564,2021-03-29
"12","Pizza Alla Pala Pueyrredón, Ciudad de Buenos Aires","lunes",17,2.25,-34.5959952,-58.4027564,2021-03-29
"13","Pizza Alla Pala Pueyrredón, Ciudad de Buenos Aires","lunes",18,3.75,-34.5959952,-58.4027564,2021-03-29
"14","Pizza Alla Pala Pueyrredón, Ciudad de Buenos Aires","lunes",19,13.5,-34.5959952,-58.4027564,2021-03-29
"15","Pizza Alla Pala Pueyrredón, Ciudad de Buenos Aires","lunes",20,32.25,-34.5959952,-58.4027564,2021-03-29
"16","Pizza Alla Pala Pueyrredón, Ciudad de Buenos Aires","lunes",21,42.75,-34.5959952,-58.4027564,2021-03-29
"17","Pizza Alla Pala Pueyrredón, Ciudad de Buenos Aires","lunes",22,30,-34.5959952,-58.4027564,2021-03-29
"18","Pizza Alla Pala Pueyrredón, Ciudad de Buenos Aires","lunes",23,8.25,-34.5959952,-58.4027564,2021-03-29
"19","Pizza Alla Pala Pueyrredón, Ciudad de Buenos Aires","martes",6,0,-34.5959952,-58.4027564,2021-03-29
"20","Pizza Alla Pala Pueyrredón, Ciudad de Buenos Aires","martes",7,0,-34.5959952,-58.4027564,2021-03-29
"21","Pizza Alla Pala Pueyrredón, Ciudad de Buenos Aires","martes",8,0.75,-34.5959952,-58.4027564,2021-03-29
"22","Pizza Alla Pala Pueyrredón, Ciudad de Buenos Aires","martes",9,0.75,-34.5959952,-58.4027564,2021-03-29
"23","Pizza Alla Pala Pueyrredón, Ciudad de Buenos Aires","martes",10,0.75,-34.5959952,-58.4027564,2021-03-29
"24","Pizza Alla Pala Pueyrredón, Ciudad de Buenos Aires","martes",11,5.25,-34.5959952,-58.4027564,2021-03-29
"25","Pizza Alla Pala Pueyrredón, Ciudad de Buenos Aires","martes",12,10.5,-34.5959952,-58.4027564,2021-03-29
"26","Pizza Alla Pala Pueyrredón, Ciudad de Buenos Aires","martes",13,14.25,-34.5959952,-58.4027564,2021-03-29
"27","Pizza Alla Pala Pueyrredón, Ciudad de Buenos Aires","martes",14,15.75,-34.5959952,-58.4027564,2021-03-29
