"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Pizza Boom, Ciudad de Buenos Aires","lunes",6,0,-34.6041288,-58.4147275,2021-03-29
"2","Pizza Boom, Ciudad de Buenos Aires","lunes",7,0,-34.6041288,-58.4147275,2021-03-29
"3","Pizza Boom, Ciudad de Buenos Aires","lunes",8,0,-34.6041288,-58.4147275,2021-03-29
"4","Pizza Boom, Ciudad de Buenos Aires","lunes",9,0,-34.6041288,-58.4147275,2021-03-29
"5","Pizza Boom, Ciudad de Buenos Aires","lunes",10,0,-34.6041288,-58.4147275,2021-03-29
"6","Pizza Boom, Ciudad de Buenos Aires","lunes",11,0,-34.6041288,-58.4147275,2021-03-29
"7","Pizza Boom, Ciudad de Buenos Aires","lunes",12,15,-34.6041288,-58.4147275,2021-03-29
"8","Pizza Boom, Ciudad de Buenos Aires","lunes",13,19.5,-34.6041288,-58.4147275,2021-03-29
"9","Pizza Boom, Ciudad de Buenos Aires","lunes",14,21.75,-34.6041288,-58.4147275,2021-03-29
"10","Pizza Boom, Ciudad de Buenos Aires","lunes",15,24,-34.6041288,-58.4147275,2021-03-29
"11","Pizza Boom, Ciudad de Buenos Aires","lunes",16,24.75,-34.6041288,-58.4147275,2021-03-29
"12","Pizza Boom, Ciudad de Buenos Aires","lunes",17,22.5,-34.6041288,-58.4147275,2021-03-29
"13","Pizza Boom, Ciudad de Buenos Aires","lunes",18,21,-34.6041288,-58.4147275,2021-03-29
"14","Pizza Boom, Ciudad de Buenos Aires","lunes",19,20.25,-34.6041288,-58.4147275,2021-03-29
"15","Pizza Boom, Ciudad de Buenos Aires","lunes",20,27,-34.6041288,-58.4147275,2021-03-29
"16","Pizza Boom, Ciudad de Buenos Aires","lunes",21,41.25,-34.6041288,-58.4147275,2021-03-29
"17","Pizza Boom, Ciudad de Buenos Aires","lunes",22,35.25,-34.6041288,-58.4147275,2021-03-29
"18","Pizza Boom, Ciudad de Buenos Aires","lunes",23,0,-34.6041288,-58.4147275,2021-03-29
"19","Pizza Boom, Ciudad de Buenos Aires","martes",6,0,-34.6041288,-58.4147275,2021-03-29
"20","Pizza Boom, Ciudad de Buenos Aires","martes",7,0,-34.6041288,-58.4147275,2021-03-29
"21","Pizza Boom, Ciudad de Buenos Aires","martes",8,0,-34.6041288,-58.4147275,2021-03-29
"22","Pizza Boom, Ciudad de Buenos Aires","martes",9,0,-34.6041288,-58.4147275,2021-03-29
"23","Pizza Boom, Ciudad de Buenos Aires","martes",10,0,-34.6041288,-58.4147275,2021-03-29
"24","Pizza Boom, Ciudad de Buenos Aires","martes",11,0,-34.6041288,-58.4147275,2021-03-29
"25","Pizza Boom, Ciudad de Buenos Aires","martes",12,12,-34.6041288,-58.4147275,2021-03-29
"26","Pizza Boom, Ciudad de Buenos Aires","martes",13,26.25,-34.6041288,-58.4147275,2021-03-29
"27","Pizza Boom, Ciudad de Buenos Aires","martes",14,19.5,-34.6041288,-58.4147275,2021-03-29
"28","Pizza Boom, Ciudad de Buenos Aires","martes",15,15.75,-34.6041288,-58.4147275,2021-03-29
"29","Pizza Boom, Ciudad de Buenos Aires","martes",16,19.5,-34.6041288,-58.4147275,2021-03-29
"30","Pizza Boom, Ciudad de Buenos Aires","martes",17,21.75,-34.6041288,-58.4147275,2021-03-29
"31","Pizza Boom, Ciudad de Buenos Aires","martes",18,22.5,-34.6041288,-58.4147275,2021-03-29
"32","Pizza Boom, Ciudad de Buenos Aires","martes",19,22.5,-34.6041288,-58.4147275,2021-03-29
"33","Pizza Boom, Ciudad de Buenos Aires","martes",20,21,-34.6041288,-58.4147275,2021-03-29
"34","Pizza Boom, Ciudad de Buenos Aires","martes",21,17.25,-34.6041288,-58.4147275,2021-03-29
"35","Pizza Boom, Ciudad de Buenos Aires","martes",22,14.25,-34.6041288,-58.4147275,2021-03-29
"36","Pizza Boom, Ciudad de Buenos Aires","martes",23,0,-34.6041288,-58.4147275,2021-03-29
"37","Pizza Boom, Ciudad de Buenos Aires","miercoles",6,0,-34.6041288,-58.4147275,2021-03-29
"38","Pizza Boom, Ciudad de Buenos Aires","miercoles",7,0,-34.6041288,-58.4147275,2021-03-29
"39","Pizza Boom, Ciudad de Buenos Aires","miercoles",8,0,-34.6041288,-58.4147275,2021-03-29
"40","Pizza Boom, Ciudad de Buenos Aires","miercoles",9,0,-34.6041288,-58.4147275,2021-03-29
"41","Pizza Boom, Ciudad de Buenos Aires","miercoles",10,0,-34.6041288,-58.4147275,2021-03-29
