"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Pizza Factory, Ciudad de Buenos Aires","lunes",6,0,-34.5744873,-58.431837,2021-03-30
"2","Pizza Factory, Ciudad de Buenos Aires","lunes",7,0,-34.5744873,-58.431837,2021-03-30
"3","Pizza Factory, Ciudad de Buenos Aires","lunes",8,0,-34.5744873,-58.431837,2021-03-30
"4","Pizza Factory, Ciudad de Buenos Aires","lunes",9,0,-34.5744873,-58.431837,2021-03-30
"5","Pizza Factory, Ciudad de Buenos Aires","lunes",10,0,-34.5744873,-58.431837,2021-03-30
"6","Pizza Factory, Ciudad de Buenos Aires","lunes",11,0,-34.5744873,-58.431837,2021-03-30
"7","Pizza Factory, Ciudad de Buenos Aires","lunes",12,16.5,-34.5744873,-58.431837,2021-03-30
"8","Pizza Factory, Ciudad de Buenos Aires","lunes",13,21,-34.5744873,-58.431837,2021-03-30
"9","Pizza Factory, Ciudad de Buenos Aires","lunes",14,15.75,-34.5744873,-58.431837,2021-03-30
"10","Pizza Factory, Ciudad de Buenos Aires","lunes",15,6,-34.5744873,-58.431837,2021-03-30
"11","Pizza Factory, Ciudad de Buenos Aires","lunes",16,2.25,-34.5744873,-58.431837,2021-03-30
"12","Pizza Factory, Ciudad de Buenos Aires","lunes",17,7.5,-34.5744873,-58.431837,2021-03-30
"13","Pizza Factory, Ciudad de Buenos Aires","lunes",18,23.25,-34.5744873,-58.431837,2021-03-30
"14","Pizza Factory, Ciudad de Buenos Aires","lunes",19,32.25,-34.5744873,-58.431837,2021-03-30
"15","Pizza Factory, Ciudad de Buenos Aires","lunes",20,27,-34.5744873,-58.431837,2021-03-30
"16","Pizza Factory, Ciudad de Buenos Aires","lunes",21,23.25,-34.5744873,-58.431837,2021-03-30
"17","Pizza Factory, Ciudad de Buenos Aires","lunes",22,23.25,-34.5744873,-58.431837,2021-03-30
"18","Pizza Factory, Ciudad de Buenos Aires","lunes",23,16.5,-34.5744873,-58.431837,2021-03-30
"19","Pizza Factory, Ciudad de Buenos Aires","martes",6,0,-34.5744873,-58.431837,2021-03-30
"20","Pizza Factory, Ciudad de Buenos Aires","martes",7,0,-34.5744873,-58.431837,2021-03-30
"21","Pizza Factory, Ciudad de Buenos Aires","martes",8,0,-34.5744873,-58.431837,2021-03-30
"22","Pizza Factory, Ciudad de Buenos Aires","martes",9,0,-34.5744873,-58.431837,2021-03-30
"23","Pizza Factory, Ciudad de Buenos Aires","martes",10,0,-34.5744873,-58.431837,2021-03-30
"24","Pizza Factory, Ciudad de Buenos Aires","martes",11,0,-34.5744873,-58.431837,2021-03-30
"25","Pizza Factory, Ciudad de Buenos Aires","martes",12,12.75,-34.5744873,-58.431837,2021-03-30
"26","Pizza Factory, Ciudad de Buenos Aires","martes",13,23.25,-34.5744873,-58.431837,2021-03-30
"27","Pizza Factory, Ciudad de Buenos Aires","martes",14,23.25,-34.5744873,-58.431837,2021-03-30
"28","Pizza Factory, Ciudad de Buenos Aires","martes",15,12.75,-34.5744873,-58.431837,2021-03-30
"29","Pizza Factory, Ciudad de Buenos Aires","martes",16,5.25,-34.5744873,-58.431837,2021-03-30
"30","Pizza Factory, Ciudad de Buenos Aires","martes",17,6,-34.5744873,-58.431837,2021-03-30
"31","Pizza Factory, Ciudad de Buenos Aires","martes",18,12.75,-34.5744873,-58.431837,2021-03-30
"32","Pizza Factory, Ciudad de Buenos Aires","martes",19,19.5,-34.5744873,-58.431837,2021-03-30
"33","Pizza Factory, Ciudad de Buenos Aires","martes",20,23.25,-34.5744873,-58.431837,2021-03-30
"34","Pizza Factory, Ciudad de Buenos Aires","martes",21,21,-34.5744873,-58.431837,2021-03-30
"35","Pizza Factory, Ciudad de Buenos Aires","martes",22,15.75,-34.5744873,-58.431837,2021-03-30
"36","Pizza Factory, Ciudad de Buenos Aires","martes",23,7.5,-34.5744873,-58.431837,2021-03-30
"37","Pizza Factory, Ciudad de Buenos Aires","miercoles",6,0,-34.5744873,-58.431837,2021-03-30
"38","Pizza Factory, Ciudad de Buenos Aires","miercoles",7,0,-34.5744873,-58.431837,2021-03-30
"39","Pizza Factory, Ciudad de Buenos Aires","miercoles",8,0,-34.5744873,-58.431837,2021-03-30
"40","Pizza Factory, Ciudad de Buenos Aires","miercoles",9,0,-34.5744873,-58.431837,2021-03-30
"41","Pizza Factory, Ciudad de Buenos Aires","miercoles",10,0,-34.5744873,-58.431837,2021-03-30
"42","Pizza Factory, Ciudad de Buenos Aires","miercoles",11,0,-34.5744873,-58.431837,2021-03-30
"43","Pizza Factory, Ciudad de Buenos Aires","miercoles",12,9,-34.5744873,-58.431837,2021-03-30
"44","Pizza Factory, Ciudad de Buenos Aires","miercoles",13,19.5,-34.5744873,-58.431837,2021-03-30
"45","Pizza Factory, Ciudad de Buenos Aires","miercoles",14,18,-34.5744873,-58.431837,2021-03-30
"46","Pizza Factory, Ciudad de Buenos Aires","miercoles",15,7.5,-34.5744873,-58.431837,2021-03-30
"47","Pizza Factory, Ciudad de Buenos Aires","miercoles",16,3.75,-34.5744873,-58.431837,2021-03-30
"48","Pizza Factory, Ciudad de Buenos Aires","miercoles",17,3.75,-34.5744873,-58.431837,2021-03-30
"49","Pizza Factory, Ciudad de Buenos Aires","miercoles",18,5.25,-34.5744873,-58.431837,2021-03-30
"50","Pizza Factory, Ciudad de Buenos Aires","miercoles",19,14.25,-34.5744873,-58.431837,2021-03-30
"51","Pizza Factory, Ciudad de Buenos Aires","miercoles",20,36.75,-34.5744873,-58.431837,2021-03-30
"52","Pizza Factory, Ciudad de Buenos Aires","miercoles",21,54.75,-34.5744873,-58.431837,2021-03-30
"53","Pizza Factory, Ciudad de Buenos Aires","miercoles",22,44.25,-34.5744873,-58.431837,2021-03-30
"54","Pizza Factory, Ciudad de Buenos Aires","miercoles",23,19.5,-34.5744873,-58.431837,2021-03-30
"55","Pizza Factory, Ciudad de Buenos Aires","jueves",6,0,-34.5744873,-58.431837,2021-03-30
"56","Pizza Factory, Ciudad de Buenos Aires","jueves",7,0,-34.5744873,-58.431837,2021-03-30
"57","Pizza Factory, Ciudad de Buenos Aires","jueves",8,0,-34.5744873,-58.431837,2021-03-30
"58","Pizza Factory, Ciudad de Buenos Aires","jueves",9,0,-34.5744873,-58.431837,2021-03-30
"59","Pizza Factory, Ciudad de Buenos Aires","jueves",10,0,-34.5744873,-58.431837,2021-03-30
"60","Pizza Factory, Ciudad de Buenos Aires","jueves",11,0,-34.5744873,-58.431837,2021-03-30
"61","Pizza Factory, Ciudad de Buenos Aires","jueves",12,15.75,-34.5744873,-58.431837,2021-03-30
"62","Pizza Factory, Ciudad de Buenos Aires","jueves",13,32.25,-34.5744873,-58.431837,2021-03-30
"63","Pizza Factory, Ciudad de Buenos Aires","jueves",14,33.75,-34.5744873,-58.431837,2021-03-30
"64","Pizza Factory, Ciudad de Buenos Aires","jueves",15,18,-34.5744873,-58.431837,2021-03-30
"65","Pizza Factory, Ciudad de Buenos Aires","jueves",16,5.25,-34.5744873,-58.431837,2021-03-30
"66","Pizza Factory, Ciudad de Buenos Aires","jueves",17,3.75,-34.5744873,-58.431837,2021-03-30
"67","Pizza Factory, Ciudad de Buenos Aires","jueves",18,9,-34.5744873,-58.431837,2021-03-30
"68","Pizza Factory, Ciudad de Buenos Aires","jueves",19,19.5,-34.5744873,-58.431837,2021-03-30
"69","Pizza Factory, Ciudad de Buenos Aires","jueves",20,27,-34.5744873,-58.431837,2021-03-30
"70","Pizza Factory, Ciudad de Buenos Aires","jueves",21,30,-34.5744873,-58.431837,2021-03-30
"71","Pizza Factory, Ciudad de Buenos Aires","jueves",22,21.75,-34.5744873,-58.431837,2021-03-30
"72","Pizza Factory, Ciudad de Buenos Aires","jueves",23,12.75,-34.5744873,-58.431837,2021-03-30
"73","Pizza Factory, Ciudad de Buenos Aires","viernes",6,0,-34.5744873,-58.431837,2021-03-30
"74","Pizza Factory, Ciudad de Buenos Aires","viernes",7,0,-34.5744873,-58.431837,2021-03-30
"75","Pizza Factory, Ciudad de Buenos Aires","viernes",8,0,-34.5744873,-58.431837,2021-03-30
"76","Pizza Factory, Ciudad de Buenos Aires","viernes",9,0,-34.5744873,-58.431837,2021-03-30
"77","Pizza Factory, Ciudad de Buenos Aires","viernes",10,0,-34.5744873,-58.431837,2021-03-30
