"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Pizza Paradiso, Ciudad de Buenos Aires","martes",6,0,-34.5574246,-58.4439329,2021-03-28
"2","Pizza Paradiso, Ciudad de Buenos Aires","martes",7,0,-34.5574246,-58.4439329,2021-03-28
"3","Pizza Paradiso, Ciudad de Buenos Aires","martes",8,0,-34.5574246,-58.4439329,2021-03-28
"4","Pizza Paradiso, Ciudad de Buenos Aires","martes",9,0,-34.5574246,-58.4439329,2021-03-28
"5","Pizza Paradiso, Ciudad de Buenos Aires","martes",10,0,-34.5574246,-58.4439329,2021-03-28
"6","Pizza Paradiso, Ciudad de Buenos Aires","martes",11,0,-34.5574246,-58.4439329,2021-03-28
"7","Pizza Paradiso, Ciudad de Buenos Aires","martes",12,6,-34.5574246,-58.4439329,2021-03-28
"8","Pizza Paradiso, Ciudad de Buenos Aires","martes",13,12.75,-34.5574246,-58.4439329,2021-03-28
"9","Pizza Paradiso, Ciudad de Buenos Aires","martes",14,16.5,-34.5574246,-58.4439329,2021-03-28
"10","Pizza Paradiso, Ciudad de Buenos Aires","martes",15,15.75,-34.5574246,-58.4439329,2021-03-28
"11","Pizza Paradiso, Ciudad de Buenos Aires","martes",16,10.5,-34.5574246,-58.4439329,2021-03-28
"12","Pizza Paradiso, Ciudad de Buenos Aires","martes",17,6.75,-34.5574246,-58.4439329,2021-03-28
"13","Pizza Paradiso, Ciudad de Buenos Aires","martes",18,9,-34.5574246,-58.4439329,2021-03-28
"14","Pizza Paradiso, Ciudad de Buenos Aires","martes",19,20.25,-34.5574246,-58.4439329,2021-03-28
"15","Pizza Paradiso, Ciudad de Buenos Aires","martes",20,34.5,-34.5574246,-58.4439329,2021-03-28
"16","Pizza Paradiso, Ciudad de Buenos Aires","martes",21,41.25,-34.5574246,-58.4439329,2021-03-28
"17","Pizza Paradiso, Ciudad de Buenos Aires","martes",22,35.25,-34.5574246,-58.4439329,2021-03-28
"18","Pizza Paradiso, Ciudad de Buenos Aires","martes",23,21,-34.5574246,-58.4439329,2021-03-28
"19","Pizza Paradiso, Ciudad de Buenos Aires","miercoles",6,0,-34.5574246,-58.4439329,2021-03-28
"20","Pizza Paradiso, Ciudad de Buenos Aires","miercoles",7,0,-34.5574246,-58.4439329,2021-03-28
"21","Pizza Paradiso, Ciudad de Buenos Aires","miercoles",8,0,-34.5574246,-58.4439329,2021-03-28
"22","Pizza Paradiso, Ciudad de Buenos Aires","miercoles",9,0,-34.5574246,-58.4439329,2021-03-28
"23","Pizza Paradiso, Ciudad de Buenos Aires","miercoles",10,0,-34.5574246,-58.4439329,2021-03-28
"24","Pizza Paradiso, Ciudad de Buenos Aires","miercoles",11,0,-34.5574246,-58.4439329,2021-03-28
"25","Pizza Paradiso, Ciudad de Buenos Aires","miercoles",12,12.75,-34.5574246,-58.4439329,2021-03-28
"26","Pizza Paradiso, Ciudad de Buenos Aires","miercoles",13,21,-34.5574246,-58.4439329,2021-03-28
"27","Pizza Paradiso, Ciudad de Buenos Aires","miercoles",14,22.5,-34.5574246,-58.4439329,2021-03-28
"28","Pizza Paradiso, Ciudad de Buenos Aires","miercoles",15,16.5,-34.5574246,-58.4439329,2021-03-28
"29","Pizza Paradiso, Ciudad de Buenos Aires","miercoles",16,8.25,-34.5574246,-58.4439329,2021-03-28
"30","Pizza Paradiso, Ciudad de Buenos Aires","miercoles",17,4.5,-34.5574246,-58.4439329,2021-03-28
"31","Pizza Paradiso, Ciudad de Buenos Aires","miercoles",18,8.25,-34.5574246,-58.4439329,2021-03-28
"32","Pizza Paradiso, Ciudad de Buenos Aires","miercoles",19,18,-34.5574246,-58.4439329,2021-03-28
"33","Pizza Paradiso, Ciudad de Buenos Aires","miercoles",20,30.75,-34.5574246,-58.4439329,2021-03-28
"34","Pizza Paradiso, Ciudad de Buenos Aires","miercoles",21,39,-34.5574246,-58.4439329,2021-03-28
"35","Pizza Paradiso, Ciudad de Buenos Aires","miercoles",22,36.75,-34.5574246,-58.4439329,2021-03-28
"36","Pizza Paradiso, Ciudad de Buenos Aires","miercoles",23,24.75,-34.5574246,-58.4439329,2021-03-28
"37","Pizza Paradiso, Ciudad de Buenos Aires","jueves",6,0,-34.5574246,-58.4439329,2021-03-28
"38","Pizza Paradiso, Ciudad de Buenos Aires","jueves",7,0,-34.5574246,-58.4439329,2021-03-28
"39","Pizza Paradiso, Ciudad de Buenos Aires","jueves",8,0,-34.5574246,-58.4439329,2021-03-28
"40","Pizza Paradiso, Ciudad de Buenos Aires","jueves",9,0,-34.5574246,-58.4439329,2021-03-28
"41","Pizza Paradiso, Ciudad de Buenos Aires","jueves",10,0,-34.5574246,-58.4439329,2021-03-28
