"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Pizzeria La Esquina, Ciudad de Buenos Aires","lunes",6,0,-34.6349546,-58.3880735,2021-03-30
"2","Pizzeria La Esquina, Ciudad de Buenos Aires","lunes",7,0,-34.6349546,-58.3880735,2021-03-30
"3","Pizzeria La Esquina, Ciudad de Buenos Aires","lunes",8,0,-34.6349546,-58.3880735,2021-03-30
"4","Pizzeria La Esquina, Ciudad de Buenos Aires","lunes",9,0,-34.6349546,-58.3880735,2021-03-30
"5","Pizzeria La Esquina, Ciudad de Buenos Aires","lunes",10,0,-34.6349546,-58.3880735,2021-03-30
"6","Pizzeria La Esquina, Ciudad de Buenos Aires","lunes",11,33,-34.6349546,-58.3880735,2021-03-30
"7","Pizzeria La Esquina, Ciudad de Buenos Aires","lunes",12,35.25,-34.6349546,-58.3880735,2021-03-30
"8","Pizzeria La Esquina, Ciudad de Buenos Aires","lunes",13,31.5,-34.6349546,-58.3880735,2021-03-30
"9","Pizzeria La Esquina, Ciudad de Buenos Aires","lunes",14,41.25,-34.6349546,-58.3880735,2021-03-30
"10","Pizzeria La Esquina, Ciudad de Buenos Aires","lunes",15,23.25,-34.6349546,-58.3880735,2021-03-30
"11","Pizzeria La Esquina, Ciudad de Buenos Aires","lunes",16,0,-34.6349546,-58.3880735,2021-03-30
"12","Pizzeria La Esquina, Ciudad de Buenos Aires","lunes",17,0,-34.6349546,-58.3880735,2021-03-30
"13","Pizzeria La Esquina, Ciudad de Buenos Aires","lunes",18,0,-34.6349546,-58.3880735,2021-03-30
"14","Pizzeria La Esquina, Ciudad de Buenos Aires","lunes",19,17.25,-34.6349546,-58.3880735,2021-03-30
"15","Pizzeria La Esquina, Ciudad de Buenos Aires","lunes",20,25.5,-34.6349546,-58.3880735,2021-03-30
"16","Pizzeria La Esquina, Ciudad de Buenos Aires","lunes",21,27,-34.6349546,-58.3880735,2021-03-30
"17","Pizzeria La Esquina, Ciudad de Buenos Aires","lunes",22,23.25,-34.6349546,-58.3880735,2021-03-30
"18","Pizzeria La Esquina, Ciudad de Buenos Aires","lunes",23,0,-34.6349546,-58.3880735,2021-03-30
"19","Pizzeria La Esquina, Ciudad de Buenos Aires","martes",6,0,-34.6349546,-58.3880735,2021-03-30
"20","Pizzeria La Esquina, Ciudad de Buenos Aires","martes",7,0,-34.6349546,-58.3880735,2021-03-30
"21","Pizzeria La Esquina, Ciudad de Buenos Aires","martes",8,0,-34.6349546,-58.3880735,2021-03-30
"22","Pizzeria La Esquina, Ciudad de Buenos Aires","martes",9,0,-34.6349546,-58.3880735,2021-03-30
"23","Pizzeria La Esquina, Ciudad de Buenos Aires","martes",10,0,-34.6349546,-58.3880735,2021-03-30
"24","Pizzeria La Esquina, Ciudad de Buenos Aires","martes",11,29.25,-34.6349546,-58.3880735,2021-03-30
"25","Pizzeria La Esquina, Ciudad de Buenos Aires","martes",12,42.75,-34.6349546,-58.3880735,2021-03-30
"26","Pizzeria La Esquina, Ciudad de Buenos Aires","martes",13,51,-34.6349546,-58.3880735,2021-03-30
"27","Pizzeria La Esquina, Ciudad de Buenos Aires","martes",14,45,-34.6349546,-58.3880735,2021-03-30
"28","Pizzeria La Esquina, Ciudad de Buenos Aires","martes",15,31.5,-34.6349546,-58.3880735,2021-03-30
"29","Pizzeria La Esquina, Ciudad de Buenos Aires","martes",16,0,-34.6349546,-58.3880735,2021-03-30
"30","Pizzeria La Esquina, Ciudad de Buenos Aires","martes",17,0,-34.6349546,-58.3880735,2021-03-30
"31","Pizzeria La Esquina, Ciudad de Buenos Aires","martes",18,0,-34.6349546,-58.3880735,2021-03-30
"32","Pizzeria La Esquina, Ciudad de Buenos Aires","martes",19,21,-34.6349546,-58.3880735,2021-03-30
"33","Pizzeria La Esquina, Ciudad de Buenos Aires","martes",20,29.25,-34.6349546,-58.3880735,2021-03-30
"34","Pizzeria La Esquina, Ciudad de Buenos Aires","martes",21,35.25,-34.6349546,-58.3880735,2021-03-30
"35","Pizzeria La Esquina, Ciudad de Buenos Aires","martes",22,31.5,-34.6349546,-58.3880735,2021-03-30
"36","Pizzeria La Esquina, Ciudad de Buenos Aires","martes",23,0,-34.6349546,-58.3880735,2021-03-30
"37","Pizzeria La Esquina, Ciudad de Buenos Aires","miercoles",6,0,-34.6349546,-58.3880735,2021-03-30
"38","Pizzeria La Esquina, Ciudad de Buenos Aires","miercoles",7,0,-34.6349546,-58.3880735,2021-03-30
"39","Pizzeria La Esquina, Ciudad de Buenos Aires","miercoles",8,0,-34.6349546,-58.3880735,2021-03-30
"40","Pizzeria La Esquina, Ciudad de Buenos Aires","miercoles",9,0,-34.6349546,-58.3880735,2021-03-30
"41","Pizzeria La Esquina, Ciudad de Buenos Aires","miercoles",10,0,-34.6349546,-58.3880735,2021-03-30
"42","Pizzeria La Esquina, Ciudad de Buenos Aires","miercoles",11,33,-34.6349546,-58.3880735,2021-03-30
"43","Pizzeria La Esquina, Ciudad de Buenos Aires","miercoles",12,54.75,-34.6349546,-58.3880735,2021-03-30
"44","Pizzeria La Esquina, Ciudad de Buenos Aires","miercoles",13,64.5,-34.6349546,-58.3880735,2021-03-30
"45","Pizzeria La Esquina, Ciudad de Buenos Aires","miercoles",14,53.25,-34.6349546,-58.3880735,2021-03-30
"46","Pizzeria La Esquina, Ciudad de Buenos Aires","miercoles",15,31.5,-34.6349546,-58.3880735,2021-03-30
"47","Pizzeria La Esquina, Ciudad de Buenos Aires","miercoles",16,0,-34.6349546,-58.3880735,2021-03-30
"48","Pizzeria La Esquina, Ciudad de Buenos Aires","miercoles",17,0,-34.6349546,-58.3880735,2021-03-30
"49","Pizzeria La Esquina, Ciudad de Buenos Aires","miercoles",18,0,-34.6349546,-58.3880735,2021-03-30
"50","Pizzeria La Esquina, Ciudad de Buenos Aires","miercoles",19,27,-34.6349546,-58.3880735,2021-03-30
"51","Pizzeria La Esquina, Ciudad de Buenos Aires","miercoles",20,42.75,-34.6349546,-58.3880735,2021-03-30
"52","Pizzeria La Esquina, Ciudad de Buenos Aires","miercoles",21,47.25,-34.6349546,-58.3880735,2021-03-30
"53","Pizzeria La Esquina, Ciudad de Buenos Aires","miercoles",22,35.25,-34.6349546,-58.3880735,2021-03-30
"54","Pizzeria La Esquina, Ciudad de Buenos Aires","miercoles",23,0,-34.6349546,-58.3880735,2021-03-30
"55","Pizzeria La Esquina, Ciudad de Buenos Aires","jueves",6,0,-34.6349546,-58.3880735,2021-03-30
"56","Pizzeria La Esquina, Ciudad de Buenos Aires","jueves",7,0,-34.6349546,-58.3880735,2021-03-30
"57","Pizzeria La Esquina, Ciudad de Buenos Aires","jueves",8,0,-34.6349546,-58.3880735,2021-03-30
"58","Pizzeria La Esquina, Ciudad de Buenos Aires","jueves",9,0,-34.6349546,-58.3880735,2021-03-30
"59","Pizzeria La Esquina, Ciudad de Buenos Aires","jueves",10,0,-34.6349546,-58.3880735,2021-03-30
"60","Pizzeria La Esquina, Ciudad de Buenos Aires","jueves",11,19.5,-34.6349546,-58.3880735,2021-03-30
"61","Pizzeria La Esquina, Ciudad de Buenos Aires","jueves",12,41.25,-34.6349546,-58.3880735,2021-03-30
"62","Pizzeria La Esquina, Ciudad de Buenos Aires","jueves",13,54.75,-34.6349546,-58.3880735,2021-03-30
"63","Pizzeria La Esquina, Ciudad de Buenos Aires","jueves",14,45,-34.6349546,-58.3880735,2021-03-30
"64","Pizzeria La Esquina, Ciudad de Buenos Aires","jueves",15,23.25,-34.6349546,-58.3880735,2021-03-30
"65","Pizzeria La Esquina, Ciudad de Buenos Aires","jueves",16,0,-34.6349546,-58.3880735,2021-03-30
"66","Pizzeria La Esquina, Ciudad de Buenos Aires","jueves",17,0,-34.6349546,-58.3880735,2021-03-30
"67","Pizzeria La Esquina, Ciudad de Buenos Aires","jueves",18,0,-34.6349546,-58.3880735,2021-03-30
"68","Pizzeria La Esquina, Ciudad de Buenos Aires","jueves",19,23.25,-34.6349546,-58.3880735,2021-03-30
"69","Pizzeria La Esquina, Ciudad de Buenos Aires","jueves",20,31.5,-34.6349546,-58.3880735,2021-03-30
"70","Pizzeria La Esquina, Ciudad de Buenos Aires","jueves",21,33,-34.6349546,-58.3880735,2021-03-30
"71","Pizzeria La Esquina, Ciudad de Buenos Aires","jueves",22,29.25,-34.6349546,-58.3880735,2021-03-30
"72","Pizzeria La Esquina, Ciudad de Buenos Aires","jueves",23,0,-34.6349546,-58.3880735,2021-03-30
"73","Pizzeria La Esquina, Ciudad de Buenos Aires","viernes",6,0,-34.6349546,-58.3880735,2021-03-30
"74","Pizzeria La Esquina, Ciudad de Buenos Aires","viernes",7,0,-34.6349546,-58.3880735,2021-03-30
"75","Pizzeria La Esquina, Ciudad de Buenos Aires","viernes",8,0,-34.6349546,-58.3880735,2021-03-30
"76","Pizzeria La Esquina, Ciudad de Buenos Aires","viernes",9,0,-34.6349546,-58.3880735,2021-03-30
"77","Pizzeria La Esquina, Ciudad de Buenos Aires","viernes",10,0,-34.6349546,-58.3880735,2021-03-30
"78","Pizzeria La Esquina, Ciudad de Buenos Aires","viernes",11,41.25,-34.6349546,-58.3880735,2021-03-30
"79","Pizzeria La Esquina, Ciudad de Buenos Aires","viernes",12,60.75,-34.6349546,-58.3880735,2021-03-30
"80","Pizzeria La Esquina, Ciudad de Buenos Aires","viernes",13,66.75,-34.6349546,-58.3880735,2021-03-30
"81","Pizzeria La Esquina, Ciudad de Buenos Aires","viernes",14,54.75,-34.6349546,-58.3880735,2021-03-30
"82","Pizzeria La Esquina, Ciudad de Buenos Aires","viernes",15,33,-34.6349546,-58.3880735,2021-03-30
"83","Pizzeria La Esquina, Ciudad de Buenos Aires","viernes",16,0,-34.6349546,-58.3880735,2021-03-30
"84","Pizzeria La Esquina, Ciudad de Buenos Aires","viernes",17,0,-34.6349546,-58.3880735,2021-03-30
"85","Pizzeria La Esquina, Ciudad de Buenos Aires","viernes",18,0,-34.6349546,-58.3880735,2021-03-30
"86","Pizzeria La Esquina, Ciudad de Buenos Aires","viernes",19,21,-34.6349546,-58.3880735,2021-03-30
"87","Pizzeria La Esquina, Ciudad de Buenos Aires","viernes",20,48.75,-34.6349546,-58.3880735,2021-03-30
"88","Pizzeria La Esquina, Ciudad de Buenos Aires","viernes",21,75,-34.6349546,-58.3880735,2021-03-30
"89","Pizzeria La Esquina, Ciudad de Buenos Aires","viernes",22,70.5,-34.6349546,-58.3880735,2021-03-30
"90","Pizzeria La Esquina, Ciudad de Buenos Aires","viernes",23,0,-34.6349546,-58.3880735,2021-03-30
"91","Pizzeria La Esquina, Ciudad de Buenos Aires","sabado",6,0,-34.6349546,-58.3880735,2021-03-30
"92","Pizzeria La Esquina, Ciudad de Buenos Aires","sabado",7,0,-34.6349546,-58.3880735,2021-03-30
"93","Pizzeria La Esquina, Ciudad de Buenos Aires","sabado",8,0,-34.6349546,-58.3880735,2021-03-30
"94","Pizzeria La Esquina, Ciudad de Buenos Aires","sabado",9,0,-34.6349546,-58.3880735,2021-03-30
"95","Pizzeria La Esquina, Ciudad de Buenos Aires","sabado",10,0,-34.6349546,-58.3880735,2021-03-30
"96","Pizzeria La Esquina, Ciudad de Buenos Aires","sabado",11,29.25,-34.6349546,-58.3880735,2021-03-30
"97","Pizzeria La Esquina, Ciudad de Buenos Aires","sabado",12,45,-34.6349546,-58.3880735,2021-03-30
"98","Pizzeria La Esquina, Ciudad de Buenos Aires","sabado",13,45,-34.6349546,-58.3880735,2021-03-30
"99","Pizzeria La Esquina, Ciudad de Buenos Aires","sabado",14,33,-34.6349546,-58.3880735,2021-03-30
"100","Pizzeria La Esquina, Ciudad de Buenos Aires","sabado",15,15.75,-34.6349546,-58.3880735,2021-03-30
"101","Pizzeria La Esquina, Ciudad de Buenos Aires","sabado",16,0,-34.6349546,-58.3880735,2021-03-30
"102","Pizzeria La Esquina, Ciudad de Buenos Aires","sabado",17,0,-34.6349546,-58.3880735,2021-03-30
"103","Pizzeria La Esquina, Ciudad de Buenos Aires","sabado",18,0,-34.6349546,-58.3880735,2021-03-30
"104","Pizzeria La Esquina, Ciudad de Buenos Aires","sabado",19,23.25,-34.6349546,-58.3880735,2021-03-30
"105","Pizzeria La Esquina, Ciudad de Buenos Aires","sabado",20,29.25,-34.6349546,-58.3880735,2021-03-30
"106","Pizzeria La Esquina, Ciudad de Buenos Aires","sabado",21,45,-34.6349546,-58.3880735,2021-03-30
"107","Pizzeria La Esquina, Ciudad de Buenos Aires","sabado",22,48.75,-34.6349546,-58.3880735,2021-03-30
"108","Pizzeria La Esquina, Ciudad de Buenos Aires","sabado",23,0,-34.6349546,-58.3880735,2021-03-30
"109","Pizzeria La Esquina, Ciudad de Buenos Aires","domingo",6,0,-34.6349546,-58.3880735,2021-03-30
"110","Pizzeria La Esquina, Ciudad de Buenos Aires","domingo",7,0,-34.6349546,-58.3880735,2021-03-30
"111","Pizzeria La Esquina, Ciudad de Buenos Aires","domingo",8,0,-34.6349546,-58.3880735,2021-03-30
"112","Pizzeria La Esquina, Ciudad de Buenos Aires","domingo",9,0,-34.6349546,-58.3880735,2021-03-30
"113","Pizzeria La Esquina, Ciudad de Buenos Aires","domingo",10,0,-34.6349546,-58.3880735,2021-03-30
"114","Pizzeria La Esquina, Ciudad de Buenos Aires","domingo",11,0,-34.6349546,-58.3880735,2021-03-30
"115","Pizzeria La Esquina, Ciudad de Buenos Aires","domingo",12,0,-34.6349546,-58.3880735,2021-03-30
"116","Pizzeria La Esquina, Ciudad de Buenos Aires","domingo",13,0,-34.6349546,-58.3880735,2021-03-30
"117","Pizzeria La Esquina, Ciudad de Buenos Aires","domingo",14,0,-34.6349546,-58.3880735,2021-03-30
"118","Pizzeria La Esquina, Ciudad de Buenos Aires","domingo",15,0,-34.6349546,-58.3880735,2021-03-30
"119","Pizzeria La Esquina, Ciudad de Buenos Aires","domingo",16,0,-34.6349546,-58.3880735,2021-03-30
"120","Pizzeria La Esquina, Ciudad de Buenos Aires","domingo",17,0,-34.6349546,-58.3880735,2021-03-30
"121","Pizzeria La Esquina, Ciudad de Buenos Aires","domingo",18,0,-34.6349546,-58.3880735,2021-03-30
"122","Pizzeria La Esquina, Ciudad de Buenos Aires","domingo",19,31.5,-34.6349546,-58.3880735,2021-03-30
"123","Pizzeria La Esquina, Ciudad de Buenos Aires","domingo",20,42.75,-34.6349546,-58.3880735,2021-03-30
"124","Pizzeria La Esquina, Ciudad de Buenos Aires","domingo",21,54.75,-34.6349546,-58.3880735,2021-03-30
"125","Pizzeria La Esquina, Ciudad de Buenos Aires","domingo",22,48.75,-34.6349546,-58.3880735,2021-03-30
"126","Pizzeria La Esquina, Ciudad de Buenos Aires","domingo",23,0,-34.6349546,-58.3880735,2021-03-30
