"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Pizzeria San Miguel, Ciudad de Buenos Aires","lunes",6,0,-34.603101,-58.424068,2021-03-27
"2","Pizzeria San Miguel, Ciudad de Buenos Aires","lunes",7,0.75,-34.603101,-58.424068,2021-03-27
"3","Pizzeria San Miguel, Ciudad de Buenos Aires","lunes",8,0,-34.603101,-58.424068,2021-03-27
"4","Pizzeria San Miguel, Ciudad de Buenos Aires","lunes",9,6,-34.603101,-58.424068,2021-03-27
"5","Pizzeria San Miguel, Ciudad de Buenos Aires","lunes",10,12,-34.603101,-58.424068,2021-03-27
"6","Pizzeria San Miguel, Ciudad de Buenos Aires","lunes",11,16.5,-34.603101,-58.424068,2021-03-27
"7","Pizzeria San Miguel, Ciudad de Buenos Aires","lunes",12,18,-34.603101,-58.424068,2021-03-27
"8","Pizzeria San Miguel, Ciudad de Buenos Aires","lunes",13,18,-34.603101,-58.424068,2021-03-27
"9","Pizzeria San Miguel, Ciudad de Buenos Aires","lunes",14,15.75,-34.603101,-58.424068,2021-03-27
"10","Pizzeria San Miguel, Ciudad de Buenos Aires","lunes",15,16.5,-34.603101,-58.424068,2021-03-27
"11","Pizzeria San Miguel, Ciudad de Buenos Aires","lunes",16,20.25,-34.603101,-58.424068,2021-03-27
"12","Pizzeria San Miguel, Ciudad de Buenos Aires","lunes",17,27,-34.603101,-58.424068,2021-03-27
"13","Pizzeria San Miguel, Ciudad de Buenos Aires","lunes",18,32.25,-34.603101,-58.424068,2021-03-27
"14","Pizzeria San Miguel, Ciudad de Buenos Aires","lunes",19,33.75,-34.603101,-58.424068,2021-03-27
"15","Pizzeria San Miguel, Ciudad de Buenos Aires","lunes",20,33,-34.603101,-58.424068,2021-03-27
"16","Pizzeria San Miguel, Ciudad de Buenos Aires","lunes",21,33,-34.603101,-58.424068,2021-03-27
"17","Pizzeria San Miguel, Ciudad de Buenos Aires","lunes",22,29.25,-34.603101,-58.424068,2021-03-27
"18","Pizzeria San Miguel, Ciudad de Buenos Aires","lunes",23,18.75,-34.603101,-58.424068,2021-03-27
"19","Pizzeria San Miguel, Ciudad de Buenos Aires","martes",0,4.5,-34.603101,-58.424068,2021-03-27
"20","Pizzeria San Miguel, Ciudad de Buenos Aires","martes",6,0,-34.603101,-58.424068,2021-03-27
"21","Pizzeria San Miguel, Ciudad de Buenos Aires","martes",7,0.75,-34.603101,-58.424068,2021-03-27
"22","Pizzeria San Miguel, Ciudad de Buenos Aires","martes",8,0.75,-34.603101,-58.424068,2021-03-27
"23","Pizzeria San Miguel, Ciudad de Buenos Aires","martes",9,6.75,-34.603101,-58.424068,2021-03-27
"24","Pizzeria San Miguel, Ciudad de Buenos Aires","martes",10,15,-34.603101,-58.424068,2021-03-27
"25","Pizzeria San Miguel, Ciudad de Buenos Aires","martes",11,21.75,-34.603101,-58.424068,2021-03-27
"26","Pizzeria San Miguel, Ciudad de Buenos Aires","martes",12,25.5,-34.603101,-58.424068,2021-03-27
"27","Pizzeria San Miguel, Ciudad de Buenos Aires","martes",13,26.25,-34.603101,-58.424068,2021-03-27
"28","Pizzeria San Miguel, Ciudad de Buenos Aires","martes",14,23.25,-34.603101,-58.424068,2021-03-27
"29","Pizzeria San Miguel, Ciudad de Buenos Aires","martes",15,20.25,-34.603101,-58.424068,2021-03-27
"30","Pizzeria San Miguel, Ciudad de Buenos Aires","martes",16,20.25,-34.603101,-58.424068,2021-03-27
"31","Pizzeria San Miguel, Ciudad de Buenos Aires","martes",17,22.5,-34.603101,-58.424068,2021-03-27
"32","Pizzeria San Miguel, Ciudad de Buenos Aires","martes",18,27.75,-34.603101,-58.424068,2021-03-27
"33","Pizzeria San Miguel, Ciudad de Buenos Aires","martes",19,30.75,-34.603101,-58.424068,2021-03-27
"34","Pizzeria San Miguel, Ciudad de Buenos Aires","martes",20,32.25,-34.603101,-58.424068,2021-03-27
"35","Pizzeria San Miguel, Ciudad de Buenos Aires","martes",21,29.25,-34.603101,-58.424068,2021-03-27
"36","Pizzeria San Miguel, Ciudad de Buenos Aires","martes",22,21.75,-34.603101,-58.424068,2021-03-27
"37","Pizzeria San Miguel, Ciudad de Buenos Aires","martes",23,10.5,-34.603101,-58.424068,2021-03-27
"38","Pizzeria San Miguel, Ciudad de Buenos Aires","miercoles",0,0.75,-34.603101,-58.424068,2021-03-27
"39","Pizzeria San Miguel, Ciudad de Buenos Aires","miercoles",6,0,-34.603101,-58.424068,2021-03-27
"40","Pizzeria San Miguel, Ciudad de Buenos Aires","miercoles",7,0.75,-34.603101,-58.424068,2021-03-27
"41","Pizzeria San Miguel, Ciudad de Buenos Aires","miercoles",8,6,-34.603101,-58.424068,2021-03-27
"42","Pizzeria San Miguel, Ciudad de Buenos Aires","miercoles",9,16.5,-34.603101,-58.424068,2021-03-27
"43","Pizzeria San Miguel, Ciudad de Buenos Aires","miercoles",10,27.75,-34.603101,-58.424068,2021-03-27
"44","Pizzeria San Miguel, Ciudad de Buenos Aires","miercoles",11,36.75,-34.603101,-58.424068,2021-03-27
"45","Pizzeria San Miguel, Ciudad de Buenos Aires","miercoles",12,41.25,-34.603101,-58.424068,2021-03-27
"46","Pizzeria San Miguel, Ciudad de Buenos Aires","miercoles",13,40.5,-34.603101,-58.424068,2021-03-27
"47","Pizzeria San Miguel, Ciudad de Buenos Aires","miercoles",14,36,-34.603101,-58.424068,2021-03-27
"48","Pizzeria San Miguel, Ciudad de Buenos Aires","miercoles",15,33,-34.603101,-58.424068,2021-03-27
