"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Pizzeria San Pedro, Ciudad de Buenos Aires","lunes",6,0,-34.6208458,-58.5079575,2021-03-27
"2","Pizzeria San Pedro, Ciudad de Buenos Aires","lunes",7,3,-34.6208458,-58.5079575,2021-03-27
"3","Pizzeria San Pedro, Ciudad de Buenos Aires","lunes",8,7.5,-34.6208458,-58.5079575,2021-03-27
"4","Pizzeria San Pedro, Ciudad de Buenos Aires","lunes",9,11.25,-34.6208458,-58.5079575,2021-03-27
"5","Pizzeria San Pedro, Ciudad de Buenos Aires","lunes",10,13.5,-34.6208458,-58.5079575,2021-03-27
"6","Pizzeria San Pedro, Ciudad de Buenos Aires","lunes",11,14.25,-34.6208458,-58.5079575,2021-03-27
"7","Pizzeria San Pedro, Ciudad de Buenos Aires","lunes",12,12.75,-34.6208458,-58.5079575,2021-03-27
"8","Pizzeria San Pedro, Ciudad de Buenos Aires","lunes",13,11.25,-34.6208458,-58.5079575,2021-03-27
"9","Pizzeria San Pedro, Ciudad de Buenos Aires","lunes",14,10.5,-34.6208458,-58.5079575,2021-03-27
"10","Pizzeria San Pedro, Ciudad de Buenos Aires","lunes",15,12,-34.6208458,-58.5079575,2021-03-27
"11","Pizzeria San Pedro, Ciudad de Buenos Aires","lunes",16,16.5,-34.6208458,-58.5079575,2021-03-27
"12","Pizzeria San Pedro, Ciudad de Buenos Aires","lunes",17,21.75,-34.6208458,-58.5079575,2021-03-27
"13","Pizzeria San Pedro, Ciudad de Buenos Aires","lunes",18,27.75,-34.6208458,-58.5079575,2021-03-27
"14","Pizzeria San Pedro, Ciudad de Buenos Aires","lunes",19,32.25,-34.6208458,-58.5079575,2021-03-27
"15","Pizzeria San Pedro, Ciudad de Buenos Aires","lunes",20,34.5,-34.6208458,-58.5079575,2021-03-27
"16","Pizzeria San Pedro, Ciudad de Buenos Aires","lunes",21,33,-34.6208458,-58.5079575,2021-03-27
"17","Pizzeria San Pedro, Ciudad de Buenos Aires","lunes",22,27.75,-34.6208458,-58.5079575,2021-03-27
"18","Pizzeria San Pedro, Ciudad de Buenos Aires","lunes",23,18.75,-34.6208458,-58.5079575,2021-03-27
"19","Pizzeria San Pedro, Ciudad de Buenos Aires","martes",0,9,-34.6208458,-58.5079575,2021-03-27
"20","Pizzeria San Pedro, Ciudad de Buenos Aires","martes",6,0,-34.6208458,-58.5079575,2021-03-27
"21","Pizzeria San Pedro, Ciudad de Buenos Aires","martes",7,1.5,-34.6208458,-58.5079575,2021-03-27
"22","Pizzeria San Pedro, Ciudad de Buenos Aires","martes",8,6,-34.6208458,-58.5079575,2021-03-27
"23","Pizzeria San Pedro, Ciudad de Buenos Aires","martes",9,9.75,-34.6208458,-58.5079575,2021-03-27
"24","Pizzeria San Pedro, Ciudad de Buenos Aires","martes",10,12,-34.6208458,-58.5079575,2021-03-27
"25","Pizzeria San Pedro, Ciudad de Buenos Aires","martes",11,12,-34.6208458,-58.5079575,2021-03-27
"26","Pizzeria San Pedro, Ciudad de Buenos Aires","martes",12,11.25,-34.6208458,-58.5079575,2021-03-27
"27","Pizzeria San Pedro, Ciudad de Buenos Aires","martes",13,10.5,-34.6208458,-58.5079575,2021-03-27
"28","Pizzeria San Pedro, Ciudad de Buenos Aires","martes",14,10.5,-34.6208458,-58.5079575,2021-03-27
"29","Pizzeria San Pedro, Ciudad de Buenos Aires","martes",15,12.75,-34.6208458,-58.5079575,2021-03-27
"30","Pizzeria San Pedro, Ciudad de Buenos Aires","martes",16,17.25,-34.6208458,-58.5079575,2021-03-27
"31","Pizzeria San Pedro, Ciudad de Buenos Aires","martes",17,22.5,-34.6208458,-58.5079575,2021-03-27
"32","Pizzeria San Pedro, Ciudad de Buenos Aires","martes",18,27.75,-34.6208458,-58.5079575,2021-03-27
"33","Pizzeria San Pedro, Ciudad de Buenos Aires","martes",19,33,-34.6208458,-58.5079575,2021-03-27
"34","Pizzeria San Pedro, Ciudad de Buenos Aires","martes",20,37.5,-34.6208458,-58.5079575,2021-03-27
"35","Pizzeria San Pedro, Ciudad de Buenos Aires","martes",21,36.75,-34.6208458,-58.5079575,2021-03-27
"36","Pizzeria San Pedro, Ciudad de Buenos Aires","martes",22,30.75,-34.6208458,-58.5079575,2021-03-27
"37","Pizzeria San Pedro, Ciudad de Buenos Aires","martes",23,18.75,-34.6208458,-58.5079575,2021-03-27
"38","Pizzeria San Pedro, Ciudad de Buenos Aires","miercoles",0,7.5,-34.6208458,-58.5079575,2021-03-27
"39","Pizzeria San Pedro, Ciudad de Buenos Aires","miercoles",6,0,-34.6208458,-58.5079575,2021-03-27
"40","Pizzeria San Pedro, Ciudad de Buenos Aires","miercoles",7,3,-34.6208458,-58.5079575,2021-03-27
"41","Pizzeria San Pedro, Ciudad de Buenos Aires","miercoles",8,12,-34.6208458,-58.5079575,2021-03-27
"42","Pizzeria San Pedro, Ciudad de Buenos Aires","miercoles",9,17.25,-34.6208458,-58.5079575,2021-03-27
"43","Pizzeria San Pedro, Ciudad de Buenos Aires","miercoles",10,15,-34.6208458,-58.5079575,2021-03-27
"44","Pizzeria San Pedro, Ciudad de Buenos Aires","miercoles",11,11.25,-34.6208458,-58.5079575,2021-03-27
"45","Pizzeria San Pedro, Ciudad de Buenos Aires","miercoles",12,11.25,-34.6208458,-58.5079575,2021-03-27
"46","Pizzeria San Pedro, Ciudad de Buenos Aires","miercoles",13,12,-34.6208458,-58.5079575,2021-03-27
"47","Pizzeria San Pedro, Ciudad de Buenos Aires","miercoles",14,12,-34.6208458,-58.5079575,2021-03-27
"48","Pizzeria San Pedro, Ciudad de Buenos Aires","miercoles",15,10.5,-34.6208458,-58.5079575,2021-03-27
"49","Pizzeria San Pedro, Ciudad de Buenos Aires","miercoles",16,12.75,-34.6208458,-58.5079575,2021-03-27
"50","Pizzeria San Pedro, Ciudad de Buenos Aires","miercoles",17,18.75,-34.6208458,-58.5079575,2021-03-27
"51","Pizzeria San Pedro, Ciudad de Buenos Aires","miercoles",18,27.75,-34.6208458,-58.5079575,2021-03-27
"52","Pizzeria San Pedro, Ciudad de Buenos Aires","miercoles",19,36,-34.6208458,-58.5079575,2021-03-27
"53","Pizzeria San Pedro, Ciudad de Buenos Aires","miercoles",20,39.75,-34.6208458,-58.5079575,2021-03-27
"54","Pizzeria San Pedro, Ciudad de Buenos Aires","miercoles",21,37.5,-34.6208458,-58.5079575,2021-03-27
"55","Pizzeria San Pedro, Ciudad de Buenos Aires","miercoles",22,29.25,-34.6208458,-58.5079575,2021-03-27
"56","Pizzeria San Pedro, Ciudad de Buenos Aires","miercoles",23,19.5,-34.6208458,-58.5079575,2021-03-27
"57","Pizzeria San Pedro, Ciudad de Buenos Aires","jueves",0,9.75,-34.6208458,-58.5079575,2021-03-27
"58","Pizzeria San Pedro, Ciudad de Buenos Aires","jueves",6,0,-34.6208458,-58.5079575,2021-03-27
"59","Pizzeria San Pedro, Ciudad de Buenos Aires","jueves",7,1.5,-34.6208458,-58.5079575,2021-03-27
"60","Pizzeria San Pedro, Ciudad de Buenos Aires","jueves",8,6,-34.6208458,-58.5079575,2021-03-27
"61","Pizzeria San Pedro, Ciudad de Buenos Aires","jueves",9,11.25,-34.6208458,-58.5079575,2021-03-27
"62","Pizzeria San Pedro, Ciudad de Buenos Aires","jueves",10,15,-34.6208458,-58.5079575,2021-03-27
"63","Pizzeria San Pedro, Ciudad de Buenos Aires","jueves",11,16.5,-34.6208458,-58.5079575,2021-03-27
"64","Pizzeria San Pedro, Ciudad de Buenos Aires","jueves",12,15,-34.6208458,-58.5079575,2021-03-27
"65","Pizzeria San Pedro, Ciudad de Buenos Aires","jueves",13,13.5,-34.6208458,-58.5079575,2021-03-27
"66","Pizzeria San Pedro, Ciudad de Buenos Aires","jueves",14,12,-34.6208458,-58.5079575,2021-03-27
"67","Pizzeria San Pedro, Ciudad de Buenos Aires","jueves",15,12,-34.6208458,-58.5079575,2021-03-27
"68","Pizzeria San Pedro, Ciudad de Buenos Aires","jueves",16,15,-34.6208458,-58.5079575,2021-03-27
"69","Pizzeria San Pedro, Ciudad de Buenos Aires","jueves",17,20.25,-34.6208458,-58.5079575,2021-03-27
"70","Pizzeria San Pedro, Ciudad de Buenos Aires","jueves",18,26.25,-34.6208458,-58.5079575,2021-03-27
"71","Pizzeria San Pedro, Ciudad de Buenos Aires","jueves",19,32.25,-34.6208458,-58.5079575,2021-03-27
"72","Pizzeria San Pedro, Ciudad de Buenos Aires","jueves",20,36.75,-34.6208458,-58.5079575,2021-03-27
"73","Pizzeria San Pedro, Ciudad de Buenos Aires","jueves",21,35.25,-34.6208458,-58.5079575,2021-03-27
"74","Pizzeria San Pedro, Ciudad de Buenos Aires","jueves",22,28.5,-34.6208458,-58.5079575,2021-03-27
