"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Pizzerìa Augusto, Ciudad de Buenos Aires","lunes",5,0,-34.6326218,-58.3603299,2021-03-29
"2","Pizzerìa Augusto, Ciudad de Buenos Aires","lunes",6,14.25,-34.6326218,-58.3603299,2021-03-29
"3","Pizzerìa Augusto, Ciudad de Buenos Aires","lunes",7,15,-34.6326218,-58.3603299,2021-03-29
"4","Pizzerìa Augusto, Ciudad de Buenos Aires","lunes",8,13.5,-34.6326218,-58.3603299,2021-03-29
"5","Pizzerìa Augusto, Ciudad de Buenos Aires","lunes",9,10.5,-34.6326218,-58.3603299,2021-03-29
"6","Pizzerìa Augusto, Ciudad de Buenos Aires","lunes",10,10.5,-34.6326218,-58.3603299,2021-03-29
"7","Pizzerìa Augusto, Ciudad de Buenos Aires","lunes",11,13.5,-34.6326218,-58.3603299,2021-03-29
"8","Pizzerìa Augusto, Ciudad de Buenos Aires","lunes",12,19.5,-34.6326218,-58.3603299,2021-03-29
"9","Pizzerìa Augusto, Ciudad de Buenos Aires","lunes",13,24.75,-34.6326218,-58.3603299,2021-03-29
"10","Pizzerìa Augusto, Ciudad de Buenos Aires","lunes",14,24,-34.6326218,-58.3603299,2021-03-29
"11","Pizzerìa Augusto, Ciudad de Buenos Aires","lunes",15,19.5,-34.6326218,-58.3603299,2021-03-29
"12","Pizzerìa Augusto, Ciudad de Buenos Aires","lunes",16,15.75,-34.6326218,-58.3603299,2021-03-29
"13","Pizzerìa Augusto, Ciudad de Buenos Aires","lunes",17,15.75,-34.6326218,-58.3603299,2021-03-29
"14","Pizzerìa Augusto, Ciudad de Buenos Aires","lunes",18,21,-34.6326218,-58.3603299,2021-03-29
"15","Pizzerìa Augusto, Ciudad de Buenos Aires","lunes",19,27.75,-34.6326218,-58.3603299,2021-03-29
"16","Pizzerìa Augusto, Ciudad de Buenos Aires","lunes",20,33.75,-34.6326218,-58.3603299,2021-03-29
