"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Pizzería El Padrino, Ciudad de Buenos Aires","lunes",6,0,-34.601734,-58.450787,2021-03-27
"2","Pizzería El Padrino, Ciudad de Buenos Aires","lunes",7,0,-34.601734,-58.450787,2021-03-27
"3","Pizzería El Padrino, Ciudad de Buenos Aires","lunes",8,0,-34.601734,-58.450787,2021-03-27
"4","Pizzería El Padrino, Ciudad de Buenos Aires","lunes",9,0,-34.601734,-58.450787,2021-03-27
"5","Pizzería El Padrino, Ciudad de Buenos Aires","lunes",10,0,-34.601734,-58.450787,2021-03-27
"6","Pizzería El Padrino, Ciudad de Buenos Aires","lunes",11,0,-34.601734,-58.450787,2021-03-27
"7","Pizzería El Padrino, Ciudad de Buenos Aires","lunes",12,16.5,-34.601734,-58.450787,2021-03-27
"8","Pizzería El Padrino, Ciudad de Buenos Aires","lunes",13,39,-34.601734,-58.450787,2021-03-27
"9","Pizzería El Padrino, Ciudad de Buenos Aires","lunes",14,37.5,-34.601734,-58.450787,2021-03-27
"10","Pizzería El Padrino, Ciudad de Buenos Aires","lunes",15,15,-34.601734,-58.450787,2021-03-27
"11","Pizzería El Padrino, Ciudad de Buenos Aires","lunes",16,0,-34.601734,-58.450787,2021-03-27
"12","Pizzería El Padrino, Ciudad de Buenos Aires","lunes",17,0,-34.601734,-58.450787,2021-03-27
"13","Pizzería El Padrino, Ciudad de Buenos Aires","lunes",18,6.75,-34.601734,-58.450787,2021-03-27
"14","Pizzería El Padrino, Ciudad de Buenos Aires","lunes",19,14.25,-34.601734,-58.450787,2021-03-27
"15","Pizzería El Padrino, Ciudad de Buenos Aires","lunes",20,21.75,-34.601734,-58.450787,2021-03-27
"16","Pizzería El Padrino, Ciudad de Buenos Aires","lunes",21,24,-34.601734,-58.450787,2021-03-27
"17","Pizzería El Padrino, Ciudad de Buenos Aires","lunes",22,19.5,-34.601734,-58.450787,2021-03-27
"18","Pizzería El Padrino, Ciudad de Buenos Aires","lunes",23,12,-34.601734,-58.450787,2021-03-27
"19","Pizzería El Padrino, Ciudad de Buenos Aires","martes",6,0,-34.601734,-58.450787,2021-03-27
"20","Pizzería El Padrino, Ciudad de Buenos Aires","martes",7,0,-34.601734,-58.450787,2021-03-27
"21","Pizzería El Padrino, Ciudad de Buenos Aires","martes",8,0,-34.601734,-58.450787,2021-03-27
"22","Pizzería El Padrino, Ciudad de Buenos Aires","martes",9,0,-34.601734,-58.450787,2021-03-27
"23","Pizzería El Padrino, Ciudad de Buenos Aires","martes",10,0,-34.601734,-58.450787,2021-03-27
