"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Pizzicato, Ciudad de Buenos Aires","lunes",6,0,-34.6337471,-58.4326286,2021-03-27
"2","Pizzicato, Ciudad de Buenos Aires","lunes",7,0,-34.6337471,-58.4326286,2021-03-27
"3","Pizzicato, Ciudad de Buenos Aires","lunes",8,4.5,-34.6337471,-58.4326286,2021-03-27
"4","Pizzicato, Ciudad de Buenos Aires","lunes",9,9.75,-34.6337471,-58.4326286,2021-03-27
"5","Pizzicato, Ciudad de Buenos Aires","lunes",10,12.75,-34.6337471,-58.4326286,2021-03-27
"6","Pizzicato, Ciudad de Buenos Aires","lunes",11,14.25,-34.6337471,-58.4326286,2021-03-27
"7","Pizzicato, Ciudad de Buenos Aires","lunes",12,15,-34.6337471,-58.4326286,2021-03-27
"8","Pizzicato, Ciudad de Buenos Aires","lunes",13,15.75,-34.6337471,-58.4326286,2021-03-27
"9","Pizzicato, Ciudad de Buenos Aires","lunes",14,15,-34.6337471,-58.4326286,2021-03-27
"10","Pizzicato, Ciudad de Buenos Aires","lunes",15,12,-34.6337471,-58.4326286,2021-03-27
"11","Pizzicato, Ciudad de Buenos Aires","lunes",16,8.25,-34.6337471,-58.4326286,2021-03-27
"12","Pizzicato, Ciudad de Buenos Aires","lunes",17,5.25,-34.6337471,-58.4326286,2021-03-27
"13","Pizzicato, Ciudad de Buenos Aires","lunes",18,6.75,-34.6337471,-58.4326286,2021-03-27
"14","Pizzicato, Ciudad de Buenos Aires","lunes",19,13.5,-34.6337471,-58.4326286,2021-03-27
"15","Pizzicato, Ciudad de Buenos Aires","lunes",20,21.75,-34.6337471,-58.4326286,2021-03-27
"16","Pizzicato, Ciudad de Buenos Aires","lunes",21,26.25,-34.6337471,-58.4326286,2021-03-27
"17","Pizzicato, Ciudad de Buenos Aires","lunes",22,21.75,-34.6337471,-58.4326286,2021-03-27
"18","Pizzicato, Ciudad de Buenos Aires","lunes",23,11.25,-34.6337471,-58.4326286,2021-03-27
"19","Pizzicato, Ciudad de Buenos Aires","martes",6,0,-34.6337471,-58.4326286,2021-03-27
"20","Pizzicato, Ciudad de Buenos Aires","martes",7,0,-34.6337471,-58.4326286,2021-03-27
"21","Pizzicato, Ciudad de Buenos Aires","martes",8,7.5,-34.6337471,-58.4326286,2021-03-27
"22","Pizzicato, Ciudad de Buenos Aires","martes",9,12.75,-34.6337471,-58.4326286,2021-03-27
"23","Pizzicato, Ciudad de Buenos Aires","martes",10,15.75,-34.6337471,-58.4326286,2021-03-27
"24","Pizzicato, Ciudad de Buenos Aires","martes",11,15.75,-34.6337471,-58.4326286,2021-03-27
"25","Pizzicato, Ciudad de Buenos Aires","martes",12,17.25,-34.6337471,-58.4326286,2021-03-27
"26","Pizzicato, Ciudad de Buenos Aires","martes",13,19.5,-34.6337471,-58.4326286,2021-03-27
"27","Pizzicato, Ciudad de Buenos Aires","martes",14,18.75,-34.6337471,-58.4326286,2021-03-27
"28","Pizzicato, Ciudad de Buenos Aires","martes",15,14.25,-34.6337471,-58.4326286,2021-03-27
"29","Pizzicato, Ciudad de Buenos Aires","martes",16,9,-34.6337471,-58.4326286,2021-03-27
"30","Pizzicato, Ciudad de Buenos Aires","martes",17,8.25,-34.6337471,-58.4326286,2021-03-27
"31","Pizzicato, Ciudad de Buenos Aires","martes",18,12.75,-34.6337471,-58.4326286,2021-03-27
"32","Pizzicato, Ciudad de Buenos Aires","martes",19,22.5,-34.6337471,-58.4326286,2021-03-27
"33","Pizzicato, Ciudad de Buenos Aires","martes",20,32.25,-34.6337471,-58.4326286,2021-03-27
"34","Pizzicato, Ciudad de Buenos Aires","martes",21,36,-34.6337471,-58.4326286,2021-03-27
"35","Pizzicato, Ciudad de Buenos Aires","martes",22,31.5,-34.6337471,-58.4326286,2021-03-27
"36","Pizzicato, Ciudad de Buenos Aires","martes",23,21,-34.6337471,-58.4326286,2021-03-27
"37","Pizzicato, Ciudad de Buenos Aires","miercoles",6,0,-34.6337471,-58.4326286,2021-03-27
"38","Pizzicato, Ciudad de Buenos Aires","miercoles",7,0,-34.6337471,-58.4326286,2021-03-27
"39","Pizzicato, Ciudad de Buenos Aires","miercoles",8,1.5,-34.6337471,-58.4326286,2021-03-27
"40","Pizzicato, Ciudad de Buenos Aires","miercoles",9,7.5,-34.6337471,-58.4326286,2021-03-27
"41","Pizzicato, Ciudad de Buenos Aires","miercoles",10,14.25,-34.6337471,-58.4326286,2021-03-27
