"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Placido CAFE BAR, Ciudad de Buenos Aires","lunes",6,0,-34.5927372,-58.3975743,2021-03-27
"2","Placido CAFE BAR, Ciudad de Buenos Aires","lunes",7,0,-34.5927372,-58.3975743,2021-03-27
"3","Placido CAFE BAR, Ciudad de Buenos Aires","lunes",8,0,-34.5927372,-58.3975743,2021-03-27
"4","Placido CAFE BAR, Ciudad de Buenos Aires","lunes",9,0,-34.5927372,-58.3975743,2021-03-27
"5","Placido CAFE BAR, Ciudad de Buenos Aires","lunes",10,21.75,-34.5927372,-58.3975743,2021-03-27
"6","Placido CAFE BAR, Ciudad de Buenos Aires","lunes",11,37.5,-34.5927372,-58.3975743,2021-03-27
"7","Placido CAFE BAR, Ciudad de Buenos Aires","lunes",12,43.5,-34.5927372,-58.3975743,2021-03-27
"8","Placido CAFE BAR, Ciudad de Buenos Aires","lunes",13,36,-34.5927372,-58.3975743,2021-03-27
"9","Placido CAFE BAR, Ciudad de Buenos Aires","lunes",14,29.25,-34.5927372,-58.3975743,2021-03-27
"10","Placido CAFE BAR, Ciudad de Buenos Aires","lunes",15,29.25,-34.5927372,-58.3975743,2021-03-27
"11","Placido CAFE BAR, Ciudad de Buenos Aires","lunes",16,30.75,-34.5927372,-58.3975743,2021-03-27
"12","Placido CAFE BAR, Ciudad de Buenos Aires","lunes",17,26.25,-34.5927372,-58.3975743,2021-03-27
"13","Placido CAFE BAR, Ciudad de Buenos Aires","lunes",18,0,-34.5927372,-58.3975743,2021-03-27
"14","Placido CAFE BAR, Ciudad de Buenos Aires","lunes",19,0,-34.5927372,-58.3975743,2021-03-27
"15","Placido CAFE BAR, Ciudad de Buenos Aires","lunes",20,0,-34.5927372,-58.3975743,2021-03-27
"16","Placido CAFE BAR, Ciudad de Buenos Aires","lunes",21,0,-34.5927372,-58.3975743,2021-03-27
"17","Placido CAFE BAR, Ciudad de Buenos Aires","lunes",22,0,-34.5927372,-58.3975743,2021-03-27
"18","Placido CAFE BAR, Ciudad de Buenos Aires","lunes",23,0,-34.5927372,-58.3975743,2021-03-27
"19","Placido CAFE BAR, Ciudad de Buenos Aires","martes",6,0,-34.5927372,-58.3975743,2021-03-27
