"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Planes Bistro, Ciudad de Buenos Aires","martes",6,0,-34.6138417,-58.4532798,2021-03-27
"2","Planes Bistro, Ciudad de Buenos Aires","martes",7,0,-34.6138417,-58.4532798,2021-03-27
"3","Planes Bistro, Ciudad de Buenos Aires","martes",8,0,-34.6138417,-58.4532798,2021-03-27
"4","Planes Bistro, Ciudad de Buenos Aires","martes",9,0,-34.6138417,-58.4532798,2021-03-27
"5","Planes Bistro, Ciudad de Buenos Aires","martes",10,0,-34.6138417,-58.4532798,2021-03-27
"6","Planes Bistro, Ciudad de Buenos Aires","martes",11,8.25,-34.6138417,-58.4532798,2021-03-27
"7","Planes Bistro, Ciudad de Buenos Aires","martes",12,15,-34.6138417,-58.4532798,2021-03-27
"8","Planes Bistro, Ciudad de Buenos Aires","martes",13,20.25,-34.6138417,-58.4532798,2021-03-27
"9","Planes Bistro, Ciudad de Buenos Aires","martes",14,19.5,-34.6138417,-58.4532798,2021-03-27
"10","Planes Bistro, Ciudad de Buenos Aires","martes",15,14.25,-34.6138417,-58.4532798,2021-03-27
"11","Planes Bistro, Ciudad de Buenos Aires","martes",16,0,-34.6138417,-58.4532798,2021-03-27
"12","Planes Bistro, Ciudad de Buenos Aires","martes",17,0,-34.6138417,-58.4532798,2021-03-27
"13","Planes Bistro, Ciudad de Buenos Aires","martes",18,0,-34.6138417,-58.4532798,2021-03-27
"14","Planes Bistro, Ciudad de Buenos Aires","martes",19,7.5,-34.6138417,-58.4532798,2021-03-27
"15","Planes Bistro, Ciudad de Buenos Aires","martes",20,24.75,-34.6138417,-58.4532798,2021-03-27
"16","Planes Bistro, Ciudad de Buenos Aires","martes",21,40.5,-34.6138417,-58.4532798,2021-03-27
"17","Planes Bistro, Ciudad de Buenos Aires","martes",22,37.5,-34.6138417,-58.4532798,2021-03-27
"18","Planes Bistro, Ciudad de Buenos Aires","martes",23,20.25,-34.6138417,-58.4532798,2021-03-27
"19","Planes Bistro, Ciudad de Buenos Aires","miercoles",6,0,-34.6138417,-58.4532798,2021-03-27
"20","Planes Bistro, Ciudad de Buenos Aires","miercoles",7,0,-34.6138417,-58.4532798,2021-03-27
"21","Planes Bistro, Ciudad de Buenos Aires","miercoles",8,0,-34.6138417,-58.4532798,2021-03-27
"22","Planes Bistro, Ciudad de Buenos Aires","miercoles",9,0,-34.6138417,-58.4532798,2021-03-27
"23","Planes Bistro, Ciudad de Buenos Aires","miercoles",10,0,-34.6138417,-58.4532798,2021-03-27
"24","Planes Bistro, Ciudad de Buenos Aires","miercoles",11,10.5,-34.6138417,-58.4532798,2021-03-27
"25","Planes Bistro, Ciudad de Buenos Aires","miercoles",12,16.5,-34.6138417,-58.4532798,2021-03-27
"26","Planes Bistro, Ciudad de Buenos Aires","miercoles",13,20.25,-34.6138417,-58.4532798,2021-03-27
"27","Planes Bistro, Ciudad de Buenos Aires","miercoles",14,18.75,-34.6138417,-58.4532798,2021-03-27
"28","Planes Bistro, Ciudad de Buenos Aires","miercoles",15,13.5,-34.6138417,-58.4532798,2021-03-27
"29","Planes Bistro, Ciudad de Buenos Aires","miercoles",16,0,-34.6138417,-58.4532798,2021-03-27
"30","Planes Bistro, Ciudad de Buenos Aires","miercoles",17,0,-34.6138417,-58.4532798,2021-03-27
"31","Planes Bistro, Ciudad de Buenos Aires","miercoles",18,0,-34.6138417,-58.4532798,2021-03-27
"32","Planes Bistro, Ciudad de Buenos Aires","miercoles",19,9,-34.6138417,-58.4532798,2021-03-27
"33","Planes Bistro, Ciudad de Buenos Aires","miercoles",20,23.25,-34.6138417,-58.4532798,2021-03-27
"34","Planes Bistro, Ciudad de Buenos Aires","miercoles",21,35.25,-34.6138417,-58.4532798,2021-03-27
"35","Planes Bistro, Ciudad de Buenos Aires","miercoles",22,35.25,-34.6138417,-58.4532798,2021-03-27
