"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Plaza Asturias, Ciudad de Buenos Aires","lunes",6,0,-34.6089944,-58.3832815,2021-03-26
"2","Plaza Asturias, Ciudad de Buenos Aires","lunes",7,0,-34.6089944,-58.3832815,2021-03-26
"3","Plaza Asturias, Ciudad de Buenos Aires","lunes",8,0,-34.6089944,-58.3832815,2021-03-26
"4","Plaza Asturias, Ciudad de Buenos Aires","lunes",9,0,-34.6089944,-58.3832815,2021-03-26
"5","Plaza Asturias, Ciudad de Buenos Aires","lunes",10,0,-34.6089944,-58.3832815,2021-03-26
"6","Plaza Asturias, Ciudad de Buenos Aires","lunes",11,6,-34.6089944,-58.3832815,2021-03-26
"7","Plaza Asturias, Ciudad de Buenos Aires","lunes",12,21.75,-34.6089944,-58.3832815,2021-03-26
"8","Plaza Asturias, Ciudad de Buenos Aires","lunes",13,36.75,-34.6089944,-58.3832815,2021-03-26
"9","Plaza Asturias, Ciudad de Buenos Aires","lunes",14,40.5,-34.6089944,-58.3832815,2021-03-26
"10","Plaza Asturias, Ciudad de Buenos Aires","lunes",15,30.75,-34.6089944,-58.3832815,2021-03-26
"11","Plaza Asturias, Ciudad de Buenos Aires","lunes",16,13.5,-34.6089944,-58.3832815,2021-03-26
"12","Plaza Asturias, Ciudad de Buenos Aires","lunes",17,0,-34.6089944,-58.3832815,2021-03-26
"13","Plaza Asturias, Ciudad de Buenos Aires","lunes",18,0,-34.6089944,-58.3832815,2021-03-26
"14","Plaza Asturias, Ciudad de Buenos Aires","lunes",19,2.25,-34.6089944,-58.3832815,2021-03-26
"15","Plaza Asturias, Ciudad de Buenos Aires","lunes",20,19.5,-34.6089944,-58.3832815,2021-03-26
"16","Plaza Asturias, Ciudad de Buenos Aires","lunes",21,39,-34.6089944,-58.3832815,2021-03-26
"17","Plaza Asturias, Ciudad de Buenos Aires","lunes",22,43.5,-34.6089944,-58.3832815,2021-03-26
"18","Plaza Asturias, Ciudad de Buenos Aires","lunes",23,30.75,-34.6089944,-58.3832815,2021-03-26
"19","Plaza Asturias, Ciudad de Buenos Aires","martes",0,10.5,-34.6089944,-58.3832815,2021-03-26
"20","Plaza Asturias, Ciudad de Buenos Aires","martes",6,0,-34.6089944,-58.3832815,2021-03-26
"21","Plaza Asturias, Ciudad de Buenos Aires","martes",7,0,-34.6089944,-58.3832815,2021-03-26
"22","Plaza Asturias, Ciudad de Buenos Aires","martes",8,0,-34.6089944,-58.3832815,2021-03-26
"23","Plaza Asturias, Ciudad de Buenos Aires","martes",9,0,-34.6089944,-58.3832815,2021-03-26
"24","Plaza Asturias, Ciudad de Buenos Aires","martes",10,0,-34.6089944,-58.3832815,2021-03-26
"25","Plaza Asturias, Ciudad de Buenos Aires","martes",11,5.25,-34.6089944,-58.3832815,2021-03-26
"26","Plaza Asturias, Ciudad de Buenos Aires","martes",12,18,-34.6089944,-58.3832815,2021-03-26
"27","Plaza Asturias, Ciudad de Buenos Aires","martes",13,35.25,-34.6089944,-58.3832815,2021-03-26
"28","Plaza Asturias, Ciudad de Buenos Aires","martes",14,45.75,-34.6089944,-58.3832815,2021-03-26
"29","Plaza Asturias, Ciudad de Buenos Aires","martes",15,43.5,-34.6089944,-58.3832815,2021-03-26
"30","Plaza Asturias, Ciudad de Buenos Aires","martes",16,29.25,-34.6089944,-58.3832815,2021-03-26
"31","Plaza Asturias, Ciudad de Buenos Aires","martes",17,0,-34.6089944,-58.3832815,2021-03-26
"32","Plaza Asturias, Ciudad de Buenos Aires","martes",18,0,-34.6089944,-58.3832815,2021-03-26
"33","Plaza Asturias, Ciudad de Buenos Aires","martes",19,14.25,-34.6089944,-58.3832815,2021-03-26
"34","Plaza Asturias, Ciudad de Buenos Aires","martes",20,29.25,-34.6089944,-58.3832815,2021-03-26
"35","Plaza Asturias, Ciudad de Buenos Aires","martes",21,40.5,-34.6089944,-58.3832815,2021-03-26
"36","Plaza Asturias, Ciudad de Buenos Aires","martes",22,38.25,-34.6089944,-58.3832815,2021-03-26
"37","Plaza Asturias, Ciudad de Buenos Aires","martes",23,24.75,-34.6089944,-58.3832815,2021-03-26
"38","Plaza Asturias, Ciudad de Buenos Aires","miercoles",0,8.25,-34.6089944,-58.3832815,2021-03-26
"39","Plaza Asturias, Ciudad de Buenos Aires","miercoles",6,0,-34.6089944,-58.3832815,2021-03-26
"40","Plaza Asturias, Ciudad de Buenos Aires","miercoles",7,0,-34.6089944,-58.3832815,2021-03-26
"41","Plaza Asturias, Ciudad de Buenos Aires","miercoles",8,0,-34.6089944,-58.3832815,2021-03-26
"42","Plaza Asturias, Ciudad de Buenos Aires","miercoles",9,0,-34.6089944,-58.3832815,2021-03-26
"43","Plaza Asturias, Ciudad de Buenos Aires","miercoles",10,0,-34.6089944,-58.3832815,2021-03-26
"44","Plaza Asturias, Ciudad de Buenos Aires","miercoles",11,0,-34.6089944,-58.3832815,2021-03-26
"45","Plaza Asturias, Ciudad de Buenos Aires","miercoles",12,16.5,-34.6089944,-58.3832815,2021-03-26
"46","Plaza Asturias, Ciudad de Buenos Aires","miercoles",13,40.5,-34.6089944,-58.3832815,2021-03-26
"47","Plaza Asturias, Ciudad de Buenos Aires","miercoles",14,53.25,-34.6089944,-58.3832815,2021-03-26
"48","Plaza Asturias, Ciudad de Buenos Aires","miercoles",15,41.25,-34.6089944,-58.3832815,2021-03-26
"49","Plaza Asturias, Ciudad de Buenos Aires","miercoles",16,17.25,-34.6089944,-58.3832815,2021-03-26
"50","Plaza Asturias, Ciudad de Buenos Aires","miercoles",17,0,-34.6089944,-58.3832815,2021-03-26
"51","Plaza Asturias, Ciudad de Buenos Aires","miercoles",18,0,-34.6089944,-58.3832815,2021-03-26
"52","Plaza Asturias, Ciudad de Buenos Aires","miercoles",19,6.75,-34.6089944,-58.3832815,2021-03-26
"53","Plaza Asturias, Ciudad de Buenos Aires","miercoles",20,35.25,-34.6089944,-58.3832815,2021-03-26
"54","Plaza Asturias, Ciudad de Buenos Aires","miercoles",21,69,-34.6089944,-58.3832815,2021-03-26
"55","Plaza Asturias, Ciudad de Buenos Aires","miercoles",22,75,-34.6089944,-58.3832815,2021-03-26
"56","Plaza Asturias, Ciudad de Buenos Aires","miercoles",23,43.5,-34.6089944,-58.3832815,2021-03-26
"57","Plaza Asturias, Ciudad de Buenos Aires","jueves",0,9.75,-34.6089944,-58.3832815,2021-03-26
"58","Plaza Asturias, Ciudad de Buenos Aires","jueves",6,0,-34.6089944,-58.3832815,2021-03-26
"59","Plaza Asturias, Ciudad de Buenos Aires","jueves",7,0,-34.6089944,-58.3832815,2021-03-26
"60","Plaza Asturias, Ciudad de Buenos Aires","jueves",8,0,-34.6089944,-58.3832815,2021-03-26
"61","Plaza Asturias, Ciudad de Buenos Aires","jueves",9,0,-34.6089944,-58.3832815,2021-03-26
"62","Plaza Asturias, Ciudad de Buenos Aires","jueves",10,0,-34.6089944,-58.3832815,2021-03-26
"63","Plaza Asturias, Ciudad de Buenos Aires","jueves",11,6.75,-34.6089944,-58.3832815,2021-03-26
"64","Plaza Asturias, Ciudad de Buenos Aires","jueves",12,24.75,-34.6089944,-58.3832815,2021-03-26
"65","Plaza Asturias, Ciudad de Buenos Aires","jueves",13,47.25,-34.6089944,-58.3832815,2021-03-26
"66","Plaza Asturias, Ciudad de Buenos Aires","jueves",14,56.25,-34.6089944,-58.3832815,2021-03-26
"67","Plaza Asturias, Ciudad de Buenos Aires","jueves",15,39,-34.6089944,-58.3832815,2021-03-26
"68","Plaza Asturias, Ciudad de Buenos Aires","jueves",16,14.25,-34.6089944,-58.3832815,2021-03-26
"69","Plaza Asturias, Ciudad de Buenos Aires","jueves",17,0,-34.6089944,-58.3832815,2021-03-26
"70","Plaza Asturias, Ciudad de Buenos Aires","jueves",18,0,-34.6089944,-58.3832815,2021-03-26
"71","Plaza Asturias, Ciudad de Buenos Aires","jueves",19,3.75,-34.6089944,-58.3832815,2021-03-26
"72","Plaza Asturias, Ciudad de Buenos Aires","jueves",20,26.25,-34.6089944,-58.3832815,2021-03-26
"73","Plaza Asturias, Ciudad de Buenos Aires","jueves",21,55.5,-34.6089944,-58.3832815,2021-03-26
"74","Plaza Asturias, Ciudad de Buenos Aires","jueves",22,72,-34.6089944,-58.3832815,2021-03-26
"75","Plaza Asturias, Ciudad de Buenos Aires","jueves",23,60,-34.6089944,-58.3832815,2021-03-26
"76","Plaza Asturias, Ciudad de Buenos Aires","viernes",0,30,-34.6089944,-58.3832815,2021-03-26
"77","Plaza Asturias, Ciudad de Buenos Aires","viernes",6,0,-34.6089944,-58.3832815,2021-03-26
"78","Plaza Asturias, Ciudad de Buenos Aires","viernes",7,0,-34.6089944,-58.3832815,2021-03-26
"79","Plaza Asturias, Ciudad de Buenos Aires","viernes",8,0,-34.6089944,-58.3832815,2021-03-26
"80","Plaza Asturias, Ciudad de Buenos Aires","viernes",9,0,-34.6089944,-58.3832815,2021-03-26
"81","Plaza Asturias, Ciudad de Buenos Aires","viernes",10,0,-34.6089944,-58.3832815,2021-03-26
"82","Plaza Asturias, Ciudad de Buenos Aires","viernes",11,9.75,-34.6089944,-58.3832815,2021-03-26
"83","Plaza Asturias, Ciudad de Buenos Aires","viernes",12,27.75,-34.6089944,-58.3832815,2021-03-26
"84","Plaza Asturias, Ciudad de Buenos Aires","viernes",13,45.75,-34.6089944,-58.3832815,2021-03-26
"85","Plaza Asturias, Ciudad de Buenos Aires","viernes",14,51.75,-34.6089944,-58.3832815,2021-03-26
"86","Plaza Asturias, Ciudad de Buenos Aires","viernes",15,42.75,-34.6089944,-58.3832815,2021-03-26
"87","Plaza Asturias, Ciudad de Buenos Aires","viernes",16,24,-34.6089944,-58.3832815,2021-03-26
"88","Plaza Asturias, Ciudad de Buenos Aires","viernes",17,0,-34.6089944,-58.3832815,2021-03-26
"89","Plaza Asturias, Ciudad de Buenos Aires","viernes",18,0,-34.6089944,-58.3832815,2021-03-26
"90","Plaza Asturias, Ciudad de Buenos Aires","viernes",19,0,-34.6089944,-58.3832815,2021-03-26
"91","Plaza Asturias, Ciudad de Buenos Aires","viernes",20,15.75,-34.6089944,-58.3832815,2021-03-26
"92","Plaza Asturias, Ciudad de Buenos Aires","viernes",21,42,-34.6089944,-58.3832815,2021-03-26
"93","Plaza Asturias, Ciudad de Buenos Aires","viernes",22,59.25,-34.6089944,-58.3832815,2021-03-26
"94","Plaza Asturias, Ciudad de Buenos Aires","viernes",23,50.25,-34.6089944,-58.3832815,2021-03-26
"95","Plaza Asturias, Ciudad de Buenos Aires","sabado",0,24.75,-34.6089944,-58.3832815,2021-03-26
"96","Plaza Asturias, Ciudad de Buenos Aires","sabado",6,0,-34.6089944,-58.3832815,2021-03-26
"97","Plaza Asturias, Ciudad de Buenos Aires","sabado",7,0,-34.6089944,-58.3832815,2021-03-26
"98","Plaza Asturias, Ciudad de Buenos Aires","sabado",8,0,-34.6089944,-58.3832815,2021-03-26
"99","Plaza Asturias, Ciudad de Buenos Aires","sabado",9,0,-34.6089944,-58.3832815,2021-03-26
"100","Plaza Asturias, Ciudad de Buenos Aires","sabado",10,0,-34.6089944,-58.3832815,2021-03-26
"101","Plaza Asturias, Ciudad de Buenos Aires","sabado",11,0.75,-34.6089944,-58.3832815,2021-03-26
"102","Plaza Asturias, Ciudad de Buenos Aires","sabado",12,0.75,-34.6089944,-58.3832815,2021-03-26
"103","Plaza Asturias, Ciudad de Buenos Aires","sabado",13,0.75,-34.6089944,-58.3832815,2021-03-26
"104","Plaza Asturias, Ciudad de Buenos Aires","sabado",14,0.75,-34.6089944,-58.3832815,2021-03-26
"105","Plaza Asturias, Ciudad de Buenos Aires","sabado",15,0.75,-34.6089944,-58.3832815,2021-03-26
"106","Plaza Asturias, Ciudad de Buenos Aires","sabado",16,3,-34.6089944,-58.3832815,2021-03-26
"107","Plaza Asturias, Ciudad de Buenos Aires","sabado",17,0,-34.6089944,-58.3832815,2021-03-26
"108","Plaza Asturias, Ciudad de Buenos Aires","sabado",18,0,-34.6089944,-58.3832815,2021-03-26
"109","Plaza Asturias, Ciudad de Buenos Aires","sabado",19,9,-34.6089944,-58.3832815,2021-03-26
"110","Plaza Asturias, Ciudad de Buenos Aires","sabado",20,31.5,-34.6089944,-58.3832815,2021-03-26
"111","Plaza Asturias, Ciudad de Buenos Aires","sabado",21,57,-34.6089944,-58.3832815,2021-03-26
"112","Plaza Asturias, Ciudad de Buenos Aires","sabado",22,66,-34.6089944,-58.3832815,2021-03-26
"113","Plaza Asturias, Ciudad de Buenos Aires","sabado",23,51.75,-34.6089944,-58.3832815,2021-03-26
"114","Plaza Asturias, Ciudad de Buenos Aires","domingo",0,24.75,-34.6089944,-58.3832815,2021-03-26
"115","Plaza Asturias, Ciudad de Buenos Aires","domingo",6,0,-34.6089944,-58.3832815,2021-03-26
"116","Plaza Asturias, Ciudad de Buenos Aires","domingo",7,0,-34.6089944,-58.3832815,2021-03-26
"117","Plaza Asturias, Ciudad de Buenos Aires","domingo",8,0,-34.6089944,-58.3832815,2021-03-26
"118","Plaza Asturias, Ciudad de Buenos Aires","domingo",9,0,-34.6089944,-58.3832815,2021-03-26
"119","Plaza Asturias, Ciudad de Buenos Aires","domingo",10,0,-34.6089944,-58.3832815,2021-03-26
"120","Plaza Asturias, Ciudad de Buenos Aires","domingo",11,0.75,-34.6089944,-58.3832815,2021-03-26
"121","Plaza Asturias, Ciudad de Buenos Aires","domingo",12,9.75,-34.6089944,-58.3832815,2021-03-26
"122","Plaza Asturias, Ciudad de Buenos Aires","domingo",13,39,-34.6089944,-58.3832815,2021-03-26
"123","Plaza Asturias, Ciudad de Buenos Aires","domingo",14,62.25,-34.6089944,-58.3832815,2021-03-26
"124","Plaza Asturias, Ciudad de Buenos Aires","domingo",15,51.75,-34.6089944,-58.3832815,2021-03-26
"125","Plaza Asturias, Ciudad de Buenos Aires","domingo",16,21,-34.6089944,-58.3832815,2021-03-26
"126","Plaza Asturias, Ciudad de Buenos Aires","domingo",17,0,-34.6089944,-58.3832815,2021-03-26
"127","Plaza Asturias, Ciudad de Buenos Aires","domingo",18,0,-34.6089944,-58.3832815,2021-03-26
"128","Plaza Asturias, Ciudad de Buenos Aires","domingo",19,0.75,-34.6089944,-58.3832815,2021-03-26
"129","Plaza Asturias, Ciudad de Buenos Aires","domingo",20,0.75,-34.6089944,-58.3832815,2021-03-26
"130","Plaza Asturias, Ciudad de Buenos Aires","domingo",21,0.75,-34.6089944,-58.3832815,2021-03-26
"131","Plaza Asturias, Ciudad de Buenos Aires","domingo",22,0.75,-34.6089944,-58.3832815,2021-03-26
"132","Plaza Asturias, Ciudad de Buenos Aires","domingo",23,0.75,-34.6089944,-58.3832815,2021-03-26
"133","Plaza Asturias, Ciudad de Buenos Aires","lunes",0,0.75,-34.6089944,-58.3832815,2021-03-26
