"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Pony Pizza, Ciudad de Buenos Aires","martes",6,0,-34.558429,-58.4493272,2021-03-28
"2","Pony Pizza, Ciudad de Buenos Aires","martes",7,0,-34.558429,-58.4493272,2021-03-28
"3","Pony Pizza, Ciudad de Buenos Aires","martes",8,0,-34.558429,-58.4493272,2021-03-28
"4","Pony Pizza, Ciudad de Buenos Aires","martes",9,0,-34.558429,-58.4493272,2021-03-28
"5","Pony Pizza, Ciudad de Buenos Aires","martes",10,0,-34.558429,-58.4493272,2021-03-28
"6","Pony Pizza, Ciudad de Buenos Aires","martes",11,0,-34.558429,-58.4493272,2021-03-28
"7","Pony Pizza, Ciudad de Buenos Aires","martes",12,0,-34.558429,-58.4493272,2021-03-28
"8","Pony Pizza, Ciudad de Buenos Aires","martes",13,0,-34.558429,-58.4493272,2021-03-28
"9","Pony Pizza, Ciudad de Buenos Aires","martes",14,0,-34.558429,-58.4493272,2021-03-28
"10","Pony Pizza, Ciudad de Buenos Aires","martes",15,0,-34.558429,-58.4493272,2021-03-28
"11","Pony Pizza, Ciudad de Buenos Aires","martes",16,0,-34.558429,-58.4493272,2021-03-28
"12","Pony Pizza, Ciudad de Buenos Aires","martes",17,0,-34.558429,-58.4493272,2021-03-28
"13","Pony Pizza, Ciudad de Buenos Aires","martes",18,0,-34.558429,-58.4493272,2021-03-28
"14","Pony Pizza, Ciudad de Buenos Aires","martes",19,17.25,-34.558429,-58.4493272,2021-03-28
"15","Pony Pizza, Ciudad de Buenos Aires","martes",20,24,-34.558429,-58.4493272,2021-03-28
"16","Pony Pizza, Ciudad de Buenos Aires","martes",21,32.25,-34.558429,-58.4493272,2021-03-28
"17","Pony Pizza, Ciudad de Buenos Aires","martes",22,31.5,-34.558429,-58.4493272,2021-03-28
"18","Pony Pizza, Ciudad de Buenos Aires","martes",23,19.5,-34.558429,-58.4493272,2021-03-28
"19","Pony Pizza, Ciudad de Buenos Aires","miercoles",6,0,-34.558429,-58.4493272,2021-03-28
"20","Pony Pizza, Ciudad de Buenos Aires","miercoles",7,0,-34.558429,-58.4493272,2021-03-28
"21","Pony Pizza, Ciudad de Buenos Aires","miercoles",8,0,-34.558429,-58.4493272,2021-03-28
"22","Pony Pizza, Ciudad de Buenos Aires","miercoles",9,0,-34.558429,-58.4493272,2021-03-28
"23","Pony Pizza, Ciudad de Buenos Aires","miercoles",10,0,-34.558429,-58.4493272,2021-03-28
"24","Pony Pizza, Ciudad de Buenos Aires","miercoles",11,0,-34.558429,-58.4493272,2021-03-28
"25","Pony Pizza, Ciudad de Buenos Aires","miercoles",12,0,-34.558429,-58.4493272,2021-03-28
"26","Pony Pizza, Ciudad de Buenos Aires","miercoles",13,0,-34.558429,-58.4493272,2021-03-28
