"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Post Street Bar, Ciudad de Buenos Aires","martes",0,6,-34.5861563,-58.4281738,2021-03-29
"2","Post Street Bar, Ciudad de Buenos Aires","martes",1,4.5,-34.5861563,-58.4281738,2021-03-29
"3","Post Street Bar, Ciudad de Buenos Aires","martes",2,0,-34.5861563,-58.4281738,2021-03-29
"4","Post Street Bar, Ciudad de Buenos Aires","martes",3,0,-34.5861563,-58.4281738,2021-03-29
"5","Post Street Bar, Ciudad de Buenos Aires","martes",4,0,-34.5861563,-58.4281738,2021-03-29
"6","Post Street Bar, Ciudad de Buenos Aires","martes",5,0,-34.5861563,-58.4281738,2021-03-29
"7","Post Street Bar, Ciudad de Buenos Aires","martes",6,0,-34.5861563,-58.4281738,2021-03-29
"8","Post Street Bar, Ciudad de Buenos Aires","martes",7,0,-34.5861563,-58.4281738,2021-03-29
"9","Post Street Bar, Ciudad de Buenos Aires","martes",8,0,-34.5861563,-58.4281738,2021-03-29
"10","Post Street Bar, Ciudad de Buenos Aires","martes",9,0,-34.5861563,-58.4281738,2021-03-29
"11","Post Street Bar, Ciudad de Buenos Aires","martes",10,0,-34.5861563,-58.4281738,2021-03-29
"12","Post Street Bar, Ciudad de Buenos Aires","martes",11,0,-34.5861563,-58.4281738,2021-03-29
"13","Post Street Bar, Ciudad de Buenos Aires","martes",12,0,-34.5861563,-58.4281738,2021-03-29
"14","Post Street Bar, Ciudad de Buenos Aires","martes",13,0,-34.5861563,-58.4281738,2021-03-29
"15","Post Street Bar, Ciudad de Buenos Aires","martes",14,0,-34.5861563,-58.4281738,2021-03-29
"16","Post Street Bar, Ciudad de Buenos Aires","martes",15,0,-34.5861563,-58.4281738,2021-03-29
"17","Post Street Bar, Ciudad de Buenos Aires","martes",16,0,-34.5861563,-58.4281738,2021-03-29
"18","Post Street Bar, Ciudad de Buenos Aires","martes",17,4.5,-34.5861563,-58.4281738,2021-03-29
"19","Post Street Bar, Ciudad de Buenos Aires","martes",18,5.25,-34.5861563,-58.4281738,2021-03-29
"20","Post Street Bar, Ciudad de Buenos Aires","martes",19,6.75,-34.5861563,-58.4281738,2021-03-29
"21","Post Street Bar, Ciudad de Buenos Aires","martes",20,9.75,-34.5861563,-58.4281738,2021-03-29
"22","Post Street Bar, Ciudad de Buenos Aires","martes",21,15.75,-34.5861563,-58.4281738,2021-03-29
"23","Post Street Bar, Ciudad de Buenos Aires","martes",22,18,-34.5861563,-58.4281738,2021-03-29
"24","Post Street Bar, Ciudad de Buenos Aires","martes",23,15,-34.5861563,-58.4281738,2021-03-29
"25","Post Street Bar, Ciudad de Buenos Aires","miercoles",0,9,-34.5861563,-58.4281738,2021-03-29
"26","Post Street Bar, Ciudad de Buenos Aires","miercoles",1,4.5,-34.5861563,-58.4281738,2021-03-29
"27","Post Street Bar, Ciudad de Buenos Aires","miercoles",6,0,-34.5861563,-58.4281738,2021-03-29
"28","Post Street Bar, Ciudad de Buenos Aires","miercoles",7,0,-34.5861563,-58.4281738,2021-03-29
"29","Post Street Bar, Ciudad de Buenos Aires","miercoles",8,0,-34.5861563,-58.4281738,2021-03-29
"30","Post Street Bar, Ciudad de Buenos Aires","miercoles",9,0,-34.5861563,-58.4281738,2021-03-29
"31","Post Street Bar, Ciudad de Buenos Aires","miercoles",10,0,-34.5861563,-58.4281738,2021-03-29
"32","Post Street Bar, Ciudad de Buenos Aires","miercoles",11,0,-34.5861563,-58.4281738,2021-03-29
"33","Post Street Bar, Ciudad de Buenos Aires","miercoles",12,0,-34.5861563,-58.4281738,2021-03-29
"34","Post Street Bar, Ciudad de Buenos Aires","miercoles",13,0,-34.5861563,-58.4281738,2021-03-29
"35","Post Street Bar, Ciudad de Buenos Aires","miercoles",14,0,-34.5861563,-58.4281738,2021-03-29
"36","Post Street Bar, Ciudad de Buenos Aires","miercoles",15,0,-34.5861563,-58.4281738,2021-03-29
"37","Post Street Bar, Ciudad de Buenos Aires","miercoles",16,0,-34.5861563,-58.4281738,2021-03-29
"38","Post Street Bar, Ciudad de Buenos Aires","miercoles",17,6,-34.5861563,-58.4281738,2021-03-29
"39","Post Street Bar, Ciudad de Buenos Aires","miercoles",18,11.25,-34.5861563,-58.4281738,2021-03-29
"40","Post Street Bar, Ciudad de Buenos Aires","miercoles",19,16.5,-34.5861563,-58.4281738,2021-03-29
"41","Post Street Bar, Ciudad de Buenos Aires","miercoles",20,19.5,-34.5861563,-58.4281738,2021-03-29
