"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Puente Grand Bar, Ciudad de Buenos Aires","lunes",6,0,-34.6079802,-58.3664708,2021-03-25
"2","Puente Grand Bar, Ciudad de Buenos Aires","lunes",7,0,-34.6079802,-58.3664708,2021-03-25
"3","Puente Grand Bar, Ciudad de Buenos Aires","lunes",8,0,-34.6079802,-58.3664708,2021-03-25
"4","Puente Grand Bar, Ciudad de Buenos Aires","lunes",9,0,-34.6079802,-58.3664708,2021-03-25
"5","Puente Grand Bar, Ciudad de Buenos Aires","lunes",10,0,-34.6079802,-58.3664708,2021-03-25
"6","Puente Grand Bar, Ciudad de Buenos Aires","lunes",11,0,-34.6079802,-58.3664708,2021-03-25
"7","Puente Grand Bar, Ciudad de Buenos Aires","lunes",12,2.25,-34.6079802,-58.3664708,2021-03-25
"8","Puente Grand Bar, Ciudad de Buenos Aires","lunes",13,2.25,-34.6079802,-58.3664708,2021-03-25
"9","Puente Grand Bar, Ciudad de Buenos Aires","lunes",14,2.25,-34.6079802,-58.3664708,2021-03-25
"10","Puente Grand Bar, Ciudad de Buenos Aires","lunes",15,3,-34.6079802,-58.3664708,2021-03-25
"11","Puente Grand Bar, Ciudad de Buenos Aires","lunes",16,3.75,-34.6079802,-58.3664708,2021-03-25
"12","Puente Grand Bar, Ciudad de Buenos Aires","lunes",17,4.5,-34.6079802,-58.3664708,2021-03-25
"13","Puente Grand Bar, Ciudad de Buenos Aires","lunes",18,5.25,-34.6079802,-58.3664708,2021-03-25
"14","Puente Grand Bar, Ciudad de Buenos Aires","lunes",19,6,-34.6079802,-58.3664708,2021-03-25
"15","Puente Grand Bar, Ciudad de Buenos Aires","lunes",20,5.25,-34.6079802,-58.3664708,2021-03-25
"16","Puente Grand Bar, Ciudad de Buenos Aires","lunes",21,5.25,-34.6079802,-58.3664708,2021-03-25
"17","Puente Grand Bar, Ciudad de Buenos Aires","lunes",22,6,-34.6079802,-58.3664708,2021-03-25
"18","Puente Grand Bar, Ciudad de Buenos Aires","lunes",23,6.75,-34.6079802,-58.3664708,2021-03-25
"19","Puente Grand Bar, Ciudad de Buenos Aires","martes",0,6.75,-34.6079802,-58.3664708,2021-03-25
"20","Puente Grand Bar, Ciudad de Buenos Aires","martes",6,0,-34.6079802,-58.3664708,2021-03-25
"21","Puente Grand Bar, Ciudad de Buenos Aires","martes",7,0,-34.6079802,-58.3664708,2021-03-25
"22","Puente Grand Bar, Ciudad de Buenos Aires","martes",8,0,-34.6079802,-58.3664708,2021-03-25
"23","Puente Grand Bar, Ciudad de Buenos Aires","martes",9,0,-34.6079802,-58.3664708,2021-03-25
"24","Puente Grand Bar, Ciudad de Buenos Aires","martes",10,0,-34.6079802,-58.3664708,2021-03-25
"25","Puente Grand Bar, Ciudad de Buenos Aires","martes",11,0,-34.6079802,-58.3664708,2021-03-25
"26","Puente Grand Bar, Ciudad de Buenos Aires","martes",12,2.25,-34.6079802,-58.3664708,2021-03-25
"27","Puente Grand Bar, Ciudad de Buenos Aires","martes",13,1.5,-34.6079802,-58.3664708,2021-03-25
"28","Puente Grand Bar, Ciudad de Buenos Aires","martes",14,1.5,-34.6079802,-58.3664708,2021-03-25
"29","Puente Grand Bar, Ciudad de Buenos Aires","martes",15,1.5,-34.6079802,-58.3664708,2021-03-25
"30","Puente Grand Bar, Ciudad de Buenos Aires","martes",16,3,-34.6079802,-58.3664708,2021-03-25
"31","Puente Grand Bar, Ciudad de Buenos Aires","martes",17,4.5,-34.6079802,-58.3664708,2021-03-25
"32","Puente Grand Bar, Ciudad de Buenos Aires","martes",18,7.5,-34.6079802,-58.3664708,2021-03-25
"33","Puente Grand Bar, Ciudad de Buenos Aires","martes",19,9.75,-34.6079802,-58.3664708,2021-03-25
"34","Puente Grand Bar, Ciudad de Buenos Aires","martes",20,12.75,-34.6079802,-58.3664708,2021-03-25
"35","Puente Grand Bar, Ciudad de Buenos Aires","martes",21,18.75,-34.6079802,-58.3664708,2021-03-25
"36","Puente Grand Bar, Ciudad de Buenos Aires","martes",22,24.75,-34.6079802,-58.3664708,2021-03-25
"37","Puente Grand Bar, Ciudad de Buenos Aires","martes",23,23.25,-34.6079802,-58.3664708,2021-03-25
"38","Puente Grand Bar, Ciudad de Buenos Aires","miercoles",0,14.25,-34.6079802,-58.3664708,2021-03-25
"39","Puente Grand Bar, Ciudad de Buenos Aires","miercoles",6,0,-34.6079802,-58.3664708,2021-03-25
"40","Puente Grand Bar, Ciudad de Buenos Aires","miercoles",7,0,-34.6079802,-58.3664708,2021-03-25
"41","Puente Grand Bar, Ciudad de Buenos Aires","miercoles",8,0,-34.6079802,-58.3664708,2021-03-25
"42","Puente Grand Bar, Ciudad de Buenos Aires","miercoles",9,0,-34.6079802,-58.3664708,2021-03-25
"43","Puente Grand Bar, Ciudad de Buenos Aires","miercoles",10,0,-34.6079802,-58.3664708,2021-03-25
"44","Puente Grand Bar, Ciudad de Buenos Aires","miercoles",11,0,-34.6079802,-58.3664708,2021-03-25
"45","Puente Grand Bar, Ciudad de Buenos Aires","miercoles",12,3,-34.6079802,-58.3664708,2021-03-25
"46","Puente Grand Bar, Ciudad de Buenos Aires","miercoles",13,3,-34.6079802,-58.3664708,2021-03-25
"47","Puente Grand Bar, Ciudad de Buenos Aires","miercoles",14,3,-34.6079802,-58.3664708,2021-03-25
"48","Puente Grand Bar, Ciudad de Buenos Aires","miercoles",15,3,-34.6079802,-58.3664708,2021-03-25
"49","Puente Grand Bar, Ciudad de Buenos Aires","miercoles",16,3.75,-34.6079802,-58.3664708,2021-03-25
"50","Puente Grand Bar, Ciudad de Buenos Aires","miercoles",17,5.25,-34.6079802,-58.3664708,2021-03-25
"51","Puente Grand Bar, Ciudad de Buenos Aires","miercoles",18,9,-34.6079802,-58.3664708,2021-03-25
"52","Puente Grand Bar, Ciudad de Buenos Aires","miercoles",19,14.25,-34.6079802,-58.3664708,2021-03-25
"53","Puente Grand Bar, Ciudad de Buenos Aires","miercoles",20,21.75,-34.6079802,-58.3664708,2021-03-25
"54","Puente Grand Bar, Ciudad de Buenos Aires","miercoles",21,28.5,-34.6079802,-58.3664708,2021-03-25
"55","Puente Grand Bar, Ciudad de Buenos Aires","miercoles",22,34.5,-34.6079802,-58.3664708,2021-03-25
"56","Puente Grand Bar, Ciudad de Buenos Aires","miercoles",23,34.5,-34.6079802,-58.3664708,2021-03-25
"57","Puente Grand Bar, Ciudad de Buenos Aires","jueves",0,27,-34.6079802,-58.3664708,2021-03-25
"58","Puente Grand Bar, Ciudad de Buenos Aires","jueves",6,0,-34.6079802,-58.3664708,2021-03-25
"59","Puente Grand Bar, Ciudad de Buenos Aires","jueves",7,0,-34.6079802,-58.3664708,2021-03-25
"60","Puente Grand Bar, Ciudad de Buenos Aires","jueves",8,0,-34.6079802,-58.3664708,2021-03-25
"61","Puente Grand Bar, Ciudad de Buenos Aires","jueves",9,0,-34.6079802,-58.3664708,2021-03-25
"62","Puente Grand Bar, Ciudad de Buenos Aires","jueves",10,0,-34.6079802,-58.3664708,2021-03-25
"63","Puente Grand Bar, Ciudad de Buenos Aires","jueves",11,0,-34.6079802,-58.3664708,2021-03-25
"64","Puente Grand Bar, Ciudad de Buenos Aires","jueves",12,6,-34.6079802,-58.3664708,2021-03-25
"65","Puente Grand Bar, Ciudad de Buenos Aires","jueves",13,6.75,-34.6079802,-58.3664708,2021-03-25
"66","Puente Grand Bar, Ciudad de Buenos Aires","jueves",14,6.75,-34.6079802,-58.3664708,2021-03-25
"67","Puente Grand Bar, Ciudad de Buenos Aires","jueves",15,7.5,-34.6079802,-58.3664708,2021-03-25
"68","Puente Grand Bar, Ciudad de Buenos Aires","jueves",16,9,-34.6079802,-58.3664708,2021-03-25
"69","Puente Grand Bar, Ciudad de Buenos Aires","jueves",17,12,-34.6079802,-58.3664708,2021-03-25
"70","Puente Grand Bar, Ciudad de Buenos Aires","jueves",18,18.75,-34.6079802,-58.3664708,2021-03-25
"71","Puente Grand Bar, Ciudad de Buenos Aires","jueves",19,29.25,-34.6079802,-58.3664708,2021-03-25
"72","Puente Grand Bar, Ciudad de Buenos Aires","jueves",20,42,-34.6079802,-58.3664708,2021-03-25
"73","Puente Grand Bar, Ciudad de Buenos Aires","jueves",21,50.25,-34.6079802,-58.3664708,2021-03-25
"74","Puente Grand Bar, Ciudad de Buenos Aires","jueves",22,50.25,-34.6079802,-58.3664708,2021-03-25
"75","Puente Grand Bar, Ciudad de Buenos Aires","jueves",23,41.25,-34.6079802,-58.3664708,2021-03-25
"76","Puente Grand Bar, Ciudad de Buenos Aires","viernes",0,27,-34.6079802,-58.3664708,2021-03-25
"77","Puente Grand Bar, Ciudad de Buenos Aires","viernes",1,15,-34.6079802,-58.3664708,2021-03-25
"78","Puente Grand Bar, Ciudad de Buenos Aires","viernes",6,0,-34.6079802,-58.3664708,2021-03-25
"79","Puente Grand Bar, Ciudad de Buenos Aires","viernes",7,0,-34.6079802,-58.3664708,2021-03-25
"80","Puente Grand Bar, Ciudad de Buenos Aires","viernes",8,0,-34.6079802,-58.3664708,2021-03-25
"81","Puente Grand Bar, Ciudad de Buenos Aires","viernes",9,0,-34.6079802,-58.3664708,2021-03-25
"82","Puente Grand Bar, Ciudad de Buenos Aires","viernes",10,0,-34.6079802,-58.3664708,2021-03-25
"83","Puente Grand Bar, Ciudad de Buenos Aires","viernes",11,0,-34.6079802,-58.3664708,2021-03-25
"84","Puente Grand Bar, Ciudad de Buenos Aires","viernes",12,7.5,-34.6079802,-58.3664708,2021-03-25
"85","Puente Grand Bar, Ciudad de Buenos Aires","viernes",13,7.5,-34.6079802,-58.3664708,2021-03-25
"86","Puente Grand Bar, Ciudad de Buenos Aires","viernes",14,6.75,-34.6079802,-58.3664708,2021-03-25
"87","Puente Grand Bar, Ciudad de Buenos Aires","viernes",15,6.75,-34.6079802,-58.3664708,2021-03-25
"88","Puente Grand Bar, Ciudad de Buenos Aires","viernes",16,7.5,-34.6079802,-58.3664708,2021-03-25
"89","Puente Grand Bar, Ciudad de Buenos Aires","viernes",17,12.75,-34.6079802,-58.3664708,2021-03-25
"90","Puente Grand Bar, Ciudad de Buenos Aires","viernes",18,22.5,-34.6079802,-58.3664708,2021-03-25
"91","Puente Grand Bar, Ciudad de Buenos Aires","viernes",19,32.25,-34.6079802,-58.3664708,2021-03-25
"92","Puente Grand Bar, Ciudad de Buenos Aires","viernes",20,38.25,-34.6079802,-58.3664708,2021-03-25
"93","Puente Grand Bar, Ciudad de Buenos Aires","viernes",21,42.75,-34.6079802,-58.3664708,2021-03-25
"94","Puente Grand Bar, Ciudad de Buenos Aires","viernes",22,53.25,-34.6079802,-58.3664708,2021-03-25
"95","Puente Grand Bar, Ciudad de Buenos Aires","viernes",23,65.25,-34.6079802,-58.3664708,2021-03-25
"96","Puente Grand Bar, Ciudad de Buenos Aires","sabado",0,63,-34.6079802,-58.3664708,2021-03-25
"97","Puente Grand Bar, Ciudad de Buenos Aires","sabado",1,44.25,-34.6079802,-58.3664708,2021-03-25
"98","Puente Grand Bar, Ciudad de Buenos Aires","sabado",2,22.5,-34.6079802,-58.3664708,2021-03-25
"99","Puente Grand Bar, Ciudad de Buenos Aires","sabado",6,0,-34.6079802,-58.3664708,2021-03-25
"100","Puente Grand Bar, Ciudad de Buenos Aires","sabado",7,0,-34.6079802,-58.3664708,2021-03-25
"101","Puente Grand Bar, Ciudad de Buenos Aires","sabado",8,0,-34.6079802,-58.3664708,2021-03-25
"102","Puente Grand Bar, Ciudad de Buenos Aires","sabado",9,0,-34.6079802,-58.3664708,2021-03-25
"103","Puente Grand Bar, Ciudad de Buenos Aires","sabado",10,0,-34.6079802,-58.3664708,2021-03-25
