"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Puerto Lopez Almagro, Ciudad de Buenos Aires","lunes",6,0,-34.6061084,-58.4303871,2021-03-30
"2","Puerto Lopez Almagro, Ciudad de Buenos Aires","lunes",7,0,-34.6061084,-58.4303871,2021-03-30
"3","Puerto Lopez Almagro, Ciudad de Buenos Aires","lunes",8,0,-34.6061084,-58.4303871,2021-03-30
"4","Puerto Lopez Almagro, Ciudad de Buenos Aires","lunes",9,0,-34.6061084,-58.4303871,2021-03-30
"5","Puerto Lopez Almagro, Ciudad de Buenos Aires","lunes",10,0,-34.6061084,-58.4303871,2021-03-30
"6","Puerto Lopez Almagro, Ciudad de Buenos Aires","lunes",11,0,-34.6061084,-58.4303871,2021-03-30
"7","Puerto Lopez Almagro, Ciudad de Buenos Aires","lunes",12,0,-34.6061084,-58.4303871,2021-03-30
"8","Puerto Lopez Almagro, Ciudad de Buenos Aires","lunes",13,0,-34.6061084,-58.4303871,2021-03-30
"9","Puerto Lopez Almagro, Ciudad de Buenos Aires","lunes",14,0,-34.6061084,-58.4303871,2021-03-30
"10","Puerto Lopez Almagro, Ciudad de Buenos Aires","lunes",15,0,-34.6061084,-58.4303871,2021-03-30
"11","Puerto Lopez Almagro, Ciudad de Buenos Aires","lunes",16,0,-34.6061084,-58.4303871,2021-03-30
"12","Puerto Lopez Almagro, Ciudad de Buenos Aires","lunes",17,0,-34.6061084,-58.4303871,2021-03-30
"13","Puerto Lopez Almagro, Ciudad de Buenos Aires","lunes",18,0,-34.6061084,-58.4303871,2021-03-30
"14","Puerto Lopez Almagro, Ciudad de Buenos Aires","lunes",19,11.25,-34.6061084,-58.4303871,2021-03-30
"15","Puerto Lopez Almagro, Ciudad de Buenos Aires","lunes",20,29.25,-34.6061084,-58.4303871,2021-03-30
"16","Puerto Lopez Almagro, Ciudad de Buenos Aires","lunes",21,49.5,-34.6061084,-58.4303871,2021-03-30
"17","Puerto Lopez Almagro, Ciudad de Buenos Aires","lunes",22,53.25,-34.6061084,-58.4303871,2021-03-30
"18","Puerto Lopez Almagro, Ciudad de Buenos Aires","lunes",23,37.5,-34.6061084,-58.4303871,2021-03-30
"19","Puerto Lopez Almagro, Ciudad de Buenos Aires","martes",6,0,-34.6061084,-58.4303871,2021-03-30
"20","Puerto Lopez Almagro, Ciudad de Buenos Aires","martes",7,0,-34.6061084,-58.4303871,2021-03-30
"21","Puerto Lopez Almagro, Ciudad de Buenos Aires","martes",8,0,-34.6061084,-58.4303871,2021-03-30
"22","Puerto Lopez Almagro, Ciudad de Buenos Aires","martes",9,0,-34.6061084,-58.4303871,2021-03-30
"23","Puerto Lopez Almagro, Ciudad de Buenos Aires","martes",10,0,-34.6061084,-58.4303871,2021-03-30
"24","Puerto Lopez Almagro, Ciudad de Buenos Aires","martes",11,18,-34.6061084,-58.4303871,2021-03-30
"25","Puerto Lopez Almagro, Ciudad de Buenos Aires","martes",12,29.25,-34.6061084,-58.4303871,2021-03-30
"26","Puerto Lopez Almagro, Ciudad de Buenos Aires","martes",13,33.75,-34.6061084,-58.4303871,2021-03-30
"27","Puerto Lopez Almagro, Ciudad de Buenos Aires","martes",14,27,-34.6061084,-58.4303871,2021-03-30
"28","Puerto Lopez Almagro, Ciudad de Buenos Aires","martes",15,14.25,-34.6061084,-58.4303871,2021-03-30
"29","Puerto Lopez Almagro, Ciudad de Buenos Aires","martes",16,0,-34.6061084,-58.4303871,2021-03-30
"30","Puerto Lopez Almagro, Ciudad de Buenos Aires","martes",17,0,-34.6061084,-58.4303871,2021-03-30
"31","Puerto Lopez Almagro, Ciudad de Buenos Aires","martes",18,0,-34.6061084,-58.4303871,2021-03-30
"32","Puerto Lopez Almagro, Ciudad de Buenos Aires","martes",19,13.5,-34.6061084,-58.4303871,2021-03-30
"33","Puerto Lopez Almagro, Ciudad de Buenos Aires","martes",20,29.25,-34.6061084,-58.4303871,2021-03-30
"34","Puerto Lopez Almagro, Ciudad de Buenos Aires","martes",21,36,-34.6061084,-58.4303871,2021-03-30
"35","Puerto Lopez Almagro, Ciudad de Buenos Aires","martes",22,24.75,-34.6061084,-58.4303871,2021-03-30
"36","Puerto Lopez Almagro, Ciudad de Buenos Aires","martes",23,9.75,-34.6061084,-58.4303871,2021-03-30
"37","Puerto Lopez Almagro, Ciudad de Buenos Aires","miercoles",6,0,-34.6061084,-58.4303871,2021-03-30
"38","Puerto Lopez Almagro, Ciudad de Buenos Aires","miercoles",7,0,-34.6061084,-58.4303871,2021-03-30
"39","Puerto Lopez Almagro, Ciudad de Buenos Aires","miercoles",8,0,-34.6061084,-58.4303871,2021-03-30
"40","Puerto Lopez Almagro, Ciudad de Buenos Aires","miercoles",9,0,-34.6061084,-58.4303871,2021-03-30
"41","Puerto Lopez Almagro, Ciudad de Buenos Aires","miercoles",10,0,-34.6061084,-58.4303871,2021-03-30
"42","Puerto Lopez Almagro, Ciudad de Buenos Aires","miercoles",11,18,-34.6061084,-58.4303871,2021-03-30
"43","Puerto Lopez Almagro, Ciudad de Buenos Aires","miercoles",12,23.25,-34.6061084,-58.4303871,2021-03-30
"44","Puerto Lopez Almagro, Ciudad de Buenos Aires","miercoles",13,23.25,-34.6061084,-58.4303871,2021-03-30
"45","Puerto Lopez Almagro, Ciudad de Buenos Aires","miercoles",14,15.75,-34.6061084,-58.4303871,2021-03-30
"46","Puerto Lopez Almagro, Ciudad de Buenos Aires","miercoles",15,9,-34.6061084,-58.4303871,2021-03-30
"47","Puerto Lopez Almagro, Ciudad de Buenos Aires","miercoles",16,0,-34.6061084,-58.4303871,2021-03-30
"48","Puerto Lopez Almagro, Ciudad de Buenos Aires","miercoles",17,0,-34.6061084,-58.4303871,2021-03-30
"49","Puerto Lopez Almagro, Ciudad de Buenos Aires","miercoles",18,0,-34.6061084,-58.4303871,2021-03-30
"50","Puerto Lopez Almagro, Ciudad de Buenos Aires","miercoles",19,14.25,-34.6061084,-58.4303871,2021-03-30
"51","Puerto Lopez Almagro, Ciudad de Buenos Aires","miercoles",20,25.5,-34.6061084,-58.4303871,2021-03-30
"52","Puerto Lopez Almagro, Ciudad de Buenos Aires","miercoles",21,37.5,-34.6061084,-58.4303871,2021-03-30
"53","Puerto Lopez Almagro, Ciudad de Buenos Aires","miercoles",22,42.75,-34.6061084,-58.4303871,2021-03-30
"54","Puerto Lopez Almagro, Ciudad de Buenos Aires","miercoles",23,38.25,-34.6061084,-58.4303871,2021-03-30
"55","Puerto Lopez Almagro, Ciudad de Buenos Aires","jueves",6,0,-34.6061084,-58.4303871,2021-03-30
"56","Puerto Lopez Almagro, Ciudad de Buenos Aires","jueves",7,0,-34.6061084,-58.4303871,2021-03-30
"57","Puerto Lopez Almagro, Ciudad de Buenos Aires","jueves",8,0,-34.6061084,-58.4303871,2021-03-30
"58","Puerto Lopez Almagro, Ciudad de Buenos Aires","jueves",9,0,-34.6061084,-58.4303871,2021-03-30
"59","Puerto Lopez Almagro, Ciudad de Buenos Aires","jueves",10,0,-34.6061084,-58.4303871,2021-03-30
"60","Puerto Lopez Almagro, Ciudad de Buenos Aires","jueves",11,24.75,-34.6061084,-58.4303871,2021-03-30
"61","Puerto Lopez Almagro, Ciudad de Buenos Aires","jueves",12,44.25,-34.6061084,-58.4303871,2021-03-30
"62","Puerto Lopez Almagro, Ciudad de Buenos Aires","jueves",13,45,-34.6061084,-58.4303871,2021-03-30
"63","Puerto Lopez Almagro, Ciudad de Buenos Aires","jueves",14,27,-34.6061084,-58.4303871,2021-03-30
"64","Puerto Lopez Almagro, Ciudad de Buenos Aires","jueves",15,11.25,-34.6061084,-58.4303871,2021-03-30
"65","Puerto Lopez Almagro, Ciudad de Buenos Aires","jueves",16,0,-34.6061084,-58.4303871,2021-03-30
"66","Puerto Lopez Almagro, Ciudad de Buenos Aires","jueves",17,0,-34.6061084,-58.4303871,2021-03-30
"67","Puerto Lopez Almagro, Ciudad de Buenos Aires","jueves",18,0,-34.6061084,-58.4303871,2021-03-30
"68","Puerto Lopez Almagro, Ciudad de Buenos Aires","jueves",19,5.25,-34.6061084,-58.4303871,2021-03-30
"69","Puerto Lopez Almagro, Ciudad de Buenos Aires","jueves",20,6.75,-34.6061084,-58.4303871,2021-03-30
"70","Puerto Lopez Almagro, Ciudad de Buenos Aires","jueves",21,20.25,-34.6061084,-58.4303871,2021-03-30
"71","Puerto Lopez Almagro, Ciudad de Buenos Aires","jueves",22,51,-34.6061084,-58.4303871,2021-03-30
"72","Puerto Lopez Almagro, Ciudad de Buenos Aires","jueves",23,49.5,-34.6061084,-58.4303871,2021-03-30
"73","Puerto Lopez Almagro, Ciudad de Buenos Aires","viernes",6,0,-34.6061084,-58.4303871,2021-03-30
"74","Puerto Lopez Almagro, Ciudad de Buenos Aires","viernes",7,0,-34.6061084,-58.4303871,2021-03-30
"75","Puerto Lopez Almagro, Ciudad de Buenos Aires","viernes",8,0,-34.6061084,-58.4303871,2021-03-30
"76","Puerto Lopez Almagro, Ciudad de Buenos Aires","viernes",9,0,-34.6061084,-58.4303871,2021-03-30
"77","Puerto Lopez Almagro, Ciudad de Buenos Aires","viernes",10,0,-34.6061084,-58.4303871,2021-03-30
"78","Puerto Lopez Almagro, Ciudad de Buenos Aires","viernes",11,27,-34.6061084,-58.4303871,2021-03-30
"79","Puerto Lopez Almagro, Ciudad de Buenos Aires","viernes",12,44.25,-34.6061084,-58.4303871,2021-03-30
"80","Puerto Lopez Almagro, Ciudad de Buenos Aires","viernes",13,51,-34.6061084,-58.4303871,2021-03-30
"81","Puerto Lopez Almagro, Ciudad de Buenos Aires","viernes",14,42.75,-34.6061084,-58.4303871,2021-03-30
"82","Puerto Lopez Almagro, Ciudad de Buenos Aires","viernes",15,25.5,-34.6061084,-58.4303871,2021-03-30
"83","Puerto Lopez Almagro, Ciudad de Buenos Aires","viernes",16,0,-34.6061084,-58.4303871,2021-03-30
"84","Puerto Lopez Almagro, Ciudad de Buenos Aires","viernes",17,0,-34.6061084,-58.4303871,2021-03-30
"85","Puerto Lopez Almagro, Ciudad de Buenos Aires","viernes",18,0,-34.6061084,-58.4303871,2021-03-30
"86","Puerto Lopez Almagro, Ciudad de Buenos Aires","viernes",19,14.25,-34.6061084,-58.4303871,2021-03-30
"87","Puerto Lopez Almagro, Ciudad de Buenos Aires","viernes",20,39.75,-34.6061084,-58.4303871,2021-03-30
"88","Puerto Lopez Almagro, Ciudad de Buenos Aires","viernes",21,69,-34.6061084,-58.4303871,2021-03-30
"89","Puerto Lopez Almagro, Ciudad de Buenos Aires","viernes",22,75,-34.6061084,-58.4303871,2021-03-30
"90","Puerto Lopez Almagro, Ciudad de Buenos Aires","viernes",23,49.5,-34.6061084,-58.4303871,2021-03-30
"91","Puerto Lopez Almagro, Ciudad de Buenos Aires","sabado",6,0,-34.6061084,-58.4303871,2021-03-30
"92","Puerto Lopez Almagro, Ciudad de Buenos Aires","sabado",7,0,-34.6061084,-58.4303871,2021-03-30
"93","Puerto Lopez Almagro, Ciudad de Buenos Aires","sabado",8,0,-34.6061084,-58.4303871,2021-03-30
"94","Puerto Lopez Almagro, Ciudad de Buenos Aires","sabado",9,0,-34.6061084,-58.4303871,2021-03-30
"95","Puerto Lopez Almagro, Ciudad de Buenos Aires","sabado",10,0,-34.6061084,-58.4303871,2021-03-30
"96","Puerto Lopez Almagro, Ciudad de Buenos Aires","sabado",11,7.5,-34.6061084,-58.4303871,2021-03-30
"97","Puerto Lopez Almagro, Ciudad de Buenos Aires","sabado",12,16.5,-34.6061084,-58.4303871,2021-03-30
"98","Puerto Lopez Almagro, Ciudad de Buenos Aires","sabado",13,34.5,-34.6061084,-58.4303871,2021-03-30
"99","Puerto Lopez Almagro, Ciudad de Buenos Aires","sabado",14,47.25,-34.6061084,-58.4303871,2021-03-30
"100","Puerto Lopez Almagro, Ciudad de Buenos Aires","sabado",15,38.25,-34.6061084,-58.4303871,2021-03-30
"101","Puerto Lopez Almagro, Ciudad de Buenos Aires","sabado",16,0,-34.6061084,-58.4303871,2021-03-30
"102","Puerto Lopez Almagro, Ciudad de Buenos Aires","sabado",17,0,-34.6061084,-58.4303871,2021-03-30
"103","Puerto Lopez Almagro, Ciudad de Buenos Aires","sabado",18,0,-34.6061084,-58.4303871,2021-03-30
"104","Puerto Lopez Almagro, Ciudad de Buenos Aires","sabado",19,6.75,-34.6061084,-58.4303871,2021-03-30
"105","Puerto Lopez Almagro, Ciudad de Buenos Aires","sabado",20,14.25,-34.6061084,-58.4303871,2021-03-30
"106","Puerto Lopez Almagro, Ciudad de Buenos Aires","sabado",21,42,-34.6061084,-58.4303871,2021-03-30
"107","Puerto Lopez Almagro, Ciudad de Buenos Aires","sabado",22,69.75,-34.6061084,-58.4303871,2021-03-30
"108","Puerto Lopez Almagro, Ciudad de Buenos Aires","sabado",23,58.5,-34.6061084,-58.4303871,2021-03-30
"109","Puerto Lopez Almagro, Ciudad de Buenos Aires","domingo",6,0,-34.6061084,-58.4303871,2021-03-30
"110","Puerto Lopez Almagro, Ciudad de Buenos Aires","domingo",7,0,-34.6061084,-58.4303871,2021-03-30
"111","Puerto Lopez Almagro, Ciudad de Buenos Aires","domingo",8,0,-34.6061084,-58.4303871,2021-03-30
"112","Puerto Lopez Almagro, Ciudad de Buenos Aires","domingo",9,0,-34.6061084,-58.4303871,2021-03-30
"113","Puerto Lopez Almagro, Ciudad de Buenos Aires","domingo",10,0,-34.6061084,-58.4303871,2021-03-30
"114","Puerto Lopez Almagro, Ciudad de Buenos Aires","domingo",11,6.75,-34.6061084,-58.4303871,2021-03-30
"115","Puerto Lopez Almagro, Ciudad de Buenos Aires","domingo",12,14.25,-34.6061084,-58.4303871,2021-03-30
"116","Puerto Lopez Almagro, Ciudad de Buenos Aires","domingo",13,25.5,-34.6061084,-58.4303871,2021-03-30
"117","Puerto Lopez Almagro, Ciudad de Buenos Aires","domingo",14,31.5,-34.6061084,-58.4303871,2021-03-30
"118","Puerto Lopez Almagro, Ciudad de Buenos Aires","domingo",15,24.75,-34.6061084,-58.4303871,2021-03-30
"119","Puerto Lopez Almagro, Ciudad de Buenos Aires","domingo",16,0,-34.6061084,-58.4303871,2021-03-30
"120","Puerto Lopez Almagro, Ciudad de Buenos Aires","domingo",17,0,-34.6061084,-58.4303871,2021-03-30
"121","Puerto Lopez Almagro, Ciudad de Buenos Aires","domingo",18,0,-34.6061084,-58.4303871,2021-03-30
"122","Puerto Lopez Almagro, Ciudad de Buenos Aires","domingo",19,6.75,-34.6061084,-58.4303871,2021-03-30
"123","Puerto Lopez Almagro, Ciudad de Buenos Aires","domingo",20,18.75,-34.6061084,-58.4303871,2021-03-30
"124","Puerto Lopez Almagro, Ciudad de Buenos Aires","domingo",21,36,-34.6061084,-58.4303871,2021-03-30
"125","Puerto Lopez Almagro, Ciudad de Buenos Aires","domingo",22,40.5,-34.6061084,-58.4303871,2021-03-30
