"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Pulpería Quilapán, Ciudad de Buenos Aires","lunes",6,0,-34.6235785,-58.3709407,2021-03-26
"2","Pulpería Quilapán, Ciudad de Buenos Aires","lunes",7,0,-34.6235785,-58.3709407,2021-03-26
"3","Pulpería Quilapán, Ciudad de Buenos Aires","lunes",8,0,-34.6235785,-58.3709407,2021-03-26
"4","Pulpería Quilapán, Ciudad de Buenos Aires","lunes",9,3.75,-34.6235785,-58.3709407,2021-03-26
"5","Pulpería Quilapán, Ciudad de Buenos Aires","lunes",10,6,-34.6235785,-58.3709407,2021-03-26
"6","Pulpería Quilapán, Ciudad de Buenos Aires","lunes",11,9.75,-34.6235785,-58.3709407,2021-03-26
"7","Pulpería Quilapán, Ciudad de Buenos Aires","lunes",12,13.5,-34.6235785,-58.3709407,2021-03-26
"8","Pulpería Quilapán, Ciudad de Buenos Aires","lunes",13,18,-34.6235785,-58.3709407,2021-03-26
"9","Pulpería Quilapán, Ciudad de Buenos Aires","lunes",14,21,-34.6235785,-58.3709407,2021-03-26
"10","Pulpería Quilapán, Ciudad de Buenos Aires","lunes",15,18.75,-34.6235785,-58.3709407,2021-03-26
"11","Pulpería Quilapán, Ciudad de Buenos Aires","lunes",16,14.25,-34.6235785,-58.3709407,2021-03-26
"12","Pulpería Quilapán, Ciudad de Buenos Aires","lunes",17,9,-34.6235785,-58.3709407,2021-03-26
"13","Pulpería Quilapán, Ciudad de Buenos Aires","lunes",18,6,-34.6235785,-58.3709407,2021-03-26
"14","Pulpería Quilapán, Ciudad de Buenos Aires","lunes",19,7.5,-34.6235785,-58.3709407,2021-03-26
"15","Pulpería Quilapán, Ciudad de Buenos Aires","lunes",20,14.25,-34.6235785,-58.3709407,2021-03-26
"16","Pulpería Quilapán, Ciudad de Buenos Aires","lunes",21,20.25,-34.6235785,-58.3709407,2021-03-26
"17","Pulpería Quilapán, Ciudad de Buenos Aires","lunes",22,21,-34.6235785,-58.3709407,2021-03-26
"18","Pulpería Quilapán, Ciudad de Buenos Aires","lunes",23,14.25,-34.6235785,-58.3709407,2021-03-26
"19","Pulpería Quilapán, Ciudad de Buenos Aires","martes",6,0,-34.6235785,-58.3709407,2021-03-26
"20","Pulpería Quilapán, Ciudad de Buenos Aires","martes",7,0,-34.6235785,-58.3709407,2021-03-26
"21","Pulpería Quilapán, Ciudad de Buenos Aires","martes",8,0,-34.6235785,-58.3709407,2021-03-26
"22","Pulpería Quilapán, Ciudad de Buenos Aires","martes",9,3,-34.6235785,-58.3709407,2021-03-26
"23","Pulpería Quilapán, Ciudad de Buenos Aires","martes",10,8.25,-34.6235785,-58.3709407,2021-03-26
"24","Pulpería Quilapán, Ciudad de Buenos Aires","martes",11,13.5,-34.6235785,-58.3709407,2021-03-26
"25","Pulpería Quilapán, Ciudad de Buenos Aires","martes",12,17.25,-34.6235785,-58.3709407,2021-03-26
"26","Pulpería Quilapán, Ciudad de Buenos Aires","martes",13,18,-34.6235785,-58.3709407,2021-03-26
"27","Pulpería Quilapán, Ciudad de Buenos Aires","martes",14,17.25,-34.6235785,-58.3709407,2021-03-26
