"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","REPOSTERIA COREANA MANNA, Ciudad de Buenos Aires","martes",6,0,-34.6418412,-58.4452906,2021-03-28
"2","REPOSTERIA COREANA MANNA, Ciudad de Buenos Aires","martes",7,0,-34.6418412,-58.4452906,2021-03-28
"3","REPOSTERIA COREANA MANNA, Ciudad de Buenos Aires","martes",8,7.5,-34.6418412,-58.4452906,2021-03-28
"4","REPOSTERIA COREANA MANNA, Ciudad de Buenos Aires","martes",9,23.25,-34.6418412,-58.4452906,2021-03-28
"5","REPOSTERIA COREANA MANNA, Ciudad de Buenos Aires","martes",10,36,-34.6418412,-58.4452906,2021-03-28
"6","REPOSTERIA COREANA MANNA, Ciudad de Buenos Aires","martes",11,36,-34.6418412,-58.4452906,2021-03-28
"7","REPOSTERIA COREANA MANNA, Ciudad de Buenos Aires","martes",12,24,-34.6418412,-58.4452906,2021-03-28
"8","REPOSTERIA COREANA MANNA, Ciudad de Buenos Aires","martes",13,16.5,-34.6418412,-58.4452906,2021-03-28
"9","REPOSTERIA COREANA MANNA, Ciudad de Buenos Aires","martes",14,20.25,-34.6418412,-58.4452906,2021-03-28
"10","REPOSTERIA COREANA MANNA, Ciudad de Buenos Aires","martes",15,30.75,-34.6418412,-58.4452906,2021-03-28
"11","REPOSTERIA COREANA MANNA, Ciudad de Buenos Aires","martes",16,37.5,-34.6418412,-58.4452906,2021-03-28
"12","REPOSTERIA COREANA MANNA, Ciudad de Buenos Aires","martes",17,32.25,-34.6418412,-58.4452906,2021-03-28
"13","REPOSTERIA COREANA MANNA, Ciudad de Buenos Aires","martes",18,20.25,-34.6418412,-58.4452906,2021-03-28
"14","REPOSTERIA COREANA MANNA, Ciudad de Buenos Aires","martes",19,7.5,-34.6418412,-58.4452906,2021-03-28
"15","REPOSTERIA COREANA MANNA, Ciudad de Buenos Aires","martes",20,0,-34.6418412,-58.4452906,2021-03-28
"16","REPOSTERIA COREANA MANNA, Ciudad de Buenos Aires","martes",21,0,-34.6418412,-58.4452906,2021-03-28
"17","REPOSTERIA COREANA MANNA, Ciudad de Buenos Aires","martes",22,0,-34.6418412,-58.4452906,2021-03-28
