"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","RESTAURANTE PERUANO JUANITA Y TIBURON, Ciudad de Buenos Aires","lunes",6,0,-34.6458312,-58.4163551,2021-03-30
"2","RESTAURANTE PERUANO JUANITA Y TIBURON, Ciudad de Buenos Aires","lunes",7,0,-34.6458312,-58.4163551,2021-03-30
"3","RESTAURANTE PERUANO JUANITA Y TIBURON, Ciudad de Buenos Aires","lunes",8,0,-34.6458312,-58.4163551,2021-03-30
"4","RESTAURANTE PERUANO JUANITA Y TIBURON, Ciudad de Buenos Aires","lunes",9,0,-34.6458312,-58.4163551,2021-03-30
"5","RESTAURANTE PERUANO JUANITA Y TIBURON, Ciudad de Buenos Aires","lunes",10,8.25,-34.6458312,-58.4163551,2021-03-30
"6","RESTAURANTE PERUANO JUANITA Y TIBURON, Ciudad de Buenos Aires","lunes",11,16.5,-34.6458312,-58.4163551,2021-03-30
"7","RESTAURANTE PERUANO JUANITA Y TIBURON, Ciudad de Buenos Aires","lunes",12,26.25,-34.6458312,-58.4163551,2021-03-30
"8","RESTAURANTE PERUANO JUANITA Y TIBURON, Ciudad de Buenos Aires","lunes",13,32.25,-34.6458312,-58.4163551,2021-03-30
"9","RESTAURANTE PERUANO JUANITA Y TIBURON, Ciudad de Buenos Aires","lunes",14,30.75,-34.6458312,-58.4163551,2021-03-30
"10","RESTAURANTE PERUANO JUANITA Y TIBURON, Ciudad de Buenos Aires","lunes",15,26.25,-34.6458312,-58.4163551,2021-03-30
"11","RESTAURANTE PERUANO JUANITA Y TIBURON, Ciudad de Buenos Aires","lunes",16,24,-34.6458312,-58.4163551,2021-03-30
"12","RESTAURANTE PERUANO JUANITA Y TIBURON, Ciudad de Buenos Aires","lunes",17,22.5,-34.6458312,-58.4163551,2021-03-30
"13","RESTAURANTE PERUANO JUANITA Y TIBURON, Ciudad de Buenos Aires","lunes",18,20.25,-34.6458312,-58.4163551,2021-03-30
"14","RESTAURANTE PERUANO JUANITA Y TIBURON, Ciudad de Buenos Aires","lunes",19,18,-34.6458312,-58.4163551,2021-03-30
"15","RESTAURANTE PERUANO JUANITA Y TIBURON, Ciudad de Buenos Aires","lunes",20,16.5,-34.6458312,-58.4163551,2021-03-30
"16","RESTAURANTE PERUANO JUANITA Y TIBURON, Ciudad de Buenos Aires","lunes",21,12.75,-34.6458312,-58.4163551,2021-03-30
"17","RESTAURANTE PERUANO JUANITA Y TIBURON, Ciudad de Buenos Aires","lunes",22,8.25,-34.6458312,-58.4163551,2021-03-30
"18","RESTAURANTE PERUANO JUANITA Y TIBURON, Ciudad de Buenos Aires","lunes",23,3,-34.6458312,-58.4163551,2021-03-30
"19","RESTAURANTE PERUANO JUANITA Y TIBURON, Ciudad de Buenos Aires","martes",6,0,-34.6458312,-58.4163551,2021-03-30
"20","RESTAURANTE PERUANO JUANITA Y TIBURON, Ciudad de Buenos Aires","martes",7,0,-34.6458312,-58.4163551,2021-03-30
"21","RESTAURANTE PERUANO JUANITA Y TIBURON, Ciudad de Buenos Aires","martes",8,0,-34.6458312,-58.4163551,2021-03-30
