"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Restaurante El Vencedor, Ciudad de Buenos Aires","lunes",4,0,-34.638186,-58.527635,2021-03-29
"2","Restaurante El Vencedor, Ciudad de Buenos Aires","lunes",5,15,-34.638186,-58.527635,2021-03-29
"3","Restaurante El Vencedor, Ciudad de Buenos Aires","lunes",6,27,-34.638186,-58.527635,2021-03-29
"4","Restaurante El Vencedor, Ciudad de Buenos Aires","lunes",7,51,-34.638186,-58.527635,2021-03-29
"5","Restaurante El Vencedor, Ciudad de Buenos Aires","lunes",8,59.25,-34.638186,-58.527635,2021-03-29
"6","Restaurante El Vencedor, Ciudad de Buenos Aires","lunes",9,37.5,-34.638186,-58.527635,2021-03-29
"7","Restaurante El Vencedor, Ciudad de Buenos Aires","lunes",10,16.5,-34.638186,-58.527635,2021-03-29
"8","Restaurante El Vencedor, Ciudad de Buenos Aires","lunes",11,9.75,-34.638186,-58.527635,2021-03-29
"9","Restaurante El Vencedor, Ciudad de Buenos Aires","lunes",12,9.75,-34.638186,-58.527635,2021-03-29
"10","Restaurante El Vencedor, Ciudad de Buenos Aires","lunes",13,9.75,-34.638186,-58.527635,2021-03-29
"11","Restaurante El Vencedor, Ciudad de Buenos Aires","lunes",14,11.25,-34.638186,-58.527635,2021-03-29
"12","Restaurante El Vencedor, Ciudad de Buenos Aires","lunes",15,11.25,-34.638186,-58.527635,2021-03-29
"13","Restaurante El Vencedor, Ciudad de Buenos Aires","lunes",16,13.5,-34.638186,-58.527635,2021-03-29
"14","Restaurante El Vencedor, Ciudad de Buenos Aires","lunes",17,13.5,-34.638186,-58.527635,2021-03-29
"15","Restaurante El Vencedor, Ciudad de Buenos Aires","lunes",18,15,-34.638186,-58.527635,2021-03-29
"16","Restaurante El Vencedor, Ciudad de Buenos Aires","lunes",19,15,-34.638186,-58.527635,2021-03-29
"17","Restaurante El Vencedor, Ciudad de Buenos Aires","lunes",20,16.5,-34.638186,-58.527635,2021-03-29
"18","Restaurante El Vencedor, Ciudad de Buenos Aires","lunes",21,16.5,-34.638186,-58.527635,2021-03-29
"19","Restaurante El Vencedor, Ciudad de Buenos Aires","lunes",22,16.5,-34.638186,-58.527635,2021-03-29
"20","Restaurante El Vencedor, Ciudad de Buenos Aires","lunes",23,16.5,-34.638186,-58.527635,2021-03-29
"21","Restaurante El Vencedor, Ciudad de Buenos Aires","martes",0,16.5,-34.638186,-58.527635,2021-03-29
"22","Restaurante El Vencedor, Ciudad de Buenos Aires","martes",4,0,-34.638186,-58.527635,2021-03-29
"23","Restaurante El Vencedor, Ciudad de Buenos Aires","martes",5,20.25,-34.638186,-58.527635,2021-03-29
"24","Restaurante El Vencedor, Ciudad de Buenos Aires","martes",6,27,-34.638186,-58.527635,2021-03-29
"25","Restaurante El Vencedor, Ciudad de Buenos Aires","martes",7,32.25,-34.638186,-58.527635,2021-03-29
"26","Restaurante El Vencedor, Ciudad de Buenos Aires","martes",8,33.75,-34.638186,-58.527635,2021-03-29
"27","Restaurante El Vencedor, Ciudad de Buenos Aires","martes",9,30,-34.638186,-58.527635,2021-03-29
"28","Restaurante El Vencedor, Ciudad de Buenos Aires","martes",10,23.25,-34.638186,-58.527635,2021-03-29
"29","Restaurante El Vencedor, Ciudad de Buenos Aires","martes",11,18.75,-34.638186,-58.527635,2021-03-29
"30","Restaurante El Vencedor, Ciudad de Buenos Aires","martes",12,18.75,-34.638186,-58.527635,2021-03-29
"31","Restaurante El Vencedor, Ciudad de Buenos Aires","martes",13,27,-34.638186,-58.527635,2021-03-29
"32","Restaurante El Vencedor, Ciudad de Buenos Aires","martes",14,32.25,-34.638186,-58.527635,2021-03-29
"33","Restaurante El Vencedor, Ciudad de Buenos Aires","martes",15,27,-34.638186,-58.527635,2021-03-29
"34","Restaurante El Vencedor, Ciudad de Buenos Aires","martes",16,18.75,-34.638186,-58.527635,2021-03-29
"35","Restaurante El Vencedor, Ciudad de Buenos Aires","martes",17,16.5,-34.638186,-58.527635,2021-03-29
"36","Restaurante El Vencedor, Ciudad de Buenos Aires","martes",18,21.75,-34.638186,-58.527635,2021-03-29
"37","Restaurante El Vencedor, Ciudad de Buenos Aires","martes",19,27,-34.638186,-58.527635,2021-03-29
"38","Restaurante El Vencedor, Ciudad de Buenos Aires","martes",20,32.25,-34.638186,-58.527635,2021-03-29
"39","Restaurante El Vencedor, Ciudad de Buenos Aires","martes",21,35.25,-34.638186,-58.527635,2021-03-29
"40","Restaurante El Vencedor, Ciudad de Buenos Aires","martes",22,35.25,-34.638186,-58.527635,2021-03-29
"41","Restaurante El Vencedor, Ciudad de Buenos Aires","martes",23,32.25,-34.638186,-58.527635,2021-03-29
"42","Restaurante El Vencedor, Ciudad de Buenos Aires","miercoles",0,27,-34.638186,-58.527635,2021-03-29
"43","Restaurante El Vencedor, Ciudad de Buenos Aires","miercoles",4,0,-34.638186,-58.527635,2021-03-29
"44","Restaurante El Vencedor, Ciudad de Buenos Aires","miercoles",5,13.5,-34.638186,-58.527635,2021-03-29
"45","Restaurante El Vencedor, Ciudad de Buenos Aires","miercoles",6,20.25,-34.638186,-58.527635,2021-03-29
"46","Restaurante El Vencedor, Ciudad de Buenos Aires","miercoles",7,39,-34.638186,-58.527635,2021-03-29
"47","Restaurante El Vencedor, Ciudad de Buenos Aires","miercoles",8,57.75,-34.638186,-58.527635,2021-03-29
"48","Restaurante El Vencedor, Ciudad de Buenos Aires","miercoles",9,54,-34.638186,-58.527635,2021-03-29
"49","Restaurante El Vencedor, Ciudad de Buenos Aires","miercoles",10,32.25,-34.638186,-58.527635,2021-03-29
"50","Restaurante El Vencedor, Ciudad de Buenos Aires","miercoles",11,16.5,-34.638186,-58.527635,2021-03-29
"51","Restaurante El Vencedor, Ciudad de Buenos Aires","miercoles",12,18.75,-34.638186,-58.527635,2021-03-29
"52","Restaurante El Vencedor, Ciudad de Buenos Aires","miercoles",13,37.5,-34.638186,-58.527635,2021-03-29
"53","Restaurante El Vencedor, Ciudad de Buenos Aires","miercoles",14,52.5,-34.638186,-58.527635,2021-03-29
