"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Restaurante Peru Fusion, Ciudad de Buenos Aires","lunes",6,0,-34.629659,-58.467247,2021-03-28
"2","Restaurante Peru Fusion, Ciudad de Buenos Aires","lunes",7,0,-34.629659,-58.467247,2021-03-28
"3","Restaurante Peru Fusion, Ciudad de Buenos Aires","lunes",8,0,-34.629659,-58.467247,2021-03-28
"4","Restaurante Peru Fusion, Ciudad de Buenos Aires","lunes",9,0,-34.629659,-58.467247,2021-03-28
"5","Restaurante Peru Fusion, Ciudad de Buenos Aires","lunes",10,0,-34.629659,-58.467247,2021-03-28
"6","Restaurante Peru Fusion, Ciudad de Buenos Aires","lunes",11,0,-34.629659,-58.467247,2021-03-28
"7","Restaurante Peru Fusion, Ciudad de Buenos Aires","lunes",12,9.75,-34.629659,-58.467247,2021-03-28
"8","Restaurante Peru Fusion, Ciudad de Buenos Aires","lunes",13,25.5,-34.629659,-58.467247,2021-03-28
"9","Restaurante Peru Fusion, Ciudad de Buenos Aires","lunes",14,36,-34.629659,-58.467247,2021-03-28
"10","Restaurante Peru Fusion, Ciudad de Buenos Aires","lunes",15,32.25,-34.629659,-58.467247,2021-03-28
"11","Restaurante Peru Fusion, Ciudad de Buenos Aires","lunes",16,19.5,-34.629659,-58.467247,2021-03-28
"12","Restaurante Peru Fusion, Ciudad de Buenos Aires","lunes",17,8.25,-34.629659,-58.467247,2021-03-28
"13","Restaurante Peru Fusion, Ciudad de Buenos Aires","lunes",18,8.25,-34.629659,-58.467247,2021-03-28
"14","Restaurante Peru Fusion, Ciudad de Buenos Aires","lunes",19,16.5,-34.629659,-58.467247,2021-03-28
"15","Restaurante Peru Fusion, Ciudad de Buenos Aires","lunes",20,27,-34.629659,-58.467247,2021-03-28
"16","Restaurante Peru Fusion, Ciudad de Buenos Aires","lunes",21,30,-34.629659,-58.467247,2021-03-28
"17","Restaurante Peru Fusion, Ciudad de Buenos Aires","lunes",22,24,-34.629659,-58.467247,2021-03-28
"18","Restaurante Peru Fusion, Ciudad de Buenos Aires","lunes",23,0,-34.629659,-58.467247,2021-03-28
"19","Restaurante Peru Fusion, Ciudad de Buenos Aires","martes",6,0,-34.629659,-58.467247,2021-03-28
"20","Restaurante Peru Fusion, Ciudad de Buenos Aires","martes",7,0,-34.629659,-58.467247,2021-03-28
