"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Resto Garbo, Ciudad de Buenos Aires","lunes",6,0,-34.4648916,-58.5088947,2021-03-27
"2","Resto Garbo, Ciudad de Buenos Aires","lunes",7,0,-34.4648916,-58.5088947,2021-03-27
"3","Resto Garbo, Ciudad de Buenos Aires","lunes",8,0,-34.4648916,-58.5088947,2021-03-27
"4","Resto Garbo, Ciudad de Buenos Aires","lunes",9,0,-34.4648916,-58.5088947,2021-03-27
"5","Resto Garbo, Ciudad de Buenos Aires","lunes",10,1.5,-34.4648916,-58.5088947,2021-03-27
"6","Resto Garbo, Ciudad de Buenos Aires","lunes",11,2.25,-34.4648916,-58.5088947,2021-03-27
"7","Resto Garbo, Ciudad de Buenos Aires","lunes",12,3,-34.4648916,-58.5088947,2021-03-27
"8","Resto Garbo, Ciudad de Buenos Aires","lunes",13,4.5,-34.4648916,-58.5088947,2021-03-27
"9","Resto Garbo, Ciudad de Buenos Aires","lunes",14,5.25,-34.4648916,-58.5088947,2021-03-27
"10","Resto Garbo, Ciudad de Buenos Aires","lunes",15,6,-34.4648916,-58.5088947,2021-03-27
"11","Resto Garbo, Ciudad de Buenos Aires","lunes",16,6.75,-34.4648916,-58.5088947,2021-03-27
"12","Resto Garbo, Ciudad de Buenos Aires","lunes",17,7.5,-34.4648916,-58.5088947,2021-03-27
"13","Resto Garbo, Ciudad de Buenos Aires","lunes",18,9,-34.4648916,-58.5088947,2021-03-27
"14","Resto Garbo, Ciudad de Buenos Aires","lunes",19,12,-34.4648916,-58.5088947,2021-03-27
"15","Resto Garbo, Ciudad de Buenos Aires","lunes",20,20.25,-34.4648916,-58.5088947,2021-03-27
"16","Resto Garbo, Ciudad de Buenos Aires","lunes",21,32.25,-34.4648916,-58.5088947,2021-03-27
"17","Resto Garbo, Ciudad de Buenos Aires","lunes",22,39,-34.4648916,-58.5088947,2021-03-27
"18","Resto Garbo, Ciudad de Buenos Aires","lunes",23,33,-34.4648916,-58.5088947,2021-03-27
"19","Resto Garbo, Ciudad de Buenos Aires","martes",0,20.25,-34.4648916,-58.5088947,2021-03-27
"20","Resto Garbo, Ciudad de Buenos Aires","martes",1,9,-34.4648916,-58.5088947,2021-03-27
"21","Resto Garbo, Ciudad de Buenos Aires","martes",6,0,-34.4648916,-58.5088947,2021-03-27
"22","Resto Garbo, Ciudad de Buenos Aires","martes",7,0,-34.4648916,-58.5088947,2021-03-27
"23","Resto Garbo, Ciudad de Buenos Aires","martes",8,0,-34.4648916,-58.5088947,2021-03-27
"24","Resto Garbo, Ciudad de Buenos Aires","martes",9,0,-34.4648916,-58.5088947,2021-03-27
"25","Resto Garbo, Ciudad de Buenos Aires","martes",10,3,-34.4648916,-58.5088947,2021-03-27
"26","Resto Garbo, Ciudad de Buenos Aires","martes",11,3.75,-34.4648916,-58.5088947,2021-03-27
"27","Resto Garbo, Ciudad de Buenos Aires","martes",12,4.5,-34.4648916,-58.5088947,2021-03-27
"28","Resto Garbo, Ciudad de Buenos Aires","martes",13,6,-34.4648916,-58.5088947,2021-03-27
"29","Resto Garbo, Ciudad de Buenos Aires","martes",14,7.5,-34.4648916,-58.5088947,2021-03-27
"30","Resto Garbo, Ciudad de Buenos Aires","martes",15,10.5,-34.4648916,-58.5088947,2021-03-27
"31","Resto Garbo, Ciudad de Buenos Aires","martes",16,13.5,-34.4648916,-58.5088947,2021-03-27
"32","Resto Garbo, Ciudad de Buenos Aires","martes",17,15.75,-34.4648916,-58.5088947,2021-03-27
"33","Resto Garbo, Ciudad de Buenos Aires","martes",18,15.75,-34.4648916,-58.5088947,2021-03-27
"34","Resto Garbo, Ciudad de Buenos Aires","martes",19,16.5,-34.4648916,-58.5088947,2021-03-27
"35","Resto Garbo, Ciudad de Buenos Aires","martes",20,26.25,-34.4648916,-58.5088947,2021-03-27
"36","Resto Garbo, Ciudad de Buenos Aires","martes",21,45.75,-34.4648916,-58.5088947,2021-03-27
"37","Resto Garbo, Ciudad de Buenos Aires","martes",22,54.75,-34.4648916,-58.5088947,2021-03-27
"38","Resto Garbo, Ciudad de Buenos Aires","martes",23,38.25,-34.4648916,-58.5088947,2021-03-27
"39","Resto Garbo, Ciudad de Buenos Aires","miercoles",0,15,-34.4648916,-58.5088947,2021-03-27
"40","Resto Garbo, Ciudad de Buenos Aires","miercoles",1,3.75,-34.4648916,-58.5088947,2021-03-27
"41","Resto Garbo, Ciudad de Buenos Aires","miercoles",6,0,-34.4648916,-58.5088947,2021-03-27
"42","Resto Garbo, Ciudad de Buenos Aires","miercoles",7,0,-34.4648916,-58.5088947,2021-03-27
