"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Rincòn Parrillero, Ciudad de Buenos Aires","martes",6,0,-34.5943039,-58.4194302,2021-03-28
"2","Rincòn Parrillero, Ciudad de Buenos Aires","martes",7,0,-34.5943039,-58.4194302,2021-03-28
"3","Rincòn Parrillero, Ciudad de Buenos Aires","martes",8,0,-34.5943039,-58.4194302,2021-03-28
"4","Rincòn Parrillero, Ciudad de Buenos Aires","martes",9,0,-34.5943039,-58.4194302,2021-03-28
"5","Rincòn Parrillero, Ciudad de Buenos Aires","martes",10,0,-34.5943039,-58.4194302,2021-03-28
"6","Rincòn Parrillero, Ciudad de Buenos Aires","martes",11,0,-34.5943039,-58.4194302,2021-03-28
"7","Rincòn Parrillero, Ciudad de Buenos Aires","martes",12,11.25,-34.5943039,-58.4194302,2021-03-28
"8","Rincòn Parrillero, Ciudad de Buenos Aires","martes",13,19.5,-34.5943039,-58.4194302,2021-03-28
"9","Rincòn Parrillero, Ciudad de Buenos Aires","martes",14,18,-34.5943039,-58.4194302,2021-03-28
"10","Rincòn Parrillero, Ciudad de Buenos Aires","martes",15,7.5,-34.5943039,-58.4194302,2021-03-28
"11","Rincòn Parrillero, Ciudad de Buenos Aires","martes",16,0,-34.5943039,-58.4194302,2021-03-28
"12","Rincòn Parrillero, Ciudad de Buenos Aires","martes",17,0,-34.5943039,-58.4194302,2021-03-28
"13","Rincòn Parrillero, Ciudad de Buenos Aires","martes",18,0,-34.5943039,-58.4194302,2021-03-28
"14","Rincòn Parrillero, Ciudad de Buenos Aires","martes",19,0,-34.5943039,-58.4194302,2021-03-28
"15","Rincòn Parrillero, Ciudad de Buenos Aires","martes",20,15,-34.5943039,-58.4194302,2021-03-28
"16","Rincòn Parrillero, Ciudad de Buenos Aires","martes",21,32.25,-34.5943039,-58.4194302,2021-03-28
"17","Rincòn Parrillero, Ciudad de Buenos Aires","martes",22,34.5,-34.5943039,-58.4194302,2021-03-28
"18","Rincòn Parrillero, Ciudad de Buenos Aires","martes",23,18,-34.5943039,-58.4194302,2021-03-28
"19","Rincòn Parrillero, Ciudad de Buenos Aires","miercoles",6,0,-34.5943039,-58.4194302,2021-03-28
"20","Rincòn Parrillero, Ciudad de Buenos Aires","miercoles",7,0,-34.5943039,-58.4194302,2021-03-28
"21","Rincòn Parrillero, Ciudad de Buenos Aires","miercoles",8,0,-34.5943039,-58.4194302,2021-03-28
"22","Rincòn Parrillero, Ciudad de Buenos Aires","miercoles",9,0,-34.5943039,-58.4194302,2021-03-28
"23","Rincòn Parrillero, Ciudad de Buenos Aires","miercoles",10,0,-34.5943039,-58.4194302,2021-03-28
"24","Rincòn Parrillero, Ciudad de Buenos Aires","miercoles",11,0,-34.5943039,-58.4194302,2021-03-28
"25","Rincòn Parrillero, Ciudad de Buenos Aires","miercoles",12,6,-34.5943039,-58.4194302,2021-03-28
"26","Rincòn Parrillero, Ciudad de Buenos Aires","miercoles",13,19.5,-34.5943039,-58.4194302,2021-03-28
"27","Rincòn Parrillero, Ciudad de Buenos Aires","miercoles",14,24.75,-34.5943039,-58.4194302,2021-03-28
"28","Rincòn Parrillero, Ciudad de Buenos Aires","miercoles",15,15,-34.5943039,-58.4194302,2021-03-28
"29","Rincòn Parrillero, Ciudad de Buenos Aires","miercoles",16,0,-34.5943039,-58.4194302,2021-03-28
"30","Rincòn Parrillero, Ciudad de Buenos Aires","miercoles",17,0,-34.5943039,-58.4194302,2021-03-28
"31","Rincòn Parrillero, Ciudad de Buenos Aires","miercoles",18,0,-34.5943039,-58.4194302,2021-03-28
"32","Rincòn Parrillero, Ciudad de Buenos Aires","miercoles",19,0,-34.5943039,-58.4194302,2021-03-28
"33","Rincòn Parrillero, Ciudad de Buenos Aires","miercoles",20,21,-34.5943039,-58.4194302,2021-03-28
"34","Rincòn Parrillero, Ciudad de Buenos Aires","miercoles",21,40.5,-34.5943039,-58.4194302,2021-03-28
"35","Rincòn Parrillero, Ciudad de Buenos Aires","miercoles",22,42.75,-34.5943039,-58.4194302,2021-03-28
"36","Rincòn Parrillero, Ciudad de Buenos Aires","miercoles",23,24,-34.5943039,-58.4194302,2021-03-28
"37","Rincòn Parrillero, Ciudad de Buenos Aires","jueves",6,0,-34.5943039,-58.4194302,2021-03-28
"38","Rincòn Parrillero, Ciudad de Buenos Aires","jueves",7,0,-34.5943039,-58.4194302,2021-03-28
"39","Rincòn Parrillero, Ciudad de Buenos Aires","jueves",8,0,-34.5943039,-58.4194302,2021-03-28
"40","Rincòn Parrillero, Ciudad de Buenos Aires","jueves",9,0,-34.5943039,-58.4194302,2021-03-28
"41","Rincòn Parrillero, Ciudad de Buenos Aires","jueves",10,0,-34.5943039,-58.4194302,2021-03-28
"42","Rincòn Parrillero, Ciudad de Buenos Aires","jueves",11,0,-34.5943039,-58.4194302,2021-03-28
"43","Rincòn Parrillero, Ciudad de Buenos Aires","jueves",12,9,-34.5943039,-58.4194302,2021-03-28
"44","Rincòn Parrillero, Ciudad de Buenos Aires","jueves",13,32.25,-34.5943039,-58.4194302,2021-03-28
"45","Rincòn Parrillero, Ciudad de Buenos Aires","jueves",14,39,-34.5943039,-58.4194302,2021-03-28
"46","Rincòn Parrillero, Ciudad de Buenos Aires","jueves",15,18.75,-34.5943039,-58.4194302,2021-03-28
"47","Rincòn Parrillero, Ciudad de Buenos Aires","jueves",16,0,-34.5943039,-58.4194302,2021-03-28
"48","Rincòn Parrillero, Ciudad de Buenos Aires","jueves",17,0,-34.5943039,-58.4194302,2021-03-28
"49","Rincòn Parrillero, Ciudad de Buenos Aires","jueves",18,0,-34.5943039,-58.4194302,2021-03-28
"50","Rincòn Parrillero, Ciudad de Buenos Aires","jueves",19,0,-34.5943039,-58.4194302,2021-03-28
"51","Rincòn Parrillero, Ciudad de Buenos Aires","jueves",20,26.25,-34.5943039,-58.4194302,2021-03-28
"52","Rincòn Parrillero, Ciudad de Buenos Aires","jueves",21,43.5,-34.5943039,-58.4194302,2021-03-28
"53","Rincòn Parrillero, Ciudad de Buenos Aires","jueves",22,40.5,-34.5943039,-58.4194302,2021-03-28
"54","Rincòn Parrillero, Ciudad de Buenos Aires","jueves",23,21,-34.5943039,-58.4194302,2021-03-28
"55","Rincòn Parrillero, Ciudad de Buenos Aires","viernes",6,0,-34.5943039,-58.4194302,2021-03-28
"56","Rincòn Parrillero, Ciudad de Buenos Aires","viernes",7,0,-34.5943039,-58.4194302,2021-03-28
"57","Rincòn Parrillero, Ciudad de Buenos Aires","viernes",8,0,-34.5943039,-58.4194302,2021-03-28
"58","Rincòn Parrillero, Ciudad de Buenos Aires","viernes",9,0,-34.5943039,-58.4194302,2021-03-28
"59","Rincòn Parrillero, Ciudad de Buenos Aires","viernes",10,0,-34.5943039,-58.4194302,2021-03-28
"60","Rincòn Parrillero, Ciudad de Buenos Aires","viernes",11,0,-34.5943039,-58.4194302,2021-03-28
"61","Rincòn Parrillero, Ciudad de Buenos Aires","viernes",12,15,-34.5943039,-58.4194302,2021-03-28
"62","Rincòn Parrillero, Ciudad de Buenos Aires","viernes",13,27,-34.5943039,-58.4194302,2021-03-28
"63","Rincòn Parrillero, Ciudad de Buenos Aires","viernes",14,27.75,-34.5943039,-58.4194302,2021-03-28
"64","Rincòn Parrillero, Ciudad de Buenos Aires","viernes",15,17.25,-34.5943039,-58.4194302,2021-03-28
"65","Rincòn Parrillero, Ciudad de Buenos Aires","viernes",16,0,-34.5943039,-58.4194302,2021-03-28
"66","Rincòn Parrillero, Ciudad de Buenos Aires","viernes",17,0,-34.5943039,-58.4194302,2021-03-28
"67","Rincòn Parrillero, Ciudad de Buenos Aires","viernes",18,0,-34.5943039,-58.4194302,2021-03-28
"68","Rincòn Parrillero, Ciudad de Buenos Aires","viernes",19,0,-34.5943039,-58.4194302,2021-03-28
"69","Rincòn Parrillero, Ciudad de Buenos Aires","viernes",20,18,-34.5943039,-58.4194302,2021-03-28
"70","Rincòn Parrillero, Ciudad de Buenos Aires","viernes",21,46.5,-34.5943039,-58.4194302,2021-03-28
