"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","lunes",6,0,-34.5700885,-58.4212631,2021-03-26
"2","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","lunes",7,0,-34.5700885,-58.4212631,2021-03-26
"3","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","lunes",8,0,-34.5700885,-58.4212631,2021-03-26
"4","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","lunes",9,0,-34.5700885,-58.4212631,2021-03-26
"5","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","lunes",10,0,-34.5700885,-58.4212631,2021-03-26
"6","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","lunes",11,0,-34.5700885,-58.4212631,2021-03-26
"7","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","lunes",12,0,-34.5700885,-58.4212631,2021-03-26
"8","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","lunes",13,0,-34.5700885,-58.4212631,2021-03-26
"9","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","lunes",14,0,-34.5700885,-58.4212631,2021-03-26
"10","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","lunes",15,0,-34.5700885,-58.4212631,2021-03-26
"11","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","lunes",16,10.5,-34.5700885,-58.4212631,2021-03-26
"12","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","lunes",17,11.25,-34.5700885,-58.4212631,2021-03-26
"13","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","lunes",18,12,-34.5700885,-58.4212631,2021-03-26
"14","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","lunes",19,15.75,-34.5700885,-58.4212631,2021-03-26
"15","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","lunes",20,24,-34.5700885,-58.4212631,2021-03-26
"16","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","lunes",21,31.5,-34.5700885,-58.4212631,2021-03-26
"17","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","lunes",22,30.75,-34.5700885,-58.4212631,2021-03-26
"18","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","lunes",23,20.25,-34.5700885,-58.4212631,2021-03-26
"19","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","martes",6,0,-34.5700885,-58.4212631,2021-03-26
"20","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","martes",7,0,-34.5700885,-58.4212631,2021-03-26
"21","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","martes",8,0,-34.5700885,-58.4212631,2021-03-26
"22","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","martes",9,0,-34.5700885,-58.4212631,2021-03-26
"23","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","martes",10,0,-34.5700885,-58.4212631,2021-03-26
"24","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","martes",11,0,-34.5700885,-58.4212631,2021-03-26
"25","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","martes",12,0,-34.5700885,-58.4212631,2021-03-26
"26","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","martes",13,0,-34.5700885,-58.4212631,2021-03-26
"27","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","martes",14,0,-34.5700885,-58.4212631,2021-03-26
"28","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","martes",15,0,-34.5700885,-58.4212631,2021-03-26
"29","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","martes",16,9,-34.5700885,-58.4212631,2021-03-26
"30","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","martes",17,10.5,-34.5700885,-58.4212631,2021-03-26
"31","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","martes",18,13.5,-34.5700885,-58.4212631,2021-03-26
"32","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","martes",19,19.5,-34.5700885,-58.4212631,2021-03-26
"33","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","martes",20,26.25,-34.5700885,-58.4212631,2021-03-26
"34","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","martes",21,30,-34.5700885,-58.4212631,2021-03-26
"35","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","martes",22,27,-34.5700885,-58.4212631,2021-03-26
"36","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","martes",23,18.75,-34.5700885,-58.4212631,2021-03-26
"37","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","miercoles",6,0,-34.5700885,-58.4212631,2021-03-26
"38","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","miercoles",7,0,-34.5700885,-58.4212631,2021-03-26
"39","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","miercoles",8,0,-34.5700885,-58.4212631,2021-03-26
"40","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","miercoles",9,0,-34.5700885,-58.4212631,2021-03-26
"41","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","miercoles",10,0,-34.5700885,-58.4212631,2021-03-26
"42","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","miercoles",11,0,-34.5700885,-58.4212631,2021-03-26
"43","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","miercoles",12,0,-34.5700885,-58.4212631,2021-03-26
"44","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","miercoles",13,0,-34.5700885,-58.4212631,2021-03-26
"45","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","miercoles",14,0,-34.5700885,-58.4212631,2021-03-26
"46","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","miercoles",15,0,-34.5700885,-58.4212631,2021-03-26
"47","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","miercoles",16,13.5,-34.5700885,-58.4212631,2021-03-26
"48","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","miercoles",17,15,-34.5700885,-58.4212631,2021-03-26
"49","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","miercoles",18,17.25,-34.5700885,-58.4212631,2021-03-26
"50","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","miercoles",19,23.25,-34.5700885,-58.4212631,2021-03-26
"51","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","miercoles",20,34.5,-34.5700885,-58.4212631,2021-03-26
"52","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","miercoles",21,42.75,-34.5700885,-58.4212631,2021-03-26
"53","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","miercoles",22,40.5,-34.5700885,-58.4212631,2021-03-26
"54","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","miercoles",23,27.75,-34.5700885,-58.4212631,2021-03-26
"55","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","jueves",6,0,-34.5700885,-58.4212631,2021-03-26
"56","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","jueves",7,0,-34.5700885,-58.4212631,2021-03-26
"57","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","jueves",8,0,-34.5700885,-58.4212631,2021-03-26
"58","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","jueves",9,0,-34.5700885,-58.4212631,2021-03-26
"59","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","jueves",10,0,-34.5700885,-58.4212631,2021-03-26
"60","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","jueves",11,0,-34.5700885,-58.4212631,2021-03-26
"61","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","jueves",12,11.25,-34.5700885,-58.4212631,2021-03-26
"62","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","jueves",13,13.5,-34.5700885,-58.4212631,2021-03-26
"63","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","jueves",14,14.25,-34.5700885,-58.4212631,2021-03-26
"64","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","jueves",15,14.25,-34.5700885,-58.4212631,2021-03-26
"65","Rock &amp; Ribs Smokehouse, Ciudad de Buenos Aires","jueves",16,12.75,-34.5700885,-58.4212631,2021-03-26
