"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Rodizio Madero, Ciudad de Buenos Aires","lunes",6,0,-34.6072069,-58.366474,2021-03-27
"2","Rodizio Madero, Ciudad de Buenos Aires","lunes",7,0,-34.6072069,-58.366474,2021-03-27
"3","Rodizio Madero, Ciudad de Buenos Aires","lunes",8,0,-34.6072069,-58.366474,2021-03-27
"4","Rodizio Madero, Ciudad de Buenos Aires","lunes",9,0,-34.6072069,-58.366474,2021-03-27
"5","Rodizio Madero, Ciudad de Buenos Aires","lunes",10,0,-34.6072069,-58.366474,2021-03-27
"6","Rodizio Madero, Ciudad de Buenos Aires","lunes",11,0,-34.6072069,-58.366474,2021-03-27
"7","Rodizio Madero, Ciudad de Buenos Aires","lunes",12,10.5,-34.6072069,-58.366474,2021-03-27
"8","Rodizio Madero, Ciudad de Buenos Aires","lunes",13,13.5,-34.6072069,-58.366474,2021-03-27
"9","Rodizio Madero, Ciudad de Buenos Aires","lunes",14,15.75,-34.6072069,-58.366474,2021-03-27
"10","Rodizio Madero, Ciudad de Buenos Aires","lunes",15,16.5,-34.6072069,-58.366474,2021-03-27
"11","Rodizio Madero, Ciudad de Buenos Aires","lunes",16,15.75,-34.6072069,-58.366474,2021-03-27
"12","Rodizio Madero, Ciudad de Buenos Aires","lunes",17,13.5,-34.6072069,-58.366474,2021-03-27
"13","Rodizio Madero, Ciudad de Buenos Aires","lunes",18,10.5,-34.6072069,-58.366474,2021-03-27
"14","Rodizio Madero, Ciudad de Buenos Aires","lunes",19,8.25,-34.6072069,-58.366474,2021-03-27
"15","Rodizio Madero, Ciudad de Buenos Aires","lunes",20,8.25,-34.6072069,-58.366474,2021-03-27
"16","Rodizio Madero, Ciudad de Buenos Aires","lunes",21,14.25,-34.6072069,-58.366474,2021-03-27
"17","Rodizio Madero, Ciudad de Buenos Aires","lunes",22,21,-34.6072069,-58.366474,2021-03-27
"18","Rodizio Madero, Ciudad de Buenos Aires","lunes",23,21,-34.6072069,-58.366474,2021-03-27
"19","Rodizio Madero, Ciudad de Buenos Aires","martes",6,0,-34.6072069,-58.366474,2021-03-27
"20","Rodizio Madero, Ciudad de Buenos Aires","martes",7,0,-34.6072069,-58.366474,2021-03-27
"21","Rodizio Madero, Ciudad de Buenos Aires","martes",8,0,-34.6072069,-58.366474,2021-03-27
"22","Rodizio Madero, Ciudad de Buenos Aires","martes",9,0,-34.6072069,-58.366474,2021-03-27
"23","Rodizio Madero, Ciudad de Buenos Aires","martes",10,0,-34.6072069,-58.366474,2021-03-27
"24","Rodizio Madero, Ciudad de Buenos Aires","martes",11,0,-34.6072069,-58.366474,2021-03-27
"25","Rodizio Madero, Ciudad de Buenos Aires","martes",12,12,-34.6072069,-58.366474,2021-03-27
"26","Rodizio Madero, Ciudad de Buenos Aires","martes",13,15,-34.6072069,-58.366474,2021-03-27
"27","Rodizio Madero, Ciudad de Buenos Aires","martes",14,17.25,-34.6072069,-58.366474,2021-03-27
"28","Rodizio Madero, Ciudad de Buenos Aires","martes",15,18,-34.6072069,-58.366474,2021-03-27
"29","Rodizio Madero, Ciudad de Buenos Aires","martes",16,18.75,-34.6072069,-58.366474,2021-03-27
"30","Rodizio Madero, Ciudad de Buenos Aires","martes",17,18,-34.6072069,-58.366474,2021-03-27
"31","Rodizio Madero, Ciudad de Buenos Aires","martes",18,16.5,-34.6072069,-58.366474,2021-03-27
"32","Rodizio Madero, Ciudad de Buenos Aires","martes",19,15.75,-34.6072069,-58.366474,2021-03-27
"33","Rodizio Madero, Ciudad de Buenos Aires","martes",20,17.25,-34.6072069,-58.366474,2021-03-27
"34","Rodizio Madero, Ciudad de Buenos Aires","martes",21,21.75,-34.6072069,-58.366474,2021-03-27
"35","Rodizio Madero, Ciudad de Buenos Aires","martes",22,23.25,-34.6072069,-58.366474,2021-03-27
"36","Rodizio Madero, Ciudad de Buenos Aires","martes",23,18.75,-34.6072069,-58.366474,2021-03-27
"37","Rodizio Madero, Ciudad de Buenos Aires","miercoles",6,0,-34.6072069,-58.366474,2021-03-27
"38","Rodizio Madero, Ciudad de Buenos Aires","miercoles",7,0,-34.6072069,-58.366474,2021-03-27
"39","Rodizio Madero, Ciudad de Buenos Aires","miercoles",8,0,-34.6072069,-58.366474,2021-03-27
"40","Rodizio Madero, Ciudad de Buenos Aires","miercoles",9,0,-34.6072069,-58.366474,2021-03-27
