"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Rodney bar, Ciudad de Buenos Aires","martes",6,0,-34.5912025,-58.45317,2021-03-28
"2","Rodney bar, Ciudad de Buenos Aires","martes",7,0,-34.5912025,-58.45317,2021-03-28
"3","Rodney bar, Ciudad de Buenos Aires","martes",8,0,-34.5912025,-58.45317,2021-03-28
"4","Rodney bar, Ciudad de Buenos Aires","martes",9,0,-34.5912025,-58.45317,2021-03-28
"5","Rodney bar, Ciudad de Buenos Aires","martes",10,0,-34.5912025,-58.45317,2021-03-28
"6","Rodney bar, Ciudad de Buenos Aires","martes",11,0,-34.5912025,-58.45317,2021-03-28
"7","Rodney bar, Ciudad de Buenos Aires","martes",12,0,-34.5912025,-58.45317,2021-03-28
"8","Rodney bar, Ciudad de Buenos Aires","martes",13,0,-34.5912025,-58.45317,2021-03-28
"9","Rodney bar, Ciudad de Buenos Aires","martes",14,0,-34.5912025,-58.45317,2021-03-28
"10","Rodney bar, Ciudad de Buenos Aires","martes",15,0,-34.5912025,-58.45317,2021-03-28
"11","Rodney bar, Ciudad de Buenos Aires","martes",16,0,-34.5912025,-58.45317,2021-03-28
"12","Rodney bar, Ciudad de Buenos Aires","martes",17,0,-34.5912025,-58.45317,2021-03-28
"13","Rodney bar, Ciudad de Buenos Aires","martes",18,16.5,-34.5912025,-58.45317,2021-03-28
"14","Rodney bar, Ciudad de Buenos Aires","martes",19,21,-34.5912025,-58.45317,2021-03-28
"15","Rodney bar, Ciudad de Buenos Aires","martes",20,24,-34.5912025,-58.45317,2021-03-28
"16","Rodney bar, Ciudad de Buenos Aires","martes",21,23.25,-34.5912025,-58.45317,2021-03-28
"17","Rodney bar, Ciudad de Buenos Aires","martes",22,19.5,-34.5912025,-58.45317,2021-03-28
"18","Rodney bar, Ciudad de Buenos Aires","martes",23,13.5,-34.5912025,-58.45317,2021-03-28
"19","Rodney bar, Ciudad de Buenos Aires","miercoles",0,8.25,-34.5912025,-58.45317,2021-03-28
"20","Rodney bar, Ciudad de Buenos Aires","miercoles",1,5.25,-34.5912025,-58.45317,2021-03-28
"21","Rodney bar, Ciudad de Buenos Aires","miercoles",2,3,-34.5912025,-58.45317,2021-03-28
"22","Rodney bar, Ciudad de Buenos Aires","miercoles",3,2.25,-34.5912025,-58.45317,2021-03-28
"23","Rodney bar, Ciudad de Buenos Aires","miercoles",6,0,-34.5912025,-58.45317,2021-03-28
"24","Rodney bar, Ciudad de Buenos Aires","miercoles",7,0,-34.5912025,-58.45317,2021-03-28
"25","Rodney bar, Ciudad de Buenos Aires","miercoles",8,0,-34.5912025,-58.45317,2021-03-28
"26","Rodney bar, Ciudad de Buenos Aires","miercoles",9,0,-34.5912025,-58.45317,2021-03-28
