"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Rojo y Negro, Ciudad de Buenos Aires","lunes",6,0,-34.544959,-58.4600061,2021-03-26
"2","Rojo y Negro, Ciudad de Buenos Aires","lunes",7,0,-34.544959,-58.4600061,2021-03-26
"3","Rojo y Negro, Ciudad de Buenos Aires","lunes",8,0,-34.544959,-58.4600061,2021-03-26
"4","Rojo y Negro, Ciudad de Buenos Aires","lunes",9,0,-34.544959,-58.4600061,2021-03-26
"5","Rojo y Negro, Ciudad de Buenos Aires","lunes",10,0,-34.544959,-58.4600061,2021-03-26
"6","Rojo y Negro, Ciudad de Buenos Aires","lunes",11,7.5,-34.544959,-58.4600061,2021-03-26
"7","Rojo y Negro, Ciudad de Buenos Aires","lunes",12,21,-34.544959,-58.4600061,2021-03-26
"8","Rojo y Negro, Ciudad de Buenos Aires","lunes",13,33.75,-34.544959,-58.4600061,2021-03-26
"9","Rojo y Negro, Ciudad de Buenos Aires","lunes",14,30.75,-34.544959,-58.4600061,2021-03-26
"10","Rojo y Negro, Ciudad de Buenos Aires","lunes",15,15.75,-34.544959,-58.4600061,2021-03-26
"11","Rojo y Negro, Ciudad de Buenos Aires","lunes",16,0,-34.544959,-58.4600061,2021-03-26
"12","Rojo y Negro, Ciudad de Buenos Aires","lunes",17,0,-34.544959,-58.4600061,2021-03-26
"13","Rojo y Negro, Ciudad de Buenos Aires","lunes",18,0,-34.544959,-58.4600061,2021-03-26
"14","Rojo y Negro, Ciudad de Buenos Aires","lunes",19,8.25,-34.544959,-58.4600061,2021-03-26
"15","Rojo y Negro, Ciudad de Buenos Aires","lunes",20,22.5,-34.544959,-58.4600061,2021-03-26
"16","Rojo y Negro, Ciudad de Buenos Aires","lunes",21,43.5,-34.544959,-58.4600061,2021-03-26
"17","Rojo y Negro, Ciudad de Buenos Aires","lunes",22,51.75,-34.544959,-58.4600061,2021-03-26
"18","Rojo y Negro, Ciudad de Buenos Aires","lunes",23,39,-34.544959,-58.4600061,2021-03-26
"19","Rojo y Negro, Ciudad de Buenos Aires","martes",6,0,-34.544959,-58.4600061,2021-03-26
