"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Rondinella, Ciudad de Buenos Aires","lunes",6,0,-34.583237,-58.4448432,2021-03-26
"2","Rondinella, Ciudad de Buenos Aires","lunes",7,0,-34.583237,-58.4448432,2021-03-26
"3","Rondinella, Ciudad de Buenos Aires","lunes",8,0,-34.583237,-58.4448432,2021-03-26
"4","Rondinella, Ciudad de Buenos Aires","lunes",9,0,-34.583237,-58.4448432,2021-03-26
"5","Rondinella, Ciudad de Buenos Aires","lunes",10,0,-34.583237,-58.4448432,2021-03-26
"6","Rondinella, Ciudad de Buenos Aires","lunes",11,0,-34.583237,-58.4448432,2021-03-26
"7","Rondinella, Ciudad de Buenos Aires","lunes",12,3,-34.583237,-58.4448432,2021-03-26
"8","Rondinella, Ciudad de Buenos Aires","lunes",13,16.5,-34.583237,-58.4448432,2021-03-26
"9","Rondinella, Ciudad de Buenos Aires","lunes",14,20.25,-34.583237,-58.4448432,2021-03-26
"10","Rondinella, Ciudad de Buenos Aires","lunes",15,0,-34.583237,-58.4448432,2021-03-26
"11","Rondinella, Ciudad de Buenos Aires","lunes",16,0,-34.583237,-58.4448432,2021-03-26
"12","Rondinella, Ciudad de Buenos Aires","lunes",17,0,-34.583237,-58.4448432,2021-03-26
"13","Rondinella, Ciudad de Buenos Aires","lunes",18,0,-34.583237,-58.4448432,2021-03-26
"14","Rondinella, Ciudad de Buenos Aires","lunes",19,0,-34.583237,-58.4448432,2021-03-26
"15","Rondinella, Ciudad de Buenos Aires","lunes",20,22.5,-34.583237,-58.4448432,2021-03-26
"16","Rondinella, Ciudad de Buenos Aires","lunes",21,44.25,-34.583237,-58.4448432,2021-03-26
"17","Rondinella, Ciudad de Buenos Aires","lunes",22,51,-34.583237,-58.4448432,2021-03-26
"18","Rondinella, Ciudad de Buenos Aires","lunes",23,35.25,-34.583237,-58.4448432,2021-03-26
"19","Rondinella, Ciudad de Buenos Aires","miercoles",6,0,-34.583237,-58.4448432,2021-03-26
"20","Rondinella, Ciudad de Buenos Aires","miercoles",7,0,-34.583237,-58.4448432,2021-03-26
"21","Rondinella, Ciudad de Buenos Aires","miercoles",8,0,-34.583237,-58.4448432,2021-03-26
"22","Rondinella, Ciudad de Buenos Aires","miercoles",9,0,-34.583237,-58.4448432,2021-03-26
"23","Rondinella, Ciudad de Buenos Aires","miercoles",10,0,-34.583237,-58.4448432,2021-03-26
"24","Rondinella, Ciudad de Buenos Aires","miercoles",11,0,-34.583237,-58.4448432,2021-03-26
"25","Rondinella, Ciudad de Buenos Aires","miercoles",12,3,-34.583237,-58.4448432,2021-03-26
"26","Rondinella, Ciudad de Buenos Aires","miercoles",13,10.5,-34.583237,-58.4448432,2021-03-26
"27","Rondinella, Ciudad de Buenos Aires","miercoles",14,14.25,-34.583237,-58.4448432,2021-03-26
"28","Rondinella, Ciudad de Buenos Aires","miercoles",15,0,-34.583237,-58.4448432,2021-03-26
"29","Rondinella, Ciudad de Buenos Aires","miercoles",16,0,-34.583237,-58.4448432,2021-03-26
"30","Rondinella, Ciudad de Buenos Aires","miercoles",17,0,-34.583237,-58.4448432,2021-03-26
"31","Rondinella, Ciudad de Buenos Aires","miercoles",18,0,-34.583237,-58.4448432,2021-03-26
"32","Rondinella, Ciudad de Buenos Aires","miercoles",19,0,-34.583237,-58.4448432,2021-03-26
"33","Rondinella, Ciudad de Buenos Aires","miercoles",20,25.5,-34.583237,-58.4448432,2021-03-26
"34","Rondinella, Ciudad de Buenos Aires","miercoles",21,49.5,-34.583237,-58.4448432,2021-03-26
"35","Rondinella, Ciudad de Buenos Aires","miercoles",22,52.5,-34.583237,-58.4448432,2021-03-26
"36","Rondinella, Ciudad de Buenos Aires","miercoles",23,30.75,-34.583237,-58.4448432,2021-03-26
"37","Rondinella, Ciudad de Buenos Aires","jueves",6,0,-34.583237,-58.4448432,2021-03-26
"38","Rondinella, Ciudad de Buenos Aires","jueves",7,0,-34.583237,-58.4448432,2021-03-26
"39","Rondinella, Ciudad de Buenos Aires","jueves",8,0,-34.583237,-58.4448432,2021-03-26
