"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","SANTAL - Belgrano, Ciudad de Buenos Aires","lunes",6,0,-34.5652495,-58.4505349,2021-03-26
"2","SANTAL - Belgrano, Ciudad de Buenos Aires","lunes",7,0,-34.5652495,-58.4505349,2021-03-26
"3","SANTAL - Belgrano, Ciudad de Buenos Aires","lunes",8,15.75,-34.5652495,-58.4505349,2021-03-26
"4","SANTAL - Belgrano, Ciudad de Buenos Aires","lunes",9,27,-34.5652495,-58.4505349,2021-03-26
"5","SANTAL - Belgrano, Ciudad de Buenos Aires","lunes",10,37.5,-34.5652495,-58.4505349,2021-03-26
"6","SANTAL - Belgrano, Ciudad de Buenos Aires","lunes",11,43.5,-34.5652495,-58.4505349,2021-03-26
"7","SANTAL - Belgrano, Ciudad de Buenos Aires","lunes",12,43.5,-34.5652495,-58.4505349,2021-03-26
"8","SANTAL - Belgrano, Ciudad de Buenos Aires","lunes",13,40.5,-34.5652495,-58.4505349,2021-03-26
"9","SANTAL - Belgrano, Ciudad de Buenos Aires","lunes",14,39,-34.5652495,-58.4505349,2021-03-26
"10","SANTAL - Belgrano, Ciudad de Buenos Aires","lunes",15,43.5,-34.5652495,-58.4505349,2021-03-26
"11","SANTAL - Belgrano, Ciudad de Buenos Aires","lunes",16,52.5,-34.5652495,-58.4505349,2021-03-26
"12","SANTAL - Belgrano, Ciudad de Buenos Aires","lunes",17,60,-34.5652495,-58.4505349,2021-03-26
"13","SANTAL - Belgrano, Ciudad de Buenos Aires","lunes",18,60,-34.5652495,-58.4505349,2021-03-26
"14","SANTAL - Belgrano, Ciudad de Buenos Aires","lunes",19,51.75,-34.5652495,-58.4505349,2021-03-26
"15","SANTAL - Belgrano, Ciudad de Buenos Aires","lunes",20,36.75,-34.5652495,-58.4505349,2021-03-26
"16","SANTAL - Belgrano, Ciudad de Buenos Aires","lunes",21,21.75,-34.5652495,-58.4505349,2021-03-26
"17","SANTAL - Belgrano, Ciudad de Buenos Aires","lunes",22,0,-34.5652495,-58.4505349,2021-03-26
"18","SANTAL - Belgrano, Ciudad de Buenos Aires","lunes",23,0,-34.5652495,-58.4505349,2021-03-26
"19","SANTAL - Belgrano, Ciudad de Buenos Aires","martes",6,0,-34.5652495,-58.4505349,2021-03-26
"20","SANTAL - Belgrano, Ciudad de Buenos Aires","martes",7,0,-34.5652495,-58.4505349,2021-03-26
"21","SANTAL - Belgrano, Ciudad de Buenos Aires","martes",8,18,-34.5652495,-58.4505349,2021-03-26
"22","SANTAL - Belgrano, Ciudad de Buenos Aires","martes",9,30,-34.5652495,-58.4505349,2021-03-26
"23","SANTAL - Belgrano, Ciudad de Buenos Aires","martes",10,42,-34.5652495,-58.4505349,2021-03-26
"24","SANTAL - Belgrano, Ciudad de Buenos Aires","martes",11,49.5,-34.5652495,-58.4505349,2021-03-26
"25","SANTAL - Belgrano, Ciudad de Buenos Aires","martes",12,51,-34.5652495,-58.4505349,2021-03-26
"26","SANTAL - Belgrano, Ciudad de Buenos Aires","martes",13,47.25,-34.5652495,-58.4505349,2021-03-26
"27","SANTAL - Belgrano, Ciudad de Buenos Aires","martes",14,45.75,-34.5652495,-58.4505349,2021-03-26
"28","SANTAL - Belgrano, Ciudad de Buenos Aires","martes",15,48.75,-34.5652495,-58.4505349,2021-03-26
"29","SANTAL - Belgrano, Ciudad de Buenos Aires","martes",16,57,-34.5652495,-58.4505349,2021-03-26
"30","SANTAL - Belgrano, Ciudad de Buenos Aires","martes",17,66,-34.5652495,-58.4505349,2021-03-26
"31","SANTAL - Belgrano, Ciudad de Buenos Aires","martes",18,67.5,-34.5652495,-58.4505349,2021-03-26
"32","SANTAL - Belgrano, Ciudad de Buenos Aires","martes",19,60,-34.5652495,-58.4505349,2021-03-26
"33","SANTAL - Belgrano, Ciudad de Buenos Aires","martes",20,45,-34.5652495,-58.4505349,2021-03-26
