"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Salgado Alimentos, Ciudad de Buenos Aires","lunes",6,0,-34.5990498,-58.4359192,2021-03-26
"2","Salgado Alimentos, Ciudad de Buenos Aires","lunes",7,0,-34.5990498,-58.4359192,2021-03-26
"3","Salgado Alimentos, Ciudad de Buenos Aires","lunes",8,0,-34.5990498,-58.4359192,2021-03-26
"4","Salgado Alimentos, Ciudad de Buenos Aires","lunes",9,0,-34.5990498,-58.4359192,2021-03-26
"5","Salgado Alimentos, Ciudad de Buenos Aires","lunes",10,0,-34.5990498,-58.4359192,2021-03-26
"6","Salgado Alimentos, Ciudad de Buenos Aires","lunes",11,0,-34.5990498,-58.4359192,2021-03-26
"7","Salgado Alimentos, Ciudad de Buenos Aires","lunes",12,21.75,-34.5990498,-58.4359192,2021-03-26
"8","Salgado Alimentos, Ciudad de Buenos Aires","lunes",13,30.75,-34.5990498,-58.4359192,2021-03-26
"9","Salgado Alimentos, Ciudad de Buenos Aires","lunes",14,30.75,-34.5990498,-58.4359192,2021-03-26
"10","Salgado Alimentos, Ciudad de Buenos Aires","lunes",15,22.5,-34.5990498,-58.4359192,2021-03-26
"11","Salgado Alimentos, Ciudad de Buenos Aires","lunes",16,0,-34.5990498,-58.4359192,2021-03-26
"12","Salgado Alimentos, Ciudad de Buenos Aires","lunes",17,0,-34.5990498,-58.4359192,2021-03-26
"13","Salgado Alimentos, Ciudad de Buenos Aires","lunes",18,0,-34.5990498,-58.4359192,2021-03-26
"14","Salgado Alimentos, Ciudad de Buenos Aires","lunes",19,0,-34.5990498,-58.4359192,2021-03-26
"15","Salgado Alimentos, Ciudad de Buenos Aires","lunes",20,25.5,-34.5990498,-58.4359192,2021-03-26
"16","Salgado Alimentos, Ciudad de Buenos Aires","lunes",21,45.75,-34.5990498,-58.4359192,2021-03-26
"17","Salgado Alimentos, Ciudad de Buenos Aires","lunes",22,45,-34.5990498,-58.4359192,2021-03-26
