"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","San Telmo Plaza, Ciudad de Buenos Aires","lunes",4,0.75,-34.6204914,-58.3717481,2021-03-26
"2","San Telmo Plaza, Ciudad de Buenos Aires","lunes",5,0.75,-34.6204914,-58.3717481,2021-03-26
"3","San Telmo Plaza, Ciudad de Buenos Aires","lunes",6,0.75,-34.6204914,-58.3717481,2021-03-26
"4","San Telmo Plaza, Ciudad de Buenos Aires","lunes",7,0.75,-34.6204914,-58.3717481,2021-03-26
"5","San Telmo Plaza, Ciudad de Buenos Aires","lunes",8,2.25,-34.6204914,-58.3717481,2021-03-26
"6","San Telmo Plaza, Ciudad de Buenos Aires","lunes",9,4.5,-34.6204914,-58.3717481,2021-03-26
"7","San Telmo Plaza, Ciudad de Buenos Aires","lunes",10,6,-34.6204914,-58.3717481,2021-03-26
"8","San Telmo Plaza, Ciudad de Buenos Aires","lunes",11,7.5,-34.6204914,-58.3717481,2021-03-26
"9","San Telmo Plaza, Ciudad de Buenos Aires","lunes",12,8.25,-34.6204914,-58.3717481,2021-03-26
"10","San Telmo Plaza, Ciudad de Buenos Aires","lunes",13,9,-34.6204914,-58.3717481,2021-03-26
"11","San Telmo Plaza, Ciudad de Buenos Aires","lunes",14,10.5,-34.6204914,-58.3717481,2021-03-26
"12","San Telmo Plaza, Ciudad de Buenos Aires","lunes",15,12,-34.6204914,-58.3717481,2021-03-26
"13","San Telmo Plaza, Ciudad de Buenos Aires","lunes",16,13.5,-34.6204914,-58.3717481,2021-03-26
"14","San Telmo Plaza, Ciudad de Buenos Aires","lunes",17,15,-34.6204914,-58.3717481,2021-03-26
"15","San Telmo Plaza, Ciudad de Buenos Aires","lunes",18,15.75,-34.6204914,-58.3717481,2021-03-26
"16","San Telmo Plaza, Ciudad de Buenos Aires","lunes",19,15,-34.6204914,-58.3717481,2021-03-26
"17","San Telmo Plaza, Ciudad de Buenos Aires","lunes",20,13.5,-34.6204914,-58.3717481,2021-03-26
"18","San Telmo Plaza, Ciudad de Buenos Aires","lunes",21,11.25,-34.6204914,-58.3717481,2021-03-26
"19","San Telmo Plaza, Ciudad de Buenos Aires","lunes",22,8.25,-34.6204914,-58.3717481,2021-03-26
"20","San Telmo Plaza, Ciudad de Buenos Aires","lunes",23,5.25,-34.6204914,-58.3717481,2021-03-26
"21","San Telmo Plaza, Ciudad de Buenos Aires","martes",0,3,-34.6204914,-58.3717481,2021-03-26
"22","San Telmo Plaza, Ciudad de Buenos Aires","martes",1,0.75,-34.6204914,-58.3717481,2021-03-26
"23","San Telmo Plaza, Ciudad de Buenos Aires","martes",2,0.75,-34.6204914,-58.3717481,2021-03-26
"24","San Telmo Plaza, Ciudad de Buenos Aires","martes",3,0.75,-34.6204914,-58.3717481,2021-03-26
