"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Santa Cebada, Ciudad de Buenos Aires","lunes",6,0,-34.5928983,-58.4135772,2021-03-27
"2","Santa Cebada, Ciudad de Buenos Aires","lunes",7,0,-34.5928983,-58.4135772,2021-03-27
"3","Santa Cebada, Ciudad de Buenos Aires","lunes",8,0,-34.5928983,-58.4135772,2021-03-27
"4","Santa Cebada, Ciudad de Buenos Aires","lunes",9,0,-34.5928983,-58.4135772,2021-03-27
"5","Santa Cebada, Ciudad de Buenos Aires","lunes",10,0,-34.5928983,-58.4135772,2021-03-27
"6","Santa Cebada, Ciudad de Buenos Aires","lunes",11,0,-34.5928983,-58.4135772,2021-03-27
"7","Santa Cebada, Ciudad de Buenos Aires","lunes",12,0,-34.5928983,-58.4135772,2021-03-27
"8","Santa Cebada, Ciudad de Buenos Aires","lunes",13,0,-34.5928983,-58.4135772,2021-03-27
"9","Santa Cebada, Ciudad de Buenos Aires","lunes",14,0,-34.5928983,-58.4135772,2021-03-27
"10","Santa Cebada, Ciudad de Buenos Aires","lunes",15,0,-34.5928983,-58.4135772,2021-03-27
"11","Santa Cebada, Ciudad de Buenos Aires","lunes",16,0,-34.5928983,-58.4135772,2021-03-27
"12","Santa Cebada, Ciudad de Buenos Aires","lunes",17,12.75,-34.5928983,-58.4135772,2021-03-27
"13","Santa Cebada, Ciudad de Buenos Aires","lunes",18,18.75,-34.5928983,-58.4135772,2021-03-27
"14","Santa Cebada, Ciudad de Buenos Aires","lunes",19,22.5,-34.5928983,-58.4135772,2021-03-27
"15","Santa Cebada, Ciudad de Buenos Aires","lunes",20,25.5,-34.5928983,-58.4135772,2021-03-27
"16","Santa Cebada, Ciudad de Buenos Aires","lunes",21,31.5,-34.5928983,-58.4135772,2021-03-27
"17","Santa Cebada, Ciudad de Buenos Aires","lunes",22,34.5,-34.5928983,-58.4135772,2021-03-27
"18","Santa Cebada, Ciudad de Buenos Aires","lunes",23,28.5,-34.5928983,-58.4135772,2021-03-27
"19","Santa Cebada, Ciudad de Buenos Aires","martes",6,0,-34.5928983,-58.4135772,2021-03-27
"20","Santa Cebada, Ciudad de Buenos Aires","martes",7,0,-34.5928983,-58.4135772,2021-03-27
"21","Santa Cebada, Ciudad de Buenos Aires","martes",8,0,-34.5928983,-58.4135772,2021-03-27
"22","Santa Cebada, Ciudad de Buenos Aires","martes",9,0,-34.5928983,-58.4135772,2021-03-27
"23","Santa Cebada, Ciudad de Buenos Aires","martes",10,0,-34.5928983,-58.4135772,2021-03-27
"24","Santa Cebada, Ciudad de Buenos Aires","martes",11,0,-34.5928983,-58.4135772,2021-03-27
"25","Santa Cebada, Ciudad de Buenos Aires","martes",12,0,-34.5928983,-58.4135772,2021-03-27
