"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Sarkis, Ciudad de Buenos Aires","lunes",6,0,-34.5914751,-58.4361298,2021-03-26
"2","Sarkis, Ciudad de Buenos Aires","lunes",7,0,-34.5914751,-58.4361298,2021-03-26
"3","Sarkis, Ciudad de Buenos Aires","lunes",8,0,-34.5914751,-58.4361298,2021-03-26
"4","Sarkis, Ciudad de Buenos Aires","lunes",9,0,-34.5914751,-58.4361298,2021-03-26
"5","Sarkis, Ciudad de Buenos Aires","lunes",10,0,-34.5914751,-58.4361298,2021-03-26
"6","Sarkis, Ciudad de Buenos Aires","lunes",11,0,-34.5914751,-58.4361298,2021-03-26
"7","Sarkis, Ciudad de Buenos Aires","lunes",12,10.5,-34.5914751,-58.4361298,2021-03-26
"8","Sarkis, Ciudad de Buenos Aires","lunes",13,16.5,-34.5914751,-58.4361298,2021-03-26
"9","Sarkis, Ciudad de Buenos Aires","lunes",14,15.75,-34.5914751,-58.4361298,2021-03-26
"10","Sarkis, Ciudad de Buenos Aires","lunes",15,0,-34.5914751,-58.4361298,2021-03-26
"11","Sarkis, Ciudad de Buenos Aires","lunes",16,0,-34.5914751,-58.4361298,2021-03-26
"12","Sarkis, Ciudad de Buenos Aires","lunes",17,0,-34.5914751,-58.4361298,2021-03-26
"13","Sarkis, Ciudad de Buenos Aires","lunes",18,0,-34.5914751,-58.4361298,2021-03-26
"14","Sarkis, Ciudad de Buenos Aires","lunes",19,15,-34.5914751,-58.4361298,2021-03-26
"15","Sarkis, Ciudad de Buenos Aires","lunes",20,31.5,-34.5914751,-58.4361298,2021-03-26
"16","Sarkis, Ciudad de Buenos Aires","lunes",21,44.25,-34.5914751,-58.4361298,2021-03-26
"17","Sarkis, Ciudad de Buenos Aires","lunes",22,43.5,-34.5914751,-58.4361298,2021-03-26
"18","Sarkis, Ciudad de Buenos Aires","lunes",23,30,-34.5914751,-58.4361298,2021-03-26
"19","Sarkis, Ciudad de Buenos Aires","martes",6,0,-34.5914751,-58.4361298,2021-03-26
"20","Sarkis, Ciudad de Buenos Aires","martes",7,0,-34.5914751,-58.4361298,2021-03-26
"21","Sarkis, Ciudad de Buenos Aires","martes",8,0,-34.5914751,-58.4361298,2021-03-26
"22","Sarkis, Ciudad de Buenos Aires","martes",9,0,-34.5914751,-58.4361298,2021-03-26
"23","Sarkis, Ciudad de Buenos Aires","martes",10,0,-34.5914751,-58.4361298,2021-03-26
"24","Sarkis, Ciudad de Buenos Aires","martes",11,0,-34.5914751,-58.4361298,2021-03-26
"25","Sarkis, Ciudad de Buenos Aires","martes",12,12.75,-34.5914751,-58.4361298,2021-03-26
"26","Sarkis, Ciudad de Buenos Aires","martes",13,15,-34.5914751,-58.4361298,2021-03-26
"27","Sarkis, Ciudad de Buenos Aires","martes",14,14.25,-34.5914751,-58.4361298,2021-03-26
"28","Sarkis, Ciudad de Buenos Aires","martes",15,0,-34.5914751,-58.4361298,2021-03-26
"29","Sarkis, Ciudad de Buenos Aires","martes",16,0,-34.5914751,-58.4361298,2021-03-26
"30","Sarkis, Ciudad de Buenos Aires","martes",17,0,-34.5914751,-58.4361298,2021-03-26
"31","Sarkis, Ciudad de Buenos Aires","martes",18,0,-34.5914751,-58.4361298,2021-03-26
"32","Sarkis, Ciudad de Buenos Aires","martes",19,12.75,-34.5914751,-58.4361298,2021-03-26
"33","Sarkis, Ciudad de Buenos Aires","martes",20,32.25,-34.5914751,-58.4361298,2021-03-26
"34","Sarkis, Ciudad de Buenos Aires","martes",21,46.5,-34.5914751,-58.4361298,2021-03-26
"35","Sarkis, Ciudad de Buenos Aires","martes",22,42.75,-34.5914751,-58.4361298,2021-03-26
"36","Sarkis, Ciudad de Buenos Aires","martes",23,27,-34.5914751,-58.4361298,2021-03-26
"37","Sarkis, Ciudad de Buenos Aires","miercoles",6,0,-34.5914751,-58.4361298,2021-03-26
"38","Sarkis, Ciudad de Buenos Aires","miercoles",7,0,-34.5914751,-58.4361298,2021-03-26
"39","Sarkis, Ciudad de Buenos Aires","miercoles",8,0,-34.5914751,-58.4361298,2021-03-26
"40","Sarkis, Ciudad de Buenos Aires","miercoles",9,0,-34.5914751,-58.4361298,2021-03-26
"41","Sarkis, Ciudad de Buenos Aires","miercoles",10,0,-34.5914751,-58.4361298,2021-03-26
"42","Sarkis, Ciudad de Buenos Aires","miercoles",11,0,-34.5914751,-58.4361298,2021-03-26
"43","Sarkis, Ciudad de Buenos Aires","miercoles",12,7.5,-34.5914751,-58.4361298,2021-03-26
"44","Sarkis, Ciudad de Buenos Aires","miercoles",13,14.25,-34.5914751,-58.4361298,2021-03-26
"45","Sarkis, Ciudad de Buenos Aires","miercoles",14,15,-34.5914751,-58.4361298,2021-03-26
"46","Sarkis, Ciudad de Buenos Aires","miercoles",15,0,-34.5914751,-58.4361298,2021-03-26
"47","Sarkis, Ciudad de Buenos Aires","miercoles",16,0,-34.5914751,-58.4361298,2021-03-26
"48","Sarkis, Ciudad de Buenos Aires","miercoles",17,0,-34.5914751,-58.4361298,2021-03-26
"49","Sarkis, Ciudad de Buenos Aires","miercoles",18,0,-34.5914751,-58.4361298,2021-03-26
"50","Sarkis, Ciudad de Buenos Aires","miercoles",19,15.75,-34.5914751,-58.4361298,2021-03-26
"51","Sarkis, Ciudad de Buenos Aires","miercoles",20,36,-34.5914751,-58.4361298,2021-03-26
"52","Sarkis, Ciudad de Buenos Aires","miercoles",21,51.75,-34.5914751,-58.4361298,2021-03-26
"53","Sarkis, Ciudad de Buenos Aires","miercoles",22,50.25,-34.5914751,-58.4361298,2021-03-26
"54","Sarkis, Ciudad de Buenos Aires","miercoles",23,31.5,-34.5914751,-58.4361298,2021-03-26
"55","Sarkis, Ciudad de Buenos Aires","jueves",6,0,-34.5914751,-58.4361298,2021-03-26
"56","Sarkis, Ciudad de Buenos Aires","jueves",7,0,-34.5914751,-58.4361298,2021-03-26
"57","Sarkis, Ciudad de Buenos Aires","jueves",8,0,-34.5914751,-58.4361298,2021-03-26
"58","Sarkis, Ciudad de Buenos Aires","jueves",9,0,-34.5914751,-58.4361298,2021-03-26
"59","Sarkis, Ciudad de Buenos Aires","jueves",10,0,-34.5914751,-58.4361298,2021-03-26
"60","Sarkis, Ciudad de Buenos Aires","jueves",11,0,-34.5914751,-58.4361298,2021-03-26
"61","Sarkis, Ciudad de Buenos Aires","jueves",12,9.75,-34.5914751,-58.4361298,2021-03-26
"62","Sarkis, Ciudad de Buenos Aires","jueves",13,18.75,-34.5914751,-58.4361298,2021-03-26
"63","Sarkis, Ciudad de Buenos Aires","jueves",14,20.25,-34.5914751,-58.4361298,2021-03-26
"64","Sarkis, Ciudad de Buenos Aires","jueves",15,0,-34.5914751,-58.4361298,2021-03-26
"65","Sarkis, Ciudad de Buenos Aires","jueves",16,0,-34.5914751,-58.4361298,2021-03-26
"66","Sarkis, Ciudad de Buenos Aires","jueves",17,0,-34.5914751,-58.4361298,2021-03-26
"67","Sarkis, Ciudad de Buenos Aires","jueves",18,0,-34.5914751,-58.4361298,2021-03-26
"68","Sarkis, Ciudad de Buenos Aires","jueves",19,16.5,-34.5914751,-58.4361298,2021-03-26
"69","Sarkis, Ciudad de Buenos Aires","jueves",20,33,-34.5914751,-58.4361298,2021-03-26
"70","Sarkis, Ciudad de Buenos Aires","jueves",21,46.5,-34.5914751,-58.4361298,2021-03-26
"71","Sarkis, Ciudad de Buenos Aires","jueves",22,46.5,-34.5914751,-58.4361298,2021-03-26
"72","Sarkis, Ciudad de Buenos Aires","jueves",23,33,-34.5914751,-58.4361298,2021-03-26
"73","Sarkis, Ciudad de Buenos Aires","viernes",6,0,-34.5914751,-58.4361298,2021-03-26
"74","Sarkis, Ciudad de Buenos Aires","viernes",7,0,-34.5914751,-58.4361298,2021-03-26
"75","Sarkis, Ciudad de Buenos Aires","viernes",8,0,-34.5914751,-58.4361298,2021-03-26
"76","Sarkis, Ciudad de Buenos Aires","viernes",9,0,-34.5914751,-58.4361298,2021-03-26
"77","Sarkis, Ciudad de Buenos Aires","viernes",10,0,-34.5914751,-58.4361298,2021-03-26
"78","Sarkis, Ciudad de Buenos Aires","viernes",11,0,-34.5914751,-58.4361298,2021-03-26
"79","Sarkis, Ciudad de Buenos Aires","viernes",12,12.75,-34.5914751,-58.4361298,2021-03-26
"80","Sarkis, Ciudad de Buenos Aires","viernes",13,18.75,-34.5914751,-58.4361298,2021-03-26
"81","Sarkis, Ciudad de Buenos Aires","viernes",14,18,-34.5914751,-58.4361298,2021-03-26
"82","Sarkis, Ciudad de Buenos Aires","viernes",15,0,-34.5914751,-58.4361298,2021-03-26
"83","Sarkis, Ciudad de Buenos Aires","viernes",16,0,-34.5914751,-58.4361298,2021-03-26
"84","Sarkis, Ciudad de Buenos Aires","viernes",17,0,-34.5914751,-58.4361298,2021-03-26
"85","Sarkis, Ciudad de Buenos Aires","viernes",18,0,-34.5914751,-58.4361298,2021-03-26
"86","Sarkis, Ciudad de Buenos Aires","viernes",19,19.5,-34.5914751,-58.4361298,2021-03-26
"87","Sarkis, Ciudad de Buenos Aires","viernes",20,42.75,-34.5914751,-58.4361298,2021-03-26
"88","Sarkis, Ciudad de Buenos Aires","viernes",21,63.75,-34.5914751,-58.4361298,2021-03-26
"89","Sarkis, Ciudad de Buenos Aires","viernes",22,67.5,-34.5914751,-58.4361298,2021-03-26
"90","Sarkis, Ciudad de Buenos Aires","viernes",23,49.5,-34.5914751,-58.4361298,2021-03-26
"91","Sarkis, Ciudad de Buenos Aires","sabado",6,0,-34.5914751,-58.4361298,2021-03-26
"92","Sarkis, Ciudad de Buenos Aires","sabado",7,0,-34.5914751,-58.4361298,2021-03-26
"93","Sarkis, Ciudad de Buenos Aires","sabado",8,0,-34.5914751,-58.4361298,2021-03-26
"94","Sarkis, Ciudad de Buenos Aires","sabado",9,0,-34.5914751,-58.4361298,2021-03-26
"95","Sarkis, Ciudad de Buenos Aires","sabado",10,0,-34.5914751,-58.4361298,2021-03-26
"96","Sarkis, Ciudad de Buenos Aires","sabado",11,0,-34.5914751,-58.4361298,2021-03-26
"97","Sarkis, Ciudad de Buenos Aires","sabado",12,21.75,-34.5914751,-58.4361298,2021-03-26
"98","Sarkis, Ciudad de Buenos Aires","sabado",13,40.5,-34.5914751,-58.4361298,2021-03-26
"99","Sarkis, Ciudad de Buenos Aires","sabado",14,42,-34.5914751,-58.4361298,2021-03-26
"100","Sarkis, Ciudad de Buenos Aires","sabado",15,0,-34.5914751,-58.4361298,2021-03-26
"101","Sarkis, Ciudad de Buenos Aires","sabado",16,0,-34.5914751,-58.4361298,2021-03-26
"102","Sarkis, Ciudad de Buenos Aires","sabado",17,0,-34.5914751,-58.4361298,2021-03-26
"103","Sarkis, Ciudad de Buenos Aires","sabado",18,0,-34.5914751,-58.4361298,2021-03-26
"104","Sarkis, Ciudad de Buenos Aires","sabado",19,24.75,-34.5914751,-58.4361298,2021-03-26
"105","Sarkis, Ciudad de Buenos Aires","sabado",20,51,-34.5914751,-58.4361298,2021-03-26
"106","Sarkis, Ciudad de Buenos Aires","sabado",21,73.5,-34.5914751,-58.4361298,2021-03-26
