"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Señoras Papas, Ciudad de Buenos Aires","lunes",6,0,-34.5661048,-58.4561588,2021-03-28
"2","Señoras Papas, Ciudad de Buenos Aires","lunes",7,0,-34.5661048,-58.4561588,2021-03-28
"3","Señoras Papas, Ciudad de Buenos Aires","lunes",8,0,-34.5661048,-58.4561588,2021-03-28
"4","Señoras Papas, Ciudad de Buenos Aires","lunes",9,0,-34.5661048,-58.4561588,2021-03-28
"5","Señoras Papas, Ciudad de Buenos Aires","lunes",10,0,-34.5661048,-58.4561588,2021-03-28
"6","Señoras Papas, Ciudad de Buenos Aires","lunes",11,0,-34.5661048,-58.4561588,2021-03-28
"7","Señoras Papas, Ciudad de Buenos Aires","lunes",12,24,-34.5661048,-58.4561588,2021-03-28
"8","Señoras Papas, Ciudad de Buenos Aires","lunes",13,29.25,-34.5661048,-58.4561588,2021-03-28
"9","Señoras Papas, Ciudad de Buenos Aires","lunes",14,24,-34.5661048,-58.4561588,2021-03-28
"10","Señoras Papas, Ciudad de Buenos Aires","lunes",15,15,-34.5661048,-58.4561588,2021-03-28
"11","Señoras Papas, Ciudad de Buenos Aires","lunes",16,9.75,-34.5661048,-58.4561588,2021-03-28
"12","Señoras Papas, Ciudad de Buenos Aires","lunes",17,16.5,-34.5661048,-58.4561588,2021-03-28
"13","Señoras Papas, Ciudad de Buenos Aires","lunes",18,32.25,-34.5661048,-58.4561588,2021-03-28
"14","Señoras Papas, Ciudad de Buenos Aires","lunes",19,48,-34.5661048,-58.4561588,2021-03-28
"15","Señoras Papas, Ciudad de Buenos Aires","lunes",20,54,-34.5661048,-58.4561588,2021-03-28
"16","Señoras Papas, Ciudad de Buenos Aires","lunes",21,46.5,-34.5661048,-58.4561588,2021-03-28
"17","Señoras Papas, Ciudad de Buenos Aires","lunes",22,0,-34.5661048,-58.4561588,2021-03-28
"18","Señoras Papas, Ciudad de Buenos Aires","lunes",23,0,-34.5661048,-58.4561588,2021-03-28
"19","Señoras Papas, Ciudad de Buenos Aires","martes",6,0,-34.5661048,-58.4561588,2021-03-28
"20","Señoras Papas, Ciudad de Buenos Aires","martes",7,0,-34.5661048,-58.4561588,2021-03-28
"21","Señoras Papas, Ciudad de Buenos Aires","martes",8,0,-34.5661048,-58.4561588,2021-03-28
"22","Señoras Papas, Ciudad de Buenos Aires","martes",9,0,-34.5661048,-58.4561588,2021-03-28
"23","Señoras Papas, Ciudad de Buenos Aires","martes",10,0,-34.5661048,-58.4561588,2021-03-28
"24","Señoras Papas, Ciudad de Buenos Aires","martes",11,0,-34.5661048,-58.4561588,2021-03-28
"25","Señoras Papas, Ciudad de Buenos Aires","martes",12,26.25,-34.5661048,-58.4561588,2021-03-28
"26","Señoras Papas, Ciudad de Buenos Aires","martes",13,43.5,-34.5661048,-58.4561588,2021-03-28
"27","Señoras Papas, Ciudad de Buenos Aires","martes",14,47.25,-34.5661048,-58.4561588,2021-03-28
"28","Señoras Papas, Ciudad de Buenos Aires","martes",15,34.5,-34.5661048,-58.4561588,2021-03-28
"29","Señoras Papas, Ciudad de Buenos Aires","martes",16,20.25,-34.5661048,-58.4561588,2021-03-28
"30","Señoras Papas, Ciudad de Buenos Aires","martes",17,18.75,-34.5661048,-58.4561588,2021-03-28
"31","Señoras Papas, Ciudad de Buenos Aires","martes",18,27,-34.5661048,-58.4561588,2021-03-28
"32","Señoras Papas, Ciudad de Buenos Aires","martes",19,40.5,-34.5661048,-58.4561588,2021-03-28
"33","Señoras Papas, Ciudad de Buenos Aires","martes",20,48,-34.5661048,-58.4561588,2021-03-28
"34","Señoras Papas, Ciudad de Buenos Aires","martes",21,44.25,-34.5661048,-58.4561588,2021-03-28
"35","Señoras Papas, Ciudad de Buenos Aires","martes",22,0,-34.5661048,-58.4561588,2021-03-28
"36","Señoras Papas, Ciudad de Buenos Aires","martes",23,0,-34.5661048,-58.4561588,2021-03-28
"37","Señoras Papas, Ciudad de Buenos Aires","miercoles",6,0,-34.5661048,-58.4561588,2021-03-28
"38","Señoras Papas, Ciudad de Buenos Aires","miercoles",7,0,-34.5661048,-58.4561588,2021-03-28
"39","Señoras Papas, Ciudad de Buenos Aires","miercoles",8,0,-34.5661048,-58.4561588,2021-03-28
"40","Señoras Papas, Ciudad de Buenos Aires","miercoles",9,0,-34.5661048,-58.4561588,2021-03-28
"41","Señoras Papas, Ciudad de Buenos Aires","miercoles",10,0,-34.5661048,-58.4561588,2021-03-28
"42","Señoras Papas, Ciudad de Buenos Aires","miercoles",11,0,-34.5661048,-58.4561588,2021-03-28
"43","Señoras Papas, Ciudad de Buenos Aires","miercoles",12,27.75,-34.5661048,-58.4561588,2021-03-28
"44","Señoras Papas, Ciudad de Buenos Aires","miercoles",13,44.25,-34.5661048,-58.4561588,2021-03-28
"45","Señoras Papas, Ciudad de Buenos Aires","miercoles",14,51.75,-34.5661048,-58.4561588,2021-03-28
"46","Señoras Papas, Ciudad de Buenos Aires","miercoles",15,45,-34.5661048,-58.4561588,2021-03-28
"47","Señoras Papas, Ciudad de Buenos Aires","miercoles",16,30,-34.5661048,-58.4561588,2021-03-28
"48","Señoras Papas, Ciudad de Buenos Aires","miercoles",17,15.75,-34.5661048,-58.4561588,2021-03-28
"49","Señoras Papas, Ciudad de Buenos Aires","miercoles",18,13.5,-34.5661048,-58.4561588,2021-03-28
"50","Señoras Papas, Ciudad de Buenos Aires","miercoles",19,27.75,-34.5661048,-58.4561588,2021-03-28
"51","Señoras Papas, Ciudad de Buenos Aires","miercoles",20,44.25,-34.5661048,-58.4561588,2021-03-28
"52","Señoras Papas, Ciudad de Buenos Aires","miercoles",21,38.25,-34.5661048,-58.4561588,2021-03-28
"53","Señoras Papas, Ciudad de Buenos Aires","miercoles",22,0,-34.5661048,-58.4561588,2021-03-28
"54","Señoras Papas, Ciudad de Buenos Aires","miercoles",23,0,-34.5661048,-58.4561588,2021-03-28
"55","Señoras Papas, Ciudad de Buenos Aires","jueves",6,0,-34.5661048,-58.4561588,2021-03-28
"56","Señoras Papas, Ciudad de Buenos Aires","jueves",7,0,-34.5661048,-58.4561588,2021-03-28
"57","Señoras Papas, Ciudad de Buenos Aires","jueves",8,0,-34.5661048,-58.4561588,2021-03-28
"58","Señoras Papas, Ciudad de Buenos Aires","jueves",9,0,-34.5661048,-58.4561588,2021-03-28
"59","Señoras Papas, Ciudad de Buenos Aires","jueves",10,0,-34.5661048,-58.4561588,2021-03-28
"60","Señoras Papas, Ciudad de Buenos Aires","jueves",11,0,-34.5661048,-58.4561588,2021-03-28
"61","Señoras Papas, Ciudad de Buenos Aires","jueves",12,26.25,-34.5661048,-58.4561588,2021-03-28
"62","Señoras Papas, Ciudad de Buenos Aires","jueves",13,36.75,-34.5661048,-58.4561588,2021-03-28
"63","Señoras Papas, Ciudad de Buenos Aires","jueves",14,36.75,-34.5661048,-58.4561588,2021-03-28
"64","Señoras Papas, Ciudad de Buenos Aires","jueves",15,27.75,-34.5661048,-58.4561588,2021-03-28
"65","Señoras Papas, Ciudad de Buenos Aires","jueves",16,23.25,-34.5661048,-58.4561588,2021-03-28
"66","Señoras Papas, Ciudad de Buenos Aires","jueves",17,26.25,-34.5661048,-58.4561588,2021-03-28
"67","Señoras Papas, Ciudad de Buenos Aires","jueves",18,33.75,-34.5661048,-58.4561588,2021-03-28
"68","Señoras Papas, Ciudad de Buenos Aires","jueves",19,38.25,-34.5661048,-58.4561588,2021-03-28
"69","Señoras Papas, Ciudad de Buenos Aires","jueves",20,37.5,-34.5661048,-58.4561588,2021-03-28
"70","Señoras Papas, Ciudad de Buenos Aires","jueves",21,30.75,-34.5661048,-58.4561588,2021-03-28
"71","Señoras Papas, Ciudad de Buenos Aires","jueves",22,0,-34.5661048,-58.4561588,2021-03-28
"72","Señoras Papas, Ciudad de Buenos Aires","jueves",23,0,-34.5661048,-58.4561588,2021-03-28
"73","Señoras Papas, Ciudad de Buenos Aires","viernes",6,0,-34.5661048,-58.4561588,2021-03-28
"74","Señoras Papas, Ciudad de Buenos Aires","viernes",7,0,-34.5661048,-58.4561588,2021-03-28
"75","Señoras Papas, Ciudad de Buenos Aires","viernes",8,0,-34.5661048,-58.4561588,2021-03-28
"76","Señoras Papas, Ciudad de Buenos Aires","viernes",9,0,-34.5661048,-58.4561588,2021-03-28
"77","Señoras Papas, Ciudad de Buenos Aires","viernes",10,0,-34.5661048,-58.4561588,2021-03-28
"78","Señoras Papas, Ciudad de Buenos Aires","viernes",11,0,-34.5661048,-58.4561588,2021-03-28
"79","Señoras Papas, Ciudad de Buenos Aires","viernes",12,18.75,-34.5661048,-58.4561588,2021-03-28
"80","Señoras Papas, Ciudad de Buenos Aires","viernes",13,22.5,-34.5661048,-58.4561588,2021-03-28
"81","Señoras Papas, Ciudad de Buenos Aires","viernes",14,25.5,-34.5661048,-58.4561588,2021-03-28
"82","Señoras Papas, Ciudad de Buenos Aires","viernes",15,27,-34.5661048,-58.4561588,2021-03-28
"83","Señoras Papas, Ciudad de Buenos Aires","viernes",16,27,-34.5661048,-58.4561588,2021-03-28
"84","Señoras Papas, Ciudad de Buenos Aires","viernes",17,27,-34.5661048,-58.4561588,2021-03-28
"85","Señoras Papas, Ciudad de Buenos Aires","viernes",18,26.25,-34.5661048,-58.4561588,2021-03-28
"86","Señoras Papas, Ciudad de Buenos Aires","viernes",19,33,-34.5661048,-58.4561588,2021-03-28
"87","Señoras Papas, Ciudad de Buenos Aires","viernes",20,55.5,-34.5661048,-58.4561588,2021-03-28
"88","Señoras Papas, Ciudad de Buenos Aires","viernes",21,75,-34.5661048,-58.4561588,2021-03-28
"89","Señoras Papas, Ciudad de Buenos Aires","viernes",22,55.5,-34.5661048,-58.4561588,2021-03-28
"90","Señoras Papas, Ciudad de Buenos Aires","viernes",23,0,-34.5661048,-58.4561588,2021-03-28
"91","Señoras Papas, Ciudad de Buenos Aires","sabado",6,0,-34.5661048,-58.4561588,2021-03-28
"92","Señoras Papas, Ciudad de Buenos Aires","sabado",7,0,-34.5661048,-58.4561588,2021-03-28
"93","Señoras Papas, Ciudad de Buenos Aires","sabado",8,0,-34.5661048,-58.4561588,2021-03-28
"94","Señoras Papas, Ciudad de Buenos Aires","sabado",9,0,-34.5661048,-58.4561588,2021-03-28
"95","Señoras Papas, Ciudad de Buenos Aires","sabado",10,0,-34.5661048,-58.4561588,2021-03-28
"96","Señoras Papas, Ciudad de Buenos Aires","sabado",11,0,-34.5661048,-58.4561588,2021-03-28
"97","Señoras Papas, Ciudad de Buenos Aires","sabado",12,32.25,-34.5661048,-58.4561588,2021-03-28
"98","Señoras Papas, Ciudad de Buenos Aires","sabado",13,43.5,-34.5661048,-58.4561588,2021-03-28
"99","Señoras Papas, Ciudad de Buenos Aires","sabado",14,26.25,-34.5661048,-58.4561588,2021-03-28
"100","Señoras Papas, Ciudad de Buenos Aires","sabado",15,21.75,-34.5661048,-58.4561588,2021-03-28
"101","Señoras Papas, Ciudad de Buenos Aires","sabado",16,32.25,-34.5661048,-58.4561588,2021-03-28
"102","Señoras Papas, Ciudad de Buenos Aires","sabado",17,44.25,-34.5661048,-58.4561588,2021-03-28
"103","Señoras Papas, Ciudad de Buenos Aires","sabado",18,54.75,-34.5661048,-58.4561588,2021-03-28
"104","Señoras Papas, Ciudad de Buenos Aires","sabado",19,56.25,-34.5661048,-58.4561588,2021-03-28
"105","Señoras Papas, Ciudad de Buenos Aires","sabado",20,51,-34.5661048,-58.4561588,2021-03-28
"106","Señoras Papas, Ciudad de Buenos Aires","sabado",21,38.25,-34.5661048,-58.4561588,2021-03-28
"107","Señoras Papas, Ciudad de Buenos Aires","sabado",22,24,-34.5661048,-58.4561588,2021-03-28
"108","Señoras Papas, Ciudad de Buenos Aires","sabado",23,0,-34.5661048,-58.4561588,2021-03-28
