"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Sheikob's Bagels, Ciudad de Buenos Aires","martes",6,0,-34.58875,-58.4343074,2021-03-26
"2","Sheikob's Bagels, Ciudad de Buenos Aires","martes",7,0,-34.58875,-58.4343074,2021-03-26
"3","Sheikob's Bagels, Ciudad de Buenos Aires","martes",8,0,-34.58875,-58.4343074,2021-03-26
"4","Sheikob's Bagels, Ciudad de Buenos Aires","martes",9,0,-34.58875,-58.4343074,2021-03-26
"5","Sheikob's Bagels, Ciudad de Buenos Aires","martes",10,9,-34.58875,-58.4343074,2021-03-26
"6","Sheikob's Bagels, Ciudad de Buenos Aires","martes",11,15,-34.58875,-58.4343074,2021-03-26
"7","Sheikob's Bagels, Ciudad de Buenos Aires","martes",12,21,-34.58875,-58.4343074,2021-03-26
"8","Sheikob's Bagels, Ciudad de Buenos Aires","martes",13,24.75,-34.58875,-58.4343074,2021-03-26
"9","Sheikob's Bagels, Ciudad de Buenos Aires","martes",14,24.75,-34.58875,-58.4343074,2021-03-26
"10","Sheikob's Bagels, Ciudad de Buenos Aires","martes",15,21.75,-34.58875,-58.4343074,2021-03-26
"11","Sheikob's Bagels, Ciudad de Buenos Aires","martes",16,15.75,-34.58875,-58.4343074,2021-03-26
"12","Sheikob's Bagels, Ciudad de Buenos Aires","martes",17,0,-34.58875,-58.4343074,2021-03-26
"13","Sheikob's Bagels, Ciudad de Buenos Aires","martes",18,0,-34.58875,-58.4343074,2021-03-26
"14","Sheikob's Bagels, Ciudad de Buenos Aires","martes",19,0,-34.58875,-58.4343074,2021-03-26
"15","Sheikob's Bagels, Ciudad de Buenos Aires","martes",20,0,-34.58875,-58.4343074,2021-03-26
"16","Sheikob's Bagels, Ciudad de Buenos Aires","martes",21,0,-34.58875,-58.4343074,2021-03-26
"17","Sheikob's Bagels, Ciudad de Buenos Aires","martes",22,0,-34.58875,-58.4343074,2021-03-26
"18","Sheikob's Bagels, Ciudad de Buenos Aires","martes",23,0,-34.58875,-58.4343074,2021-03-26
"19","Sheikob's Bagels, Ciudad de Buenos Aires","miercoles",6,0,-34.58875,-58.4343074,2021-03-26
"20","Sheikob's Bagels, Ciudad de Buenos Aires","miercoles",7,0,-34.58875,-58.4343074,2021-03-26
"21","Sheikob's Bagels, Ciudad de Buenos Aires","miercoles",8,0,-34.58875,-58.4343074,2021-03-26
"22","Sheikob's Bagels, Ciudad de Buenos Aires","miercoles",9,0,-34.58875,-58.4343074,2021-03-26
"23","Sheikob's Bagels, Ciudad de Buenos Aires","miercoles",10,12.75,-34.58875,-58.4343074,2021-03-26
"24","Sheikob's Bagels, Ciudad de Buenos Aires","miercoles",11,21.75,-34.58875,-58.4343074,2021-03-26
"25","Sheikob's Bagels, Ciudad de Buenos Aires","miercoles",12,30,-34.58875,-58.4343074,2021-03-26
"26","Sheikob's Bagels, Ciudad de Buenos Aires","miercoles",13,34.5,-34.58875,-58.4343074,2021-03-26
"27","Sheikob's Bagels, Ciudad de Buenos Aires","miercoles",14,34.5,-34.58875,-58.4343074,2021-03-26
"28","Sheikob's Bagels, Ciudad de Buenos Aires","miercoles",15,28.5,-34.58875,-58.4343074,2021-03-26
"29","Sheikob's Bagels, Ciudad de Buenos Aires","miercoles",16,19.5,-34.58875,-58.4343074,2021-03-26
"30","Sheikob's Bagels, Ciudad de Buenos Aires","miercoles",17,0,-34.58875,-58.4343074,2021-03-26
"31","Sheikob's Bagels, Ciudad de Buenos Aires","miercoles",18,0,-34.58875,-58.4343074,2021-03-26
