"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Siga La Vaca Express, Ciudad de Buenos Aires","lunes",6,0,-34.5551201,-58.4543464,2021-03-27
"2","Siga La Vaca Express, Ciudad de Buenos Aires","lunes",7,0,-34.5551201,-58.4543464,2021-03-27
"3","Siga La Vaca Express, Ciudad de Buenos Aires","lunes",8,0,-34.5551201,-58.4543464,2021-03-27
"4","Siga La Vaca Express, Ciudad de Buenos Aires","lunes",9,0,-34.5551201,-58.4543464,2021-03-27
"5","Siga La Vaca Express, Ciudad de Buenos Aires","lunes",10,0,-34.5551201,-58.4543464,2021-03-27
"6","Siga La Vaca Express, Ciudad de Buenos Aires","lunes",11,0,-34.5551201,-58.4543464,2021-03-27
"7","Siga La Vaca Express, Ciudad de Buenos Aires","lunes",12,0.75,-34.5551201,-58.4543464,2021-03-27
"8","Siga La Vaca Express, Ciudad de Buenos Aires","lunes",13,0.75,-34.5551201,-58.4543464,2021-03-27
"9","Siga La Vaca Express, Ciudad de Buenos Aires","lunes",14,0,-34.5551201,-58.4543464,2021-03-27
"10","Siga La Vaca Express, Ciudad de Buenos Aires","lunes",15,0,-34.5551201,-58.4543464,2021-03-27
"11","Siga La Vaca Express, Ciudad de Buenos Aires","lunes",16,0,-34.5551201,-58.4543464,2021-03-27
"12","Siga La Vaca Express, Ciudad de Buenos Aires","lunes",17,2.25,-34.5551201,-58.4543464,2021-03-27
"13","Siga La Vaca Express, Ciudad de Buenos Aires","lunes",18,6.75,-34.5551201,-58.4543464,2021-03-27
"14","Siga La Vaca Express, Ciudad de Buenos Aires","lunes",19,13.5,-34.5551201,-58.4543464,2021-03-27
"15","Siga La Vaca Express, Ciudad de Buenos Aires","lunes",20,20.25,-34.5551201,-58.4543464,2021-03-27
"16","Siga La Vaca Express, Ciudad de Buenos Aires","lunes",21,23.25,-34.5551201,-58.4543464,2021-03-27
"17","Siga La Vaca Express, Ciudad de Buenos Aires","lunes",22,18.75,-34.5551201,-58.4543464,2021-03-27
"18","Siga La Vaca Express, Ciudad de Buenos Aires","lunes",23,9.75,-34.5551201,-58.4543464,2021-03-27
"19","Siga La Vaca Express, Ciudad de Buenos Aires","martes",6,0,-34.5551201,-58.4543464,2021-03-27
"20","Siga La Vaca Express, Ciudad de Buenos Aires","martes",7,0,-34.5551201,-58.4543464,2021-03-27
"21","Siga La Vaca Express, Ciudad de Buenos Aires","martes",8,0,-34.5551201,-58.4543464,2021-03-27
"22","Siga La Vaca Express, Ciudad de Buenos Aires","martes",9,0,-34.5551201,-58.4543464,2021-03-27
"23","Siga La Vaca Express, Ciudad de Buenos Aires","martes",10,0,-34.5551201,-58.4543464,2021-03-27
"24","Siga La Vaca Express, Ciudad de Buenos Aires","martes",11,0,-34.5551201,-58.4543464,2021-03-27
"25","Siga La Vaca Express, Ciudad de Buenos Aires","martes",12,0.75,-34.5551201,-58.4543464,2021-03-27
"26","Siga La Vaca Express, Ciudad de Buenos Aires","martes",13,0.75,-34.5551201,-58.4543464,2021-03-27
"27","Siga La Vaca Express, Ciudad de Buenos Aires","martes",14,0,-34.5551201,-58.4543464,2021-03-27
"28","Siga La Vaca Express, Ciudad de Buenos Aires","martes",15,0.75,-34.5551201,-58.4543464,2021-03-27
"29","Siga La Vaca Express, Ciudad de Buenos Aires","martes",16,0.75,-34.5551201,-58.4543464,2021-03-27
"30","Siga La Vaca Express, Ciudad de Buenos Aires","martes",17,1.5,-34.5551201,-58.4543464,2021-03-27
"31","Siga La Vaca Express, Ciudad de Buenos Aires","martes",18,7.5,-34.5551201,-58.4543464,2021-03-27
"32","Siga La Vaca Express, Ciudad de Buenos Aires","martes",19,11.25,-34.5551201,-58.4543464,2021-03-27
"33","Siga La Vaca Express, Ciudad de Buenos Aires","martes",20,20.25,-34.5551201,-58.4543464,2021-03-27
"34","Siga La Vaca Express, Ciudad de Buenos Aires","martes",21,32.25,-34.5551201,-58.4543464,2021-03-27
"35","Siga La Vaca Express, Ciudad de Buenos Aires","martes",22,30,-34.5551201,-58.4543464,2021-03-27
"36","Siga La Vaca Express, Ciudad de Buenos Aires","martes",23,14.25,-34.5551201,-58.4543464,2021-03-27
"37","Siga La Vaca Express, Ciudad de Buenos Aires","miercoles",6,0,-34.5551201,-58.4543464,2021-03-27
"38","Siga La Vaca Express, Ciudad de Buenos Aires","miercoles",7,0,-34.5551201,-58.4543464,2021-03-27
"39","Siga La Vaca Express, Ciudad de Buenos Aires","miercoles",8,0,-34.5551201,-58.4543464,2021-03-27
"40","Siga La Vaca Express, Ciudad de Buenos Aires","miercoles",9,0,-34.5551201,-58.4543464,2021-03-27
"41","Siga La Vaca Express, Ciudad de Buenos Aires","miercoles",10,0,-34.5551201,-58.4543464,2021-03-27
"42","Siga La Vaca Express, Ciudad de Buenos Aires","miercoles",11,0,-34.5551201,-58.4543464,2021-03-27
"43","Siga La Vaca Express, Ciudad de Buenos Aires","miercoles",12,3,-34.5551201,-58.4543464,2021-03-27
"44","Siga La Vaca Express, Ciudad de Buenos Aires","miercoles",13,2.25,-34.5551201,-58.4543464,2021-03-27
"45","Siga La Vaca Express, Ciudad de Buenos Aires","miercoles",14,0.75,-34.5551201,-58.4543464,2021-03-27
"46","Siga La Vaca Express, Ciudad de Buenos Aires","miercoles",15,0.75,-34.5551201,-58.4543464,2021-03-27
"47","Siga La Vaca Express, Ciudad de Buenos Aires","miercoles",16,0.75,-34.5551201,-58.4543464,2021-03-27
"48","Siga La Vaca Express, Ciudad de Buenos Aires","miercoles",17,0.75,-34.5551201,-58.4543464,2021-03-27
"49","Siga La Vaca Express, Ciudad de Buenos Aires","miercoles",18,0,-34.5551201,-58.4543464,2021-03-27
