"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Sláinte Irish Pub, Ciudad de Buenos Aires","lunes",6,0,-34.5953714,-58.5016097,2021-03-26
"2","Sláinte Irish Pub, Ciudad de Buenos Aires","lunes",7,0,-34.5953714,-58.5016097,2021-03-26
"3","Sláinte Irish Pub, Ciudad de Buenos Aires","lunes",8,0,-34.5953714,-58.5016097,2021-03-26
"4","Sláinte Irish Pub, Ciudad de Buenos Aires","lunes",9,0,-34.5953714,-58.5016097,2021-03-26
"5","Sláinte Irish Pub, Ciudad de Buenos Aires","lunes",10,0,-34.5953714,-58.5016097,2021-03-26
"6","Sláinte Irish Pub, Ciudad de Buenos Aires","lunes",11,0,-34.5953714,-58.5016097,2021-03-26
"7","Sláinte Irish Pub, Ciudad de Buenos Aires","lunes",12,0,-34.5953714,-58.5016097,2021-03-26
"8","Sláinte Irish Pub, Ciudad de Buenos Aires","lunes",13,0,-34.5953714,-58.5016097,2021-03-26
"9","Sláinte Irish Pub, Ciudad de Buenos Aires","lunes",14,0,-34.5953714,-58.5016097,2021-03-26
"10","Sláinte Irish Pub, Ciudad de Buenos Aires","lunes",15,0,-34.5953714,-58.5016097,2021-03-26
"11","Sláinte Irish Pub, Ciudad de Buenos Aires","lunes",16,0,-34.5953714,-58.5016097,2021-03-26
"12","Sláinte Irish Pub, Ciudad de Buenos Aires","lunes",17,0,-34.5953714,-58.5016097,2021-03-26
"13","Sláinte Irish Pub, Ciudad de Buenos Aires","lunes",18,0,-34.5953714,-58.5016097,2021-03-26
"14","Sláinte Irish Pub, Ciudad de Buenos Aires","lunes",19,9,-34.5953714,-58.5016097,2021-03-26
"15","Sláinte Irish Pub, Ciudad de Buenos Aires","lunes",20,15,-34.5953714,-58.5016097,2021-03-26
"16","Sláinte Irish Pub, Ciudad de Buenos Aires","lunes",21,21,-34.5953714,-58.5016097,2021-03-26
"17","Sláinte Irish Pub, Ciudad de Buenos Aires","lunes",22,23.25,-34.5953714,-58.5016097,2021-03-26
"18","Sláinte Irish Pub, Ciudad de Buenos Aires","lunes",23,21.75,-34.5953714,-58.5016097,2021-03-26
"19","Sláinte Irish Pub, Ciudad de Buenos Aires","martes",0,15.75,-34.5953714,-58.5016097,2021-03-26
"20","Sláinte Irish Pub, Ciudad de Buenos Aires","martes",1,9.75,-34.5953714,-58.5016097,2021-03-26
"21","Sláinte Irish Pub, Ciudad de Buenos Aires","martes",2,4.5,-34.5953714,-58.5016097,2021-03-26
"22","Sláinte Irish Pub, Ciudad de Buenos Aires","martes",3,2.25,-34.5953714,-58.5016097,2021-03-26
"23","Sláinte Irish Pub, Ciudad de Buenos Aires","martes",4,0.75,-34.5953714,-58.5016097,2021-03-26
"24","Sláinte Irish Pub, Ciudad de Buenos Aires","martes",6,0,-34.5953714,-58.5016097,2021-03-26
