"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Sorrento, Ciudad de Buenos Aires","lunes",6,0,-34.5900872,-58.3818724,2021-03-26
"2","Sorrento, Ciudad de Buenos Aires","lunes",7,0,-34.5900872,-58.3818724,2021-03-26
"3","Sorrento, Ciudad de Buenos Aires","lunes",8,0,-34.5900872,-58.3818724,2021-03-26
"4","Sorrento, Ciudad de Buenos Aires","lunes",9,0,-34.5900872,-58.3818724,2021-03-26
"5","Sorrento, Ciudad de Buenos Aires","lunes",10,0,-34.5900872,-58.3818724,2021-03-26
"6","Sorrento, Ciudad de Buenos Aires","lunes",11,0,-34.5900872,-58.3818724,2021-03-26
"7","Sorrento, Ciudad de Buenos Aires","lunes",12,12.75,-34.5900872,-58.3818724,2021-03-26
"8","Sorrento, Ciudad de Buenos Aires","lunes",13,15.75,-34.5900872,-58.3818724,2021-03-26
"9","Sorrento, Ciudad de Buenos Aires","lunes",14,15.75,-34.5900872,-58.3818724,2021-03-26
"10","Sorrento, Ciudad de Buenos Aires","lunes",15,13.5,-34.5900872,-58.3818724,2021-03-26
"11","Sorrento, Ciudad de Buenos Aires","lunes",16,9.75,-34.5900872,-58.3818724,2021-03-26
"12","Sorrento, Ciudad de Buenos Aires","lunes",17,6,-34.5900872,-58.3818724,2021-03-26
"13","Sorrento, Ciudad de Buenos Aires","lunes",18,5.25,-34.5900872,-58.3818724,2021-03-26
"14","Sorrento, Ciudad de Buenos Aires","lunes",19,7.5,-34.5900872,-58.3818724,2021-03-26
"15","Sorrento, Ciudad de Buenos Aires","lunes",20,15,-34.5900872,-58.3818724,2021-03-26
"16","Sorrento, Ciudad de Buenos Aires","lunes",21,22.5,-34.5900872,-58.3818724,2021-03-26
"17","Sorrento, Ciudad de Buenos Aires","lunes",22,23.25,-34.5900872,-58.3818724,2021-03-26
"18","Sorrento, Ciudad de Buenos Aires","lunes",23,17.25,-34.5900872,-58.3818724,2021-03-26
"19","Sorrento, Ciudad de Buenos Aires","martes",0,8.25,-34.5900872,-58.3818724,2021-03-26
"20","Sorrento, Ciudad de Buenos Aires","martes",6,0,-34.5900872,-58.3818724,2021-03-26
"21","Sorrento, Ciudad de Buenos Aires","martes",7,0,-34.5900872,-58.3818724,2021-03-26
"22","Sorrento, Ciudad de Buenos Aires","martes",8,0,-34.5900872,-58.3818724,2021-03-26
"23","Sorrento, Ciudad de Buenos Aires","martes",9,0,-34.5900872,-58.3818724,2021-03-26
"24","Sorrento, Ciudad de Buenos Aires","martes",10,0,-34.5900872,-58.3818724,2021-03-26
"25","Sorrento, Ciudad de Buenos Aires","martes",11,0,-34.5900872,-58.3818724,2021-03-26
"26","Sorrento, Ciudad de Buenos Aires","martes",12,11.25,-34.5900872,-58.3818724,2021-03-26
"27","Sorrento, Ciudad de Buenos Aires","martes",13,19.5,-34.5900872,-58.3818724,2021-03-26
"28","Sorrento, Ciudad de Buenos Aires","martes",14,22.5,-34.5900872,-58.3818724,2021-03-26
"29","Sorrento, Ciudad de Buenos Aires","martes",15,19.5,-34.5900872,-58.3818724,2021-03-26
"30","Sorrento, Ciudad de Buenos Aires","martes",16,13.5,-34.5900872,-58.3818724,2021-03-26
"31","Sorrento, Ciudad de Buenos Aires","martes",17,10.5,-34.5900872,-58.3818724,2021-03-26
"32","Sorrento, Ciudad de Buenos Aires","martes",18,11.25,-34.5900872,-58.3818724,2021-03-26
"33","Sorrento, Ciudad de Buenos Aires","martes",19,14.25,-34.5900872,-58.3818724,2021-03-26
"34","Sorrento, Ciudad de Buenos Aires","martes",20,21,-34.5900872,-58.3818724,2021-03-26
"35","Sorrento, Ciudad de Buenos Aires","martes",21,29.25,-34.5900872,-58.3818724,2021-03-26
"36","Sorrento, Ciudad de Buenos Aires","martes",22,30,-34.5900872,-58.3818724,2021-03-26
"37","Sorrento, Ciudad de Buenos Aires","martes",23,21.75,-34.5900872,-58.3818724,2021-03-26
"38","Sorrento, Ciudad de Buenos Aires","miercoles",0,10.5,-34.5900872,-58.3818724,2021-03-26
"39","Sorrento, Ciudad de Buenos Aires","miercoles",6,0,-34.5900872,-58.3818724,2021-03-26
"40","Sorrento, Ciudad de Buenos Aires","miercoles",7,0,-34.5900872,-58.3818724,2021-03-26
"41","Sorrento, Ciudad de Buenos Aires","miercoles",8,0,-34.5900872,-58.3818724,2021-03-26
"42","Sorrento, Ciudad de Buenos Aires","miercoles",9,0,-34.5900872,-58.3818724,2021-03-26
"43","Sorrento, Ciudad de Buenos Aires","miercoles",10,0,-34.5900872,-58.3818724,2021-03-26
"44","Sorrento, Ciudad de Buenos Aires","miercoles",11,0,-34.5900872,-58.3818724,2021-03-26
"45","Sorrento, Ciudad de Buenos Aires","miercoles",12,15,-34.5900872,-58.3818724,2021-03-26
"46","Sorrento, Ciudad de Buenos Aires","miercoles",13,21.75,-34.5900872,-58.3818724,2021-03-26
"47","Sorrento, Ciudad de Buenos Aires","miercoles",14,25.5,-34.5900872,-58.3818724,2021-03-26
"48","Sorrento, Ciudad de Buenos Aires","miercoles",15,23.25,-34.5900872,-58.3818724,2021-03-26
"49","Sorrento, Ciudad de Buenos Aires","miercoles",16,16.5,-34.5900872,-58.3818724,2021-03-26
"50","Sorrento, Ciudad de Buenos Aires","miercoles",17,9.75,-34.5900872,-58.3818724,2021-03-26
"51","Sorrento, Ciudad de Buenos Aires","miercoles",18,6.75,-34.5900872,-58.3818724,2021-03-26
"52","Sorrento, Ciudad de Buenos Aires","miercoles",19,11.25,-34.5900872,-58.3818724,2021-03-26
"53","Sorrento, Ciudad de Buenos Aires","miercoles",20,18.75,-34.5900872,-58.3818724,2021-03-26
"54","Sorrento, Ciudad de Buenos Aires","miercoles",21,24,-34.5900872,-58.3818724,2021-03-26
"55","Sorrento, Ciudad de Buenos Aires","miercoles",22,24.75,-34.5900872,-58.3818724,2021-03-26
"56","Sorrento, Ciudad de Buenos Aires","miercoles",23,24.75,-34.5900872,-58.3818724,2021-03-26
"57","Sorrento, Ciudad de Buenos Aires","jueves",0,12,-34.5900872,-58.3818724,2021-03-26
