"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Subway Obelisco, Ciudad de Buenos Aires","lunes",6,0,-34.6034415,-58.3824585,2021-03-28
"2","Subway Obelisco, Ciudad de Buenos Aires","lunes",7,0,-34.6034415,-58.3824585,2021-03-28
"3","Subway Obelisco, Ciudad de Buenos Aires","lunes",8,0,-34.6034415,-58.3824585,2021-03-28
"4","Subway Obelisco, Ciudad de Buenos Aires","lunes",9,0,-34.6034415,-58.3824585,2021-03-28
"5","Subway Obelisco, Ciudad de Buenos Aires","lunes",10,13.5,-34.6034415,-58.3824585,2021-03-28
"6","Subway Obelisco, Ciudad de Buenos Aires","lunes",11,27,-34.6034415,-58.3824585,2021-03-28
"7","Subway Obelisco, Ciudad de Buenos Aires","lunes",12,40.5,-34.6034415,-58.3824585,2021-03-28
"8","Subway Obelisco, Ciudad de Buenos Aires","lunes",13,49.5,-34.6034415,-58.3824585,2021-03-28
"9","Subway Obelisco, Ciudad de Buenos Aires","lunes",14,53.25,-34.6034415,-58.3824585,2021-03-28
"10","Subway Obelisco, Ciudad de Buenos Aires","lunes",15,49.5,-34.6034415,-58.3824585,2021-03-28
"11","Subway Obelisco, Ciudad de Buenos Aires","lunes",16,40.5,-34.6034415,-58.3824585,2021-03-28
"12","Subway Obelisco, Ciudad de Buenos Aires","lunes",17,31.5,-34.6034415,-58.3824585,2021-03-28
"13","Subway Obelisco, Ciudad de Buenos Aires","lunes",18,24.75,-34.6034415,-58.3824585,2021-03-28
"14","Subway Obelisco, Ciudad de Buenos Aires","lunes",19,23.25,-34.6034415,-58.3824585,2021-03-28
"15","Subway Obelisco, Ciudad de Buenos Aires","lunes",20,26.25,-34.6034415,-58.3824585,2021-03-28
"16","Subway Obelisco, Ciudad de Buenos Aires","lunes",21,30,-34.6034415,-58.3824585,2021-03-28
"17","Subway Obelisco, Ciudad de Buenos Aires","lunes",22,33,-34.6034415,-58.3824585,2021-03-28
"18","Subway Obelisco, Ciudad de Buenos Aires","lunes",23,31.5,-34.6034415,-58.3824585,2021-03-28
"19","Subway Obelisco, Ciudad de Buenos Aires","martes",6,0,-34.6034415,-58.3824585,2021-03-28
"20","Subway Obelisco, Ciudad de Buenos Aires","martes",7,0,-34.6034415,-58.3824585,2021-03-28
"21","Subway Obelisco, Ciudad de Buenos Aires","martes",8,0,-34.6034415,-58.3824585,2021-03-28
"22","Subway Obelisco, Ciudad de Buenos Aires","martes",9,0,-34.6034415,-58.3824585,2021-03-28
"23","Subway Obelisco, Ciudad de Buenos Aires","martes",10,10.5,-34.6034415,-58.3824585,2021-03-28
"24","Subway Obelisco, Ciudad de Buenos Aires","martes",11,27.75,-34.6034415,-58.3824585,2021-03-28
"25","Subway Obelisco, Ciudad de Buenos Aires","martes",12,51,-34.6034415,-58.3824585,2021-03-28
"26","Subway Obelisco, Ciudad de Buenos Aires","martes",13,69,-34.6034415,-58.3824585,2021-03-28
"27","Subway Obelisco, Ciudad de Buenos Aires","martes",14,75,-34.6034415,-58.3824585,2021-03-28
"28","Subway Obelisco, Ciudad de Buenos Aires","martes",15,65.25,-34.6034415,-58.3824585,2021-03-28
"29","Subway Obelisco, Ciudad de Buenos Aires","martes",16,51,-34.6034415,-58.3824585,2021-03-28
"30","Subway Obelisco, Ciudad de Buenos Aires","martes",17,40.5,-34.6034415,-58.3824585,2021-03-28
"31","Subway Obelisco, Ciudad de Buenos Aires","martes",18,35.25,-34.6034415,-58.3824585,2021-03-28
"32","Subway Obelisco, Ciudad de Buenos Aires","martes",19,33,-34.6034415,-58.3824585,2021-03-28
"33","Subway Obelisco, Ciudad de Buenos Aires","martes",20,32.25,-34.6034415,-58.3824585,2021-03-28
"34","Subway Obelisco, Ciudad de Buenos Aires","martes",21,30,-34.6034415,-58.3824585,2021-03-28
"35","Subway Obelisco, Ciudad de Buenos Aires","martes",22,26.25,-34.6034415,-58.3824585,2021-03-28
"36","Subway Obelisco, Ciudad de Buenos Aires","martes",23,21.75,-34.6034415,-58.3824585,2021-03-28
"37","Subway Obelisco, Ciudad de Buenos Aires","miercoles",6,0,-34.6034415,-58.3824585,2021-03-28
"38","Subway Obelisco, Ciudad de Buenos Aires","miercoles",7,0,-34.6034415,-58.3824585,2021-03-28
"39","Subway Obelisco, Ciudad de Buenos Aires","miercoles",8,0,-34.6034415,-58.3824585,2021-03-28
"40","Subway Obelisco, Ciudad de Buenos Aires","miercoles",9,0,-34.6034415,-58.3824585,2021-03-28
"41","Subway Obelisco, Ciudad de Buenos Aires","miercoles",10,11.25,-34.6034415,-58.3824585,2021-03-28
"42","Subway Obelisco, Ciudad de Buenos Aires","miercoles",11,33.75,-34.6034415,-58.3824585,2021-03-28
"43","Subway Obelisco, Ciudad de Buenos Aires","miercoles",12,57.75,-34.6034415,-58.3824585,2021-03-28
"44","Subway Obelisco, Ciudad de Buenos Aires","miercoles",13,72.75,-34.6034415,-58.3824585,2021-03-28
"45","Subway Obelisco, Ciudad de Buenos Aires","miercoles",14,69,-34.6034415,-58.3824585,2021-03-28
"46","Subway Obelisco, Ciudad de Buenos Aires","miercoles",15,51.75,-34.6034415,-58.3824585,2021-03-28
"47","Subway Obelisco, Ciudad de Buenos Aires","miercoles",16,33.75,-34.6034415,-58.3824585,2021-03-28
"48","Subway Obelisco, Ciudad de Buenos Aires","miercoles",17,24,-34.6034415,-58.3824585,2021-03-28
"49","Subway Obelisco, Ciudad de Buenos Aires","miercoles",18,24.75,-34.6034415,-58.3824585,2021-03-28
"50","Subway Obelisco, Ciudad de Buenos Aires","miercoles",19,32.25,-34.6034415,-58.3824585,2021-03-28
"51","Subway Obelisco, Ciudad de Buenos Aires","miercoles",20,40.5,-34.6034415,-58.3824585,2021-03-28
"52","Subway Obelisco, Ciudad de Buenos Aires","miercoles",21,45,-34.6034415,-58.3824585,2021-03-28
"53","Subway Obelisco, Ciudad de Buenos Aires","miercoles",22,45,-34.6034415,-58.3824585,2021-03-28
"54","Subway Obelisco, Ciudad de Buenos Aires","miercoles",23,39.75,-34.6034415,-58.3824585,2021-03-28
"55","Subway Obelisco, Ciudad de Buenos Aires","jueves",6,0,-34.6034415,-58.3824585,2021-03-28
"56","Subway Obelisco, Ciudad de Buenos Aires","jueves",7,0,-34.6034415,-58.3824585,2021-03-28
"57","Subway Obelisco, Ciudad de Buenos Aires","jueves",8,0,-34.6034415,-58.3824585,2021-03-28
"58","Subway Obelisco, Ciudad de Buenos Aires","jueves",9,0,-34.6034415,-58.3824585,2021-03-28
"59","Subway Obelisco, Ciudad de Buenos Aires","jueves",10,15.75,-34.6034415,-58.3824585,2021-03-28
"60","Subway Obelisco, Ciudad de Buenos Aires","jueves",11,36.75,-34.6034415,-58.3824585,2021-03-28
"61","Subway Obelisco, Ciudad de Buenos Aires","jueves",12,57,-34.6034415,-58.3824585,2021-03-28
"62","Subway Obelisco, Ciudad de Buenos Aires","jueves",13,68.25,-34.6034415,-58.3824585,2021-03-28
"63","Subway Obelisco, Ciudad de Buenos Aires","jueves",14,66.75,-34.6034415,-58.3824585,2021-03-28
"64","Subway Obelisco, Ciudad de Buenos Aires","jueves",15,54.75,-34.6034415,-58.3824585,2021-03-28
"65","Subway Obelisco, Ciudad de Buenos Aires","jueves",16,41.25,-34.6034415,-58.3824585,2021-03-28
"66","Subway Obelisco, Ciudad de Buenos Aires","jueves",17,30.75,-34.6034415,-58.3824585,2021-03-28
"67","Subway Obelisco, Ciudad de Buenos Aires","jueves",18,24.75,-34.6034415,-58.3824585,2021-03-28
"68","Subway Obelisco, Ciudad de Buenos Aires","jueves",19,23.25,-34.6034415,-58.3824585,2021-03-28
"69","Subway Obelisco, Ciudad de Buenos Aires","jueves",20,22.5,-34.6034415,-58.3824585,2021-03-28
"70","Subway Obelisco, Ciudad de Buenos Aires","jueves",21,21.75,-34.6034415,-58.3824585,2021-03-28
"71","Subway Obelisco, Ciudad de Buenos Aires","jueves",22,21,-34.6034415,-58.3824585,2021-03-28
"72","Subway Obelisco, Ciudad de Buenos Aires","jueves",23,18.75,-34.6034415,-58.3824585,2021-03-28
"73","Subway Obelisco, Ciudad de Buenos Aires","viernes",6,0,-34.6034415,-58.3824585,2021-03-28
"74","Subway Obelisco, Ciudad de Buenos Aires","viernes",7,0,-34.6034415,-58.3824585,2021-03-28
"75","Subway Obelisco, Ciudad de Buenos Aires","viernes",8,0,-34.6034415,-58.3824585,2021-03-28
"76","Subway Obelisco, Ciudad de Buenos Aires","viernes",9,0,-34.6034415,-58.3824585,2021-03-28
"77","Subway Obelisco, Ciudad de Buenos Aires","viernes",10,20.25,-34.6034415,-58.3824585,2021-03-28
"78","Subway Obelisco, Ciudad de Buenos Aires","viernes",11,37.5,-34.6034415,-58.3824585,2021-03-28
"79","Subway Obelisco, Ciudad de Buenos Aires","viernes",12,57.75,-34.6034415,-58.3824585,2021-03-28
"80","Subway Obelisco, Ciudad de Buenos Aires","viernes",13,70.5,-34.6034415,-58.3824585,2021-03-28
"81","Subway Obelisco, Ciudad de Buenos Aires","viernes",14,69,-34.6034415,-58.3824585,2021-03-28
"82","Subway Obelisco, Ciudad de Buenos Aires","viernes",15,54,-34.6034415,-58.3824585,2021-03-28
"83","Subway Obelisco, Ciudad de Buenos Aires","viernes",16,36,-34.6034415,-58.3824585,2021-03-28
"84","Subway Obelisco, Ciudad de Buenos Aires","viernes",17,23.25,-34.6034415,-58.3824585,2021-03-28
"85","Subway Obelisco, Ciudad de Buenos Aires","viernes",18,21,-34.6034415,-58.3824585,2021-03-28
"86","Subway Obelisco, Ciudad de Buenos Aires","viernes",19,26.25,-34.6034415,-58.3824585,2021-03-28
"87","Subway Obelisco, Ciudad de Buenos Aires","viernes",20,33,-34.6034415,-58.3824585,2021-03-28
"88","Subway Obelisco, Ciudad de Buenos Aires","viernes",21,37.5,-34.6034415,-58.3824585,2021-03-28
"89","Subway Obelisco, Ciudad de Buenos Aires","viernes",22,36.75,-34.6034415,-58.3824585,2021-03-28
"90","Subway Obelisco, Ciudad de Buenos Aires","viernes",23,30,-34.6034415,-58.3824585,2021-03-28
"91","Subway Obelisco, Ciudad de Buenos Aires","sabado",0,21,-34.6034415,-58.3824585,2021-03-28
"92","Subway Obelisco, Ciudad de Buenos Aires","sabado",1,12.75,-34.6034415,-58.3824585,2021-03-28
"93","Subway Obelisco, Ciudad de Buenos Aires","sabado",6,0,-34.6034415,-58.3824585,2021-03-28
"94","Subway Obelisco, Ciudad de Buenos Aires","sabado",7,0,-34.6034415,-58.3824585,2021-03-28
"95","Subway Obelisco, Ciudad de Buenos Aires","sabado",8,0,-34.6034415,-58.3824585,2021-03-28
"96","Subway Obelisco, Ciudad de Buenos Aires","sabado",9,0,-34.6034415,-58.3824585,2021-03-28
"97","Subway Obelisco, Ciudad de Buenos Aires","sabado",10,4.5,-34.6034415,-58.3824585,2021-03-28
"98","Subway Obelisco, Ciudad de Buenos Aires","sabado",11,11.25,-34.6034415,-58.3824585,2021-03-28
"99","Subway Obelisco, Ciudad de Buenos Aires","sabado",12,16.5,-34.6034415,-58.3824585,2021-03-28
"100","Subway Obelisco, Ciudad de Buenos Aires","sabado",13,21,-34.6034415,-58.3824585,2021-03-28
"101","Subway Obelisco, Ciudad de Buenos Aires","sabado",14,22.5,-34.6034415,-58.3824585,2021-03-28
"102","Subway Obelisco, Ciudad de Buenos Aires","sabado",15,24,-34.6034415,-58.3824585,2021-03-28
"103","Subway Obelisco, Ciudad de Buenos Aires","sabado",16,28.5,-34.6034415,-58.3824585,2021-03-28
"104","Subway Obelisco, Ciudad de Buenos Aires","sabado",17,35.25,-34.6034415,-58.3824585,2021-03-28
"105","Subway Obelisco, Ciudad de Buenos Aires","sabado",18,42.75,-34.6034415,-58.3824585,2021-03-28
"106","Subway Obelisco, Ciudad de Buenos Aires","sabado",19,47.25,-34.6034415,-58.3824585,2021-03-28
"107","Subway Obelisco, Ciudad de Buenos Aires","sabado",20,44.25,-34.6034415,-58.3824585,2021-03-28
"108","Subway Obelisco, Ciudad de Buenos Aires","sabado",21,37.5,-34.6034415,-58.3824585,2021-03-28
"109","Subway Obelisco, Ciudad de Buenos Aires","sabado",22,31.5,-34.6034415,-58.3824585,2021-03-28
"110","Subway Obelisco, Ciudad de Buenos Aires","sabado",23,30,-34.6034415,-58.3824585,2021-03-28
"111","Subway Obelisco, Ciudad de Buenos Aires","domingo",0,30.75,-34.6034415,-58.3824585,2021-03-28
"112","Subway Obelisco, Ciudad de Buenos Aires","domingo",1,29.25,-34.6034415,-58.3824585,2021-03-28
"113","Subway Obelisco, Ciudad de Buenos Aires","domingo",6,0,-34.6034415,-58.3824585,2021-03-28
"114","Subway Obelisco, Ciudad de Buenos Aires","domingo",7,0,-34.6034415,-58.3824585,2021-03-28
"115","Subway Obelisco, Ciudad de Buenos Aires","domingo",8,0,-34.6034415,-58.3824585,2021-03-28
"116","Subway Obelisco, Ciudad de Buenos Aires","domingo",9,0,-34.6034415,-58.3824585,2021-03-28
"117","Subway Obelisco, Ciudad de Buenos Aires","domingo",10,8.25,-34.6034415,-58.3824585,2021-03-28
"118","Subway Obelisco, Ciudad de Buenos Aires","domingo",11,11.25,-34.6034415,-58.3824585,2021-03-28
"119","Subway Obelisco, Ciudad de Buenos Aires","domingo",12,14.25,-34.6034415,-58.3824585,2021-03-28
"120","Subway Obelisco, Ciudad de Buenos Aires","domingo",13,15,-34.6034415,-58.3824585,2021-03-28
"121","Subway Obelisco, Ciudad de Buenos Aires","domingo",14,14.25,-34.6034415,-58.3824585,2021-03-28
"122","Subway Obelisco, Ciudad de Buenos Aires","domingo",15,14.25,-34.6034415,-58.3824585,2021-03-28
"123","Subway Obelisco, Ciudad de Buenos Aires","domingo",16,14.25,-34.6034415,-58.3824585,2021-03-28
"124","Subway Obelisco, Ciudad de Buenos Aires","domingo",17,16.5,-34.6034415,-58.3824585,2021-03-28
"125","Subway Obelisco, Ciudad de Buenos Aires","domingo",18,21.75,-34.6034415,-58.3824585,2021-03-28
"126","Subway Obelisco, Ciudad de Buenos Aires","domingo",19,27,-34.6034415,-58.3824585,2021-03-28
"127","Subway Obelisco, Ciudad de Buenos Aires","domingo",20,30,-34.6034415,-58.3824585,2021-03-28
"128","Subway Obelisco, Ciudad de Buenos Aires","domingo",21,30,-34.6034415,-58.3824585,2021-03-28
"129","Subway Obelisco, Ciudad de Buenos Aires","domingo",22,24.75,-34.6034415,-58.3824585,2021-03-28
"130","Subway Obelisco, Ciudad de Buenos Aires","domingo",23,16.5,-34.6034415,-58.3824585,2021-03-28
