"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Subway Plaza Italia, Ciudad de Buenos Aires","lunes",6,0,-34.5819444,-58.4211111,2021-03-27
"2","Subway Plaza Italia, Ciudad de Buenos Aires","lunes",7,0,-34.5819444,-58.4211111,2021-03-27
"3","Subway Plaza Italia, Ciudad de Buenos Aires","lunes",8,0,-34.5819444,-58.4211111,2021-03-27
"4","Subway Plaza Italia, Ciudad de Buenos Aires","lunes",9,1.5,-34.5819444,-58.4211111,2021-03-27
"5","Subway Plaza Italia, Ciudad de Buenos Aires","lunes",10,6,-34.5819444,-58.4211111,2021-03-27
"6","Subway Plaza Italia, Ciudad de Buenos Aires","lunes",11,12.75,-34.5819444,-58.4211111,2021-03-27
"7","Subway Plaza Italia, Ciudad de Buenos Aires","lunes",12,21.75,-34.5819444,-58.4211111,2021-03-27
"8","Subway Plaza Italia, Ciudad de Buenos Aires","lunes",13,30.75,-34.5819444,-58.4211111,2021-03-27
"9","Subway Plaza Italia, Ciudad de Buenos Aires","lunes",14,37.5,-34.5819444,-58.4211111,2021-03-27
"10","Subway Plaza Italia, Ciudad de Buenos Aires","lunes",15,39,-34.5819444,-58.4211111,2021-03-27
"11","Subway Plaza Italia, Ciudad de Buenos Aires","lunes",16,36,-34.5819444,-58.4211111,2021-03-27
"12","Subway Plaza Italia, Ciudad de Buenos Aires","lunes",17,30.75,-34.5819444,-58.4211111,2021-03-27
"13","Subway Plaza Italia, Ciudad de Buenos Aires","lunes",18,27,-34.5819444,-58.4211111,2021-03-27
"14","Subway Plaza Italia, Ciudad de Buenos Aires","lunes",19,27.75,-34.5819444,-58.4211111,2021-03-27
"15","Subway Plaza Italia, Ciudad de Buenos Aires","lunes",20,27.75,-34.5819444,-58.4211111,2021-03-27
"16","Subway Plaza Italia, Ciudad de Buenos Aires","lunes",21,23.25,-34.5819444,-58.4211111,2021-03-27
"17","Subway Plaza Italia, Ciudad de Buenos Aires","lunes",22,12,-34.5819444,-58.4211111,2021-03-27
"18","Subway Plaza Italia, Ciudad de Buenos Aires","lunes",23,0,-34.5819444,-58.4211111,2021-03-27
"19","Subway Plaza Italia, Ciudad de Buenos Aires","martes",6,0,-34.5819444,-58.4211111,2021-03-27
"20","Subway Plaza Italia, Ciudad de Buenos Aires","martes",7,0,-34.5819444,-58.4211111,2021-03-27
"21","Subway Plaza Italia, Ciudad de Buenos Aires","martes",8,0,-34.5819444,-58.4211111,2021-03-27
"22","Subway Plaza Italia, Ciudad de Buenos Aires","martes",9,0.75,-34.5819444,-58.4211111,2021-03-27
"23","Subway Plaza Italia, Ciudad de Buenos Aires","martes",10,4.5,-34.5819444,-58.4211111,2021-03-27
"24","Subway Plaza Italia, Ciudad de Buenos Aires","martes",11,15,-34.5819444,-58.4211111,2021-03-27
"25","Subway Plaza Italia, Ciudad de Buenos Aires","martes",12,28.5,-34.5819444,-58.4211111,2021-03-27
"26","Subway Plaza Italia, Ciudad de Buenos Aires","martes",13,42,-34.5819444,-58.4211111,2021-03-27
"27","Subway Plaza Italia, Ciudad de Buenos Aires","martes",14,48.75,-34.5819444,-58.4211111,2021-03-27
"28","Subway Plaza Italia, Ciudad de Buenos Aires","martes",15,45.75,-34.5819444,-58.4211111,2021-03-27
"29","Subway Plaza Italia, Ciudad de Buenos Aires","martes",16,35.25,-34.5819444,-58.4211111,2021-03-27
"30","Subway Plaza Italia, Ciudad de Buenos Aires","martes",17,23.25,-34.5819444,-58.4211111,2021-03-27
"31","Subway Plaza Italia, Ciudad de Buenos Aires","martes",18,17.25,-34.5819444,-58.4211111,2021-03-27
"32","Subway Plaza Italia, Ciudad de Buenos Aires","martes",19,19.5,-34.5819444,-58.4211111,2021-03-27
"33","Subway Plaza Italia, Ciudad de Buenos Aires","martes",20,25.5,-34.5819444,-58.4211111,2021-03-27
"34","Subway Plaza Italia, Ciudad de Buenos Aires","martes",21,25.5,-34.5819444,-58.4211111,2021-03-27
"35","Subway Plaza Italia, Ciudad de Buenos Aires","martes",22,18,-34.5819444,-58.4211111,2021-03-27
"36","Subway Plaza Italia, Ciudad de Buenos Aires","martes",23,0,-34.5819444,-58.4211111,2021-03-27
"37","Subway Plaza Italia, Ciudad de Buenos Aires","miercoles",6,0,-34.5819444,-58.4211111,2021-03-27
"38","Subway Plaza Italia, Ciudad de Buenos Aires","miercoles",7,0,-34.5819444,-58.4211111,2021-03-27
"39","Subway Plaza Italia, Ciudad de Buenos Aires","miercoles",8,0,-34.5819444,-58.4211111,2021-03-27
"40","Subway Plaza Italia, Ciudad de Buenos Aires","miercoles",9,1.5,-34.5819444,-58.4211111,2021-03-27
"41","Subway Plaza Italia, Ciudad de Buenos Aires","miercoles",10,7.5,-34.5819444,-58.4211111,2021-03-27
"42","Subway Plaza Italia, Ciudad de Buenos Aires","miercoles",11,17.25,-34.5819444,-58.4211111,2021-03-27
"43","Subway Plaza Italia, Ciudad de Buenos Aires","miercoles",12,29.25,-34.5819444,-58.4211111,2021-03-27
"44","Subway Plaza Italia, Ciudad de Buenos Aires","miercoles",13,40.5,-34.5819444,-58.4211111,2021-03-27
"45","Subway Plaza Italia, Ciudad de Buenos Aires","miercoles",14,45,-34.5819444,-58.4211111,2021-03-27
"46","Subway Plaza Italia, Ciudad de Buenos Aires","miercoles",15,42.75,-34.5819444,-58.4211111,2021-03-27
"47","Subway Plaza Italia, Ciudad de Buenos Aires","miercoles",16,34.5,-34.5819444,-58.4211111,2021-03-27
"48","Subway Plaza Italia, Ciudad de Buenos Aires","miercoles",17,26.25,-34.5819444,-58.4211111,2021-03-27
"49","Subway Plaza Italia, Ciudad de Buenos Aires","miercoles",18,22.5,-34.5819444,-58.4211111,2021-03-27
"50","Subway Plaza Italia, Ciudad de Buenos Aires","miercoles",19,21,-34.5819444,-58.4211111,2021-03-27
"51","Subway Plaza Italia, Ciudad de Buenos Aires","miercoles",20,19.5,-34.5819444,-58.4211111,2021-03-27
"52","Subway Plaza Italia, Ciudad de Buenos Aires","miercoles",21,15,-34.5819444,-58.4211111,2021-03-27
"53","Subway Plaza Italia, Ciudad de Buenos Aires","miercoles",22,7.5,-34.5819444,-58.4211111,2021-03-27
