"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Sushi Sakura, Ciudad de Buenos Aires","lunes",6,0,-34.5952481,-58.4232904,2021-03-27
"2","Sushi Sakura, Ciudad de Buenos Aires","lunes",7,0,-34.5952481,-58.4232904,2021-03-27
"3","Sushi Sakura, Ciudad de Buenos Aires","lunes",8,0,-34.5952481,-58.4232904,2021-03-27
"4","Sushi Sakura, Ciudad de Buenos Aires","lunes",9,0,-34.5952481,-58.4232904,2021-03-27
"5","Sushi Sakura, Ciudad de Buenos Aires","lunes",10,0,-34.5952481,-58.4232904,2021-03-27
"6","Sushi Sakura, Ciudad de Buenos Aires","lunes",11,0,-34.5952481,-58.4232904,2021-03-27
"7","Sushi Sakura, Ciudad de Buenos Aires","lunes",12,0,-34.5952481,-58.4232904,2021-03-27
"8","Sushi Sakura, Ciudad de Buenos Aires","lunes",13,0,-34.5952481,-58.4232904,2021-03-27
"9","Sushi Sakura, Ciudad de Buenos Aires","lunes",14,0,-34.5952481,-58.4232904,2021-03-27
"10","Sushi Sakura, Ciudad de Buenos Aires","lunes",15,0,-34.5952481,-58.4232904,2021-03-27
"11","Sushi Sakura, Ciudad de Buenos Aires","lunes",16,0,-34.5952481,-58.4232904,2021-03-27
"12","Sushi Sakura, Ciudad de Buenos Aires","lunes",17,3,-34.5952481,-58.4232904,2021-03-27
"13","Sushi Sakura, Ciudad de Buenos Aires","lunes",18,6.75,-34.5952481,-58.4232904,2021-03-27
"14","Sushi Sakura, Ciudad de Buenos Aires","lunes",19,13.5,-34.5952481,-58.4232904,2021-03-27
"15","Sushi Sakura, Ciudad de Buenos Aires","lunes",20,24.75,-34.5952481,-58.4232904,2021-03-27
"16","Sushi Sakura, Ciudad de Buenos Aires","lunes",21,33,-34.5952481,-58.4232904,2021-03-27
"17","Sushi Sakura, Ciudad de Buenos Aires","lunes",22,31.5,-34.5952481,-58.4232904,2021-03-27
"18","Sushi Sakura, Ciudad de Buenos Aires","lunes",23,19.5,-34.5952481,-58.4232904,2021-03-27
"19","Sushi Sakura, Ciudad de Buenos Aires","martes",6,0,-34.5952481,-58.4232904,2021-03-27
"20","Sushi Sakura, Ciudad de Buenos Aires","martes",7,0,-34.5952481,-58.4232904,2021-03-27
"21","Sushi Sakura, Ciudad de Buenos Aires","martes",8,0,-34.5952481,-58.4232904,2021-03-27
"22","Sushi Sakura, Ciudad de Buenos Aires","martes",9,0,-34.5952481,-58.4232904,2021-03-27
"23","Sushi Sakura, Ciudad de Buenos Aires","martes",10,0,-34.5952481,-58.4232904,2021-03-27
"24","Sushi Sakura, Ciudad de Buenos Aires","martes",11,0.75,-34.5952481,-58.4232904,2021-03-27
"25","Sushi Sakura, Ciudad de Buenos Aires","martes",12,3.75,-34.5952481,-58.4232904,2021-03-27
"26","Sushi Sakura, Ciudad de Buenos Aires","martes",13,6.75,-34.5952481,-58.4232904,2021-03-27
