"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Swami Caballito, Ciudad de Buenos Aires","lunes",6,0,-34.6208098,-58.4312662,2021-03-27
"2","Swami Caballito, Ciudad de Buenos Aires","lunes",7,0,-34.6208098,-58.4312662,2021-03-27
"3","Swami Caballito, Ciudad de Buenos Aires","lunes",8,14.25,-34.6208098,-58.4312662,2021-03-27
"4","Swami Caballito, Ciudad de Buenos Aires","lunes",9,21.75,-34.6208098,-58.4312662,2021-03-27
"5","Swami Caballito, Ciudad de Buenos Aires","lunes",10,27.75,-34.6208098,-58.4312662,2021-03-27
"6","Swami Caballito, Ciudad de Buenos Aires","lunes",11,30.75,-34.6208098,-58.4312662,2021-03-27
"7","Swami Caballito, Ciudad de Buenos Aires","lunes",12,28.5,-34.6208098,-58.4312662,2021-03-27
"8","Swami Caballito, Ciudad de Buenos Aires","lunes",13,24,-34.6208098,-58.4312662,2021-03-27
"9","Swami Caballito, Ciudad de Buenos Aires","lunes",14,21,-34.6208098,-58.4312662,2021-03-27
"10","Swami Caballito, Ciudad de Buenos Aires","lunes",15,23.25,-34.6208098,-58.4312662,2021-03-27
"11","Swami Caballito, Ciudad de Buenos Aires","lunes",16,31.5,-34.6208098,-58.4312662,2021-03-27
"12","Swami Caballito, Ciudad de Buenos Aires","lunes",17,42,-34.6208098,-58.4312662,2021-03-27
"13","Swami Caballito, Ciudad de Buenos Aires","lunes",18,45.75,-34.6208098,-58.4312662,2021-03-27
"14","Swami Caballito, Ciudad de Buenos Aires","lunes",19,39.75,-34.6208098,-58.4312662,2021-03-27
"15","Swami Caballito, Ciudad de Buenos Aires","lunes",20,27.75,-34.6208098,-58.4312662,2021-03-27
"16","Swami Caballito, Ciudad de Buenos Aires","lunes",21,15,-34.6208098,-58.4312662,2021-03-27
"17","Swami Caballito, Ciudad de Buenos Aires","lunes",22,0,-34.6208098,-58.4312662,2021-03-27
"18","Swami Caballito, Ciudad de Buenos Aires","lunes",23,0,-34.6208098,-58.4312662,2021-03-27
"19","Swami Caballito, Ciudad de Buenos Aires","martes",6,0,-34.6208098,-58.4312662,2021-03-27
"20","Swami Caballito, Ciudad de Buenos Aires","martes",7,0,-34.6208098,-58.4312662,2021-03-27
"21","Swami Caballito, Ciudad de Buenos Aires","martes",8,10.5,-34.6208098,-58.4312662,2021-03-27
"22","Swami Caballito, Ciudad de Buenos Aires","martes",9,18,-34.6208098,-58.4312662,2021-03-27
"23","Swami Caballito, Ciudad de Buenos Aires","martes",10,27,-34.6208098,-58.4312662,2021-03-27
"24","Swami Caballito, Ciudad de Buenos Aires","martes",11,33.75,-34.6208098,-58.4312662,2021-03-27
"25","Swami Caballito, Ciudad de Buenos Aires","martes",12,34.5,-34.6208098,-58.4312662,2021-03-27
"26","Swami Caballito, Ciudad de Buenos Aires","martes",13,31.5,-34.6208098,-58.4312662,2021-03-27
"27","Swami Caballito, Ciudad de Buenos Aires","martes",14,25.5,-34.6208098,-58.4312662,2021-03-27
"28","Swami Caballito, Ciudad de Buenos Aires","martes",15,23.25,-34.6208098,-58.4312662,2021-03-27
"29","Swami Caballito, Ciudad de Buenos Aires","martes",16,27.75,-34.6208098,-58.4312662,2021-03-27
"30","Swami Caballito, Ciudad de Buenos Aires","martes",17,39,-34.6208098,-58.4312662,2021-03-27
"31","Swami Caballito, Ciudad de Buenos Aires","martes",18,47.25,-34.6208098,-58.4312662,2021-03-27
"32","Swami Caballito, Ciudad de Buenos Aires","martes",19,43.5,-34.6208098,-58.4312662,2021-03-27
"33","Swami Caballito, Ciudad de Buenos Aires","martes",20,30,-34.6208098,-58.4312662,2021-03-27
"34","Swami Caballito, Ciudad de Buenos Aires","martes",21,16.5,-34.6208098,-58.4312662,2021-03-27
"35","Swami Caballito, Ciudad de Buenos Aires","martes",22,0,-34.6208098,-58.4312662,2021-03-27
"36","Swami Caballito, Ciudad de Buenos Aires","martes",23,0,-34.6208098,-58.4312662,2021-03-27
"37","Swami Caballito, Ciudad de Buenos Aires","miercoles",6,0,-34.6208098,-58.4312662,2021-03-27
"38","Swami Caballito, Ciudad de Buenos Aires","miercoles",7,0,-34.6208098,-58.4312662,2021-03-27
"39","Swami Caballito, Ciudad de Buenos Aires","miercoles",8,15.75,-34.6208098,-58.4312662,2021-03-27
"40","Swami Caballito, Ciudad de Buenos Aires","miercoles",9,24.75,-34.6208098,-58.4312662,2021-03-27
"41","Swami Caballito, Ciudad de Buenos Aires","miercoles",10,33,-34.6208098,-58.4312662,2021-03-27
